序号,上级评论ID,评论ID,用户ID,用户名,用户等级,性别,评论内容,评论时间,回复数,点赞数,个性签名,IP属地,是否是大会员,头像
1,0,260477053537,1336464353,本神max,3,保密,还得是三角洲，情绪价值贼高[doge],2025-04-27 05:10:57,0,0,,未知,否,https://i2.hdslb.com/bfs/face/eecd45f8f4accddf4624dc39abaf1b636ec61fba.jpg
2,0,260277237361,349760393,__七月流火_,5,保密,我还是能理解开挂的人的想法呢，，虽然我上一次开挂还是小学五年级时开蜗牛透视，，我一个哥们喜欢pubg开挂，，我曾经问过他说这样有什么意思，，他的回复就是，，游戏就是用来取悦自己的，，别人不爽关他什么事，，别人代练，冲大米，炸鱼不也不会管你爽不爽，我竟无言以对。觉得他说的很有他的逻辑和道理[笑哭],2025-04-24 14:16:16,0,0,,未知,是,http://i2.hdslb.com/bfs/face/22fe67a57297a6854227460f5bc0803a7cf5f0f6.jpg
3,0,260245711105,1659486,祈の罪,6,保密,[吃瓜]哈哈还是看你们打烽火乐，我只玩大战场的，我特勤处才2级,2025-04-24 06:24:29,0,0,,未知,是,https://i0.hdslb.com/bfs/face/d6ed540be00625fa5d613abbd409089fee55efb5.jpg
4,0,260018863425,161071,嵐音・ストーム,6,男,严重怀疑原号主也开过，所以匹配机制全匹的这种,2025-04-21 05:33:39,0,0,,未知,是,https://i1.hdslb.com/bfs/face/6d832b1603c4b3f7508a4d8381a832875b3c73ed.jpg
5,0,260320445280,30954933,赤炎果果,6,保密,威龙：今儿俩大哥带我（瑟瑟发抖）,2025-04-13 17:15:25,0,0,草,未知,是,https://i0.hdslb.com/bfs/face/67f7fabc6c07bd7536fd35f0a56c0a24a5ce28e0.jpg
6,0,258919108689,4052986,Freddie周,6,保密,真这么多吗？我发现一个问题，对方用挂我也不判断不出来[笑哭][笑哭],2025-04-07 06:36:16,1,1,开开心心就好啦,未知,是,https://i1.hdslb.com/bfs/face/6cbab178b3b4d668b4687b5dd9f6bbac01c3394b.jpg
7,0,259567359840,62488522,苍茫歌,6,男,这号主的号什么情况啊？这么密集吗？？？？,2025-04-04 21:29:15,0,0,剑气纵横三万里 一剑光寒十九洲,未知,否,https://i1.hdslb.com/bfs/face/9e2d9f37dd67fc5e6ad5749e55ab76ee5fb32120.jpg
8,0,259546154064,3546880430573927,不要当酸萝卜别吃,2,保密,快点更新使命召唤20,2025-04-04 14:09:21,0,0,,未知,否,https://i0.hdslb.com/bfs/face/member/noface.jpg
9,0,258645582657,505000067,白绦千丝红玉紫,5,男,这号能碰上这么多挂多少也有点不干净了,2025-04-04 02:18:25,0,1,如果你能越早的接受阶段性的朋友悄无声息地离开你，那么你的人生会少很多痛苦,未知,否,https://i2.hdslb.com/bfs/face/2c3b13e3e726e30233c551a6176c498b42e0e10a.jpg
10,0,259448920256,97059133,凭本事借的嘴不用还,6,男,@你可以叫我人战,2025-04-03 12:49:22,0,0,,未知,否,https://i1.hdslb.com/bfs/face/be58a2d1622fcd21c31d51fc79d230b52281b560.jpg
