序号,上级评论ID,评论ID,用户ID,用户名,用户等级,性别,评论内容,评论时间,回复数,点赞数,个性签名,IP属地,是否是大会员,头像
1,0,261879439392,1467149424,MC一把钻石剑,6,男,真正的盯帧只需要按一次暂停键[墨镜],2025-05-03 03:09:22,0,1,大家好！我是初中生up主钻石剑，是鲤鱼的1号粉丝，最爱玩的游戏是我的世界，因学业问题，周一到周五可能会拖更，请大家谅解～,未知,否,https://i0.hdslb.com/bfs/face/06bba27fafbf2a925b9c40735f6356990e8d1e90.jpg
2,0,260722397201,25810272,樱枫次元,6,保密,标题看成了 笑了一个星期才舍得出来,2025-04-30 09:51:55,0,0,"S  T  O  P✋????
很抱歉打断你的浏览
但是我想提醒您一句
你签到了吗[doge]
https://b23.tv/GkFhHY",未知,否,https://i0.hdslb.com/bfs/face/b86d4d57dde7282591b2d6b93482c1442f2ce04a.jpg
3,0,261128471536,390121508,诗圣击浪还,5,保密,我有一回死了看队友视角，队友去破壁里面有人，他（手炮）在破壁上面小房间向下楼梯那铺手炮，然后一个滑铲下去。。。。他完美的吃到了自己的手炮成盒了，我当时只能发出了一个字，啊？然后震惊的说不出话来,2025-04-23 19:03:17,0,0,,未知,是,http://i2.hdslb.com/bfs/face/94288db0d7f64dd83c92af75b0df5e3811e2d9a1.jpg
4,0,260208519233,401910872,论如何科学白嫖,5,保密,昨天遇到一把桥上等飞升，跳水撤来了一队，我直接打掉一个但是被打残了回去补状态，队友威龙一个虎墩扔到剩下两个人中间，自信跨栏杆喷气下去，结果吃到自己的虎墩直接被弹水里了[脱单doge],2025-04-23 15:15:45,0,2,,未知,是,http://i2.hdslb.com/bfs/face/86ec3cc67ccb5445e2f38ee32e8d3a3add5bce3f.jpg
5,0,260852331808,3494355996248633,等冬装桃实装,3,保密,@砂狼白子_由同学,2025-04-20 08:58:35,0,1,,未知,否,https://i2.hdslb.com/bfs/face/8f611bbc35a24908177a9359fe12fe86586f0be8.jpg
6,0,259941858049,3546591252187773,彡浅安,4,保密,哈基鸽，，一个星期才舍出来吗？你这家伙[doge][微笑]（滑稽保命）（抽象）,2025-04-20 06:11:15,0,0,,未知,否,https://i0.hdslb.com/bfs/face/cdd2865721f73c81ef51323045d41d5f97384583.jpg
7,0,260785138016,3546841599707348,地铁逃生小丑皇,3,保密,笑了一星期才舍出来,2025-04-19 13:54:04,0,0,"欢迎一起来玩儿地铁。
",未知,否,https://i2.hdslb.com/bfs/face/ae8694a92d7200d8022cb2b236c0645bdd7a583c.jpg
8,0,258983169360,339799124,德莱克韦,6,男,第一遍只顾着笑了，第二遍才发现虎蹲好像还是他自己打的,2025-03-29 06:03:58,0,1,锅里的粮，车里的油,未知,否,https://i2.hdslb.com/bfs/face/089bae406089aa81554a76a9c7b26e4c802a7c27.jpg
9,0,258743898448,189210404,翻身要尽全力,6,男,我一开始玩威龙也这样 不过我飞过去吃的自己的红包[笑哭]给对面表演一波当场自尽,2025-03-26 09:26:15,0,0,不当懦夫,未知,否,https://i2.hdslb.com/bfs/face/6e887ce26cc7669a95d47a448203cf5b84a228f5.jpg
10,0,257400995585,534610573,71GD_,6,男,笑了一星期才舍，得发出来,2025-03-19 15:55:53,0,0,wotb退坑玩家号已借,未知,是,https://i1.hdslb.com/bfs/face/79c1fa973374f4f2deaff58c9f5a45eeb9904647.jpg
