序号,上级评论ID,评论ID,用户ID,用户名,用户等级,性别,评论内容,评论时间,回复数,点赞数,个性签名,IP属地,是否是大会员,头像
1,0,261215388496,384809110,A01易见卿心,5,保密,又胖回来了,2025-04-25 01:36:54,0,0,,未知,否,https://i1.hdslb.com/bfs/face/29e39da5d2cb5b4dc8aac03963f0c80bfee7f0c3.jpg
2,0,255681356577,355188257,山不辞土丶海不辞水,4,保密,现在为止还没有显卡能不开假生成到达4K100HZ的,2025-02-26 08:47:09,0,0,个人无聊的游戏记录 ,未知,是,https://i0.hdslb.com/bfs/face/member/noface.jpg
3,0,254803109616,443009823,陆明bro,3,男,这皮衣太酷了，升级到新高度了,2025-02-08 15:04:32,0,1,瞎拍，爱唱跳，痴迷外语和IT；深圳一对一教英语，托福阅读满分，雅思听力阅读8分；全网同名：陆明bro,未知,否,https://i0.hdslb.com/bfs/face/083157e3bd523a0ca5d1e23acd803e3046afbfc5.jpg
4,0,254059237025,285028686,时光的旅客7981,5,男,我记得小米有一款机子被老黄坑过一回的耶。还来？？,2025-02-08 00:39:10,0,0,这雾里，微凉,未知,否,https://i0.hdslb.com/bfs/face/ccc99c4e2540074154768193f733c33afbb16b92.jpg
5,0,254721159184,4382224,史莱姆麻婆,6,男,等等党准备在等个几年   [滑稽],2025-02-07 19:07:36,0,1,,未知,是,https://i1.hdslb.com/bfs/face/79c03cb6d3a947a9bb0fb14a7ad3df07ad80b372.jpg
6,0,253928693681,14700888,神初拟,6,保密,960能用吗[妙啊],2025-02-06 12:34:33,0,0,,未知,是,https://i0.hdslb.com/bfs/face/46509af6e18b022cb8d48b0cee6c5e9eb1c9964d.jpg
7,0,254315062240,1365402534,戏兔,4,保密,[doge],2025-02-03 14:31:01,0,2,我看到了前程，是一团镜花。,未知,否,https://i0.hdslb.com/bfs/face/e7e8dad1191a45710d21a691eff1dc4899f6a888.jpg
8,0,253604100785,434366093,牢大旋疯劈,5,保密,怎么不看看他对台言论[呲牙],2025-02-03 03:07:53,0,5,00000000,未知,否,https://i2.hdslb.com/bfs/face/4415c12543e2e152a10db13dc2de9fea4639e580.jpg
9,0,253603988065,434366093,牢大旋疯劈,5,保密,纸张一样,2025-02-03 03:06:57,0,4,00000000,未知,否,https://i2.hdslb.com/bfs/face/4415c12543e2e152a10db13dc2de9fea4639e580.jpg
10,0,253541841521,31128998,wukong-_-,5,保密,都在说帧数，有人讲延迟吗？,2025-02-02 09:24:28,0,2,为什么坚持，想一想当初。,未知,否,https://i2.hdslb.com/bfs/face/d74c6bc464661614fd13c3884472951b9b8c1af5.jpg
11,0,254025927248,417472208,内格夫宗主,5,保密,50系值得买吗,2025-01-31 13:42:14,0,0,"外出た瞬間　終わったわ，
出门的一瞬间 我完蛋啦，
天気は良いのに　進めない，
天气明明很好 却无法前行，
風　強すぎて　お亡くなり，
狂风",未知,是,https://i2.hdslb.com/bfs/face/018f34efe2e7188f0aec194ce399ecc433eab142.jpg
12,0,253171032577,318196152,碧落琉琴,6,保密,硬件有50系显卡，软件展示有AI执行指令，AI队友，AI队友厉害啊，以后是不是只要买了N卡就自带一个功能叫做AI陪玩[喜极而泣],2025-01-29 06:49:22,0,1,为了二次元,未知,否,http://i0.hdslb.com/bfs/face/2a252cc258b87440778b1d3c2d5250be309aabd1.jpg
13,0,253391778672,366059737,皆为虚妄_,5,保密,[doge_金箍],2025-01-25 01:54:06,0,0,无妄，勿念,未知,否,https://i1.hdslb.com/bfs/face/5c8448312c5aecf78051bdd1825e3ce4d06f7caa.webp
14,0,253286605088,334449128,猫来家富,6,保密,所以说 50系显卡 咋搭配硬件啊  配什么主板 什么CPU 啥电源 啊,2025-01-24 00:28:08,0,0,看猫视频搜猫就行，收养了142只猫猫，最久的猫猫活了19年是只纯黑田园猫，猫猫大部分都是自己跑过来的流浪猫，,未知,是,https://i2.hdslb.com/bfs/face/8444d6bb585f6bb907f6ac91c28ad68fd39bd298.jpg
15,0,252999143200,2146901969,欧气盲盒情报站,3,保密,【大会员粉豆人_咩酱加油】完了，看完视频以后，我感觉我这钱是没的省了，谢谢UP，你是我的超人Σ(ﾟдﾟ;)→https://b23.tv/ebz3Gkz,2025-01-21 06:13:04,0,0,"关注我，魔力赏最新的羊毛/上新/活动消息提前知晓～
可在“我的-会员购中心-盲盒”找到入口，参与抽赏～",未知,否,https://i2.hdslb.com/bfs/face/63b5ddafe11b08f3493a770ac248762e4d31da51.jpg
16,0,252389940689,1175888279,笨笨deben,5,男,AK应该抓住它而不是托住它[doge_金箍]（该片段来着香港电影）,2025-01-21 04:21:16,0,0,高中在读研究生,未知,否,https://i2.hdslb.com/bfs/face/5718944fdd53ab2e4dc1d4575a8f9c0e15d790b9.jpg
17,0,252914480720,3493120213780621,这次应该是芙宁娜,4,女,@洛天依,2025-01-20 08:44:01,0,0,这个人很神秘，什么也没留下～,未知,是,https://i1.hdslb.com/bfs/face/2cf0912c3c527fa796ef27a45b35b9c9caf7fc64.jpg
18,0,252183727521,24414195,狙击手Ricky,6,男,ai玩家增强智慧性就好了，玩pve也有乐子，打真人外挂真的受不了,2025-01-18 17:21:10,0,0,"转发抽奖noob行为, don't @ me",未知,是,https://i0.hdslb.com/bfs/face/9119bca0fb6d1f81ed1b3feec8d4048deb72a76b.jpg
19,0,252158444993,1486090565,什意-,5,保密,[拜年纪2022_摸鱼],2025-01-18 12:17:40,0,0,"(゜゜)
",未知,是,https://i2.hdslb.com/bfs/face/5405dea2a7664a82204cc9165eca7d6b977a7e3a.jpg
20,0,252061424769,563467,BeingFS,6,保密,怪不得，原来NVIDIA的,2025-01-17 11:08:19,0,0,,未知,否,https://i1.hdslb.com/bfs/face/7807d58c466b32fda4860b8f4615fdbcfbf5cdef.jpg
21,0,252051335329,470993474,DuckNeck_鸭脖,5,保密,英伟达笑传之插插帧,2025-01-17 09:15:59,0,7,,未知,是,https://i2.hdslb.com/bfs/face/ad0f687105692c934c086b855256051b26a21ead.jpg
22,0,252608984816,1920908011,非自然苏打,6,男,我刚买了4080！天塌了！,2025-01-17 03:50:01,4,84,粉丝群成立啦！Q群821603001！欢迎来病友交流会！,未知,是,https://i1.hdslb.com/bfs/face/ff71ef035b06f9d24b22a631d9166a967ec740b1.jpg
23,0,252590614080,3546384888236910,膩捱,5,女,5090显卡不是不对我们销售吗？,2025-01-16 20:54:18,1,0,,未知,否,https://i0.hdslb.com/bfs/face/244862d6f5743a1ebb6e18c39ed85abcd8173f53.jpg
24,0,252007349025,515100056,海绵摆摆_below,6,保密,40系能用上第四代dlss吗[大哭],2025-01-16 19:45:21,0,1,耶✌?,未知,否,https://i2.hdslb.com/bfs/face/98128aca65bfe1d8da7c2b08022f1f30936723cf.jpg
25,0,252007397761,19245369,狐狸在哪,4,男,老黄？,2025-01-16 19:42:38,0,0,,未知,否,https://i0.hdslb.com/bfs/face/0ee9b3bd14ce05f0b615beb00a83ddc3d905a818.jpg
26,0,252585474976,3546750906272649,账号已注销,0,保密,別看了，国区不售出[doge],2025-01-16 17:41:05,0,0,,未知,否,https://i0.hdslb.com/bfs/face/member/noface.jpg
27,0,252579484608,8955627,吞补机,6,保密,做人不要双标也不要田忌赛马。显卡涨价我是理解的，因为那里不是游这就是那行的涨薪，但是对我们却是致命的，因为我们国内不涨反降甚至没了，保本就是阿弥陀佛。,2025-01-16 16:07:01,0,1,绿补被某些厂家商家玩成了《618》《1111》提价打折(优惠卷)。,未知,否,https://i0.hdslb.com/bfs/face/54196891be0ceb627d43fcf2de1c8c0661900f66.jpg
28,0,252579272640,32404708,勝利之劍Eric,6,男,[Kizuna AI _比心],2025-01-16 16:05:43,0,0,Kizunar ~^ω^,未知,是,https://i1.hdslb.com/bfs/face/02813e98babf2cbc5c0e72a1718e9d4097c31c27.jpg
29,0,251974156833,4869487,无敌大JM,6,保密,broadcast.39在线安装版本怎么下载不动[tv_白眼],2025-01-16 11:38:03,0,0,天选倒霉蛋,未知,否,https://i1.hdslb.com/bfs/face/9d52a14e9e236ee4b3082812a90c5e4dbe16492b.webp
30,0,252549528864,1439817633,户俞h,5,保密,...,2025-01-16 10:42:17,0,0,,未知,是,https://i0.hdslb.com/bfs/face/966e1cbc698ec2ffeffebd0c5051ec0d518d0f14.jpg
31,0,252546640640,3546784657836543,索尼大法罪大滔天,2,保密,不是说反垄关系的吗,2025-01-16 10:10:39,0,0,,未知,否,https://i0.hdslb.com/bfs/face/member/noface.jpg
32,0,251958152369,102491,loveの缥缈,6,男,没法比，小米手机用nv芯片的时候nv的市值不到小米的1/4，现在已经是小米的20倍还要多了,2025-01-16 08:26:45,0,7,,未知,是,https://i2.hdslb.com/bfs/face/f8f211bd00640b6ef9b6c02c09ac4ba6cb20de3d.jpg
33,0,252531727360,1236375744,千千家の空七,5,保密,刚买的4060，后悔了,2025-01-16 07:00:43,3,0,,未知,是,https://i0.hdslb.com/bfs/face/f60f93cb8b4cdfdcb8ccab39fad846a541ecf8cd.jpg
34,0,251949113889,1141995458,钓鱼钓什么鱼钓大鱼,4,保密,！！！！,2025-01-16 06:12:26,0,1,,未知,否,https://i0.hdslb.com/bfs/face/member/noface.jpg
35,0,251947964241,319698098,茄汁青鱼x,6,保密,这次和以往的不同以往40针补出的都卡，以为所有游戏都是4090能跑20针左右吗   未来的新单机游戏都可以用240hz显示器甚至360      这次性能提升可能不大但是补针能用了甚至说好用了     其实这不是重点以后的游戏剧情不再是叙事而是可以和电脑人直接问,2025-01-16 05:54:11,0,0,,未知,否,https://i0.hdslb.com/bfs/face/member/noface.jpg
36,0,251947532625,1674606188,零比傲,5,男,一个视频追了我七八次到底买了多少,2025-01-16 05:46:04,1,2,"你最好是在拿浮木钓鱼
",未知,否,https://i2.hdslb.com/bfs/face/c5463e631b801e76c0e0689fa31032bd992e2b75.jpg
37,0,251944727809,320339064,今晚吃什么好I,5,保密,现场好多本地老外啊,2025-01-16 05:08:49,0,1,,未知,否,https://i0.hdslb.com/bfs/face/8e1cf046fdbb83e0ce2568f20adbbba1a8114050.jpg
38,0,252522444528,288374221,你的单纯哥,6,保密,17年买的1080ti,2025-01-16 04:55:34,4,0,,未知,是,https://i1.hdslb.com/bfs/face/0edc4461bc9137d7b9308a946b1731e3a53de01f.jpg
39,0,251943551601,3537113505073359,椿江花_,5,保密,不懂就问，老黄的皮衣是50系的吗[doge],2025-01-16 04:54:33,0,2,破防了就来看成分了？？？,未知,是,https://i0.hdslb.com/bfs/face/838e791a848349d2e2e96a5ee2aac8023276af72.webp
40,0,251938734609,1220627950,AAA六课课长星见雅,5,保密,我也是N粉，你们N粉吗[doge],2025-01-16 03:57:21,0,1,这个人很神秘，什么都没有写,未知,是,https://i1.hdslb.com/bfs/face/c021118822e9521041eefe559276e91695ff4b14.jpg
54,0,252514865216,352987607,--_-__--_-__,5,保密,插帧的终极目标：靠一张图给你做个游戏出来,2025-01-16 03:26:18,0,0,,未知,是,https://i2.hdslb.com/bfs/face/7cad758dd67cafd24f0dd73772ea3132cb6ded92.jpg
55,0,251935520481,1733721780,bili_77239619513,5,保密,50系都跑不了，那基本不是卡的问题，反而是游戏本身的问题,2025-01-16 03:11:27,0,0,,未知,否,https://i0.hdslb.com/bfs/face/member/noface.jpg
56,0,252513337008,27921132,____--__--,6,男,你才是老外,2025-01-16 03:04:42,0,0,,未知,否,https://i0.hdslb.com/bfs/face/631a6bbcf7c6a1f37fa128cb5cb15c374b3b97be.jpg
57,0,252509718992,258892946,黑面包罐头,6,男,编码器支持10bit 422了？我佳能又能用了[藏狐],2025-01-16 02:11:42,0,1,,未知,是,https://i2.hdslb.com/bfs/face/666e56369c0c29366897a3a8e27069b1d02e5d55.jpg
58,0,252502501664,1472999548,DD坏文明,5,保密,气死我了，能不能报警把他抓起来，气的我睡不着直跺脚，请求国家狠狠制裁重拳出击!显我国威![猫雷Nyaru_ponpon],2025-01-15 23:54:54,5,4,国家统一,未知,否,https://i1.hdslb.com/bfs/face/b7ede7a6b25050120969e3790b0024017525b535.jpg
59,0,252501435280,218195243,Leorose_,6,保密,AMDyes,2025-01-15 23:23:35,0,2,,未知,否,http://i2.hdslb.com/bfs/face/3a018457c04e5d795e962ae6b336c44397ceb32d.jpg
60,0,251921999809,14120077,9智骑士,6,男,老黄这个称呼听上去似乎倍感亲切，你对黄某印象怎么样,2025-01-15 21:53:53,0,0,,未知,是,https://i1.hdslb.com/bfs/face/b6062055c6706d292b948f882a4eaa7e0f239d6a.jpg
61,0,252495223168,487718041,六小铃铛1,4,保密,我估计你的特效也是老黄赞助的显卡。,2025-01-15 18:05:36,0,1,,未知,否,https://i1.hdslb.com/bfs/face/f2f1ab7da3840bd3486da379d43d2de45f1ccf7e.jpg
62,0,251916399505,698308595,别光喝了吃点菜吧,5,保密,不是，老黄中文这么好啊？我一直以为他是个纯粹的黄皮美国人,2025-01-15 17:39:32,9,1,,未知,否,https://i2.hdslb.com/bfs/face/7947237c4a5d5fb0530244f26d00efee2feea8e6.jpg
63,0,252478665664,35123733,莉娅喵Gallagher,6,保密,country,2025-01-15 14:15:52,2,16,糊涂人,未知,是,https://i0.hdslb.com/bfs/face/f97a37e689b92feae4e7dd1b802156dc7f765ce7.jpg
64,0,252474192560,111850347,AY菌,6,保密,"50系显卡加量还降价，我不明白为什么这么多人骂？
可能是囤40系显卡的人太多了？
我的建议是等产品上市再好好吐槽，虚空对线没有任何意义",2025-01-15 13:25:44,5,20,"挺急的

自我以上人人平等
自我一下等级森严
互联网是这样的
如果社会中充满了隐匿于日常生活中的不平等与暴力，久而久之就会形成暴力的自然化",未知,是,https://i0.hdslb.com/bfs/face/61cee19f26b10cf231da4f845fe07bce5e4a1b4f.jpg
65,0,251893831457,307839458,面目狰狞的黑衣人,6,男,遥想当年矿潮，联想游戏笔记本七千3050，八千3060。现在不知道降价到哪了。,2025-01-15 12:42:34,15,50,╭( ′• o •′ )╭就是这个人！,未知,否,https://i2.hdslb.com/bfs/face/3fd2e2d53afbe0538afeb3f0351e385a787ca92c.png
66,0,251890361825,404602380,-_推进之王_-,6,保密,挺好奇这些功能40能不能用到,2025-01-15 11:58:36,0,0,"此生无悔入MC,来世愿做方块人！",未知,否,https://i0.hdslb.com/bfs/face/2b61944f6cf8e437bce76d22e854d4b54d181d80.jpg
67,0,251886501217,309425785,虚构追觅,6,保密,正是买3060的时候（）,2025-01-15 11:12:34,0,1,"这个人并没什么好说的……
智者无需多言
b站基本废了",未知,是,https://i1.hdslb.com/bfs/face/2826087132be2ad95b9b11e6b1079bd5f34c8ffb.jpg
68,0,251884240609,2028764951,mit流,2,保密,为啥现在不骂英伟达了？？,2025-01-15 10:44:48,2,1,,未知,否,https://i0.hdslb.com/bfs/face/member/noface.jpg
69,0,251879597601,346562764,佐为sai3,5,保密,一个美狗  合照干嘛,2025-01-15 09:49:52,8,5,,未知,否,https://i0.hdslb.com/bfs/face/member/noface.jpg
70,0,251871298305,1250300384,我得吃额,5,男,那你好光荣哦 康吹[星星眼]康吹,2025-01-15 07:50:15,0,2,,未知,否,https://i0.hdslb.com/bfs/face/member/noface.jpg
71,0,252446117424,489592832,氦刻氚,5,保密,dlss4已经上线了是吗？csgo啥时候能用？,2025-01-15 07:44:11,1,0,go学长驾到，统统闪开！,未知,是,https://i2.hdslb.com/bfs/face/0787d75bdcc9a022b4ec3acfc3a644ab0b38252a.jpg
72,0,252446161632,9538627,诶大哇柯南,6,男,显卡搭载的 AI 功能需要手动开启吗,2025-01-15 07:42:37,0,0,sherlock柯南 ~_~赛博坦侦探社,未知,是,https://i1.hdslb.com/bfs/face/b9a9dd0585c3e5ad48611ed67c96d3b6a292044b.webp
73,0,252445605776,10362543,中肯视线,6,保密,国潮显卡[滑稽],2025-01-15 07:34:23,0,0,,未知,否,https://i0.hdslb.com/bfs/face/e02a8b13edfaa3794b7d88c607ad084a2980cd7c.jpg
121,0,252444867856,109305702,安全带倍安全,4,保密,美国人真厉害拿捏华人精英,2025-01-15 07:25:12,1,0,,未知,否,https://i0.hdslb.com/bfs/face/member/noface.jpg
122,0,251868828161,514107771,Rwinbow,5,男,当年40系刚出的时候，就是因为大部分游戏不支持dlss3 ，网上铺天盖地的40同代不如30，随着越来越多游戏适配优化dlss3之后都没人叫了，现在dlss4包也被墙头草这样叫的,2025-01-15 07:11:08,0,3,2023成功上岸,未知,否,https://i0.hdslb.com/bfs/face/fbba27b1ad29e57c220d2821f2f99c4c9f22098a.webp
123,0,251868664961,135278773,星别绪,6,保密,什么，5090D出了?那是不是意味着8090快做好了,2025-01-15 07:08:58,0,1,服务器繁忙，请稍后再试,未知,否,https://i1.hdslb.com/bfs/face/e6087f45fa21039d7c5bfa62238191ea85e512c2.jpg
124,0,252443558176,503152345,账号已注销,0,保密,皮衣黄是台南人，后来才入的美国籍，当然会说中文。,2025-01-15 07:03:31,0,3,,未知,否,https://i0.hdslb.com/bfs/face/member/noface.jpg
125,0,251868189153,85288997,biubiuplu,6,男,这个妮维雅看着比较牛叉,2025-01-15 07:01:26,0,0,王者荣耀傻X,未知,否,https://i2.hdslb.com/bfs/face/d129ddbf6101318a2ab9d1b701e006e7faef7e66.jpg
126,0,251866774897,10164756,芙按饭,6,男,nv的工程师说了dlss4除了多帧功能，其他功能40系也能用包括神经网络渲染,2025-01-15 06:39:47,0,0,,未知,否,https://i0.hdslb.com/bfs/face/9ec2cd26415fcb67bfd62532e457c922bcd038a6.jpg
127,0,251865850657,24561196,Aseret108,6,男,黄仁勋说taiwan是国家，有视频,2025-01-15 06:24:02,11,12,,未知,否,https://i1.hdslb.com/bfs/face/b79d206bb00ab9d38e4d08eff344fed4c5a51b68.jpg
128,0,251861636305,1603830052,万达沃达丰,4,男,"问一下
明年想升级5060ti（50系刚出包溢价半年的，明年买是个不错的决定）
现在我的配置cpu要不要换？内存要不要换？主要怕内存拖累显卡",2025-01-15 05:21:14,27,4,无花果果花,未知,是,https://i1.hdslb.com/bfs/face/1be52199f6d31d2c828ff36e0bb2852a8ba60abc.jpg
129,0,252436159184,63206316,阿辰zhy,6,保密,为什么每次发布会他都穿那件皮衣,2025-01-15 05:17:25,14,5,拉黑你是因为和你理论没有意义,未知,否,https://i0.hdslb.com/bfs/face/1cfbf0edcc92870eb56d0964f38bd9c5eeb7075e.jpg
130,0,251858186833,20250181,开会员充电的全取关,6,男,问就是第一生产力，绝对不提打游戏,2025-01-15 04:39:40,13,35,,未知,否,https://i1.hdslb.com/bfs/face/0606487be309de874d25f807a4efe6854c3d37d2.jpg
131,0,251856403521,153958062,ok州老肯,6,男,英伟达股票感觉差不多到头了,2025-01-15 04:18:46,0,0,黑工头子,未知,否,https://i0.hdslb.com/bfs/face/c9adbf1f08165d3e3ba18162ba9d6b9a5e79691e.jpg
132,0,252427513408,12207135,血腥暴力君,5,保密,dlss4一出来，小黄鸭直接开放任意倍数插帧[doge_金箍]老黄也真是逆天，硬件挤牙膏，优化了一下模型，改了一个参数取名dlss4又能再圈一年钱,2025-01-15 03:37:29,0,0,吾乃血腥暴力君，不准拍打喂食！,未知,是,https://i0.hdslb.com/bfs/face/0d6361a9aa5bf05d0c5acbe6dd1f95522318f408.webp
133,0,252427289408,649641510,叁玖捌捌,4,保密,等2000的3080ti、[呲牙][呲牙][呲牙][呲牙],2025-01-15 03:31:55,0,0,,未知,否,https://i0.hdslb.com/bfs/face/5cf12699cb7a98bd0076d46b4ff6cdc330fa31fd.jpg
134,0,252425723312,1656369520,fshhwh,5,保密,不出大陆也是大陆买的最多[doge],2025-01-15 03:10:32,0,2,,未知,否,https://i1.hdslb.com/bfs/face/63c0642c312ad63f78b0cd6e940233ede7b77bfe.jpg
135,0,252425180256,440957730,千千千千语,5,保密,神黄仁勋,2025-01-15 03:03:35,0,0,,未知,是,https://i0.hdslb.com/bfs/face/56428dc921e002fbc673f95f518eb7c4b028bfb5.jpg
136,0,251849568801,1903981255,千远工作室,4,保密,好想去问他亲自要个显卡用,2025-01-15 02:44:46,0,1,"千远工作室(旗下)
咸鱼社Q群:745114832
千远之岛Q群:668399287
ADSFUT官方Q群:954258044",未知,否,https://i1.hdslb.com/bfs/face/fb47d781e1c1f045c8532ac87b1d6e6aaedb78ac.jpg
137,0,252423332816,1324162941,万绿西泠丶,5,男,插帧看看能用几代。,2025-01-15 02:35:48,0,0, 春风十里扬芳草，共此时光一点笑。 轻叹相逢未若晚，一缕情丝缱绻绕。,未知,否,https://i0.hdslb.com/bfs/face/e46f51d18b06ad2a5af88b30e27aff8ce71f978f.jpg
138,0,251848708065,355202290,江南制造总局姜某,5,保密,60没了？,2025-01-15 02:31:57,1,2,正在前往UP的路上。。。。。。,未知,否,https://i0.hdslb.com/bfs/face/member/noface.jpg
139,0,251847058289,3546804773718753,我嘞个豆豆眼镜厂,3,保密,牢黄出狱啦,2025-01-15 02:02:44,0,1,,未知,是,https://i0.hdslb.com/bfs/face/member/noface.jpg
140,0,251846447313,23451197,Ryanlund,6,男,拼好帧笑死我了[笑哭],2025-01-15 01:54:40,6,965,啥都玩，准备DND5R启动奇械师,未知,否,https://i2.hdslb.com/bfs/face/7931d11d3160e4fdf33987007f039c49d218d627.jpg
214,0,252420683136,1614667000,柠檬酸人心iu,5,保密,哈人评论区,2025-01-15 01:54:32,0,0,,未知,是,https://i1.hdslb.com/bfs/face/2e04f09964d77cd3bbe09c2579406c3d096003b2.jpg
215,0,251846148033,1465254680,蓝戟科技,5,保密,我也是米粉！,2025-01-15 01:48:57,14,281,英特尔显卡核心合作伙伴，每周不定时抽奖，主打一个宠粉~欢迎加入QQ交流群：1025364926,未知,是,https://i2.hdslb.com/bfs/face/7eef58f25f463eec135ebdb799650bc4ddd25dcf.jpg
216,0,252419987424,404754645,柠檬曲QWQ,5,男,5080笔记本大体估一下多少钱,2025-01-15 01:43:10,12,0,干啥啥不行，拖更第一名,未知,否,https://i0.hdslb.com/bfs/face/6284ae8d55d0bcfff2711dabd4d770e10e3848d3.jpg
217,0,252419885104,637971210,猫猫头部位奴,4,保密,该骂就骂，老黄至今没降价，以前做的那些事儿，现在显卡越卖越贵，还把他捧这么高？,2025-01-15 01:39:05,1,7,,未知,否,https://i0.hdslb.com/bfs/face/411a23e88582749137ae8e743584af7282e85dff.jpg
218,0,252419393920,57801335,初二三班阳光照,6,男,他会中文啊？,2025-01-15 01:32:11,11,1,,未知,是,https://i2.hdslb.com/bfs/face/a965279026ec9d4e6976f719ab565757a3c53736.jpg
219,0,252418737072,478621,脚趾头,6,男,这也能百搭,2025-01-15 01:19:22,0,0,四个一,未知,否,https://i1.hdslb.com/bfs/face/5d07d917269675b5c5d3ebbd5d900af9d3cf2b43.jpg
220,0,251843167057,533866083,阿疾_Jackpot,4,保密,插针这么多，会不会影响延迟？从30插到两百多帧,2025-01-15 00:51:58,8,46,,未知,是,https://i0.hdslb.com/bfs/face/4d5d30187b5f48d3f9d0af5d9d3ec900220ea825.jpg
221,0,251840274705,40040789,邹庶人,5,男,牛逼,2025-01-14 23:31:35,0,0,,未知,是,https://i2.hdslb.com/bfs/face/7bccee2d90192b364804513965aa21aec089846b.jpg
