序号,上级评论ID,评论ID,用户ID,用户名,用户等级,性别,评论内容,评论时间,回复数,点赞数,个性签名,IP属地,是否是大会员,头像
1,0,261185042753,3546375264406166,AAACSGOmonesy,2,保密,我也是冲648出水墨的[吃瓜]，648是真理,2025-05-05 16:37:39,0,0,,未知,否,https://i2.hdslb.com/bfs/face/bd1e34f5841f88317bec90e2af3f319896f2236d.jpg
2,0,261011879409,386501695,恃鸢_泠花,6,男,红狼的，我记得是2个328出的再加一百吧好像，好像提前一抽还是两抽出的，但我一直都是拿红狼跑刀的，一般打不过别人，除非手痒难耐，最晚嘎了两队外加一个人[笑哭],2025-05-03 17:32:21,0,0,"花有重开日，人无再少年
愿君青春惜，勿留遗憾心",未知,是,https://i1.hdslb.com/bfs/face/ac9a6f6c5693d530d00f39c95aa20a22003ff36e.jpg
3,0,261688817648,1092134237,cs-蛤蟆床,5,男,跟我抽到的顺序是一样但是我没有从我是白嫖的,2025-04-30 18:42:41,0,0,,未知,否,https://i2.hdslb.com/bfs/face/79c4181e7e71fcf2196b59ba200c01ac73580547.jpg
4,0,261594387120,457319512,星空唔想训觉_Gin,6,保密,还会返吗,2025-04-29 15:00:07,0,0,"喜欢看vup,我能做的只有续舰,和在你开播的时候和你聊天,永远支持,希望我推的v们都好好的永远不会毕业",未知,是,https://i1.hdslb.com/bfs/face/67f523b5aa7e004cde6439e292f5ddfe2d79ddee.jpg
5,0,261418254384,1221846716,嘉尼罗,5,保密,第1826,2025-04-27 10:58:37,0,0,,未知,否,https://i2.hdslb.com/bfs/face/f8c99dc52eddd7c97c93e92a2c6ea16fdffacd4e.jpg
6,0,261418180672,1221846716,嘉尼罗,5,保密,来了,2025-04-27 10:58:33,0,0,,未知,否,https://i2.hdslb.com/bfs/face/f8c99dc52eddd7c97c93e92a2c6ea16fdffacd4e.jpg
7,0,261382499024,6452635,一支盖盖,6,女,好了谢谢up，你抽了就相当于我抽了[doge],2025-04-27 01:50:55,1,2,⌓‿⌓,未知,否,https://i1.hdslb.com/bfs/face/e02feb4be727a96a3e1806a67f01ab26ad213145.jpg
8,0,260563476320,3546757732502107,不想说话只想挣钱,3,男,@使命召唤动视官方说了 哎 我就不听 反正 肯定 会有怨种愿意花 好几百 买 哎 就不改 你奈我何,2025-04-17 00:25:28,0,0,啊 ？？？？ 这不就是我正常说话的声音吗,未知,否,https://i1.hdslb.com/bfs/face/3d27481df8429235774e096911aed67392411628.jpg
9,0,260561961200,3546757732502107,不想说话只想挣钱,3,男,我在 现实中 手里有 真的 为什么花钱买个 假的 还是给 马化腾 花钱,2025-04-16 23:43:40,0,0,啊 ？？？？ 这不就是我正常说话的声音吗,未知,否,https://i1.hdslb.com/bfs/face/3d27481df8429235774e096911aed67392411628.jpg
10,0,259046211617,500994494,我要吃立华奏,5,保密,蝴蝶刀后面会返厂吗😭最近没啥钱,2025-04-08 18:44:13,0,0,蘑菇赶紧出魔夜23(╬◣ω◢),未知,否,https://i2.hdslb.com/bfs/face/afabdac3c6df16d1b88dc37ea640c8ae36bda2ca.jpg
11,0,259901694688,391902423,Haavk_安全总监_德穆兰,5,保密,大家觉得有啥区别我感觉有几帧动画的模型还是老版本的，我自己也买了想退货买怜悯了可以怜悯下架了,2025-04-08 17:24:13,0,0,,未知,否,https://i0.hdslb.com/bfs/face/0530553e3db88af9143c03254f1f10c8ef1e244e.jpg
12,0,258986087537,261805694,忧郁的小冷风,5,保密,新手小白分币没充搬了两块砖结果给一发入魂了,2025-04-08 03:50:53,0,2,,未知,是,http://i1.hdslb.com/bfs/face/6b269151f226c3b7fefa46115a556622b51f7c70.jpg
13,0,258956713553,508916791,华东最强下饭,5,保密,三抽只出了M4[笑哭],2025-04-07 15:09:34,0,0,,未知,否,https://i1.hdslb.com/bfs/face/bc078d6fb4020cc7e2eca1301e06d72dad21a067.jpg
14,0,259612296032,518742419,五香鸭料,4,保密,可以不强但一定要帅,2025-04-05 09:53:02,0,0,,未知,是,https://i2.hdslb.com/bfs/face/681303f07f8cac8ecf293befef6016094def13ea.jpg
15,0,258640247505,630969751,弗拉德-,4,保密,[doge]你怎么知道我一发出水墨云图,2025-04-04 00:52:32,0,0,愿美好永恒。愿我们能在错过彼此后依然可以重逢……,未知,否,https://i1.hdslb.com/bfs/face/3936ce54558068dcafcc9be8fa2ab063dee0e3ab.jpg
16,0,259426183344,594562739,希希很强i,5,保密,2抽就出红狼皮了648买了蝴蝶刀剩点就抽了一下结果出来了,2025-04-03 08:13:38,0,0,,未知,否,https://i2.hdslb.com/bfs/face/e808beff9b285f3f98bb57e6726dead4c006f070.jpg
17,0,259241658768,676940919,是菜菜的川哟,6,保密,你怎么知道我是保底的[大哭],2025-04-01 05:12:10,0,0,这个人很勤快，什么都没有留下。,未知,否,https://i0.hdslb.com/bfs/face/949b0d0835fd5f09b7682a24712c1f452780a565.jpg
18,0,259226932432,3546560763791939,专门抨击dinner捏,2,保密,基本只玩红狼，刷完视频没忍住，直接下了个手机版，电脑不在旁边，上号看我还有700多的三角卷，直接拿下，花来！,2025-04-01 01:59:01,0,0,,未知,否,https://i0.hdslb.com/bfs/face/member/noface.jpg
19,0,259224800416,234361939,说不出口的半句再见,6,保密,哈哈哈,2025-04-01 01:18:33,0,0,今天日记空白没有关系，不用每件事情都在意,未知,是,https://i1.hdslb.com/bfs/face/883f84f52fca0c6e3574ec1550c09662710aaaf5.jpg
20,0,258378602417,675992496,欧皇祝福天神,5,保密,嘤嘤嘤,2025-03-31 16:36:24,0,1,,未知,是,http://i0.hdslb.com/bfs/face/32148c984233378d022c91d22ac986d302fb9acf.jpg
22,0,257980741921,67581668,好久没下雪了呢,6,保密,我都有[doge],2025-03-27 02:10:54,0,0,小鬼们要好好读书~,未知,是,https://i2.hdslb.com/bfs/face/c6dd519e69240e3c2365874b665d03f1792cd763.webp
