序号,上级评论ID,评论ID,用户ID,用户名,用户等级,性别,评论内容,评论时间,回复数,点赞数,个性签名,IP属地,是否是大会员,头像
1,0,262193890000,399379518,逍遥乾坤外,6,保密,话说烽火的巡飞弹不能像大战场一样点掉吗,2025-05-06 14:59:38,1,0,,未知,是,http://i0.hdslb.com/bfs/face/4787f24fea9f93fadafd047092f53095a7d14b9f.jpg
2,0,262187284368,3493127327320835,离了4,4,保密,要是能使用这个，我感觉我能比他更强。,2025-05-06 13:39:59,0,0,,未知,否,https://i2.hdslb.com/bfs/face/53956f10aa23bed8039b6d16d488dfb6a9d6073a.jpg
3,0,262183984240,396813530,疯狂混沌,6,保密,给我看晕了,2025-05-06 13:00:51,0,0,英雄联盟pbe服务器玩家 pbe选手群：948360284,未知,否,https://i2.hdslb.com/bfs/face/88d41e5fe0b1556160028cb7272241dc773ec65b.jpg
4,0,262105280704,197387607,DBD-CanMeng,6,男,着大疆什么型号，这么好用[doge],2025-05-05 12:29:06,0,0,"心与心的距离近在咫尺
谢谢你的关注",未知,否,https://i0.hdslb.com/bfs/face/9288a376604157cc1289e38aff324e799dbf84fc.jpg
5,0,261150919665,35098095,秋水殇人,6,保密,这真的是巡飞弹的机动性吗？为什么我的巡飞弹跟不会拐弯一样,2025-05-05 09:28:58,0,0,,未知,否,https://i0.hdslb.com/bfs/face/31be48b79cec8ad5b96e23518912751c7b0a538e.jpg
6,0,261134997921,674120754,星玉起爆王,5,男,龟兔打码,2025-05-05 05:48:30,0,0,什么角色？总不可能是自己一个人偷偷到图书馆紫薇还随身携带起爆器为了回到过去收集心之碎片的超自研社长兼魔女绫地宁宁吧?,未知,否,https://i0.hdslb.com/bfs/face/7894b8141332c022d9d41348f15b35d89a0992b0.jpg
7,0,262029296928,455228605,馋啊,6,女,被这样的鸟噜噜堵桥，就算是亖也值回票价口牙！,2025-05-04 15:11:26,0,0,我只想去码头捞薯条,未知,是,https://i1.hdslb.com/bfs/face/10001a447f07b9323473b154a9c0c3ca03bfd1d4.jpg
8,0,261082185665,471414262,恶名落川,6,男,有这种技术别说打死我，开透能炸死我都认了,2025-05-04 13:32:29,0,0,鼠鼠我啊，要玉玉了捏,未知,否,https://i1.hdslb.com/bfs/face/0491546a05a3ef79945cd4f09033d3407fd1d818.webp
9,0,261073002049,303756069,若爱请用心去爱,4,保密,这有什么的，我用乌鲁鲁直接把队友炸死[微笑],2025-05-04 11:49:08,0,0,,未知,否,http://i0.hdslb.com/bfs/face/7a774c02d9b220e66902b7d79e13d135eaee6b7b.jpg
10,0,261072895457,303756069,若爱请用心去爱,4,保密,我的乌鲁鲁是用来探路的，开打去看看前面有没有人,2025-05-04 11:46:02,0,0,,未知,否,http://i0.hdslb.com/bfs/face/7a774c02d9b220e66902b7d79e13d135eaee6b7b.jpg
11,0,261068413409,3546388461783789,咯吧看博哭安吉莉卡,4,保密,@晚陵安 过来~,2025-05-04 10:54:33,0,0,生如夏花之绚烂 死如秋叶之静美,未知,否,https://i0.hdslb.com/bfs/face/d1f7a76d2c79cf000270b971ec02cb3966881ad4.jpg
12,0,262004496080,675133406,惊讶的小诗,6,男,@迷茫的四号D@迷茫的四号G@蓝嘿shen教新疆人这个,2025-05-04 10:41:06,0,0,这里什么也没有....,未知,是,https://i2.hdslb.com/bfs/face/162ec8f0c3ba966fa626c71626f0fe44bbdd0246.jpg
13,0,261061251729,6042956,鬼偶娃娃,6,保密,谢谢你一个视频让我知道我当不了无人机飞手只能去填线,2025-05-04 09:33:14,0,0,乏了,未知,是,https://i2.hdslb.com/bfs/face/59091881e584061a6404cdb10209fcde90b0b0b9.jpg
14,0,261059049393,3493287105137497,卡芙卡的追随者,3,保密,只有这种乌鲁鲁才配堵我的桥，只可惜我是手游。而且我不打航天。[喜极而泣][喜极而泣][喜极而泣],2025-05-04 09:02:56,0,0,,未知,否,https://i1.hdslb.com/bfs/face/f163ab016c49ad5bbe12bbabaafe59535a05bd87.jpg
15,0,261033323073,213830962,百万漕工衣食所迫,6,男,b巡飞弹连个人都炸不死[喜极而泣],2025-05-04 03:22:24,0,1,我要用一生去习惯没有你的日子,未知,是,https://i1.hdslb.com/bfs/face/09564c4c55f04811025717d206cb5a85ebaac873.jpg
16,0,261006617905,230340661,最喜欢长门啦,6,保密,小时候看这集看完被吓死了,2025-05-03 16:10:24,0,0,shall we talk,未知,否,https://i1.hdslb.com/bfs/face/1db3868ee7de8c03a1f219a20ead4c0b439c0048.jpg
17,0,261941076688,13708705,清风折柳i,6,保密,@ppppqppp @小黄车下单压缩毛巾 @糖豆大大 @你愁啥你瞅啥,2025-05-03 15:54:07,0,0,,未知,是,https://i1.hdslb.com/bfs/face/ee829b7779b1522397c695186422d928f3792ca3.jpg
18,0,261912215872,3493095349946703,失败的MVN,5,保密,快快快，很急，赶紧给我乌鲁鲁本子🤤[奥比岛_喜欢],2025-05-03 10:25:47,1,3,?,未知,否,https://i0.hdslb.com/bfs/face/b58a63b1c1a0333757eff85336d55d8894e9e5a9.jpg
19,0,261875235168,396846336,田尻凛想早睡,6,女,摩罗戈壁的，怎么洲的视频老有人在弹幕发端游，手游这些词,2025-05-03 02:09:49,0,0,,未知,是,https://i0.hdslb.com/bfs/face/d49a2a04f00804c0949efc548184da9d13299003.jpg
20,0,260938998961,10179589,ior桐谷和人,6,保密,电脑上真的好飞手机就和那有延迟一样，卧槽就响应时快时慢，,2025-05-03 01:39:14,0,0,这是个陌生人除了硬币什么都没有留下！,未知,是,https://i1.hdslb.com/bfs/face/200bf813060f424f656cd37cbd3b16fc71b8702c.jpg
23,0,261872098512,1406504096,加强红狗啊,4,保密,这要是我我都要吐了🤮,2025-05-03 01:20:58,0,0,,未知,否,https://i2.hdslb.com/bfs/face/a5e6c5e527b58b2f5fa4dadeaff33a6c28f99b15.jpg
24,0,261862567040,430159532,大大大橘猫猫,5,保密,[doge_金箍][doge_金箍][doge_金箍]不会操作的去gta5买个虎鲸潜艇练习一下，注意和鼠标灵敏度挂钩可以快速切灵敏度完成锐角飞弹,2025-05-02 19:16:24,0,0,,未知,是,https://i2.hdslb.com/bfs/face/9b9f54521c70451e81c72095710e875f0950ca86.jpg
25,0,260913643073,767795,冬天里的一把米诺,6,保密,第一次看视频 看吐了,2025-05-02 14:51:29,1,0,,未知,是,https://i2.hdslb.com/bfs/face/e3da27b3e105c4d9ed0ed0b06e8dd35a39e1b744.jpg
26,0,261827099392,4267546,烤火炉,5,保密,看来玩无人机也是需要天赋的。。。我的头好晕，也一直想把头歪过去，把画面摆正,2025-05-02 10:57:47,0,0,,未知,是,http://i0.hdslb.com/bfs/face/member/noface.jpg
27,0,261694977680,106585930,小风枫啊,5,女,@寇梁仙人我要看你练这个,2025-04-30 23:51:38,0,0,我想一个人——静静,未知,是,https://i1.hdslb.com/bfs/face/6392ca0df3035df01ec28c7baea1f58cdc91bc06.jpg
28,0,260747109153,3546641913088195,codm行云,3,男,玩COD m的都会玩这个玩意。,2025-04-30 14:56:51,0,0,,未知,否,https://i1.hdslb.com/bfs/face/b84b5a1daa1a6bcebaae61d2a022c28b9b3eb7d2.jpg
29,0,260730057281,23943880,xitu,6,保密,这歌手的声音和乌鲁鲁真像啊，还以为乌鲁鲁唱的[喜极而泣],2025-04-30 11:24:00,0,1, ,未知,是,https://i1.hdslb.com/bfs/face/383f22d5806543f7eaa310f3222f76dc96653b18.jpg
30,0,260714550289,310875456,暮暮ts,6,男,我还以为是大战场[笑哭][笑哭][笑哭],2025-04-30 07:54:30,0,0,"
游戏我不给了，喜欢举报就举报，我自己玩",未知,是,https://i0.hdslb.com/bfs/face/575cce98c9bc0eea81d95b1cf8a1b7b25f449b77.jpg
31,0,260713283905,405705189,仙丶丶丶丶,5,男,@机动马达飞斧,2025-04-30 07:29:08,0,0,搞不定吗,未知,否,https://i0.hdslb.com/bfs/face/5064902c17381046b6bae11809b6969c444881ea.jpg
