序号,上级评论ID,评论ID,用户ID,用户名,用户等级,性别,评论内容,评论时间,回复数,点赞数,个性签名,IP属地,是否是大会员,头像
1,0,260711886593,89265958,悄悄问L,6,男,飞扑就不要瞄准了啊,2025-04-30 07:06:58,0,0,,未知,否,https://i1.hdslb.com/bfs/face/8da6f5ea08e183880d2b0be6dcb048d2439fc08f.jpg
2,0,260175559105,2136830481,qisq又被注册了,2,保密,这垫子弹性有点过了，膝盖一碰姿态都崩了[笑哭],2025-04-23 07:41:12,0,0,,未知,否,https://i0.hdslb.com/bfs/face/member/noface.jpg
3,0,259945985409,32452491,-星某晗-,6,男,真怕老李挂掉。僵尸世界大战里面那个生物学家摔倒，把自己头爆了，这个要是没控制好，一个弯胳膊把自己头爆了怎么办。,2025-04-20 07:09:58,0,0,车到山前必有路，氪金就是高速路！,未知,是,https://i0.hdslb.com/bfs/face/a28a9fb768dbec0f76a2a29b9186afbb9499a275.jpg
4,0,258846062864,490923939,娃哈哈大可乐,3,保密,把弹匣撞掉就老实了[滑稽],2025-03-27 13:45:36,0,0,,未知,是,https://i0.hdslb.com/bfs/face/caab4105883715f12783f0b87f45fa3fdb9138a6.jpg
5,0,257786147697,483095685,我是13叔,5,保密,气垫影响了UP主的发挥,2025-03-24 12:12:22,0,0,,未知,否,https://i0.hdslb.com/bfs/face/member/noface.jpg
6,0,258530718864,488571701,小新醒了,5,保密,兄弟呀 我好但心你为了整活搞流量那一天把自己玩死了,2025-03-23 15:25:59,0,0,,未知,否,https://i2.hdslb.com/bfs/face/081b40c518d14ca153bd17302f7c43648be98cb2.jpg
7,0,258514540800,383205912,SWAT055,6,保密,能实现，但是问题是有没有战术价值,2025-03-23 12:14:37,0,0,,未知,是,https://i0.hdslb.com/bfs/face/5b8c966d12f72c9df43014de006df64c87f1bca1.jpg
8,0,258354798320,1010796715,UncleInTokyo,5,男,小心，毕竟真枪，挺危险,2025-03-21 15:47:06,0,0,新进旅日大叔up主，不定期发布日本重磅新闻，敬请期待,未知,否,https://i1.hdslb.com/bfs/face/6fa87833ac1fe92745aa2688014e862a3614444d.jpg
9,0,257205064529,10719980,摄影师clio达达,6,男,这钱赚得风险太高了，真枪这么玩太勇了。,2025-03-17 05:10:00,0,0,星空印画STUDIO创始人。合作qq:19045777,未知,是,https://i2.hdslb.com/bfs/face/f19b31a921825967132210909ef7ad9abfbe87a7.jpg
10,0,257877116752,3493292536760835,套马的汉子SSR,3,保密,我感觉摄影师应该提心吊胆的,2025-03-15 17:54:37,0,0,,未知,是,https://i0.hdslb.com/bfs/face/b34216bf1d79faa0523ed2bb874c0b9f42eea777.jpg
