序号,上级评论ID,评论ID,用户ID,用户名,用户等级,性别,评论内容,评论时间,回复数,点赞数,个性签名,IP属地,是否是大会员,头像
1,0,261016772033,1151286263,666hut,4,保密,0.02指的是5000个红包才出一个，不是0.02%的概率,2025-05-03 20:22:15,0,0,"B站小透明,喜欢小白狗的视频～",未知,否,https://i2.hdslb.com/bfs/face/640b2b9daedcb4aa882f75b36df16517b8fe87d2.jpg
2,0,261339577456,3494364575697248,白寒羽-END,5,男,我朋友开出来了，同时，他当时开GTI的箱子还出了纵横好像还有天圆地方……,2025-04-26 11:12:26,0,0,有勇气和耐心终身凝望黑暗的人，将最先在其中看到微弱的光明,未知,否,https://i2.hdslb.com/bfs/face/c5a17abd73fcab22362b4d1dec8c794bab59dfe5.jpg
3,0,259747327809,3546812182956297,Love小鳥遊六花,2,女,今天刚出的[doge],2025-04-17 21:54:55,0,0,"哪有什么中二病,只是她不愿接受父亲的死讯罢了",未知,是,https://i0.hdslb.com/bfs/face/98913bab6cbf1cca88786feb3ac568779a1e92a0.jpg
4,0,258690708689,3546818623310259,地面套路深我要回地下,3,保密,我听他们说，在对局中给敌人或队友扔红包，然后或者是别人给你扔的，必出非洲之心,2025-04-04 12:09:48,0,0,200粉时会出晓组织的带土,未知,否,https://i0.hdslb.com/bfs/face/d5ce331f912706f61e75fcac8556cc2a8cb64f3f.jpg
5,0,255204993937,151328191,德华tSit,6,保密,感觉官方标的概率是假的，活动才出那几天开红包平均20w一个，一局抢九个红包就能180w，后面再开直接缩水一半了,2025-02-20 11:52:21,0,0,高槻泉一生推,未知,否,https://i1.hdslb.com/bfs/face/264bee1f06dbb728106afeed676cb374e48be4c7.jpg
6,0,254699769809,3493298752719568,岸萤汐,4,保密,买一个不就行了吗？为什么要开这么多呢[doge][doge][doge],2025-02-14 14:27:50,1,2,接鸣潮，崩坏星穹铁道，原神，绝区零等游戏代肝,未知,是,https://i1.hdslb.com/bfs/face/726fe8035f16db18cb2d70dea58c9c358f91c49b.jpg
7,0,255277472912,2138284301,卖盒蛋的火柴,5,男,你们怎么知道我出了,2025-02-13 11:18:09,0,0,,未知,是,https://i2.hdslb.com/bfs/face/6ec61448825a7656e85f019db18d505947a5a2a1.jpg
8,0,254563002961,522229580,我与数学be,3,女,不是三角中非洲之星活动爆率这么高的吗？按吃机密文件才0.01,2025-02-13 05:44:22,0,0,?,未知,否,https://i2.hdslb.com/bfs/face/e3f0be20007aec5d64fa3843f82c8e1e3caea5fe.jpg
9,0,254558199009,1852337498,幽晨恋明月,5,保密,在b站大家不是第一个就出了就是一百个出99个[吃瓜],2025-02-13 04:45:13,0,0,,未知,否,https://i2.hdslb.com/bfs/face/4c1847e3bca936bcd3dcca99d840ba1496f0e5e1.jpg
10,0,255240200288,288745923,妮总是我的,6,男,我单抽出毁灭之源,2025-02-13 03:39:47,0,0,愿所爱之人，幸福安康,未知,是,https://i0.hdslb.com/bfs/baselabs/efaf917d41fa8a7ac60e8fe7458e1cd8043b1104.png
