序号,上级评论ID,评论ID,用户ID,用户名,用户等级,性别,评论内容,评论时间,回复数,点赞数,个性签名,IP属地,是否是大会员,头像
1,0,261100035760,3546874527090830,六年级锐锐反黑红小鬼,2,男,可麦小鼠只是想要一个坦克模型大红怎么还被红狼炸了？[生气][生气][生气]心疼麦小鼠[大哭][大哭][大哭][大哭],2025-04-23 11:35:46,0,0,有我关注了我，我就跟你是最好的朋友， 我讨厌黑红，亚黑红石，维护圈子,未知,否,https://i2.hdslb.com/bfs/face/738ed45c670f2cea69354b9ffee2a857f1eead65.jpg
2,0,258795099409,3546863686912888,cl仁者无畏,2,保密,当你经过七重的孤独，才能成为真正的强者！,2025-04-05 15:39:33,0,0,,未知,否,https://i1.hdslb.com/bfs/face/9c2171a05801a0727355e56991858a5a7de56636.jpg
3,0,259564826368,524549940,爱玩三角洲的蜂医,5,保密,先超一顿再杀🥰👍🏿,2025-04-04 18:54:47,0,0,烟幕启动，要做什么就趁现在！还有红狼再送就让我兄弟卫龙给你点磁吸炸弹尝尝鲜,未知,否,https://i0.hdslb.com/bfs/face/8b9fa104ac9c387b89d5d7c8c8026c3aad8808db.jpg
4,0,259087669408,3546875793771210,GTI骇爪-麦晓雯,2,女,你会因为坦克模型，逮捕可怜的麦小鼠吗,2025-03-30 09:01:06,0,0,这个年龄不是我的真年龄，我只是为了让年龄和麦晓雯这个角色近一些,未知,否,https://i0.hdslb.com/bfs/face/30b5baaf77b83e08f0cd48f6ba86a30c4e09927a.jpg
5,0,258217042737,3546615149234492,愈之干员克亚尔斯米,3,男,有一回我刚想走电梯撤，突然来了一个麦小雯我就把她打倒了，事实上我也不知道那是不是个女玩家，但是当时我一听惨叫而且当时己经出红了我当时竟然心一软把她背起来一起撤了[大哭][doge]我当时玩的蜂医,2025-03-29 19:06:12,0,0,纵使载具己经破碎，也请您一定成为阿萨拉的愈之干员—GTI指挥官     随手点赞是好习惯  随手举报功德无量,未知,否,https://i2.hdslb.com/bfs/face/5f2480b9be0c64a6235da90658cc8aff545051ce.jpg
6,0,258627643904,274797422,达不溜VV,6,男,机密大坝，本来只有几十万要去撤离的，结果从东西楼连接处那里跳下来一个人，被我打掉了，我是四头四甲SCAR-H三级蛋，打掉那个人，结果是无头无甲M14满改67W，一组62蛋，两组M80蛋，然后就给我淦到268W了，emmm，继续当囤囤鼠，三头三甲三级蛋,2025-03-25 00:31:28,0,1,沫雨，爱好是摸鱼,未知,否,https://i2.hdslb.com/bfs/face/dc2aacc7eaee6c1bd0e5d4da0f9199157f6dede8.webp
7,0,257594816465,506956264,飘飘然的自然ZP,6,保密,大坝最后撤离的时候游客中心没人搜，开了张房卡在沙发上看见了[星星眼],2025-03-22 06:03:49,0,0,,未知,否,https://i1.hdslb.com/bfs/face/3fa9ca5fea372a7cbf9e06442b19d92b1da47077.jpg
8,0,255725145489,560141253,D可亲K小橘子,6,保密,航天爽吃一把后，想着去大坝玩一把放松一下，这一看不要紧，直接放松不了一点，躲了十几分钟[热],2025-02-26 21:20:28,0,0,,未知,否,https://i0.hdslb.com/bfs/face/73c761fa538b62fe283e55322906a9d51c47d4c1.jpg
9,0,255699300593,1796823852,72262626,4,保密,带出了火箭燃料，幸好有哥们，不然我早没了,2025-02-26 12:45:11,0,0,,未知,是,https://i0.hdslb.com/bfs/face/cf35cbac3542df693f20e7d5e6a54f0b043f206b.jpg
10,0,253952811313,281212679,下北泽最讲信用的人,5,保密,可以嫁给我吗,2025-02-06 17:06:29,0,0,"岁已知世事艰，仍许飞鸿荡云间。
一路寒风身如絮，命海沉浮客独行。
千磨万击心铸铁，殚精竭虑铸一剑。
今朝剑指叠云处，炼蛊炼人还炼天",未知,是,https://i2.hdslb.com/bfs/face/63e618b5ad8901125007a46670d363f02baa806d.jpg
11,0,254583517152,1704244829,轩酱xj,4,女,快来逮捕我吧[给心心],2025-02-06 11:00:39,0,0,智慧の小友,未知,否,https://i2.hdslb.com/bfs/face/a87c8cceaee7e82f4ef4f61c95c438d1d1f9c470.jpg
12,0,253404039025,443877857,我不会壁咚,6,男,求封面,2025-01-31 19:04:09,0,0,我要成为Blender糕手！！！！,未知,否,https://i2.hdslb.com/bfs/face/8a2edba9297e8cea89d642e6b22c3c34b4364795.jpg
13,0,253475442672,123435811,爱睡觉的凉,5,男,@盒马院士,2025-01-25 17:52:24,0,0,不用送花，坟头会长。,未知,否,https://i1.hdslb.com/bfs/face/a19aded335c99699eda10da18b73a11713e7163c.jpg
14,0,252787486289,603268895,某路人网友256746,5,保密,经理室宣传片[doge],2025-01-25 04:32:54,0,0,我就是臭打游戏的，别攻击我……,未知,否,https://i0.hdslb.com/bfs/face/member/noface.jpg
15,0,253048959248,12894813,是苏曦不是夕,6,女,看一次笑一次 太好玩了,2025-01-21 15:14:55,0,0,荔枝很好吃捏，外壳是红色的，果肉是白色的，枝核是黑色的，我可没有隐喻什么哦•᷄ࡇ•᷅,未知,是,https://i0.hdslb.com/bfs/face/13e80e81609f6febb6e835895b03b2e9cd214183.jpg
