序号,上级评论ID,评论ID,用户ID,用户名,用户等级,性别,评论内容,评论时间,回复数,点赞数,个性签名,IP属地,是否是大会员,头像
1,0,260118388833,335327666,价值24硬币的名字,6,保密,像一条按不住的鱼[doge],2025-04-22 11:57:10,0,0,,未知,否,https://i2.hdslb.com/bfs/face/d019e925604a0566cfaa12ac8adfbc41151ffaae.jpg
2,0,260665771728,670253542,谭-刃,5,男,主播用的什么枪配了哪一些配件以及精调该怎么调能跟我说一下吗？,2025-04-18 07:01:00,0,0,一个喜欢玩射击与音游的普通小UP主,未知,否,https://i1.hdslb.com/bfs/face/ac8fbe0927c7f42b62fa10bbe29c5875e015e94d.jpg
3,0,259094711985,1005680060,Shiriusu,5,保密,@叱咤喧哗 @江月三 @青青陌巷,2025-04-09 11:43:11,0,0,还是做不到吗,未知,是,https://i2.hdslb.com/bfs/face/81412031e137a5b1ca1eba2605381644fca59da8.jpg
4,0,259047451105,15549058,思余思余,6,保密,哈哈哈哈哈哈哈哈[喜极而泣],2025-04-08 19:51:13,0,0,如果我死了，我不想有人记得我为我伤心，就让我悄悄的消失，仿佛没来过这个世界一样。,未知,否,https://i1.hdslb.com/bfs/face/4ab7d0b5a086fc66760bc86c22e57d0f7f2e296c.jpg
5,0,258951394977,1577928371,风云Gms,5,保密,@1Rvvvvv,2025-04-07 14:07:11,0,0,这个人很穷..什么都没有留下,未知,是,https://i2.hdslb.com/bfs/face/2a1e533a2d33c357db28718798d86aba0b552ade.jpg
6,0,258795251441,20909979,猎殖大户,6,保密,敌人：玛德挂吧，集装箱打架怎么把我坝顶的打死了，盐都不盐了,2025-04-05 15:41:48,0,0,,未知,否,https://i0.hdslb.com/bfs/face/d4dde9d9dae7bf49dfead0ffe5b295477e4f7b62.jpg
7,0,257868096593,509157490,筱笙烨,6,保密,给个改枪码啊,2025-03-25 13:01:41,0,0,,未知,否,http://i1.hdslb.com/bfs/face/91be96b38d41e16eae3ff3b6dc671b0b873a65a5.jpg
8,0,257566580529,401084286,形意六合,5,男,牛魔的半夜笑出嚎叫,2025-03-21 21:23:46,0,0,自嗨号，别看我视频,未知,是,https://i0.hdslb.com/bfs/face/6d6350c8455ed15c814f255021cf2350724665b8.jpg
9,0,258004003952,454137802,会躺平的人,6,保密,啊？,2025-03-17 07:57:04,0,0,,未知,否,https://i1.hdslb.com/bfs/face/774eccb54ef9c10a501ce0aea6fe9eecb984a747.jpg
10,0,257140230433,345880154,Ceberp,6,保密,@中二病患者lx @暮雪落眉间,2025-03-16 09:08:04,0,0,,未知,否,https://i2.hdslb.com/bfs/face/db1a015a414c286511f05f07e80acaa8fde9f509.jpg
11,0,257442340288,435181636,-无易-,4,保密,码来！,2025-03-10 12:29:37,0,0,龙卷风摧毁停车场ᕕ(ᐛ)ᕗ,未知,是,https://i1.hdslb.com/bfs/face/4a3c801696d4c2a48d97d96775e317cef607623a.jpg
