序号,上级评论ID,评论ID,用户ID,用户名,用户等级,性别,评论内容,评论时间,回复数,点赞数,个性签名,IP属地,是否是大会员,头像
1,0,262132218368,1578657941,瑾年Arje,4,保密,你们都是有钱人就我是穷鬼…[大哭],2025-05-05 21:07:52,0,0,愿你的未来纯净明朗，像你此刻可爱的目光，在世间美好的命运中，愿你的命运美好欢畅。,未知,否,https://i2.hdslb.com/bfs/face/30826e6410046a6e3db5305d853ae7d8e632c937.webp
2,0,261122202897,3546779997964370,洛兮-斩冰,2,保密,哈哈,2025-05-05 03:17:12,0,0,"点点关注吧，求求了（》…《
）",未知,否,https://i2.hdslb.com/bfs/face/5b7394d9c59217e466065572dad108d9d6fe100f.jpg
3,0,262028294416,3546811843217536,bilib渡余河,2,保密,怎么办,2025-05-04 15:01:24,0,0,ba~ba~boy,未知,否,https://i1.hdslb.com/bfs/face/9d072757005aed41c74e65c7b8e07c171755c772.jpg
4,0,260972959985,3546609575004653,亚托莉也是莉,2,保密,看封面以为是小杰,2025-05-03 09:33:45,0,0,,未知,否,https://i2.hdslb.com/bfs/face/fb5141d09145afe645e7045f3f02b3e8694710f6.jpg
5,0,260937246097,3493124403890393,东风雨晨解说,2,保密,你们怎么知道我在鸟窝掏出来一个非洲之心,2025-05-03 01:12:40,0,0,,未知,否,https://i2.hdslb.com/bfs/face/461d24b19cdaa0da95e2572426ad712b99f07d77.jpg
6,0,261742346608,3546852699933106,b站新人up小宋,3,保密,超级反弹,2025-05-01 11:20:12,0,0,,未知,否,https://i0.hdslb.com/bfs/face/member/noface.jpg
7,0,260962330128,3546772374817112,关于阳光的海,3,男,"冷知识：B站评论发到15个字以上，可以获得经验值，我就是过来蹭经验值的
B站发评论只需要超55字可以加很多经验，，所以我遇到的每个视频都会发一遍这段文字
B站发评论只需要超55字可以加很多经验，早日变成lv6硬核会员，所以我遇到的每个视频都会发一遍这段文字哈哈哈用来蹭经验，只要我坚持下去，马上就能变成LV 6了",2025-04-21 14:50:58,0,0,人生如戏，个性演绎，每一笔都是我自己。,未知,否,https://i2.hdslb.com/bfs/face/703c2470cb644d91ae451cccac214bc3e3f096ee.jpg
8,0,260836187376,3461577841838904,补钙三角洲呀,3,男,小杰的声音不是这样的,2025-04-20 05:20:44,0,1,"感谢官方
感谢大家关注",未知,否,https://i0.hdslb.com/bfs/face/dd42b1950cb85c8e741bd8bad1fe86be803c6210.jpg
9,0,259918838081,493002794,Zlnc゚,5,保密,CS,2025-04-20 01:08:09,0,0,,未知,否,https://i2.hdslb.com/bfs/face/6e13510ba233777ebc0f9c0f507e0ee779893436.jpg
10,0,259882733201,1937680172,不能玖嫁啊,5,保密,以为是小杰,2025-04-19 12:49:33,0,0,,未知,否,https://i2.hdslb.com/bfs/face/9e0d4d748082efbd69be04ad5ffcd4c940a1da86.jpg
11,0,259858355537,21186056,绾绾的癞蛤蟆,6,男,为什么我开心不出来呢,2025-04-19 07:28:09,0,0,PaulSimon,未知,是,https://i2.hdslb.com/bfs/face/14b7d22c3acd46f6c9d620abc48742ea839977dc.jpg
12,0,259393157697,3546606532037257,智慧助手2号,4,男,[doge][doge][doge],2025-04-13 05:20:07,0,0,,未知,否,https://i1.hdslb.com/bfs/face/f85d676e45191ed8fd33889d75878a29084a046b.jpg
13,0,259335962689,10327778,cyberlily,5,保密,实在没有非洲之心，可以借你真不至于P图线都没有,2025-04-12 11:54:35,0,0,一个神秘的LV 5,未知,否,https://i2.hdslb.com/bfs/face/da69c49462e15080ded782cff7f2ba1310b7f42f.jpg
14,0,259328114465,312239480,捡破烂的冰冰凉,6,女,[吃瓜],2025-04-12 10:19:38,0,0,"这个人太懒了
",未知,否,https://i2.hdslb.com/bfs/face/c5a38621b878cd6530bce6e9a7aba332be8cc37c.jpg
15,0,259867382880,3493106339023229,Level545,4,保密,非洲之星p的图。,2025-04-08 10:07:19,0,0,,未知,否,https://i0.hdslb.com/bfs/face/member/noface.jpg
16,0,259693343104,3546786887109429,杪杉湿,2,保密,"礼貌借楼
扫码上号
6r100W
11r200W
手机纯绿玩跑刀纯币
在这里蹲老板
支持支付宝和VX",2025-04-06 07:15:12,0,0,,未知,否,https://i0.hdslb.com/bfs/face/33c00c82f9ab9fb9c4b11a45906b29b0c7465293.jpg
17,0,258826826193,1708533189,阮梅小姐带我走吧,4,保密,C S,2025-04-06 03:52:59,0,0,,未知,否,https://i0.hdslb.com/bfs/face/member/noface.jpg
18,0,259591412736,1255211820,bili_19517935525,3,保密,不在直播间,2025-04-05 05:19:48,0,0,,未知,否,https://i0.hdslb.com/bfs/face/ac7bad49e42e1c921fc58a0503400ae9fb4e33f1.jpg
19,0,258722415153,496955689,SOFD,6,保密,春竹,2025-04-04 22:40:35,0,0,,未知,否,http://i0.hdslb.com/bfs/face/member/noface.jpg
20,0,259436488832,3546770401397208,蓝葡萄鸡尾酒,3,保密,反弹,2025-04-03 10:28:15,0,0,,未知,否,https://i0.hdslb.com/bfs/face/d3e716ac52abd2869820751bcc38efa01563518b.jpg
21,0,259221021888,1912218600,bili_79996820759,4,保密,我记得也有这个蓝卡，但是我不知道我把它卖了，现在才知道我是小丑了,2025-03-31 23:56:38,0,0,,未知,否,https://i0.hdslb.com/bfs/face/member/noface.jpg
22,0,259087460528,3546841993971725,龞薰鼎䶯媙龝,3,保密,超级反弹。,2025-03-30 08:56:50,0,0,,未知,否,https://i0.hdslb.com/bfs/face/member/noface.jpg
