序号,上级评论ID,评论ID,用户ID,用户名,用户等级,性别,评论内容,评论时间,回复数,点赞数,个性签名,IP属地,是否是大会员,头像
1,0,261090137745,3546613937080682,OctTiger仔,2,保密,复活在大坝东边，去西边做任务，然后去东边拿大坝的最后一张卡，再去西边的撤离点。绷溃了[大哭]（建议带个小包和破枪，人机有点多）,2025-05-04 14:58:14,1,0,,未知,否,https://i0.hdslb.com/bfs/face/member/noface.jpg
2,0,261505504288,401030744,欧欧欧长,5,保密,为什么我捡了这卡去开长弓不可带入？,2025-04-28 12:54:43,0,0,,未知,否,https://i2.hdslb.com/bfs/face/4eba2c13036eb396c7da8736d1b478b2956c93a8.jpg
3,0,261084748624,521422124,白玺君,5,男,666顺手的事,2025-04-23 08:08:14,0,0,你都来查成分了，那我就顺从你了呗,未知,否,https://i2.hdslb.com/bfs/face/8d4567177023005b22ede6a930fbc3420b62536e.jpg
4,0,259878646881,3493126125652894,梦想LV6闪电,3,保密,6,2025-04-19 11:59:13,0,0,,未知,否,https://i1.hdslb.com/bfs/face/b0bfd144906e1c9b11a974a9036cc187bff3d213.jpg
5,0,259378950737,3546384340879774,哈夫克盾兵123,4,男,为什么我不能把卡带进长空溪谷里面？,2025-04-13 02:19:40,0,0,,未知,否,https://i1.hdslb.com/bfs/face/70dc4d74e0e284225819e1b0ebc732a73f32cec9.jpg
6,0,259949988064,1071144333,黄石颜玲ALINGY,4,保密,只让装子弹，费劲巴力不说，还不实用，不让挂市场，军需买29万,2025-04-09 10:48:25,0,1,,未知,否,https://i0.hdslb.com/bfs/face/cf740842d7da75837548efae89f351ae71e0886c.jpg
7,0,259821284720,508025341,传奇级别的低保人,6,保密,你们说只能领一次，但我他妈好像卡出bug来了，领了两个,2025-04-07 17:32:44,0,1,狂野7年资深玩家，亚服登顶,未知,否,https://i1.hdslb.com/bfs/face/18122391fb72dbf27dcfc9cd56e99d456f003dc8.jpg
8,0,259821065904,508025341,传奇级别的低保人,6,保密,我操了，这个五甲可以反复拿的，那岂不是无敌了，以后就跑这个点位拿五甲，拿完就走，净赚40w,2025-04-07 17:27:32,0,1,狂野7年资深玩家，亚服登顶,未知,否,https://i1.hdslb.com/bfs/face/18122391fb72dbf27dcfc9cd56e99d456f003dc8.jpg
9,0,259659118176,18350948,智慧的皮,4,保密,[doge],2025-04-05 22:49:44,0,0,,未知,否,https://i2.hdslb.com/bfs/face/ce31a139e97e18d986b99de15d35e7e95bc2127b.jpg
10,0,258780127585,3493126050154793,十连双黄真菌,4,男,我刚在做任务顺便摸弹药箱出了炮弹[吃瓜],2025-04-05 12:54:19,0,1,,未知,否,https://i2.hdslb.com/bfs/face/da2761aec69a46f9c663ba4df5251ff7773a2ad4.jpg
11,0,259578185808,3546643481757838,一纸张鱼う,4,保密,"我先回复一下上面弹幕说概率的那个
 第1次开始必中五甲",2025-04-05 02:33:04,0,0,准备发mc的内容,未知,否,https://i1.hdslb.com/bfs/face/1ebfd0b257b4af93946586230fd4d5199f591be2.jpg
12,0,259577758656,483393408,菠萝沛钰,3,保密,把钥匙卡拿回来之后，放在钥匙链里面，不然不让进,2025-04-05 02:27:35,0,0,,未知,否,https://i0.hdslb.com/bfs/face/4e6b7538580a7d96cfac0cea915a1289deab91c2.jpg
13,0,258726369473,3546856952957087,看到我必得吃,2,保密,怎么整,2025-04-05 00:57:10,0,0,,未知,否,https://i0.hdslb.com/bfs/face/member/noface.jpg
14,0,258699357537,3546733864815374,羽家菜,3,保密,真的是感谢！！我拿到了我的第一件5甲[喜欢][喜欢],2025-04-04 13:49:44,0,0,,未知,否,https://i2.hdslb.com/bfs/face/c5c146cb555ba33bffd1de42ea66f39eb9dca6f3.jpg
15,0,258668274865,186512385,如风不会蹦迪,5,男,做任务顺手捡了个军用炮弹[大笑],2025-04-04 07:24:21,0,1,除BA二创外视频转到小号，以前的BA二创正在磨合，暂时不可见,未知,否,https://i0.hdslb.com/bfs/face/349ce0a94a150111984087782a10ce69521e9658.jpg
16,0,258607263329,3493131515332690,咋名,4,保密,为什么,2025-04-03 12:45:02,1,0,6,未知,否,https://i1.hdslb.com/bfs/face/3e70677d85752a513f9a4b5635a3246050da5f5e.jpg
17,0,259360848496,3546825514551500,雇佣兵752,3,男,每号只有第一次能开概率第一，其他都是5000块,2025-04-02 12:53:03,0,1,有时候能帮到你的只有你自己,未知,是,https://i2.hdslb.com/bfs/face/fd4fb0b1375b8c180a75f87b1abb406a25509a0f.jpg
18,0,259253305776,442763830,亢轩,6,男,做完任务准备撤退，结果路过一个登山包顺手出了个刀片服务器，谢谢up[给心心][给心心][给心心],2025-04-01 08:08:43,0,2,"我们收容，可能失效，但绝不跑路!
因为基金会是人类的第一道也是最后一道防线!",未知,否,https://i1.hdslb.com/bfs/face/26a99e2d3f4b162396ee303ecc968871509d6fb9.jpg
19,0,259131811920,3546818856094543,刘刘不爱六,2,男,我这次是218呀，怎么输了半天进不去？,2025-03-30 18:41:35,1,1,整活博主,未知,否,https://i1.hdslb.com/bfs/face/388cdf586ab6ed1aee0b41ce2761d04129ce07c1.jpg
20,0,259109677648,3546644312229904,夜不寝一,4,保密,为什么它显示不可入局,2025-03-30 13:19:09,1,1,,未知,否,https://i0.hdslb.com/bfs/face/member/noface.jpg
25,0,258267338625,3493135726413970,恩里克神父普奇,3,保密,我有一个很老的平板，就是威龙喷气冲刺的时候那个尾烟我隔着墙或房子都能看到请问这是个BUG吗[doge]但只可以看到在喷气冲刺时的威龙的屁股喷出的亮光[滑稽],2025-03-30 10:23:07,0,0,,未知,否,https://i1.hdslb.com/bfs/face/ff28a6f50e34763b84f181c9f07aaec27792c1de.jpg
26,0,258248981425,662826061,莺尘,4,女,那段现在跑酷上面那个快递盒里头有可能爆大红,2025-03-30 06:17:59,0,0,你们好呀～,未知,否,https://i1.hdslb.com/bfs/face/a05edb0d58580738134a44ccaae8488d5bad38a4.jpg
27,0,258231075825,1434067166,爱玩游戏的一坨,3,保密,双影隐藏结局难触发！3A云游多周目,2025-03-30 02:39:58,0,0,,未知,否,https://i2.hdslb.com/bfs/face/6e5247cb43dbc82bba59c9efd8e33ead2d3576ec.jpg
28,0,258212586433,3546692926310971,秋天但不烈火,3,男,只能在机密拿吗？,2025-03-29 17:12:19,0,0,视秋天烈火为榜样,未知,是,https://i1.hdslb.com/bfs/face/2732aafef38a2925b17aaaa9c45b8f794a61d4c1.jpg
29,0,259019486336,3546713828624429,特别喜欢小蔡,2,保密,当时我还以为这只是一个撤离点,2025-03-29 13:33:00,0,0,,未知,否,https://i0.hdslb.com/bfs/face/member/noface.jpg
30,0,259013128448,1627944244,阿豪君了啦,5,男,5000哈夫币,2025-03-29 12:18:59,0,1,明日方舟（b服）：207600173,未知,否,https://i1.hdslb.com/bfs/face/2f8153477657202f4f17d403d21e3be54e5f3b17.jpg
31,0,258175204081,1451576189,超级小莲,5,男,666收藏比点赞多,2025-03-29 09:34:13,0,0,你在这里看什么？,未知,是,https://i2.hdslb.com/bfs/face/bef511f1995d0983efce5e304d3e2b23a89fc69c.jpg
32,0,258983363408,383101711,布什_戈门_,5,男,如果被截胡的话别人会拿到多个扩容箱吗？👀,2025-03-29 06:05:26,2,1,啥都玩，又菜又爱玩，不会玩就摁玩（doge）,未知,否,https://i1.hdslb.com/bfs/face/c9fda6e9d1ac9c57ef7ac15d0c3a032be4c58a1c.jpg
33,0,258136347841,59695969,王小小强,6,保密,彩蛋房会刷其他物资吗,2025-03-29 00:28:51,0,0,cheer，bilibili,未知,是,http://i1.hdslb.com/bfs/face/6f5a715a401e6b1f07c7a72194dd45ea03c408c8.jpg
34,0,257805686961,33532259,绘丶天狮,5,男,[大哭][大哭][大哭]集装箱开完想着去摸一下卡，结果桌子上出来一个阵列服务器[辣眼睛][大哭][大哭][大哭]直接就跑了卡忘记放裤裆了[大哭]又要重新跑[大哭],2025-03-24 16:13:59,1,1,"爱玩粥！不定期更新改枪视频和我的世界视频～
DY也会统一更新～改枪视频仅为个人感觉！！
",未知,是,https://i2.hdslb.com/bfs/face/218c8bf1f3aff61e20847a956dc74734528d2d29.jpg
35,0,258546070224,40629213,GC55K,6,保密,@AHN__ @小不溜兴 @蜈蚣大佐 @HorizonOcean-,2025-03-23 23:43:33,0,1,,未知,是,http://i0.hdslb.com/bfs/face/01b4a4a5119af4adad97cfa98911a63b14056b2e.jpg
36,0,257720186257,1866988598,Aike的小太阳,4,保密,已经变成弹药箱了[笑哭],2025-03-23 14:32:47,0,0,,未知,是,https://i2.hdslb.com/bfs/face/5a649edf4f478c544a333c8e85e8f87ebc9313e3.jpg
