序号,上级评论ID,评论ID,用户ID,用户名,用户等级,性别,评论内容,评论时间,回复数,点赞数,个性签名,IP属地,是否是大会员,头像
1,0,261254103057,74112777,西住美穗゙,6,女,有没有跟我一样就是想看眼这个柜子是不是及时刷新的[笑哭],2025-05-06 15:29:28,0,0,Panzer Vor！,未知,是,http://i0.hdslb.com/bfs/face/3ebef35282dd95bb95fe371faf0b130a1968eda8.jpg
2,0,262158329664,34679710,炫黑星空,6,男,赛伊德干飞机那个是什么模式?,2025-05-06 06:40:19,0,0,诶嘿～,未知,是,https://i1.hdslb.com/bfs/face/7e4578d38be30994d342bd4407286be81c71a143.jpg
3,0,261960730144,2035048426,吃特码头长大的土豆,4,男,有妹子一起玩嘛[星星眼][星星眼],2025-05-04 01:13:16,0,1,时间不会骗人,未知,否,https://i1.hdslb.com/bfs/face/8bcf3698f99eda8584db91de359296dfd64afece.jpg
4,0,261920819088,1154293407,普普通通的一个小学生,3,保密,我全程没笑只到那首继爸之歌我直接笑的给我爸看因为我爸有听这首歌,2025-05-03 12:12:04,0,0,,未知,否,https://i0.hdslb.com/bfs/face/402423d1132f646e27db2bc0469a465defe272e4.jpg
5,0,260979858961,3493082152569057,你松子个贝塔,3,保密,"破壁者永远的神!!!!!
4个赛季的第1颗“永恒琉璃”
也算是给4个赛季的努力一个交代[打call]",2025-05-03 11:00:58,0,0,,未知,否,https://i0.hdslb.com/bfs/face/c12f82b31443f4134f4e06b644fad8c9557d5491.jpg
6,0,261890984832,3546816075271016,Sky--小叶,3,保密,哈夫克保险兵,2025-05-03 05:28:28,0,0,,未知,否,https://i2.hdslb.com/bfs/face/b560ac400424e425b9a6068af323c6faf85d6263.jpg
7,0,260717914753,3546651889240566,不湘吗,2,保密,把这运气给我吧，我认识一个大红都没有（一年了）,2025-04-30 08:48:02,0,0,,未知,否,https://i0.hdslb.com/bfs/face/member/noface.jpg
8,0,260538984561,226234299,超大只狸花猫,5,保密,刚玩半个月，第一个大红电池在水泥厂旁边的水泥管里捡的，第二个医疗机器人在大坝集装箱那个医疗堆捡的，第三个是长弓仓库医疗堆里面出的，不认识的3*3，看介绍好像是个人工心脏，第4个是朋友给的大坦克，然后就从来没出过其他大红了,2025-04-28 01:43:50,0,0,,未知,是,https://i0.hdslb.com/bfs/face/55eafd4c354ca313aba97f28d9c4a27a85484e55.jpg
9,0,260513066337,3546602379675964,bili_24168608365,2,男,我仓库里面东西挺多的，但是就是钱有点少,2025-04-27 14:09:22,0,0,,未知,否,https://i1.hdslb.com/bfs/face/d2551b9a94c8ae1ea302f50b2f0f80829eded409.jpg
10,0,260497954657,3546738992351563,鼠鼠偷吃-,2,男,6,2025-04-27 10:53:34,0,0,三角洲的爛仔,未知,否,https://i1.hdslb.com/bfs/face/08bedfbd621e13d8817576986760d711041f693b.jpg
