序号,上级评论ID,评论ID,用户ID,用户名,用户等级,性别,评论内容,评论时间,回复数,点赞数,个性签名,IP属地,是否是大会员,头像
1,0,255687387568,2137662145,小马达33467,4,保密,为啥我有时候可以透视，都不知道咋回事，但是不常出现，我也不开挂啊,2025-02-17 18:06:17,0,0,,未知,否,https://i0.hdslb.com/bfs/face/member/noface.jpg
2,0,255685691872,18612103,SmallGang,6,保密,举报了但是没封也没说没问题，就说持续跟进那种是啥意思,2025-02-17 17:23:13,0,0,,未知,否,https://i1.hdslb.com/bfs/face/0d837aeb35f9fc389bd749cff87857a73d75ce57.jpg
3,0,255685487120,18612103,SmallGang,6,保密,能在我家出生点七进七出的我一般都举报一手,2025-02-17 17:21:08,0,0,,未知,否,https://i1.hdslb.com/bfs/face/0d837aeb35f9fc389bd749cff87857a73d75ce57.jpg
4,0,254942973889,3493140189153671,ddmanman6,3,男,主要这游戏人机太多了，太多白痴，只要不是真菜的一个杀不了，基本体验都差不了，倒了我也不会看谁打的我[笑哭],2025-02-17 09:30:00,0,0,,未知,否,https://i2.hdslb.com/bfs/face/a1f932a4286fe8e8ed1d928b8188e6c978413cea.jpg
5,0,255620368016,1313481501,辽西一把手,2,男,可以通过对面的激光的弹道简单能估计出对面的大致位置,2025-02-17 03:13:04,0,1,,未知,否,https://i0.hdslb.com/bfs/face/38f6605f1594facd8febe0873295220fa0b77f7e.jpg
6,0,254833379073,2025815556,bili_63303540170,4,保密,我玩大战场第三把，对面挂哥2分钟把我们结束了。当时不知道还以为对面大佬开小号[星星眼],2025-02-16 03:33:44,0,1,,未知,否,https://i0.hdslb.com/bfs/face/f22001df5c14b29565c82a460533f26f53ceb34f.jpg
7,0,254812538273,444556,Kh-101神皇達姆彈,5,保密,[笑哭]穿烟哥们太多了，露头就死，你要说大家盲射我都认了，为啥每次都是你们几个。,2025-02-15 18:16:45,0,0,此账号已封禁,未知,否,https://i1.hdslb.com/bfs/face/fa626401005ff8f84433eca37b13a848cb0b8172.jpg
8,0,254802648113,133041189,星河永存世,5,保密,可以扫你位置的,2025-02-15 15:47:20,0,0,,未知,是,https://i0.hdslb.com/bfs/face/ea824fa5a06c439dc28747da6fe30b9cd00a1184.jpg
9,0,255499879232,12079016,十三先生丷,6,男,是战地1机器人ban人[笑哭],2025-02-15 15:40:16,0,0,山内有樱名为良，树本无名只待春。樱春树志向贺新春。花生在深山内，樱花易逝，春树常青。,未知,是,https://i2.hdslb.com/bfs/face/5ba7e87b54592fa0a09d4fbd7122862d5060b311.jpg
10,0,254797505649,14442167,諸葛大力丸,6,保密,"只要是射击游戏
挂就是常态
凑合玩呗
不过这游戏手机端难度真大
感觉对面就像开模拟器一样",2025-02-15 14:53:43,0,0,吾男身，然自认女且喜女。为原教旨者，弗能变性。有异装癖爱着男装。素志坚，然异食癖致食肉。自认黑，因病肤黄。自闭症，间歇发，睡时作，静默不语。,未知,是,https://i2.hdslb.com/bfs/face/943f8d42893132c78fb56206e929eedca7644928.jpg
11,0,255490002496,3546825143356009,偶遇而不可得之遂自拔,3,保密,过年的时候挂多的很[大哭]个个都是枪神，见面就死连对枪的机会都没有[笑哭],2025-02-15 13:59:45,0,0,,未知,否,https://i1.hdslb.com/bfs/face/9dad98d02eeec2da5e2faf87b30056c9d14a360c.jpg
12,0,254791362753,43662064,谦豫zk,6,女,前两天我还看到个我家露娜全自动狙击枪，地图上都能看到她枪线都不带断的[笑哭],2025-02-15 13:49:09,0,0,,未知,否,https://i1.hdslb.com/bfs/face/ce3d247b32f778df3010902a15365c9136fe3a90.jpg
13,0,254771354033,3546672380512985,账号已注销,0,保密,三角洲唯一的好处是让战地五的挂变少了,2025-02-15 10:14:22,0,0,,未知,否,https://i0.hdslb.com/bfs/face/member/noface.jpg
14,0,255463995760,493124945,bili_53457410112,5,保密,有一把遇到个打狙的挂壁，隔四百米杀我四五回,2025-02-15 09:29:27,1,0,,未知,是,https://i2.hdslb.com/bfs/face/b628fa38f4159f57a1b1457b59dd354a3d79f86b.jpg
15,0,254766188353,1616493299,Han_B1ng,4,男,只要不是暴力挂 ，照样杀,2025-02-15 09:15:11,0,0,,未知,是,https://i2.hdslb.com/bfs/face/704c2da3b33e2f50b99c2ea5dce27c05343e75b8.jpg
16,0,255451641072,3546557225896237,程昌文,4,男,还好我玩手机版,2025-02-15 06:54:37,0,0,,未知,否,https://i1.hdslb.com/bfs/face/369e674444248558bfdc91a6e42e0e58d875ccf1.jpg
17,0,255436700112,16302448,狸花带橘_,6,男,现在就有点离谱，上了将军以后感觉在哪都有人看见，巨难打。经常远距离被人瞬秒，人都麻了,2025-02-15 04:04:15,0,0,没有就没有吧,未知,是,https://i1.hdslb.com/bfs/face/ed219500e47742a390c212333ed5e8266a00a6c4.jpg
18,0,254693396081,632079361,普罗旺斯1st战神,4,保密,不知道，但是我经常穿烟打人，尤其是玩个露娜，蒙中一枪就没得跑了,2025-02-14 13:24:45,0,0,,未知,否,https://i1.hdslb.com/bfs/face/46024f3a73ace316473a4c30feca16da2c7fab32.jpg
19,0,254656708993,44959577,洛雪浩空,6,男,我昨天遇到的，我玩盾一整局打下来1w7杀了40个人第二名，第一名我队友4w分杀了140个，这也太离谱了，腾讯反作弊软件不管的吗？打个堑壕15分钟结束,2025-02-14 06:15:34,0,0,,未知,否,https://i2.hdslb.com/bfs/face/5d73ae1e1a276eb433d036667aee2021a507aee2.jpg
20,0,254653673233,273099160,墨鹿韭,6,男,战地1进快速匹配了[doge_金箍],2025-02-14 05:34:20,0,0,趁星星和月亮都在，悄悄说声你真可爱,未知,否,http://i1.hdslb.com/bfs/face/d158729e4c5f1fcac84a1465dfb71958de777e39.jpg
22,0,255332758048,526630,章鱼烧八宝粥,6,男,有没有可能是 暴力🐔哥太多了。 脸上刷2秒无敌，换弹开枪，锁头穿墙，枪未响手未抬人先死，弹道在右你左边跟着死，进攻方不是往点里刷人，就是刷一个地方然后突发死亡消耗支援数量打不进去。,2025-02-14 03:11:17,0,0,,未知,是,https://i1.hdslb.com/bfs/face/ba35861514924c9e26e674f01a72308ad8b0f33a.jpg
23,0,255315759984,399541528,穆尼黑州议员豪里西斯,6,保密,不过跟战地五比起来算好的了，至少演一下不是特别明显,2025-02-13 19:31:17,0,0,,未知,是,https://i1.hdslb.com/bfs/face/c8c98e92a930869ff6b569f23de0750899358c6d.jpg
24,0,255308275744,15121903,经常社死许白嫖,6,男,得分最高的一把，炸了个高威胁载具目标3000多分，太爽了,2025-02-13 16:43:35,0,0,阿尔法，欧米伽，德尔塔，贝塔，伽马，西格玛，艾普西龙，卡帕，拉姆达……,未知,是,http://i1.hdslb.com/bfs/face/43d918bab5cb5c663778237d5af33707adc716f2.jpg
25,0,255306890512,628643844,無籲,6,男,进战地模式遇到好几次单发伤害慢慢磨你，你也看不见敌人，有时候甚至一出生在队友旁边啥敌对单位都没有也能这么被打，看击杀高亮敌人发现人在隔着几十堵墙外，还有的干脆直接瞬移，有的假装网卡在地上留个分身也不吃伤害也不打人，但就是有个模型在，本体在十万八千里外开杀，几乎把把都能遇到几个这种妖魔鬼怪，举报也没见封[辣眼睛],2025-02-13 16:24:40,0,0,偷看你爹作甚？,未知,是,https://i0.hdslb.com/bfs/face/bb213e4368b49192fcfae9d34a5becd74b6db4b1.webp
26,0,255290246960,1744381604,一只路过的夕瓜,5,保密,完了，我打狙就是枪枪头，我是不是瓜啊😱,2025-02-13 13:32:52,0,1,,未知,否,https://i2.hdslb.com/bfs/face/3a2345f7e2a6d0d24ecfa6dda4c0e5d2fd889423.jpg
27,0,255285602000,1735730,小雾弹,6,男,对，狙击枪枪枪爆头的我就见过,2025-02-13 12:43:44,0,0,非典型性狮子座男人 ฅ( ̳&bull; ◡ &bull; ̳)ฅ,未知,否,http://i2.hdslb.com/bfs/face/49cb53046c06d63aa40d319ce6f616fc7d32f190.jpg
28,0,254593044817,401998391,胡家三,5,男,正常人看到有烟不都直接对你们射了吗？你露头肯定会被乱枪打中的。没有威龙飞过来丢两个红包都不错了。,2025-02-13 12:09:24,0,0,大家好！我是大大咧咧的新人家三！在未来的日子里，我们共同乌啦吧！,未知,否,https://i2.hdslb.com/bfs/face/108e3b0cbc3ba69d2cd0557bfa919756bc277c35.jpg
29,0,254586571537,35754270,sixsaru,6,男,能一秒打三个不同方位的人它正常吗？这些人主要在白天出没打法和枪法不像个人看多少人都打不出来[doge],2025-02-13 10:57:39,0,0,3094044315,未知,是,https://i0.hdslb.com/bfs/face/9074c7e133782afe2eec3eb458822c71c86ea345.jpg
30,0,255266990992,3546753810827836,ffffffg反反复复,3,男,那帮人机很菜,2025-02-13 09:21:01,0,0,,未知,否,https://i1.hdslb.com/bfs/face/2081e87586a830c0b03a2925194334ac1cd2accc.jpg
31,0,255262536192,3546775533128035,飞天60TP,3,保密,好了，这下破案了，难怪我在烽火地带老是被爆头，原来是生物多样性啊，我还以为我的隔断烟扔烂了（视野全拦）,2025-02-13 08:25:04,1,1,,未知,否,https://i1.hdslb.com/bfs/face/d17384bdfc1a49406d795a9c8e60bacfce40e321.jpg
32,0,255259304832,1990174139,司玉_Ssu,5,男,不是哪个人闲的去大战场开挂[笑哭]除了s1，s2s3我都是统帅，我还是属于资质平庸的，打的不好玩个露娜 插个信标扔扔探测剑5、6分混也混上去了[笑哭],2025-02-13 07:38:03,0,0,,未知,否,https://i2.hdslb.com/bfs/face/c4674652a3c1bc1a5f47b920bb40fc2b632d5f2d.jpg
33,0,254560569169,389208777,帧没狸猫,6,男,最气人的是一群队友再我旁边走来走去，就是没人扶一下，还得自己放弃,2025-02-13 05:12:16,0,0,这个人懒的一P，什么都不写的,未知,否,https://i0.hdslb.com/bfs/face/f97f4a68ea7d3cd1306e4de1ec9aecd765f122d6.jpg
