序号,上级评论ID,评论ID,用户ID,用户名,用户等级,性别,评论内容,评论时间,回复数,点赞数,个性签名,IP属地,是否是大会员,头像
1,0,253905965456,405819420,SeasonSean,5,男,遗世独立[doge_金箍],2025-01-30 08:39:49,0,0,Oi，小鬼有点火热啊～,未知,是,https://i0.hdslb.com/bfs/face/a0d2db94a63dd4d1c49a5dc75b8ce94959b036a9.jpg
2,0,253032347424,1289108219,遆岳,4,保密,"b站能发语音了
BV1s44y1k7pK",2025-01-21 12:24:27,0,0,想不到不写了,未知,否,https://i2.hdslb.com/bfs/face/dd051f6232f945cf08027dcb92c54fa7db03a087.jpg
3,0,244928400208,522484246,帅人教父,5,保密,我八宝粥ID就叫 暗某突围启动,2024-10-18 18:52:46,0,0,,未知,是,http://i1.hdslb.com/bfs/face/4c1bdf8be119bf3ab55f88d70380fba13cb11b29.jpg
4,0,244914846432,1989445327,麦焕池55,4,男,我叫马加七玩调淡[微笑],2024-10-18 15:12:38,0,0,,未知,否,https://i1.hdslb.com/bfs/face/78c1e66d19c3369d4f8fc50da7e422319a8af2f1.jpg
5,0,244687707169,3493287396641056,不好吃的鸡排堡,4,保密,"6.02×10²³个
‌‌1mol等于6.02×10²³个化学卷子（或其他微观粒子）‌。‌",2024-10-18 13:35:52,0,2,男 ,未知,是,https://i1.hdslb.com/bfs/face/48179985f3d6962afeb25c00b50f71212bf03ef5.jpg
6,0,244839195120,391403832,棉棉瓜,5,保密,@卿卿sYru21 好超前。,2024-10-17 16:14:05,0,0,在我学懂高数之前,未知,否,https://i0.hdslb.com/bfs/face/489ed553b9e3180e3607bd27fb8158ffc3592651.jpg
7,0,244512818769,514882470,鹤末士,4,保密,好吵啊[笑哭],2024-10-16 06:12:32,0,0,,未知,是,https://i0.hdslb.com/bfs/face/e013362cffc80f13cccefcbc2b0ca1b1ae1af9e8.jpg
8,0,244699268336,262335037,小熊不是大熊,6,女,好像时间没看，up怎么胖了,2024-10-15 23:27:49,0,0,,未知,否,https://i1.hdslb.com/bfs/face/2b9c949cd1d511d3d9ddbed48336e6df0d672b88.jpg
9,0,244694993088,390426816,红花6,5,保密,糖丸了,2024-10-15 18:40:24,0,0,,未知,否,https://i0.hdslb.com/bfs/face/c4fdd02b9f6b0dc46de13745dce927687e166423.jpg
10,0,244645469568,250479003,花不撒不拉叽,5,女,@小胡萝卜丁啃大瓜,2024-10-15 05:15:40,0,0,,未知,否,https://i0.hdslb.com/bfs/face/19645aac461dfdcc8c18c38e2d2ab9a76531d120.jpg
11,0,244601431072,99770112,日夜夜233,6,男,寝室夜聊居然能聊女的？什么寝室？,2024-10-14 13:32:55,0,0,下水道鼠鼠,未知,否,https://i0.hdslb.com/bfs/face/9a589ccf29d2e73d86b0b8422aa924a3b8b8fe78.jpg
12,0,244265307425,515437352,薛匪可师,5,保密,来了[doge],2024-10-12 17:07:06,0,0,"（目前状态：中职一下）目标：1100粉（未达成，进度95.1%）别取关好吗qwq
演员群：568598331
游戏类主播，巴迷、铁迷。",未知,否,https://i2.hdslb.com/bfs/face/a00f2da95e238199bda5581933fc0148fa37f6f8.jpg
13,0,244262335633,1220074664,新疆南通加我,5,男,阿祖,2024-10-12 16:15:48,0,1,南通大学高材生,未知,否,https://i2.hdslb.com/bfs/face/62f1a4e01969435d4fb7054b8aca8a2b57d8e1a6.jpg
14,0,244178889841,1423524562,快乐的幑,3,男,我想知道三角洲里面那个山西唯一吴彦祖是谁？,2024-10-11 14:16:58,0,0,鹿がいて、大きく振って、虎視眈々と狙っている,未知,否,https://i1.hdslb.com/bfs/face/d4352ce8997aab663ae396b2ca0997cbcafd441d.jpg
15,0,244100445761,391320095,鹤七唳,5,保密,后面有点抽象，没看懂[笑哭],2024-10-10 12:29:46,0,0,怕什么真理无穷，进一寸有一寸的欢喜。,未知,是,https://i2.hdslb.com/bfs/face/01c1748629d74a2d38e3268e0e17e3732715f666.jpg
16,0,244232282160,355846215,会飞的鱼FCF,5,男,糖丸了,2024-10-09 18:38:34,0,0,三分钟热度，爱听歌，爱整活，爱Flora cash。,未知,否,https://i0.hdslb.com/bfs/face/c0815b138b51c8cb5cecc1245cc3b2d47fc8e6eb.jpg
17,0,243941046225,52643482,五百万老哥,5,男,龘篆牲,2024-10-08 06:12:06,0,0,嘿嘿嘿,未知,否,http://i1.hdslb.com/bfs/face/ec1f2948eb848f793295803616e078696c16084a.jpg
18,0,244092077872,43476907,川鄂惊奇,6,保密,@浅生离-,2024-10-07 22:06:44,0,0,编辑个性签名,未知,是,https://i1.hdslb.com/bfs/face/9cf110d3a52eb908d35212a9949a01fdd34d3748.jpg
19,0,243898173409,1923454393,陆仁贾本人,5,女,？？啊？,2024-10-07 13:08:50,0,0,你花费了生命中的几秒来看我,未知,否,https://i1.hdslb.com/bfs/face/c52969b0eff0c66d814a02146887d7cdb61e52ba.jpg
20,0,243691419329,265578855,餓555,5,保密,问个问题你们大学上课用学习通吗，那个定位签到怎么搞的,2024-10-05 03:23:00,4,1,,未知,否,https://i0.hdslb.com/bfs/face/d3ce176e9d818a544fdc9d37e660340af95a6e33.jpg
25,0,243826504704,514250515,女王的修刚,5,保密,好漫长的1分50秒[笑哭],2024-10-04 15:35:08,0,0,,未知,否,https://i1.hdslb.com/bfs/face/4f66eac94fcf014181b76e41f2e038145dc11f2a.jpg
26,0,243804169200,1237304512,奶茶啊5,4,保密,没看懂[辣眼睛],2024-10-04 11:02:31,0,0,,未知,否,https://i0.hdslb.com/bfs/face/member/noface.jpg
27,0,243523706625,123982661,GoodbyeLullaby_,6,男,刚看到拼单的时候想划走，停顿了一秒结果没连招。。,2024-10-02 19:20:08,0,1,这个人不神秘，但啥也不想写,未知,否,https://i2.hdslb.com/bfs/face/34707259b2ee2ed9bdbd16b75563bc6fc6c84545.jpg
28,0,243502490417,2041711754,小胡速刷男单,5,男,对不起阿祖，我是甘肃阮经天,2024-10-02 12:58:24,0,0,wargame ，启动,未知,否,https://i2.hdslb.com/bfs/face/3739561f5ad3385120e86149d3bf042b8a156f59.jpg
29,0,243494928401,219536060,默夏夏i,6,男,[少女乐团派对_感想]无语,2024-10-02 11:18:33,0,0,,未知,是,https://i2.hdslb.com/bfs/face/0c937de217dd9203f1ac3404e9da8c7d06434e3c.jpg
30,0,243541979872,508868438,钰崽QAQ,5,女,@sky时洛,2024-10-01 05:13:41,0,0,,未知,否,https://i2.hdslb.com/bfs/face/f3c3a8467750e71298724d898c236ad69f1bf37f.jpg
31,0,243520493456,431787410,八年npc,6,保密,全是薯条，随便爽沙,2024-09-30 22:35:49,0,0,一击脱离好玩吗？,未知,否,https://i2.hdslb.com/bfs/face/dc06c45fc32fcd7e28bb27297e570f7490e80348.jpg
32,0,243374436785,3493107951732759,一只再普通不过的狼厨,4,男,当好sensei对我来说就已经很满足了,2024-09-30 20:16:08,0,1,"如果幸福和可爱有颜色，那一定是憨色！
​如果治愈有声音，那一定憨声！",未知,否,https://i0.hdslb.com/bfs/face/50475c26144f62dd93b49eb705fc0f6dc912e3da.jpg
33,0,243285855121,483574150,云陌沉觞,6,保密,[doge_金箍],2024-09-29 14:01:51,0,0,每天都被高数薄纱的理工人,未知,是,https://i1.hdslb.com/bfs/face/b5ecdcc5c9bf0ed990a6d29c850b53829bc3fe44.jpg
34,0,243395846848,400892408,神赐之屠戮者,5,保密,我们四个班团结一心把实习干没了，国庆回来继续上课,2024-09-29 06:52:36,0,1,,未知,否,https://i2.hdslb.com/bfs/face/a23bdf94376f61e2eda2a9ee7c7aafd1199ed13f.jpg
35,0,243368920480,513354944,只爱整活,5,保密,烂,2024-09-28 21:52:39,0,0,,未知,是,https://i2.hdslb.com/bfs/face/f68e5793e98f2ba135a980777c7755c4833b29a1.jpg
36,0,243215019313,3546723188213985,闲鱼宁,3,女,i,2024-09-28 14:07:27,0,0,花瓶，茶壶，大狮子,未知,否,https://i0.hdslb.com/bfs/face/46f70ed03260a1563f7efbd566e472f00beec7c1.jpg
37,0,243346753040,1342863603,乖秫秫3,5,男,这是个什么精神状态[思考],2024-09-28 13:20:27,0,0,乖秫秫 乖秫秫1 乖秫秫2（骑着蜗牛爬高山）马甲,未知,否,https://i0.hdslb.com/bfs/face/f19a002e64489172df17e0e16286d7e0231e61d3.jpg
38,0,243191740865,160008271,mmp390,6,男,@风间栗栗子 [妙啊],2024-09-28 08:35:29,0,0,,未知,否,https://i1.hdslb.com/bfs/face/9a906b83011b4d77772f3e9d00d26af7359d44ce.jpg
39,0,243184589601,403683074,-CARI-,6,保密,好吵的视频,2024-09-28 06:32:34,0,0,      ,未知,否,https://i2.hdslb.com/bfs/face/97c54f5d0a7f3c92f5823b224f15721d7fc05963.jpg
40,0,243132672289,553252670,Pteacher,5,男,up你们四兄弟可不要随便参加一些可疑的会议呀[大哭],2024-09-27 12:16:10,0,1,,未知,否,https://i2.hdslb.com/bfs/face/d9a76d33f09863f9b91bdc52139d99803c65b284.jpg
41,0,243127457041,24670269,心塞的皮皮鳝,6,男,不是，为啥要一个月啊，我们第二天就有叫义父的了，因为军训。[思考],2024-09-27 11:03:27,0,0,快乐，才是人生的本质。,未知,是,https://i0.hdslb.com/bfs/face/c7cf129a2683b93ea70ed7563328a7555c7f515d.jpg
42,0,243073435185,485264395,雪地拳击手,6,保密,玩了，爆丸,2024-09-26 14:50:23,0,0,养老模式,未知,是,https://i1.hdslb.com/bfs/face/a63fa2d6cb8fcd02e2bb9335b61539fd5cc7ff9a.jpg
43,0,243134627040,3493114668911230,可爱的氰,3,保密,最后那个特效是人能做出来的吗[doge]果然你从来不会让我失望,2024-09-25 16:28:51,0,21,,未知,否,https://i1.hdslb.com/bfs/face/35fe0044811a56eed9437d6f2d8822477c901fdc.jpg
44,0,242969465265,448235597,奈亚亚拉托提普,5,保密,人声鼎沸,2024-09-25 05:51:36,0,0,,未知,否,https://i2.hdslb.com/bfs/face/f5f0ece90e77c514d7e1002ee02ae25883783370.jpg
45,0,243054350928,3546767874329100,账号已注销,0,保密,《我是队友的爹》,2024-09-24 15:31:55,0,0,,未知,否,https://i0.hdslb.com/bfs/face/member/noface.jpg
46,0,243054226752,123140037,打派里最懂法的,6,男,难道不是一开始那个女生好看，结束时苏联有我怎么会解体？,2024-09-24 15:31:23,0,1,去确定存在,未知,否,https://i0.hdslb.com/bfs/face/a8afe93c5c006005c192691d748014a16594d85e.jpg
47,0,242931710161,364280592,新居福景,5,保密,[doge_金箍],2024-09-24 14:50:23,0,0,,未知,否,http://i0.hdslb.com/bfs/face/541943e6e3d702d7566da8a3aacb5be355570cd9.jpg
48,0,243046689632,487073335,海昼冷灯,6,女,哈哈哈哈哈哈哈哈哈哈哈哈哈哈,2024-09-24 14:01:58,0,0,煞笔和叠➗别来和我说话,未知,否,https://i1.hdslb.com/bfs/face/94c1e84e07c6f4f7d560dc36299beadb749f5c6a.jpg
49,0,243042023632,291091514,褒嘲宵岚粮,6,男,这集太搞笑了哈哈哈,2024-09-24 13:04:06,0,2,终生与虚无主义作斗争的虚无壬,未知,是,https://i2.hdslb.com/bfs/face/209f1d00bd55535d6936fa2db3f6f72548e4fae6.webp
50,0,243031942880,3546746821020417,中国安徽省宿州市萧县,3,保密,博士生，本科生，研究生，博士后，不是这名字，我也想要,2024-09-24 10:53:56,0,1,,未知,否,https://i0.hdslb.com/bfs/face/fd950390d8d3255c829886f412e390e9e4ff9405.jpg
51,0,242895094913,497830186,摆烂哲学家o_O,5,男,这真的是人类能想出来的动作吗[辣眼睛],2024-09-24 05:33:59,0,0,,未知,是,https://i1.hdslb.com/bfs/face/75d6c7b952f2d0b1a320740e54808f9afa664d59.jpg
52,0,243007933920,22039201,ジ表白彡,6,男,好抽象[doge],2024-09-24 04:35:41,0,1,成功    只是失败的结果      努力的结晶    罢了,未知,否,https://i1.hdslb.com/bfs/face/2c589f5c2c6c748b84bbcbb6a892ce06270bcad7.jpg
53,0,242980530512,490694503,PNP三极管,5,保密,我咋看不懂呢？,2024-09-23 16:24:40,0,0,,未知,否,https://i1.hdslb.com/bfs/face/36a806e34785cdb2b313d08cf7ff12b0e4176484.jpg
54,0,242861604001,54516873,文书sa,6,男,@峤渔,2024-09-23 15:29:37,0,0,,未知,是,https://i0.hdslb.com/bfs/face/7bcd7ca816bd1c8db717cce334b04a8c2f6dbe84.jpg
55,0,242860683105,1159382895,鹦鹦M,5,男,豆浆给我笑漏了,2024-09-23 15:19:57,0,0,,未知,否,https://i0.hdslb.com/bfs/face/e7d830afeba1b7f03da8b62150ab43292ca8527f.jpg
