序号,上级评论ID,评论ID,用户ID,用户名,用户等级,性别,评论内容,评论时间,回复数,点赞数,个性签名,IP属地,是否是大会员,头像
1,0,261903396800,3494351057455721,克法勒,4,保密,是灰毛，在星穹列车上。懂了，是星核精[doge_金箍],2025-05-03 08:26:54,0,1,,未知,否,https://i2.hdslb.com/bfs/face/fb79103e8b33547023e2010030b6889bba2b49bf.jpg
2,0,261448307344,586351632,太白啊太白,5,男,六分街地铁站,2025-04-27 17:53:47,0,0,,未知,否,https://i0.hdslb.com/bfs/face/6b3ca788f190227c1ab348614bc3cc328ccf3c31.jpg
3,0,260510768417,3537111567305390,一只小兔98,4,保密,木嘿嘿嘿[doge][doge][doge],2025-04-27 13:41:16,0,1,本人圈子很杂,未知,否,https://i2.hdslb.com/bfs/face/7e28faa13c5e1d777bacb522977db1d66465dda5.jpg
4,0,260966507936,269565926,沛公-PAI,6,保密,鼠鼠已经很富了[颂乐人偶_眯眼笑],2025-04-21 15:39:52,11,15,"二级已经是历史了，不能再低调了，三级号就要狂，毕竟经常听别人说什么“狂三”“狂三”
大概就是这个意思吧！",未知,是,https://i2.hdslb.com/bfs/face/1971f6245a6c748e457c4463dffb0f74be7a20e5.jpg
5,0,260047143249,1866133658,永雛高鬆燈,5,保密,"小哥，我建了群
945083973",2025-04-21 12:31:17,0,0,GuGuGaGa,未知,否,https://i2.hdslb.com/bfs/face/de9d0328fcbde1bd09992ca25e8c6689340db3b7.jpg
6,0,259708763809,282121095,风北影南,5,男,所以前半段bgm是什么（,2025-04-17 09:37:54,0,0,"如果世界不公，就毁掉它，再重造一个。
ps：预备大学生，接各种配音练习ing",未知,否,https://i0.hdslb.com/bfs/face/f8175eadc14ded8bdb719dbfcb399f600f03c497.jpg
7,0,259376540145,3537111567305390,一只小兔98,4,保密,你的打手将成为你的陪葬品,2025-04-13 01:41:59,0,0,本人圈子很杂,未知,否,https://i2.hdslb.com/bfs/face/7e28faa13c5e1d777bacb522977db1d66465dda5.jpg
8,0,259328858513,576139578,宇航员卡兹_六月限定,5,男,"你们都在玩梗，但是我的坦克是真的掉了(›´ω`‹)
所以我买了一个坦克😋",2025-04-12 10:30:15,0,0,,未知,否,https://i0.hdslb.com/bfs/face/39a15f0906297ecac402dbdfce0a10d54c05c1ff.jpg
9,0,259232745729,499255972,淡水拉姆,6,保密,能不能改成最后麦小鼠坐坦克上走感觉会很可爱。,2025-04-11 07:29:48,0,1,,未知,是,https://i1.hdslb.com/bfs/face/4f03c4ccc5b17a7915748275fab3a55f320a6865.webp
10,0,258599153473,3537112867539661,不是哥们儿你颗秒我,2,保密,哪里找既玩三角洲又玩星铁和绝区的，哦，原来是我自己呀。[笑哭][doge_金箍],2025-04-03 11:08:24,0,0,,未知,否,https://i1.hdslb.com/bfs/face/b33347cc8e6a7191b56a4dbd5f3fa654292b5d11.jpg
11,0,258328526577,208919592,来一口金苹果,6,保密,@執著者,2025-03-31 05:29:31,0,0,"年纪轻轻



一把年纪",未知,否,https://i0.hdslb.com/bfs/face/f64a8d00d9b26f150613d7c6cb0b5e655dde60c6.jpg
12,0,259019324320,222848506,Ring丶年轮,6,保密,被pkm铁桶僵尸1jts前的幻想罢了,2025-03-29 13:30:35,0,1,.,未知,是,https://i1.hdslb.com/bfs/face/36c7cd6891caee86620123980dd23cdf572046c5.jpg
13,0,257653325521,476359472,新川崎爆裂鼓手,5,保密,被窝大盾顶飞前的幻想罢了[大笑],2025-03-22 22:15:02,0,1,一切都是命运石之门的选择,未知,是,https://i2.hdslb.com/bfs/face/28d442da8153aab433c2af7b32272b4a09486eda.webp
14,0,257475262257,3546687966546471,cii辰-浪辰,2,保密,你会为了坦克模型逮捕可怜的麦小鼠吗,2025-03-20 15:51:56,0,2,一个小主包,未知,否,https://i0.hdslb.com/bfs/face/61ef45019b56b7c5c13e879afef5820827726099.jpg
15,0,257420841393,2066484268,Z理,5,保密,@良时化伞 TM的麦小鼠，六分街地铁站，星穹列车，那不就是我吗？（我用蜂医）[doge],2025-03-20 02:50:55,1,0,勿言勿笑，独钓江雪,未知,否,https://i1.hdslb.com/bfs/face/e85826a3e691158948e2a9b4bbcd04ff23573c8e.jpg
16,0,257215960385,3493279150639479,MG42高手日奈酱,4,保密,好臭的播放量[藏狐],2025-03-17 08:20:06,0,1,三角洲也是粥！,未知,否,https://i0.hdslb.com/bfs/face/970fcc3b96d7f30ba4190de84e181de1a4120b5f.jpg
17,0,257185101281,1859605294,BelleVin,4,保密,哈夫克总部 新艾丽都分部 阻止哈夫克去空洞干好事,2025-03-16 22:47:50,0,1,,未知,否,https://i1.hdslb.com/bfs/face/7ee038ec4148bb1530893f8ccbdabf6919cf8faf.jpg
18,0,257099564209,282978061,清月叶,4,男,这个是护航。,2025-03-16 00:01:26,0,0,,未知,是,https://i1.hdslb.com/bfs/face/f1317d88c91a3b3514bc3e8d4c0c7d8c47ad16b0.jpg
19,0,257839027248,1511322841,百变老毕登,4,保密,"我和我的队友Be like:
我:好无聊啊
友:🤓👆要不去打乒乓球
我:豪
(蹲在一个门口)
友:来人啦(直接创飞)
我:亻尔女子",2025-03-15 10:21:55,0,0,,未知,否,https://i1.hdslb.com/bfs/face/c7c0b0d7b005dd3d61429a14a52694fe230dfffc.jpg
20,0,256895745057,347385467,红浪漫54号,5,男,@难得一遇的天才可爱捏,2025-03-13 11:58:29,0,0,,未知,否,https://i2.hdslb.com/bfs/face/4e0815a15c985eb92bd0d760dc7e4fce8d08c578.jpg
