序号,上级评论ID,评论ID,用户ID,用户名,用户等级,性别,评论内容,评论时间,回复数,点赞数,个性签名,IP属地,是否是大会员,头像
1,0,262195334848,1151337335,木子的烤鱼,4,保密,为啥我战备不够啊？,2025-05-06 15:17:14,0,0,,未知,否,https://i2.hdslb.com/bfs/face/ec4155ddc0f3f0fc292c7aebc75c0b426af61380.jpg
2,0,261154054369,3493089157057076,想不到好名称的我,4,男,说的真的有用,2025-05-05 10:09:51,0,1,,未知,否,https://i2.hdslb.com/bfs/face/fa6dfd9e52564e17eb6b2cb056c9c60e9f9f8d92.jpg
3,0,261060634129,3493131163011281,杨小疯不想说话,5,男,巴克什的撤离点一直没搞懂,2025-05-04 09:24:57,1,0,生活是为自己而活，并不是为别人而活，不要因为别人的话而放弃，不需要理他们说的话,未知,否,https://i2.hdslb.com/bfs/face/954da0471b6ba63ac133eaf890ea0e2af1113da7.jpg
4,0,261058787393,548037165,bili_23442242616,4,保密,三角洲这个游戏太恶心了。当你连跪的时候，他会以各种方式恶心你。,2025-05-04 09:01:44,0,0,,未知,否,https://i0.hdslb.com/bfs/face/member/noface.jpg
5,0,261880273328,3493111089072347,幻60,5,保密,感觉最近爆率提高了好多[藏狐],2025-05-03 03:20:53,0,1,,未知,是,https://i2.hdslb.com/bfs/face/453b75b913136f419b544a4d9b503cc4e416cb72.webp
6,0,260897015153,3546620444543267,感光度刚刚佛,2,保密,666学到真东西了,2025-05-02 11:33:16,0,0,,未知,否,https://i2.hdslb.com/bfs/face/6f5ca3609694884b02d7bf66f8fe6ee515e5dcf5.jpg
7,0,260865444769,3493117143550675,乐尼想我大佬,5,男,交作业,2025-05-02 04:20:29,0,0,把我ID反过来念,未知,否,https://i1.hdslb.com/bfs/face/38153bcbd8e449c47659cfdd35452b0655094868.jpg
8,0,261742557344,3494375793363908,晓芒果皮卡丘,3,保密,谢谢老师，你最棒了！,2025-05-01 11:23:06,1,1,,未知,否,https://i2.hdslb.com/bfs/face/09254d48afce2f9c658cd47690085c998f998fd6.jpg
9,0,261594346304,3537121868515937,bili_32062676132,4,保密,连续输了五把，补偿值给我一个拖地机器人和一个布战车，赚了430多万,2025-04-29 14:58:35,0,0,,未知,否,https://i2.hdslb.com/bfs/face/30ec203d15502f8ac03af86570e4b2fd1f5bfc49.jpg
10,0,260585514849,493584293,橘凉づづ,5,保密,可不可以，出一个新赛季卡战备,2025-04-28 13:32:58,0,0,,未知,否,https://i2.hdslb.com/bfs/face/e6ef58185fa787c77553b8c1630469fb0d9dc5df.jpg
11,0,260562975153,1167433269,墨染忆离,4,保密,UP的思路和我差不多，确实能出货，这是我前两天出的红，今天出的超算，留声机，香槟，金条，怀表，劳力士，摄影机，只不过哈夫币燃尽了[笑哭],2025-04-28 08:23:14,0,1,,未知,是,https://i0.hdslb.com/bfs/face/9fb1fa8cad0ab7d93cd8e24a2c37b837414bc1d0.jpg
12,0,261440976048,15670625,一级管制员,6,保密,假账bug被修了,2025-04-27 15:41:37,0,0,,未知,是,https://i2.hdslb.com/bfs/face/663724ff360d509ded33d89dfe559aa4b11309e4.jpg
13,0,260467338625,33122662,听说你很柔弱,6,保密,大概是因为上班时间太长了，下班就那么几个小时根本不够能看到出大红的机会[酸了],2025-04-27 02:54:26,0,0,新人路过,未知,否,https://i1.hdslb.com/bfs/face/4a972a3b39ccb8af58087bd35704467cc35ebfe4.jpg
14,0,260465601489,1709451657,三角洲代肝战神,3,男,"8＝100w
16＝200w
40＝500w        有意愿加主页v
80＝1000w
纯绿直播打价格稍微高一点，老板们自己擦亮眼睛哈",2025-04-27 02:23:00,0,1,"微信号:Wudibaolongshou_6666
8=100w哈夫币
16=200w哈夫币
40=500w哈夫币
80=1000w哈夫币
可",未知,否,https://i0.hdslb.com/bfs/face/6c22005a00f8ffe61b65ae24699312cc4d4281a7.jpg
15,0,260456752529,8344679,无识之境,6,保密,巴克什和航天这两张b图恶心的很，强度高的一批，还不好撤离，新出的夜坝更恶心,2025-04-26 22:40:09,0,0,防水防晒不防腐，透气透汗不透明​,未知,否,https://i2.hdslb.com/bfs/face/5f3ff5b33f3348c7157b9526d559fab3e812a2a3.jpg
16,0,261369882784,3546840909745037,我最喜欢卡芙卡了,3,保密,学会了，所以3 x3在哪领,2025-04-26 17:49:37,0,0,,未知,否,https://i2.hdslb.com/bfs/face/77317285303ee7686477c5bcda53e92a1adee5ab.jpg
17,0,260442261777,1958705584,毛蛋四号,5,保密,而且都是普通,2025-04-26 15:17:23,0,0,,未知,否,https://i0.hdslb.com/bfs/face/member/noface.jpg
18,0,260442252849,1958705584,毛蛋四号,5,保密,然后下把在一个帐篷里边工具箱出了个曼德尔超算单元,2025-04-26 15:17:05,0,0,,未知,否,https://i0.hdslb.com/bfs/face/member/noface.jpg
19,0,260442246113,1958705584,毛蛋四号,5,保密,就比如说我在长弓溪谷和队友抢电脑没抢过桌子上刷了个香槟,2025-04-26 15:16:51,0,0,,未知,否,https://i0.hdslb.com/bfs/face/member/noface.jpg
20,0,260441997153,1958705584,毛蛋四号,5,保密,运气好也是可以的,2025-04-26 15:16:19,0,0,,未知,否,https://i0.hdslb.com/bfs/face/member/noface.jpg
23,0,261275814880,3546622621387314,不会玩的Q币,3,男,不如机密大坝,2025-04-25 15:29:50,0,0,看什么看？,未知,否,https://i0.hdslb.com/bfs/face/d55e801b039a8f451996be0d54456cb77c9f2f64.jpg
24,0,260300454561,3546693985372455,坦克连--一只屑兽,4,男,这方法对战损比或撤离率高的没有用，之前试过，全是蹲丢包撤的出生，甚至拉闸车都有人蹲[大哭],2025-04-25 01:00:46,0,0,这人的成分十分杂，他自己也说不清。,未知,否,https://i0.hdslb.com/bfs/face/325d8ea4b36458eef4e2870f75aa4211524923b6.jpg
25,0,261206730864,4343432,沉默的黄雀,6,男,走路人机包里摸非洲之心，衣服里出房卡，走路上被井盖绊倒，一摸出大红，钻地道，发现四个包，有人一打三然后被喷火兵烧死了,2025-04-24 20:32:49,0,0,,未知,否,https://i2.hdslb.com/bfs/face/c676776a73982a6c0f329bfd90f84d36fd06a2c0.jpg
26,0,261201652528,89328539,SuperSilence123,6,保密,感觉说那么多都是个人看法，实在的还是9格保险。。这个是王道,2025-04-24 17:10:24,0,0,拜托拜托拜托,未知,是,https://i2.hdslb.com/bfs/face/795750e41aecd51f26554f87317a38a572cba097.webp
27,0,260281654545,452391773,欲取水中月,6,男,"你知道的我是不相信这些东西的我认为爆率跟自身的战绩kd没有任何的关系但是现在.......
up恩情还不完🖐🏻️[大哭]🖐🏻️不到一个小时的功夫出了两张显卡，一个鱼子酱，一个无人机，一张房卡和十几个小金，而且根本不怕死，死了下把爆率会变得更高，想到之前六套m250金蛋累死累活打一整局才200多w真的绷不住了[捂脸]",2025-04-24 15:11:21,2,1,,未知,否,https://i2.hdslb.com/bfs/face/94fd0e95fb3bfb9d40efcf6b572f25c2b0381d52.jpg
28,0,260263705265,499827251,可爱滴羊巴鲁,5,保密,上次机巴捡了个QJB显示收获十万出头，是不是QJB和QCQ的溢价假账BUG被修了,2025-04-24 11:16:34,0,0,,未知,是,https://i0.hdslb.com/bfs/face/member/noface.jpg
29,0,260196703393,3546855654820154,CH清空,2,保密,没充钱。,2025-04-23 12:45:09,0,0,,未知,否,https://i0.hdslb.com/bfs/face/member/noface.jpg
30,0,261088378080,3546771340921430,Rosemary夜,3,男,你起烂仔就是要给你排刘涛啊，正常四套遇到的也都是四五套，越烂越排金蛋m7，14，250，我起刘涛金蛋250流放出去抓人全是烂仔。,2025-04-23 09:08:52,1,0,,未知,否,https://i2.hdslb.com/bfs/face/3e33234c7a5b57fb329ef0d00c2818f0dee58f5a.jpg
31,0,261088229760,3546771340921430,Rosemary夜,3,男,有时候能23人，不止21，起步七队,2025-04-23 09:07:09,0,0,,未知,否,https://i2.hdslb.com/bfs/face/3e33234c7a5b57fb329ef0d00c2818f0dee58f5a.jpg
32,0,261086815632,1591310627,予你三月的风四月的雨,5,保密,哎呼吸机掉了,2025-04-23 08:42:54,0,0,,未知,否,https://i2.hdslb.com/bfs/face/3f1fdddde75f941fcd719d96708ccb695862f7a1.jpg
33,0,260169139889,630823863,盗天仙蛊,5,保密,按方法打了十几局只有一半撤离率，出过几个小红，老是刷塔前，卡战备点装备进塔连小兵都打不过，保险也吃了不少，完全看不到大红,2025-04-23 05:41:06,0,0,,未知,否,https://i0.hdslb.com/bfs/face/2e8646f2e2bb3f1ce22caf277b6e00c2aef58ca3.jpg
34,0,260142743425,1406457495,㯝昕,5,女,第一把，nb,2025-04-22 17:50:34,0,1,摸鱼ing,未知,否,https://i0.hdslb.com/bfs/face/0bc72c4bee14bf91b93d99c25b8dc14713a5fe7a.jpg
35,0,260065980865,3461567620319294,在于我一,3,保密,我在普坝天天爆红,2025-04-21 16:18:31,0,0,,未知,否,https://i0.hdslb.com/bfs/face/member/noface.jpg
36,0,260050593505,3546878805281251,香香软软巨无霸汉堡,2,保密,再跑也没用 就是唐人爆率 狠狠装唐就完事了 装完之后我直接航空箱三红 常规桌子上刷香槟,2025-04-21 13:10:04,0,0,,未知,否,https://i1.hdslb.com/bfs/face/dc66b16102a4cfa2825c918ccec59c5708996dc9.jpg
37,0,259988891457,3546624424938462,鼠鼠鼠帝召曰,2,保密,我完了四个赛季了，到现在四个赛季就出过一个怀表啊怎么回事？tell me why！,2025-04-20 16:37:37,0,0,,未知,否,https://i0.hdslb.com/bfs/face/member/noface.jpg
38,0,260882297408,3546577194977401,BLOCK戎,4,保密,我一个5头都够了,2025-04-20 15:10:31,0,0,,未知,否,https://i1.hdslb.com/bfs/face/3f7c0728b3fd5408b4a807b71feb932f3c726f7c.jpg
39,0,260854693616,3546837772404943,繁塔罗,2,保密,机枪可以换250更便宜战备更高,2025-04-20 09:30:43,0,1,,未知,否,https://i1.hdslb.com/bfs/face/57010d2e4606d30cccf28d4e12bd69be74bb7077.jpg
40,0,260854492720,3546837772404943,繁塔罗,2,保密,我看完了，删了吧（谢谢主播，连出两槟）,2025-04-20 09:28:04,0,0,,未知,否,https://i1.hdslb.com/bfs/face/57010d2e4606d30cccf28d4e12bd69be74bb7077.jpg
41,0,260853333280,1175289903,无尽wz,4,保密,有方法也没用，我爆率太低了[笑哭],2025-04-20 09:13:20,2,0,哦~嘿嘿,未知,否,https://i0.hdslb.com/bfs/face/466a864d8a7ffcab82f8bdbff9bd728817649120.jpg
42,0,259952108689,1655847161,龙虾Banana,5,男,打了14把10把都有神人守丢包😅,2025-04-20 08:40:29,0,0,“比希望更炽热，比绝望更深邃的，是爱”,未知,是,https://i2.hdslb.com/bfs/face/7ccc3565132cc25674dd493a0aa204c5059f0eb1.jpg
48,0,259940618673,3546588936931391,1472535,3,保密,我今天都摸到两个非洲之星了,2025-04-20 05:54:40,0,0,,未知,否,https://i2.hdslb.com/bfs/face/157abc635a11f29908c4385a6c2b44b3e04cb6d7.jpg
49,0,259920356625,436509362,巳月九点,3,保密,来财,2025-04-20 01:34:51,0,0,,未知,否,https://i2.hdslb.com/bfs/face/b7e7358816149e2a25db69f41cedbd4c05bf4564.jpg
50,0,260817560784,272582830,精卫AA,5,保密,不出货的号绝对是因为玩的太多了，极有可能是天天玩，你几天不上号暴率就上来了。玩游戏你不能站在玩家的角度思考问题，你要站在人民企业家的角度思考问题。在中国还有人相信概率真的挺天真的。,2025-04-20 01:30:32,0,1,祝你福如东海,未知,否,https://i1.hdslb.com/bfs/face/a687adfe1303176ec6169e8ebdceb24d9d753fcd.jpg
51,0,259918646897,525916065,gvvtft,5,保密,这有什么用啊？还是照样不出货，我玩巴克什还特意买了总裁会议室，两个总裁会议室全是小金何况还是绝密，你说输多了就能提升爆率，那我都死十几把了，也没有出过几个红,2025-04-20 01:04:37,0,0,,未知,否,https://i0.hdslb.com/bfs/face/5996ed5d3d2f8262e1397bd3e3a04799c6926ff8.jpg
52,0,259917681105,100239654,老年青黎在线养老,6,男,[doge_金箍],2025-04-20 00:46:22,0,0,,未知,否,https://i0.hdslb.com/bfs/face/46955da5e942c8a824dcbe0d1e18f05734f087fe.jpg
53,0,259911227601,88154692,姬千翰,5,保密,端游一样？,2025-04-19 20:02:05,0,0,,未知,否,https://i1.hdslb.com/bfs/face/1774d187903f202a297f70290c9c56f9a051ce6d.jpg
54,0,260797593488,1062237421,牢大QAQ,3,保密,我的撤离率是谁的一辈子[微笑],2025-04-19 16:09:15,0,0,,未知,否,https://i1.hdslb.com/bfs/face/76fc7aabb6dd76ccfcb25fdbd21449af37fc58b0.jpg
55,0,260791554000,3546885474225015,佐鼬手玩游戏,2,保密,一个下午摸出来的在巴克什[呲牙],2025-04-19 15:01:02,0,0,,未知,否,https://i0.hdslb.com/bfs/face/7fcbd30d0efd2efd37b46bd5b37b51c71bd6366a.jpg
56,0,259893428641,3461577491613764,戊狐,4,保密,居然真的能得吃😋,2025-04-19 14:44:51,2,0,一个人，活的，嗯，没了。,未知,是,https://i2.hdslb.com/bfs/face/6495c88a1812af960691c53d5694d8481da01c6d.jpg
57,0,260785843728,604225931,珊喵喵有九条命,5,保密,虽然但是，能不能带出去也是个事，毕竟是绝密巴克什，总会有些天才少年[doge_金箍],2025-04-19 14:01:18,0,0,我是一枚老鸽子！咕咕！！！不求你的三连，只求你看的开心！目前正在上学，更新频率可能会降低喵~,未知,否,https://i2.hdslb.com/bfs/face/dbee01c65b72b42518fd9b242ab6e05767af6971.jpg
58,0,259882608161,627123651,挂耳咖啡豆,5,保密,真别不信，我今天在网吧开了东楼和调控房，啥都没出，前面爆率也很低很低，然后接个破壁一开一个小金，破壁门口机箱直接出俩高速固态，还有金条，出来就是五十发金蛋，亏损就是专门针对跑刀玩家的,2025-04-19 12:48:12,2,0,,未知,否,https://i0.hdslb.com/bfs/face/54bc21975ba1d813a1f3d79ca4c854df2e849fd6.jpg
59,0,260776550672,3546881502218501,gfsfjjgg,2,保密,因为我大坝跑刀军用医疗包出ECMO了[滑稽],2025-04-19 12:23:24,0,0,,未知,否,https://i0.hdslb.com/bfs/face/member/noface.jpg
