序号,上级评论ID,评论ID,用户ID,用户名,用户等级,性别,评论内容,评论时间,回复数,点赞数,个性签名,IP属地,是否是大会员,头像
1,0,257599235441,3546620645869588,飞翔的翼誼,4,保密,普坝大变电主楼二楼服务器,2025-03-22 07:08:23,0,1,,未知,否,https://i1.hdslb.com/bfs/face/10f928024c0321114561e67ca7ec669bb31c2a6f.jpg
2,0,258248575888,1043485030,哇呼1,4,保密,78主播，能不能看看你玩机坝，太想看你玩机坝],2025-03-20 10:55:52,0,1,,未知,是,https://i1.hdslb.com/bfs/face/526be228947a03bdb88c017deab27d4633fd1c5e.jpg
3,0,258172073264,360195320,护柒灬喵星人,5,男,大坝就这样，百万撤离已经很高了，就这还得是灭了好几队的战果，我已经小半个月没在大坝见过大红了，最大的就化石，两格[喜极而泣],2025-03-19 10:48:01,0,1,,未知,是,https://i2.hdslb.com/bfs/face/e9e9bf07d90b7b2839b1190d079d38581f687672.jpg
4,0,256306853664,334028912,遍布世界各地的我们,6,男,卡车司机属实是给我整乐了，我还寻思是不是一个新的78点位呢[笑哭],2025-02-25 01:21:47,0,1,,未知,是,http://i2.hdslb.com/bfs/face/995b3f169a36df09467a80443911dbdb50ae39dc.jpg
5,0,254714336177,455266850,暮祈榊祉,4,保密,我个人感觉机坝难打，队友全是做任务，或者就是拿射手步枪打二级弹的。。。，而且一堆不开麦装高冷，抢包的，被堵电脑房硬要开门的，指挥不听的，自己瞎鸡儿乱跑的，大喊大叫的。敌人要么就是全程静步的老鼠，要么就是吴涛刘涛，以前盾还没被削的时候，遇到一把被两队夹，结果两队人加起来五个盾，所以果断选择转巴克什了，当不了坝主了。[doge],2025-02-14 17:16:02,0,16,Vanitas vanitatum et omnia vanitas ,未知,否,https://i2.hdslb.com/bfs/face/4344fcc8733d467080c3830be2ecf0f0b1cfdd20.jpg
6,0,255373980576,432970027,ASRl-,5,男,78笑传之冲冲坝[喜欢],2025-02-14 11:14:05,0,3,trance，future bounce，drum and bass，phonk都做一点,未知,否,https://i1.hdslb.com/bfs/face/95fc424168a4c5dce2baca948b66d93dd916788b.jpg
7,0,254294374609,2087395351,AAA威龙仙人_全图可飞,5,男,赛伊德：孩子们，我无处不在[doge_金箍],2025-02-10 10:29:51,0,12,我携满天星辰赠你，仍觉满天星辰不如你。,未知,是,https://i1.hdslb.com/bfs/face/0f359ce05f177ea8fc1f5decbc40eb3447e75e9a.jpg
8,0,254930833360,3546683973569318,污浊MK14,4,保密,众所周知，机密零号大坝简称机坝[doge],2025-02-10 02:36:58,0,0,,未知,否,https://i2.hdslb.com/bfs/face/d9f751cfc32899e3a72c8bd04011e4143738319d.jpg
9,0,254928723056,512811618,苍崎七光,5,男,@帅气之汤,2025-02-10 02:07:28,0,0,,未知,是,https://i0.hdslb.com/bfs/face/bf59eb0f517c6a388559a2189802e9d2b19fe7b0.jpg
10,0,254527935392,397211325,リユウのけん,5,男,[喜欢][喜欢][喜欢][喜欢],2025-02-05 20:16:35,0,0,,未知,否,https://i0.hdslb.com/bfs/face/b3358cc7b0e944dba41654121dcb02d3dcebe6f9.jpg
