序号,上级评论ID,评论ID,用户ID,用户名,用户等级,性别,评论内容,评论时间,回复数,点赞数,个性签名,IP属地,是否是大会员,头像
1,0,260714249073,1943298377,羲子不敢睡,3,保密,想要护航的老板看这里,2025-04-30 07:46:08,0,0,,未知,否,https://i2.hdslb.com/bfs/face/5beded2d7ed8a8744cb021ae64a98b4e809fec9f.jpg
2,0,261295343520,3546591417862232,coke冷门信仰玩家,4,男,能不能让我当GTI指挥官[笑哭],2025-04-26 01:02:14,0,0,巫弟巫弟我喜欢你,未知,否,https://i2.hdslb.com/bfs/face/1b03d6b62845a1345849c3951bbf61425c3edf17.jpg
3,0,260068777521,240683460,青玉案宸曦,5,保密,@松松松奈 @六氯苯环BenZenE,2025-04-21 17:07:23,0,0,高考加油,未知,否,https://i0.hdslb.com/bfs/face/ff32540223bc8db0f6c5002043df2df8dc7ae1ce.jpg
4,0,260663088848,3461562322913722,三角洲行动-tao,2,保密,和兄弟主攻航天、巴克什纯绿护航，对新手友好服务态度热情，因为刚起步欢迎各位老板体验来给我们提意见。v：tututu-tao,2025-04-18 06:15:29,0,0,护航微信：15185544088 ，有需要老板联系哦,未知,否,https://i1.hdslb.com/bfs/face/e6b07a995ef0e8bb463114e8a9c6f4f84c56277b.jpg
5,0,259746095169,398738183,大大大魔法师惠惠,5,女,前几天打机密长弓晚上都是起四套五套。。。离谱,2025-04-17 20:01:08,0,0,性别是大魔法师 出没广州漫展嘞，第二家乡成都 欢迎线下拍照集邮捏(˵¯͒〰¯͒˵),未知,否,https://i2.hdslb.com/bfs/face/89a0f17c6f50866de76eb3614885e9210afc7749.jpg
6,0,259667112081,449579481,空间笔墨,5,保密,鼠鼠们可以加群一起玩哦！平时没有固排队友，缺人随时可以上车,2025-04-16 16:39:01,0,0,,未知,是,https://i0.hdslb.com/bfs/face/f3e887bf91737e584712972be1f5b194923b4aaa.jpg
7,0,260520235008,547448127,酸黄瓜瓜瓜,6,男,我刚玩打到机密3kd后那回放一看一个挂，结果弹幕全是3kd[辣眼睛],2025-04-16 10:00:52,0,0,,未知,否,https://i0.hdslb.com/bfs/face/f2a82e39cd03caf4b8e4156f5f8c813ec9942f08.jpg
8,0,260478702064,1906244313,欧拜伦斯,5,保密,现在租号都32w一块钱，100w5块[笑哭],2025-04-15 22:00:53,0,0,Go!Go!Zeppeli!,未知,否,https://i0.hdslb.com/bfs/face/85b0b8bafe84bd25a81dbb83decc296c5319b38c.jpg
9,0,260473976816,1718722440,傲世万古安澜王,4,保密,绝密我一直没打，今天上号看1.4kd  这让我怎么当唐人阿,2025-04-15 17:35:27,0,0,,未知,否,https://i0.hdslb.com/bfs/face/31c9393f08ba680effb7f6fbff4e5d08add40c9f.jpg
10,0,260449076784,30851605,卿丝,6,男,我机密2.4绝密2.3这个是啥水平我自己觉得应该是普通玩家水平,2025-04-15 11:56:13,0,0,,未知,是,https://i1.hdslb.com/bfs/face/1fdf5c523817602e1bfde15725223072bd23af72.jpg
11,0,259555800001,1643055,月下花筱,6,保密,为什么老板不救人。。,2025-04-15 08:50:33,0,0,什么都玩点，什么都玩不好，什么都爱玩。,未知,是,https://i0.hdslb.com/bfs/face/54010a0e40015321ae095889ebba198930cab39e.jpg
12,0,260434935824,2046706938,小橘空空,5,男,这个飞镖好眼熟，好像是老飞宇66扔的吧[思考],2025-04-15 08:41:42,0,1,真的不会伤害村民awa,未知,否,https://i0.hdslb.com/bfs/face/8a5aaa632362c789545028375049a277e257e78d.jpg
13,0,259531703681,276604670,爱笑的小龐龐,6,男,纯挂跑刀，板子封不了，封了不补，10：1000w,2025-04-15 01:54:45,1,1,先活着，再爱风和自由,未知,是,https://i2.hdslb.com/bfs/face/1fc1cf99f0bdacee9e3f934adcbf07b0bc895c91.jpg
14,0,260279166336,3546665413773810,关注中二企鹅喵,4,保密,为什么我见过绝密21的kd🥸🥸🥸,2025-04-13 08:23:47,0,0,"我叫小帕
扩列QQ/332569391找我玩好吗好的
对象是b1t我很喜欢他",未知,否,https://i0.hdslb.com/bfs/face/6e2c3c33b34c3706b6e8f71cb0a41a8847635506.jpg
15,0,259384758241,503339656,雨中夏生,5,男,护航绝密航天如果不炸单清图的话，一把七八百万，一局25分钟40块感觉也还好，而且清图自己也吃的饱，相当于外快了吧[滑稽],2025-04-13 03:38:47,0,0,愿世上无饿殍，狼褪去牙齿成为良，猫去掉牙齿为苗，希望良穗永和，我喜欢“满穗”,未知,否,https://i1.hdslb.com/bfs/face/22899512c1f2ac1cbfecc1b5f3ff8f570bb0695a.jpg
16,0,260235573312,629326716,最上呀,5,保密,兄弟们，破产了,2025-04-12 18:02:29,0,0,非黑即墨,未知,是,https://i0.hdslb.com/bfs/face/b63fa5948ac5f6809de02e22e172fefe8e79b256.jpg
17,0,260200724912,501780600,浮世闲尘,6,保密,这个1.04m赚损比的kd这么高，那我1.02赚损比kd都不超过一的算什么[千恋万花表情包_害羞],2025-04-12 10:50:25,0,0,什么柚子厨，才不是，我只会Ciallo～,未知,否,https://i0.hdslb.com/bfs/face/fd410fb15ce97958585ca408f2cbb0ea3d66a8c4.webp
18,0,259326710609,3546626171866061,墨黑色的兰花,4,保密,乐山的，我不是,2025-04-12 10:04:11,0,0,紫罗兰的繁星之梦,未知,否,https://i2.hdslb.com/bfs/face/347031846425b64c0d421e634e3e796c8ee5d440.jpg
19,0,260161479600,402492105,丿哔哔哔,5,男,囧，这游戏很难吗？我感觉很简单啊，只要我不浪，一百万一把很简单的,2025-04-12 02:17:08,0,0,地推机构,未知,否,https://i0.hdslb.com/bfs/face/cbbf35b0d1b369a42864e1f1c203ec97a82da6c7.jpg
20,0,259290693825,1446945275,余生余昏,5,保密,航天护航，三把撤离不出去开步战车清图，五把撤离不出去开坦克清图[doge],2025-04-12 01:38:03,0,0,,未知,是,https://i2.hdslb.com/bfs/face/1f5ac1d3b9271ba140fb8c4f6b945d8259224ca8.jpg
22,0,260141466992,510127623,到深渊也要拿出真本事,5,男,哈哈哈哈，成都还真是这样的[笑哭],2025-04-11 16:26:54,0,1,快给我去看来自深渊！,未知,否,https://i0.hdslb.com/bfs/face/9bfc67584a6c126d996e04abff48190e7fdbf55f.jpg
23,0,260039987184,383184600,Hanabi-三角洲代肝,5,男,"借楼已赞 如有打扰  可以删掉
部门任务，有无老板需要的
先打后付，绝对绿色
部门等级1*2，1经验1.5r
部门等级2*3    1经验2.5r
部门等级3*4    1经验5r
（还接3*3所有任务除失去联系“时间成本太大”[笑哭]
以及所有部门等级）[doge]四张图全都像回家一样，详情可私聊 全程可直播",2025-04-10 12:37:09,0,0,接三角洲各种任务 可以私信 白天一般两小时内回,未知,是,https://i0.hdslb.com/bfs/face/e4f466ac1caa22a04ed824bc5e49a0e54a671e1c.jpg
24,0,259125450401,22148482,柳儿黄,6,保密,其实这游戏哪怕绝密，不是周末。正常绝密1.5kd你起装备俩人有配合。就可以做到稳定带人赚钱了。打架方式主打劝架，中远作战。航天不敢保证，绝密巴克什好撤离。,2025-04-09 20:19:02,0,0,,未知,是,https://i0.hdslb.com/bfs/face/member/noface.jpg
25,0,259121384737,3546652992342456,aaa木工杨师傅,4,男,100w   50块纯红扫码立即盗号,2025-04-09 17:27:19,0,0,。。。。,未知,否,https://i0.hdslb.com/bfs/face/de54d6803d716472ddb252c456fe7dee791954e6.jpg
26,0,259026051201,3461574603835399,zx_xiaohei,5,男,这游戏还有职业呢,2025-04-08 13:23:53,0,0,,未知,是,https://i1.hdslb.com/bfs/face/2c8bff91b6a9a2361c763e02809c9f280312d909.jpg
27,0,258981558321,84215750,Kirit0_Sama,6,男,"不好意思打扰了

本人大学生业余兼职跑刀 可全程直播跑 纯绿跑刀 

顺带降kd 命中率 可进唐人局

比例

8r=100w  

80r=1100w

有三乘三多送100w

越多越便宜

同时还接陪玩35/h 吴涛吴丹 情绪价值拉满 

东西都给你吃 新手也不介意

详情可私聊咨询 谢谢",2025-04-08 02:39:23,0,0,,未知,否,https://i0.hdslb.com/bfs/face/member/noface.jpg
28,0,258965132097,108624351,河南蜂花,6,男,这个QY职业选手我之前找队伍刷到过[笑哭],2025-04-07 17:10:02,0,0,假的。真的大哥有蓝V,未知,是,https://i0.hdslb.com/bfs/face/9958ab8b017befb5fc86a18e24aafd435b9044ca.jpg
29,0,258890103921,1625333959,诶嘿睿睿,5,保密,这个哥们有点猛啊，机密刘涛而且好像把核心区清完了已经，可惜我三套喜欢偷偷塞一组五蛋[doge_金箍],2025-04-06 17:52:23,0,0,,未知,是,https://i1.hdslb.com/bfs/face/d559edc93a0eb6cde2d8b59d0149843da8cdb938.jpg
30,0,259693551280,3546633534965936,酷啊mo,3,保密,欢迎老板点单,2025-04-06 07:16:53,0,0,,未知,否,https://i2.hdslb.com/bfs/face/3c9be478b0c219c15bf0eed75cc1ba37ff299031.jpg
31,0,258759961777,6907083,三角洲行动-小可,4,男,几个小伙伴在一起租的地方，我们尽最大努力保证板板的游戏体验，需要板板支持保证纯绿可视频验证，希望来板板支持！！！,2025-04-05 08:55:34,0,0,连接（p331zz） 需要的老板可以加我,未知,否,https://i0.hdslb.com/bfs/face/398dde12d57e1033c0c62cb24e93e2f4d654e341.jpg
32,0,258741143169,175065956,゚゚゚゚你的影月月,6,保密,绝密kd1-2就是普通玩家的标准了，2-3喜欢猛攻的普通玩家，3以上算得上高手了，0.4左右那种唐的没边了，电脑玩家应该会高些，网上见多了5以上的别真以为是常态，要是个个都这样岂不是路过的狗都要挨一枪。,2025-04-05 04:38:06,0,0,ⓘ该账号封禁中,未知,否,https://i2.hdslb.com/bfs/face/deb3f484b340a734b13cab763166410d29a436fe.jpg
33,0,259552261168,147739935,月亮上的愚者,6,男,我好奇怪三角洲的战损比多少算是正常的，我普通6.5机密1.34绝密没打过，刚刚玩这个游戏一个月,2025-04-04 15:15:49,0,0,嘿嘿嘿......,未知,是,https://i0.hdslb.com/bfs/face/e6986a1b94deea6485306404525bd4a033bea96f.webp
34,0,258615257809,1685836854,bili_20599099930,5,保密,这kd咋还没我一个卡战备的多打的也是正常局,2025-04-03 14:20:40,0,0,,未知,否,https://i0.hdslb.com/bfs/face/592415e7831d07664f394f1fc4512ec457f24363.jpg
