序号,上级评论ID,评论ID,用户ID,用户名,用户等级,性别,评论内容,评论时间,回复数,点赞数,个性签名,IP属地,是否是大会员,头像
1,0,260331305632,327329107,宁萌什么时候酸啊,6,保密,Bro在玩彩虹六号💀💀,2025-04-14 00:58:55,0,0,从不看私信,未知,否,https://i1.hdslb.com/bfs/face/f35b26300497dc7a30c56cc21dfd6ebe54b4c8b1.jpg
2,0,260163628720,1197593130,一普通的个人,3,保密,改过一把操作速度-42的PK M[doge],2025-04-12 02:46:23,0,0,,未知,否,https://i0.hdslb.com/bfs/face/member/noface.jpg
3,0,258895396721,53587995,盲憧,6,保密,巨浪家族这玩意只配和小孩坐一桌，（狙击精英都不带他玩）,2025-04-06 23:08:14,0,0,豫州何图远窜，而不投吾雄略之主乎？,未知,否,https://i0.hdslb.com/bfs/face/a33f26afe58a181617ce81848f80b29fb3a35468.jpg
4,0,259454428432,1913700126,芙莉莲フリレン,4,保密,开镜挨打流，非常好用[doge],2025-04-03 13:52:54,0,1,“假如再也碰不见你，祝你早安午安晚安”,未知,是,https://i0.hdslb.com/bfs/face/3e7d71afcdf561e7f527fcf8f754c48761b890fb.webp
5,0,259287041520,32124939,要你命三千pormax,6,保密,我也改了一把,2025-04-01 14:42:06,0,0,,未知,否,https://i0.hdslb.com/bfs/face/2c8da96a954af12ba1a4b156d8facd6b378613d5.jpg
6,0,258266693089,3537107681282675,会吃人的白子,3,保密,逆天,2025-03-30 10:16:06,0,0,,未知,否,https://i2.hdslb.com/bfs/face/bf3a6aa365ac7bee3b9191711a4d40aebbc2d819.jpg
7,0,258145246449,20505693,渊_生,6,男,我就是被骗了才改的这把枪，机密巴克仕刚跟人对枪就后悔了,2025-03-29 02:56:57,0,0,good   time,未知,是,https://i0.hdslb.com/bfs/face/46e54b4af818ac8f9c798db7e8b088c052fa60dc.jpg
8,0,258917665760,620135021,天堂大冬瓜,5,保密,好好学吧小子，会变强的,2025-03-28 11:19:04,0,0,,未知,否,https://i2.hdslb.com/bfs/face/0366c69d8809537b410a6e2ce516f0fa23dacb64.jpg
9,0,258093112497,481303958,冉黎Dawn_,6,男,@-zzkkkk,2025-03-28 10:34:42,0,1,我思故我在,未知,是,https://i2.hdslb.com/bfs/face/ab1a17006f1180caf23e1522729f028b23a33b9e.jpg
10,0,257962300673,3461577476934076,铿惑1234,3,保密,这b枪我拿他卡战备进去，装四单偷人都偷不到，一跑起来这枪口初速能打死谁,2025-03-26 16:09:48,1,0,,未知,否,https://i1.hdslb.com/bfs/face/0893619315205db8505fc765259694830e3c2ce5.jpg
11,0,258698300960,1400961520,鼠鼠想吃心,3,保密,"绿玩纯跑刀，有无老板需要的，家底蹲，搞点生活费。

8r=100w

38r＝500w

70r＝1000w",2025-03-25 16:48:38,0,0,,未知,否,https://i1.hdslb.com/bfs/face/4980367a3fdff174e95070c0e6fb875f536c0211.jpg
12,0,257733649425,346734680,懒得取名字的老金,6,保密,vss就是狗屎中的狗屎[藏狐],2025-03-23 18:04:28,0,0,,未知,否,https://i2.hdslb.com/bfs/face/49d64e0a40b040f2e44afdd7feea20dec644c2e5.jpg
13,0,258480856784,1735318520,_kk373,5,保密,[星瞳·表情包_揣手手],2025-03-23 04:58:25,0,0,,未知,否,https://i2.hdslb.com/bfs/face/a8050a57ce707917b323028cb1a6086ccde847b2.jpg
14,0,257596667345,249921872,黎颖初,3,保密,@曦曦I75,2025-03-22 06:30:00,0,1,,未知,否,https://i2.hdslb.com/bfs/face/bcb3e6b46741f75b374bf475bfe950bfeaae2780.jpg
15,0,258397703712,3461573544773729,㠛发表,5,保密,评论一下，这把枪,2025-03-22 06:22:29,1,0,,未知,否,https://i2.hdslb.com/bfs/face/81b8a47295afdd6b85722ef6473edd8f8e99edef.jpg
16,0,257398509489,108096476,小汶汶汶汶_apple,6,保密,因为vss像所以我已经因为以为是巨浪结果被骗两次了[怪怪小黄豆_哭哭],2025-03-19 15:22:03,0,1,eee,未知,否,https://i2.hdslb.com/bfs/face/db3ee3ee6b40e2a31efe06ecd6c757aca305054a.jpg
17,0,258081184640,389115204,帅大凉,5,男,不是这是谁家的拐仗,2025-03-18 07:33:01,0,1,干饭人٩( 'ω' )و ,未知,是,https://i0.hdslb.com/bfs/face/cbb1c0b8b92c79b1226715f6f55741978281e03d.jpg
18,0,257878289472,402839516,啃笔小陈陈,5,保密,都快改来玩改的越贵越好！我要狠狠夺舍,2025-03-15 18:19:23,0,1,,未知,是,https://i2.hdslb.com/bfs/face/ebdc2abe882b337562ecc1b537f8440d57665d74.jpg
19,0,257717159536,14916042,葡萄葡萄成熟后,5,女,纯绿跑刀 攒钱买蝴蝶刀 70💰1000万 可平台可直播,2025-03-14 02:45:37,0,0,江湖一碗茶 喝完各自爬,未知,否,https://i0.hdslb.com/bfs/face/75996f50c8b7dad1577b632e5a867b6815d151b4.jpg
20,0,257705764800,357498604,菜黄兔,6,保密,何晨光的枪？,2025-03-13 21:35:45,0,0,,未知,否,https://i1.hdslb.com/bfs/face/6f47d6ec4f124e48698bb77a407834a9c0feca99.jpg
23,0,257703025520,23512847,刹颜G彼岸花,6,男,拿给子轩玩[doge],2025-03-13 18:43:25,0,0,swich：莲叶红sw：120665963606,未知,是,https://i2.hdslb.com/bfs/face/c1b9e2bcf8a9fdaf801a956c2823d3721f52c446.jpg
24,0,256908642625,330453166,冰糖雪梨费洛蒙,6,男,这把可以上最便宜的8倍 带个骑士握把就可以冲了,2025-03-13 14:37:56,0,0,,未知,否,https://i1.hdslb.com/bfs/face/7d7f62051f38bad4fd859f02130f5ae8ad568c01.jpg
25,0,257436588112,3494366832233347,柳贯一方桦,5,男,有人可以推荐一下全面战场，要腰射稳的枪吗？求求了。,2025-03-10 11:16:39,21,32,"曲折穷途天地窄，重重灾劫生死危。
身如柳絮随风扬，无论云泥意贯一。
              「在下，柳贯一」",未知,否,https://i1.hdslb.com/bfs/face/28b1cdf25fdbb9e5cca2f7c212a03fa467dae530.jpg
26,0,257422192832,360944701,TTFIKUN11451,6,保密,@华夏单身狗保护协会 @Ryuzlk1_15 @赤石狂魔 @Redol狐 @地铁忧郁哥 @歇菜MaYB1e @北街门市部 @滑鱼qwq @zhgcbl,2025-03-10 07:52:59,1,0,随便发东西,未知,否,https://i1.hdslb.com/bfs/face/60910205877acb67b3d5c8a6c33def28cf46ff14.jpg
27,0,257392879792,3019118,岚林的山猫,5,保密,vss只适合大坝，地图小点位少，能发挥高伤害和100米外无声的优势,2025-03-09 22:31:46,0,0,别停止奔跑，虚无会追上来。,未知,是,https://i2.hdslb.com/bfs/face/0739df40c8cf5689dece072bda33086850f055cc.jpg
28,0,256601751713,523598790,三多多三多多,5,男,@战术级子轩,2025-03-09 13:49:22,0,0,,未知,是,https://i0.hdslb.com/bfs/face/c30996d577a8bce1457ad565230ed121aeb02b89.jpg
29,0,256572924337,687715756,雪不辞冬,5,保密,上次在离心跟堵桥的人互架，拿这把枪一不小心把隔壁蓝鹰打坠机了,2025-03-09 07:27:54,0,4,,未知,是,https://i1.hdslb.com/bfs/face/2d5a6a2e4dfa2f723b85e1e87e527bd73c0e1abd.jpg
30,0,256510322337,3493128061323785,要成为IV7的人,3,保密,一念神魔,2025-03-08 12:27:03,0,0,,未知,否,https://i2.hdslb.com/bfs/face/ad17927a1c10c1ab1e5c9c34dd07358897d00b72.jpg
31,0,257264679904,601554123,亚屎勒梁非凡,5,保密,我百分百精准的m4[笑哭],2025-03-08 09:58:14,0,0,,未知,是,https://i0.hdslb.com/bfs/face/07275fd0c4e6f4bf1bc4badc5363abec1f01291d.jpg
32,0,256490418433,3493126108875476,浩浩cute_,4,保密,bro以为自己在玩暗区突围,2025-03-08 08:13:21,0,0,,未知,否,https://i2.hdslb.com/bfs/face/4add3acfc930fcd07d06ea5e10a3a377314141c2.jpg
33,0,257237312720,3546394428181246,希源长晖,3,保密,这不叫不经意，这叫玩别人玩剩的,2025-03-08 03:55:41,0,1,我无惧艰阻，belli dura despicio，吾将新生，于灰烬中重铸吾之荣光,未知,否,https://i1.hdslb.com/bfs/face/33bb391baf37b7c495dcccc451b6fcc61eb5ae97.jpg
34,0,256460134577,3546375664961582,首领_赛伊德,4,保密,暗区后遗症,2025-03-08 01:02:30,0,1,,未知,否,https://i2.hdslb.com/bfs/face/5ca965da8cee56cc9703f5f7b29cd3f8f98dd3bc.jpg
35,0,257188671536,3493288925465334,贵州鱼丸电竞版,4,保密,这才是真正的神器,2025-03-07 12:02:14,16,30, 贵州鱼丸在三角洲等你,未知,否,https://i0.hdslb.com/bfs/face/50026120f1b617d69e4c37f851b3fe697b642749.jpg
36,0,256336685505,39622493,神极贱圣,5,保密,腰射100的枪就像打cs,2025-03-06 09:57:30,0,0,,未知,否,http://i0.hdslb.com/bfs/face/member/noface.jpg
37,0,256323865617,305873069,四谎的宝,6,保密,[笑哭],2025-03-06 06:21:31,3,2,无,未知,否,https://i2.hdslb.com/bfs/face/1bd8d50581fe9bf6536948830acfd492f92e5f0f.jpg
38,0,257075101824,172268008,熊飞鱼汤,5,保密,这套握把换密令是真能玩,2025-03-06 04:11:45,0,0,,未知,是,https://i1.hdslb.com/bfs/face/a797953f815b31af5df856aa2e44cfb176e4de5f.jpg
39,0,256294235361,230367389,烟火覆盖尘埃,6,女,神经,2025-03-05 17:36:41,0,1,恭喜发财,未知,否,https://i2.hdslb.com/bfs/face/d55cf0f690e21686774489e1af8cba75717a36f1.jpg
