序号,上级评论ID,评论ID,用户ID,用户名,用户等级,性别,评论内容,评论时间,回复数,点赞数,个性签名,IP属地,是否是大会员,头像
1,0,262192477712,14480437,-Boge-,6,男,一切战术转换家，神圣的孙一峰连接着我们,2025-05-06 14:43:47,0,0,嗷呜——嗷——,未知,是,https://i1.hdslb.com/bfs/face/ee11abbcf90cef6e81f3725fb985ea81d54fbfbb.webp
2,0,261188057553,1448994675,北冥洛雨,5,女,守方也不是傻子，有一句就是我们正面都快被冲烂了，剩D1和D2两个点，我玩麦鼠鼠两个点之间来回绕后下音标，每次一个点丢了就又能拿回另一个点，硬把攻方拖死了,2025-05-05 17:46:18,0,0,每一天都是崭新的一天！,未知,是,https://i0.hdslb.com/bfs/face/4641e17494945e2757679675a772ee05f118b401.jpg
3,0,261103543777,412888889,如冬以捋,6,男,我有一次就遇到过这种[笑哭]此后烬区打B2我必蹲B1房顶，打C2必蹲进门左手边木箱,2025-05-04 18:23:02,0,0,我是否可以理解为，你很在乎这件事？,未知,是,https://i2.hdslb.com/bfs/face/eaff6165274ee64cf4f8f27aa79882d2ff747195.jpg
4,0,260986507841,3546753863256692,哗啦颂,3,保密,怪不得同学不让我狙击[笑哭],2025-05-03 12:25:05,0,0,,未知,否,https://i2.hdslb.com/bfs/face/5b6ddabb1380fde66c239e1e7d6b3d515b337a41.jpg
5,0,260924655105,268924257,夏泽魔王,6,保密,人都麻了。,2025-05-02 17:25:34,0,0,,未知,否,http://i0.hdslb.com/bfs/face/82e612c32bfa920d3bce93e97b7fee9b28a15417.jpg
6,0,260862291681,3546575374649469,atsmdf,4,保密,@Texassilenzio @天才狐小狐 太真实了,2025-05-02 03:41:44,1,1,,未知,否,https://i0.hdslb.com/bfs/face/member/noface.jpg
7,0,260822311569,11185094,RockstarGamers,6,男,2042曝光最后两个点belike：,2025-05-01 13:32:05,0,0,,未知,否,https://i2.hdslb.com/bfs/face/4ddbc0c47f686349478ce9c224d8f766d01e1d8b.jpg
8,0,261583157920,385328613,游戏热衷者,5,男,乌鲁鲁说的那个坐牢是什么意思？,2025-04-29 12:39:35,0,0,总有一天我能在B站上得到一份自己的名声,未知,是,https://i0.hdslb.com/bfs/face/b91a4c2c89c6f13a7c8496f68cfb6c8d95a67430.jpg
9,0,260580793825,646454768,天降堂主,6,保密,@米粉小生,2025-04-28 12:30:28,1,0,,未知,是,https://i2.hdslb.com/bfs/face/783491a5757b480d525be49c704ad63075e8066f.jpg
10,0,260516580129,696476373,初晨凌岳,4,男,@萌新两仪 @混与沌的呆帝,2025-04-27 14:52:47,0,1,这个人很懒，什么也没有留下,未知,是,https://i0.hdslb.com/bfs/face/c5ef96f208d9f9be73ec93a1870a973259131597.jpg
11,0,261089420880,36860406,岚叶琴梨丶秋,6,保密,因为守点不加分,2025-04-23 09:24:15,0,0,这就是签名,未知,是,https://i0.hdslb.com/bfs/face/2a60adf0be6ea48e96406ca6dcd6e1a7f0d7bcdf.jpg
12,0,260117034433,291069999,让我康康是怎么个事,5,男,最爽的一次，占领模式一个人占一个点，占完刚好我方占下所有点，直接赢[OK],2025-04-22 11:38:54,0,0,,未知,否,https://i0.hdslb.com/bfs/face/b742421f7f6bd62a1962c25377e78f0b827e21ff.jpg
13,0,261011735088,609870410,无情の生物长颈鹿,6,男,搜索：三角洲行动骇爪本子,2025-04-22 09:24:19,0,0,,未知,否,https://i2.hdslb.com/bfs/face/bfa25c2f35357674c8730aaa5dda3df9c9fe1221.jpg
14,0,261011686608,40340716,再氪一单下次一定出,6,保密,占了点后应该在点里安置一个大信标 然后再去攻另一个点 攻进去之后在里面放个小信标 否则那就是疲于奔命,2025-04-22 09:22:34,0,0,年轻真好，什么牛批都敢吹～_(:зゝ∠)_ ,未知,否,https://i1.hdslb.com/bfs/face/cd4652e789bc446096118e9a3b4993cc22c9fd89.jpg
15,0,260885332048,543315620,粘贴板丶,5,保密,确实很对啊，我有一次打大战场，我去了c1只有我一个人在攻，剩下的所有人都在c2[笑哭]我旁边的我朋友也在c2，他说c1只有一个队友诶，我说那人是我[笑哭],2025-04-20 15:47:57,0,0,,未知,否,https://i2.hdslb.com/bfs/face/eb101ef90ebc4e9bf79f65312a22ebac84946700.jpg
16,0,259919629297,481018373,枫叶红之歌,6,保密,高温了，断轨A堆了一百多兵力拿下了，B绕后打掉几个寄了，然后突发奇想的抢了运兵车，开桥上下人，结果我偷侧身都百杀排名第一了，队友还在塔高台打狙，要不就是下来就白给[热],2025-04-20 01:22:09,0,0,bondage,未知,否,https://i2.hdslb.com/bfs/face/f4d134b6b6699c3502820c276de030019267dbf4.jpg
