序号,上级评论ID,评论ID,用户ID,用户名,用户等级,性别,评论内容,评论时间,回复数,点赞数,个性签名,IP属地,是否是大会员,头像
1,0,261227847121,672560,彪悍的VooDooX,6,保密,因为HKdoll姐姐就是戴口罩的,2025-05-06 09:54:08,0,0,,未知,是,http://i2.hdslb.com/bfs/face/a3653e23499e42e4f13d0c14da1eac26ca035532.jpg
2,0,261203659057,375042377,落花语逝,6,男,评论区那楼在讨论科学的，你们不要只看那个飞刀，你们有没有想过都已经一狙不打头就打不死人的狙击枪还有重生信标，盾狗的神奇大盾，杀人就刷新的喷气，你们真的还有必要讨论在游戏里面讲科学吗[我家大师兄脑子有坑_吃瓜],2025-05-06 03:14:36,0,0,,未知,是,https://i2.hdslb.com/bfs/face/5454802b393cb37e0f61102c34982472979c48c0.webp
3,0,262122000016,429867433,卧狮拟蝶,5,男,因为戴面罩好看，建模也比脸简单。,2025-05-05 15:48:51,0,0,素质？口感很差,未知,否,https://i1.hdslb.com/bfs/face/c9c95a5d65fc4a1ae012cb9b43e50e75f45b745c.jpg
4,0,262048779008,38526012,奇利亚斯豪华版114514型,6,男,面具遮丑,2025-05-05 00:03:53,0,0,装配，行动，完美,未知,否,https://i0.hdslb.com/bfs/face/054f3df2ff65b41ad5ae8ab87acfea518989e458.jpg
5,0,262043592528,3493081208851237,一片树叶13,4,男,我一直都不知道他是个猫娘,2025-05-04 19:36:49,0,0,每个月末才有机会看b站，除了暑假寒假。,未知,是,https://i1.hdslb.com/bfs/face/4e1e6230ab45ec4008e6d8f747ed082d263d7976.jpg
6,0,261088597489,382625183,史上最帅的小墨,6,男,麦晓雯的父亲不是哈夫克的总裁嘛,2025-05-04 14:41:17,0,0,,未知,否,https://i2.hdslb.com/bfs/face/c60652774e341aa5cf38e778d9724bbd81466d7c.jpg
7,0,262025547216,1049622349,梦の狐,5,保密,因为男的叫嘉豪 女的叫晓雯[笑哭],2025-05-04 14:32:16,0,0,宝马鸭llIIIIlIllIIl（暂时的离开不代表永远的离开 ）,未知,是,https://i1.hdslb.com/bfs/face/732a8ff1aeaa032225f458b2039ccc1a852ad627.jpg
8,0,261050912593,3461571489564858,某拙,5,保密,做的网安看了有点点出戏但是放游戏里没问题,2025-05-04 07:07:33,0,0,,未知,否,https://i0.hdslb.com/bfs/face/0c50520bd4f0a5d6617f5d682646f94d57daddc7.jpg
9,0,261050968849,3461571489564858,某拙,5,保密,做的网安看了有点点出戏但是放游戏里没问题,2025-05-04 07:07:33,0,0,,未知,否,https://i0.hdslb.com/bfs/face/0c50520bd4f0a5d6617f5d682646f94d57daddc7.jpg
10,0,261011304977,1897364975,是正负极啊,4,保密,看到威龙彦祖的皮肤真的很感慨，亚洲的颜值就靠两个人撑着，彦祖已经渐渐老去，我真的不知道我还能撑多久。。。,2025-05-03 17:20:23,0,1,先赞后看，已成习惯,未知,否,https://i2.hdslb.com/bfs/face/f13cc3f79bda7f3c5c047593e10ff8c532128f43.webp
11,0,261922242464,101689928,ID101689928,5,保密,只玩战地那两模式，这飞刀不能换手雷或者烟雾弹，难受死了[笑哭],2025-05-03 12:28:22,0,0,见人说人话，见鬼说鬼话,未知,否,https://i2.hdslb.com/bfs/face/96513044b00207fec360b2565af485ce3d0c672e.jpg
12,0,261791623328,1190683629,正在笑的胆小菇,4,保密,这东西大招距离是真短[笑哭],2025-05-02 03:05:40,0,0,,未知,否,https://i0.hdslb.com/bfs/face/5135a1a1308f5b77513783ba815511d59bb9e50e.jpg
13,0,261789781728,554714,入乡随俗,6,保密,这几句粤语啥意思？听不懂,2025-05-02 02:40:24,0,0,观看并回复自己很久前的发言，是一件很有意思的事情,未知,否,http://i2.hdslb.com/bfs/face/4a5cebeb547441459bf2263d9aa1b177a5fbf38a.jpg
14,0,261608865312,293800637,千秋竞歲,6,男,所以她为什么戴面罩啊？,2025-04-29 20:38:02,0,0,然后，向着明天,未知,否,https://i2.hdslb.com/bfs/face/4752fbb852dc8f04e86e09430a38761c01b30dd2.jpg
15,0,261536828720,2058594506,cacatitho-,5,保密,玛德，这角色我越看越像HKdool[脸红],2025-04-29 01:11:40,0,0,排愁消烦忧，驱害辟凶邪,未知,否,https://i2.hdslb.com/bfs/face/5ecb400c96b10de48494e14fd968948f0eb05ddd.jpg
16,0,261465603824,85745730,Kinatu,6,保密,3D区又添一员大将,2025-04-28 03:15:22,0,1,,未知,否,https://i0.hdslb.com/bfs/face/462e226c08ffb583b6635dce3491978f12c3ecb5.jpg
17,0,260499191089,3493288495548779,DB-ppq,3,保密,挂一个蠢逼，抢包不说还骂人，具体骂的很难听总之和家人有关，我一向认为祸不及家人，这么做很过分所以我顺手给他挂了,2025-04-27 11:10:09,0,0,,未知,是,https://i0.hdslb.com/bfs/face/member/noface.jpg
18,0,261351553872,33744247,影之国-斯卡哈女王,6,保密,马甲线好看,2025-04-26 13:39:00,0,0,把B站当BB空间的穷画手一位ORZ✔,未知,否,https://i1.hdslb.com/bfs/face/5462533400810e15e7aa39967f10f6d80194a35d.jpg
19,0,260377678225,2140811172,星人之梦,5,保密,因为腾讯不会做脸模🤔,2025-04-26 00:24:49,0,0,看主页查成分是你最后的倔强吗？,未知,否,https://i0.hdslb.com/bfs/face/6273ab64384adcd0c014bddfd5bcd7544e330c46.jpg
20,0,260313356337,420310153,丶BBlili,3,保密,hongkongdoll,2025-04-25 04:31:50,0,0,,未知,否,https://i1.hdslb.com/bfs/face/e27e46d017d4fbcfe367de47907e7053ea802a8a.jpg
21,0,261084642000,2890403,想吃可乐鸡派的死神,6,男,倒不如说中国干员都在把脸遮起来[海虎武神系列 表情包_好笑],2025-04-23 08:05:04,0,0,,未知,是,https://i2.hdslb.com/bfs/face/84583ebad0a54383353600c13b2bbefa4189c087.webp
