序号,上级评论ID,评论ID,用户ID,用户名,用户等级,性别,评论内容,评论时间,回复数,点赞数,个性签名,IP属地,是否是大会员,头像
1,0,262198126240,27160006,狼先生很傲娇,6,男,之前打护航的时候，在总裁长廊打架，听到楼下有个脚。看了一眼发现在做停火动作，也打了暗号，但是当时另一个护航队友被总裁的人打倒了，只能急匆匆的打了个暗号，然后跟老板说了一声，让老板拿枪看着点他，免得上来偷我们屁股。打的最激烈的时候他上来了，我回头看了他一眼，看他拿的刀就没管他，老板被对面打倒的时候他也帮忙封烟，好在最后打赢了，带着老板和那只鼠鼠清图了，但是毕竟是护航，值钱的东西都优先给老板了，老板吃不下的我就都给鼠鼠了，身上的大红包也给他了，他不要的时候，我就拿枪指着他，最后也是把身上所有值钱的都给他了，当时他把一个我杀的人的身份牌送到我面前，我当时只以为是看到了被杀的人段位是巅峰觉得我厉害，没想到他是在确认是不是我，好出来加好友,2025-05-06 15:53:43,0,0,,未知,是,http://i1.hdslb.com/bfs/face/05886aaab6854d4a9dd0766fb0c2a54aabf205eb.jpg
2,0,261250468849,660456874,掠掠掠掠掠掠掠,5,保密,@zeroのtwo,2025-05-06 14:45:20,0,1,这个人很懒，什么都没写.......,未知,是,https://i1.hdslb.com/bfs/face/b26b246c1f43c0a90da8fe2d9d7bcac96d4d23ef.jpg
3,0,261237839905,11637398,美丽的花儿姑娘,6,保密,屏幕前，三人人笑得很开心：“哎，你们说，咱们以前怎么碰不到咱们这样的好人呐”,2025-05-06 12:07:58,0,0,,未知,否,http://i2.hdslb.com/bfs/face/adb69cf571d49ac3250889524dd9a3c4ed711b2e.jpg
4,0,261237322465,3546600204929066,对谁心动了l,4,保密,之前开完卡被人堵，以为是好人，骗完物资砍死我，现在我变成追着人贴c4的威龙了,2025-05-06 11:58:06,0,0,,未知,否,https://i2.hdslb.com/bfs/face/25fd4609b4470d4fba38d27442d2a7be5236b885.jpg
5,0,262169577392,243676521,大葱_Offical,5,保密,视频后面送柠檬茶 真细节啊[Mygo表情包_大哭],2025-05-06 09:58:55,0,0,初次见面      然后忘了,未知,否,https://i0.hdslb.com/bfs/face/4a83351947cf0a6099f2af383ccf4764176f7e9c.jpg
6,0,261219605729,503458670,龥鋆,5,男,昨晚打到凌晨，巴克什吃了三百万，撤离的时候扫到个四套威龙，都准备灭了，结果他打暗号了，我信了，走过去给了他个劳力士，然后他转手给我灭了，后面出来看了一眼，他那局五百万[微笑],2025-05-06 07:31:27,3,3,相遇总是措不及防，离别总是蓄谋已久。,未知,否,https://i2.hdslb.com/bfs/face/367d4b4061b0e125b5ddaf79b622f955b67b5f4d.jpg
7,0,261214469665,1189441668,伏特加混防冻液,5,保密,"对不起……我愚蠢到连鼠鼠都能弄丢[难过][大哭][大哭]
动态第一条是详情，要是能遇见鼠鼠我一辈子不出红都愿意[大哭][大哭][大哭]",2025-05-06 05:50:36,0,0,"豪人来了有斩首大刀
键人来了有斩首大刀
普通人来了有斩首大刀
你来了有斩首大刀
我来了有斩首大刀
他来了有斩首大刀",未知,否,https://i0.hdslb.com/bfs/face/8ab50058ef5e144ce75eb1c95031b6943144eac5.jpg
8,0,262149154384,636362203,海灯逐月,5,保密,机密单三遇到满编队要么跑要么赌对面友善，反正一身破烂也不怕对面给杀了[笑哭],2025-05-06 04:22:17,0,0,吾心吾行澄如明镜,未知,是,https://i1.hdslb.com/bfs/face/ae6adc01a85ff829740d406939de4c4ce241b88f.webp
9,0,261192256241,3546754442070680,白訡,3,男,没有电脑被说手游一辈子的绝望高中生,2025-05-05 21:39:35,0,0,,未知,是,https://i2.hdslb.com/bfs/face/6c655b325ae93ca7e43e8fb4324afbc64808df9d.jpg
10,0,261190359665,3546729389492767,清风在黑夜里,4,保密,@我们说喜欢毛米,2025-05-05 19:15:18,0,0,,未知,否,https://i1.hdslb.com/bfs/face/80f05a9df3700f3e061ea3e36e7cfbb7fd01eebe.jpg
11,0,261182536977,344313162,heludu,5,男,以前的apex的感觉,2025-05-05 15:58:55,0,0,Some born Roman，some born for Roman.,未知,否,https://i0.hdslb.com/bfs/face/43c521f9827b40d7c1f3c88c95bf115f1ba8a43c.jpg
12,0,261165618353,3546563064367851,鸟Ac,3,保密,[大哭],2025-05-05 12:30:52,0,1,,未知,否,https://i0.hdslb.com/bfs/face/4e6d5c887f059bbe0cc41ddd9abec139a997a9fd.jpg
13,0,262047233936,3537106209082017,恼椰,4,保密,这手游没一个懂暗号的,2025-05-04 23:10:55,0,1,一只宅人,未知,是,https://i0.hdslb.com/bfs/face/67a5b03cdb190e4ca50f5bd0db6999ea002613a7.jpg
14,0,262039920512,1394559406,我玺子哥贼帅,2,保密,5月4号晚上，解密巴克什跟别人打暗号，他不仅给了我一根金条，还直接手炮自雷，把东西全让给我了,2025-05-04 17:39:07,0,0,,未知,否,https://i1.hdslb.com/bfs/face/71da0d088d3bbfd9ae4c6980913fbfca7501d1dc.jpg
15,0,262000278496,3546841639553932,乱取名字的一个靓仔,2,保密,此时自信的你打开了手游,2025-05-04 09:55:53,0,0,,未知,否,https://i1.hdslb.com/bfs/face/e0901bd4b12c97117f528c2c25e9b1c1cbf84321.jpg
