序号,上级评论ID,评论ID,用户ID,用户名,用户等级,性别,评论内容,评论时间,回复数,点赞数,个性签名,IP属地,是否是大会员,头像
1,0,254298590800,7894814,刚来谁是CHU,6,男,@Kyo_ow,2025-02-03 11:37:00,0,0,这里是二次元网站？什么二次元？没听说过？你B可是要赚钱的,未知,否,https://i2.hdslb.com/bfs/face/64f4a80ff898d21f1c9ac7e7bec67f8bb1a7dd0b.jpg
2,0,253533652209,3546619947518771,英文童话故事机,3,保密,前头那有个飞机箱子，咱去摸摸哈。,2025-02-02 07:40:35,0,0,,未知,否,https://i2.hdslb.com/bfs/face/d1edab7adb4effc2879dad02d97d4c030be180d5.jpg
3,0,252051283744,342512415,Ai-孤舟,5,保密,这标题太吸引人了，是不是要加入实验组？🐭🚀,2025-01-10 20:42:55,0,0,我不做人了！无聊的世界，无聊的我！毁灭吧！,未知,否,https://i0.hdslb.com/bfs/face/1027eb2fa76045405b1ac16c6c803af6ffaa2473.jpg
4,0,251547051360,3546829343951040,锦梦之夜,2,保密,第一个红,2025-01-05 02:30:18,0,1,,未知,否,https://i0.hdslb.com/bfs/face/665ef15742f198de298b8c00a5bb56642d82fc2e.jpg
5,0,251529790336,501736303,落日赶繁星,5,保密,有没有大佬带飞我这个新手，我捡点剩下的就行[脱单doge],2025-01-04 17:32:42,0,0,,未知,否,https://i1.hdslb.com/bfs/face/449ca77e157dac6372a415303a40eb6d647f1b26.jpg
6,0,251516400464,389689330,途锐迪卡,6,男,我踏马真服了，我刚买的m700，ak，沙漠之鹰满配，我一打三打了半天杀了两个，第三个不知道用啥给我秒了，反正不是狙，我真是醉了，这么弄以后我哪敢上去带狙啊，我也啥配料都不上了呗,2025-01-04 14:43:45,0,0,乌拉！,未知,否,https://i1.hdslb.com/bfs/face/9c2301bb7df458c2cdb9130d03273229ce6a1729.jpg
7,0,251494616832,3546585459853828,落盘,3,保密,绝密长工出了个这个。[洛天依·收藏集表情包_吃瓜],2025-01-04 10:42:54,1,0,,未知,否,https://i1.hdslb.com/bfs/face/e6946ecdf645cb26da0aa73d71a838e12c031d29.webp
8,0,251448918800,3493145362827928,哈夫克士兵丶_,4,男,58块护航出心，已经立了,2025-01-03 23:53:10,0,0,我们大肘子玩家真的是太有实力了～,未知,否,https://i1.hdslb.com/bfs/face/006aa83645272e1f7a39b914594504bc15134c38.jpg
9,0,251445754528,389689330,途锐迪卡,6,男,我最近才开始玩这游戏，喜欢玩狙，一共大概打了没十五把，买了五把m700，一把awm（买不了子弹请教各位大佬怎么能买啊），两把mini14，手机打这游戏有点压不住散热，端游打了三把全部撤离失败，我是真不会玩pc游戏[辣眼睛]好几次破产，我真的服了，我现在都不敢带狙,2025-01-03 20:37:17,9,6,乌拉！,未知,否,https://i1.hdslb.com/bfs/face/9c2301bb7df458c2cdb9130d03273229ce6a1729.jpg
10,0,251443494128,1465115928,皮皮狗很牛掰,5,男,为啥没人喜欢用K416啊？我觉得挺好用的。,2025-01-03 18:52:50,1,0,,未知,否,https://i0.hdslb.com/bfs/face/2ce773a345b78891aeb3e06d06cc2b066c1162de.jpg
11,0,251431914544,499085138,seismi酱是蓝孩子,5,保密,"三角洲代肝6.5比一百w现金
三百万起步走平台不先",2025-01-03 15:28:41,0,0,"商务合作：微信:W3124533476qw
粉丝群:674751159
",未知,否,https://i2.hdslb.com/bfs/face/588e0d619ca5d26f5795749b83512872fe71164b.jpg
12,0,250756087457,259406285,Highstarsplus,6,保密,鸟窝出了军用电台，核能鸟啊,2025-01-01 18:35:30,0,0,,未知,是,http://i2.hdslb.com/bfs/face/f5214f67e52ee43aa3db76abdb5d36b9a487427c.jpg
13,0,250703917937,3461568079596080,L小狼L,5,保密,平均kd1.1，之前打大坝掉了很多，现在主要还是打航天，航天比较厉害，机密能接近2kd，有素质不抢包，活下来了一起分物资，找个爱笑并且有实力的队友[doge_金箍],2025-01-01 07:25:39,0,0,不是福瑞,未知,是,https://i2.hdslb.com/bfs/face/a5b23ed4407b2c52a7792d19b6100c8fef871267.jpg
14,0,250633351185,1293640694,爱妃妃妃妃妃妃妃妃妃,5,保密,为啥我机密大坝战备30w左右匹的是5套金蛋，70w战备还是5套金蛋，我4蛋打不过啊，还碰到很多死噶H和m7，直接秒我,2024-12-31 11:44:22,0,0,你的人生不是现场直播，每一天都是彩排，不要害怕观众的眼光，放心大胆的去做，当你站上山峰回头看你越过的荆棘、淌过的河水，那是别有一番滋味呢,未知,否,https://i2.hdslb.com/bfs/face/55d89792170d261ac5a8a5c69f8a449b1eae2999.jpg
15,0,250562525169,1353338697,真っ黒な鳥,5,男,寻血猎犬群里看到的，真的南蚌，笑死我了[大笑],2024-12-30 14:00:19,0,0,视频来源于网络，侵权联系删,未知,否,https://i0.hdslb.com/bfs/face/8bf5e75f241ab2c1ffba47b9fb77cd9f550958ff.jpg
16,0,250551616161,538211461,凉-星,5,男,孩子们，BGM是什么谁知道,2024-12-30 11:45:21,0,0,您與EA伺服器的連線已中斷。,未知,否,https://i1.hdslb.com/bfs/face/b85a5033356dda220856cf155679cdaef3eb1209.jpg
17,0,250448181153,180512165,比基堡海绵豹豹,5,保密,"之前内测玩的时候就感觉匹配机制逆天了，然后现在回坑3天，在普通大坝长弓天天打吴涛顶穿哥（我打制式）打了3天受不了了卸
了",2024-12-29 06:54:42,0,0,,未知,否,https://i0.hdslb.com/bfs/face/member/noface.jpg
18,0,250887953744,508791002,钮祜禄鬣狗,5,保密,不是我打死的我会吃剩下的，我打死的只要不是很过分啥都抢我也不是很介意野排队友璇，而且我不是很喜欢璇保险[笑哭]好坏参半，有些真是非人类,2024-12-28 11:54:27,0,1,,未知,否,https://i2.hdslb.com/bfs/face/792e4c48c3359466f3ccaa65a179dcf47717fb41.jpg
19,0,250874857936,651119145,极影辰风,4,保密,真是个78up主,2024-12-28 09:10:47,0,1,,未知,否,https://i0.hdslb.com/bfs/face/member/noface.jpg
20,0,250861152848,1009825315,车恍,3,保密,有一起玩的吗？想找游戏搭子,2024-12-28 05:48:32,0,0,,未知,否,https://i1.hdslb.com/bfs/face/af72f42acd54437d0fb3e8bc694b24d9e4140555.jpg
32,0,250337396625,7905267,有爱的人丶,6,保密,太帅了，果然这游戏还是只能看主播玩了，这种图我进去都不想进。,2024-12-27 23:18:32,0,0,。。,未知,否,https://i0.hdslb.com/bfs/face/77871ca77e5dd617b6b6c589eb81e6a2af4e1fa7.jpg
33,0,250798145696,107674435,E01_n,6,男,已经练就出了看老飞宇视频用开声的神技[doge],2024-12-27 10:45:28,0,0,"torch.Tensor(np.arange(0,int(np.inf),1))",未知,否,https://i1.hdslb.com/bfs/face/f0dc9506187a2d2dcf1f0434f3046e9bc06c0e18.jpg
34,0,250697907744,26364731,满树樱花不及李丶,6,男,想问一下战斗的时候那个很燃的BGM 是啥来着。,2024-12-26 06:56:49,0,0,凄凄切切,未知,是,https://i2.hdslb.com/bfs/face/fbd17c8df534a44b09f33c4181a5c6b2acaa220c.jpg
35,0,250111442721,343893794,千年朦胧,5,男,今天打普坝缴到一把共振套的m4，但是对面是2套2弹，被我蓝弹mp5洗甲秒躺[doge_金箍],2024-12-25 03:25:38,0,0,b站百大up主 b站签约主播 年度大会员,未知,是,https://i2.hdslb.com/bfs/face/63412d1ac4eadb1750c3d74c93fbcb6b0cc919e1.jpg
36,0,250575947488,3494366949673230,心肌蛋白痴,5,保密,我测，今天好像遇到老78了。打普坝跑刀进行政刀老赛被78主包团灭了。,2024-12-24 16:06:41,0,0,好きッス！！！,未知,否,https://i0.hdslb.com/bfs/face/ae8c2c8d737258ded20fe31766ab7138eb5f4ccb.jpg
37,0,250066692129,40159858,Atreia的守护者,6,保密,开头的曼波音乐是什么,2024-12-24 11:45:35,0,0,(ง •̀_•́)ง,未知,是,http://i1.hdslb.com/bfs/face/96bdc0fea9429ab4eefd5211099ef2136d27014a.jpg
38,0,250013110177,199597496,将子尚能复来,5,保密,求 bgm,2024-12-23 17:02:47,0,0,这世界上最恼人的苦莫过于，明明自己还算争气的在过日子，生活还像是中了邪一样倒霉,未知,是,https://i2.hdslb.com/bfs/face/3690ac2516fb0093440a83a5ad4229c70bf1e71d.jpg
39,0,250460594848,623813211,-荔枝妃-,5,保密,太牛逼了，感觉下次去航天捡垃圾都能带出来百万[笑哭][笑哭][笑哭],2024-12-23 09:32:53,0,3,,未知,是,https://i0.hdslb.com/bfs/face/2106513b632bdc9ddaae1d33b48da04419e9d306.jpg
40,0,249903562257,52165064,你愿意跟我做朋友吗,6,男,匹到的10个医生11个cs，吊用没有，拿吧wkt进图，我们打架他搜东西，我们打完了过来舔包，毫无13脸，还有脸叫[翻白眼],2024-12-22 10:23:34,0,0,若不是心有牵挂，我早已心存死志,未知,否,https://i2.hdslb.com/bfs/face/05e12faa1210c923772082bd6bdc42bc94e37aeb.jpg
41,0,250353653792,3537120209669027,破产鼠鼠求放过,2,保密,我只有九万了，是真的破产了（仓库里一堆东西）,2024-12-22 04:10:23,0,0,,未知,否,https://i0.hdslb.com/bfs/face/member/noface.jpg
42,0,250309155312,3493089140279675,名称jiao,4,男,跪求第二段b gm,2024-12-21 13:29:30,0,0,所以呢，cheems，你就要这样度过一生吗,未知,否,https://i2.hdslb.com/bfs/face/61709f320c384f75c469c35d2131c11792178b9e.jpg
43,0,249697305425,3546580732873082,欲岩又ガ,2,保密,原来我早就破产了,2024-12-20 01:40:46,0,0,,未知,否,https://i2.hdslb.com/bfs/face/a75419ba3ae1e148a9e00b89640f58de4ab560eb.jpg
44,0,250151468448,3461564212447845,想一觉醒来变猫,5,男,有没有教程就是单三跑刀鼠鼠复活在牢位怎么办[大哭],2024-12-19 22:42:21,0,0,"我有五个人格
第一人格：早八起不来床晚上睡不着觉的苦比
第二人格：特种兵
第三人格：阴阳师
第四人格：召唤师
第五人格，启动！
",未知,是,https://i0.hdslb.com/bfs/face/dd2be9c76e4664a8af2e10881cc7552f1d5704d5.jpg
45,0,249690667265,35336857,meg格里芬,6,男,1300万哈夫币，一直刷大坝普通[doge],2024-12-19 22:05:07,0,0,四线土著，hk海归文科，tzn，隔应数理化生体计工科领域内看不起文科的lj。不服来怼,未知,是,https://i1.hdslb.com/bfs/face/74d9f239e4b27c3100a2cddfb649d021810ea2bb.jpg
46,0,249634590129,1208763066,安澜一直勇,5,男,这游戏一把几个队捏,2024-12-19 05:39:41,0,0,,未知,否,https://i0.hdslb.com/bfs/face/99054e94078f41304a3f724f59f5023e48abdd9b.jpg
47,0,249519026049,29273379,博弈此生终至无情,6,保密,用小绿帽开了把普坝做任务，别人舔过的地上有个燃料电池塞不进裤裆，一分钟后一队四套就直冲我来了[微笑]，一级蛋小ak的无力感，一梭子甲没碎,2024-12-17 16:10:34,0,0,,未知,否,https://i0.hdslb.com/bfs/face/04ffea9037ffca23cc1319b3cb582ef4f431d27f.jpg
48,0,249933420624,302450832,无聊的母鸡294,6,保密,怎么把枪的配件一键拆下来的，我按f和双击都不行,2024-12-17 08:52:06,0,0,我有癔症,未知,是,https://i0.hdslb.com/bfs/face/002919335b2d687539b843698312aaa2b75f5a17.jpg
49,0,249914578624,394009819,立盹行眠领域大神,6,保密,byd你这是老鼠人吗，我们老鼠人才不是这样玩的[生气],2024-12-17 04:17:19,0,0,"笑望沧溟千军破
策定乾坤算因果
无觉无惧轻生死
非鬼非神似疯魔",未知,否,https://i1.hdslb.com/bfs/face/c0a37d5f65f35582c070239169a646b3a0acd0c1.jpg
50,0,249382861953,224486664,今天太阳熟了嘛,6,男,能说啥了,2024-12-16 04:07:31,1,0,,未知,是,https://i0.hdslb.com/bfs/face/65bb10bf4c7ec38db57773d3e00eff08655d6cc1.jpg
51,0,249795513152,1396239626,OUtLOWhe,4,保密,78猪波的粉丝群是哪的啊,2024-12-15 15:00:36,1,0,,未知,是,https://i2.hdslb.com/bfs/face/d6afcde9803e8f75a6a6b83260bdb5606750aea7.jpg
54,0,249314192257,440802285,诶嘿0v0,6,男,昨晚打的，一个人没杀，捡别人吃剩下的捡到90万[笑哭],2024-12-15 07:47:24,0,1,原神转发抽奖,未知,是,https://i0.hdslb.com/bfs/face/625aa3909b8fd096f4b8e8076b0a1f7effe151dc.jpg
55,0,249305242657,39874972,花间花落花开丶,6,女,这才是真正的音乐,2024-12-15 05:43:37,0,0,我是大SB,未知,是,https://i1.hdslb.com/bfs/face/a81afa8983f7fd4dc77ab1a9a88674f56719607a.jpg
56,0,249304372289,2069291777,娃娃鱼传奇,4,保密,6,2024-12-15 05:31:36,0,1,,未知,是,https://i2.hdslb.com/bfs/face/126dd948cdcdf145403d6a3eca8b0e8a0e1044ed.jpg
57,0,249236229329,1970844390,万能老非,4,男,烽火是这样的，全面战场只需要安心升级打配件，并装上自己想用的配件就行了，而我们烽火要考虑的就很多了[doge],2024-12-14 10:30:54,0,0,玄不改非，氪不改命。不就蓝天白云而已，小问题,未知,否,https://i0.hdslb.com/bfs/face/c989c9878979728477f1e43615370e7fe2c261af.jpg
58,0,249669360000,3546644274481647,呱幽默,3,男,进入对局是的BGM叫什么？,2024-12-14 09:03:44,0,3,暗区永远的神,未知,否,https://i0.hdslb.com/bfs/face/0d521511993a0f2030467f55edc796abbd97e110.jpg
59,0,249635791904,40995212,摸鱼大师AKihi,6,保密,普坝跑刀确实爽，新兵芝士卷进去的60万出来,2024-12-14 01:46:44,1,0,你来啦,未知,是,https://i2.hdslb.com/bfs/face/d3e5ab947f4e68eb0e0ddae1a48fe0cf51d07b71.jpg
60,0,249629203056,3546616038427446,额眉月,3,保密,激素枪好像是全距离三枪死吧,2024-12-13 23:14:34,0,0,,未知,否,https://i0.hdslb.com/bfs/face/member/noface.jpg
61,0,249189918753,511392796,某兑换码,4,男,音乐原视频【🎵曼波 𝑵𝒐 𝑴𝒐𝒓𝒆🎵不再曼波-哔哩哔哩】 https://b23.tv/Mi3XL2x,2024-12-13 22:51:17,0,1,把,未知,是,https://i1.hdslb.com/bfs/face/615890320d7119b51361158e9916086f39a61d5d.jpg
