序号,上级评论ID,评论ID,用户ID,用户名,用户等级,性别,评论内容,评论时间,回复数,点赞数,个性签名,IP属地,是否是大会员,头像,emotion
1,0,264863059744,497139041,无相之kun,4,保密,6指的其实是小普_三角洲重生版（无论官方更新什么，都能第一时间发现最强病人点位的顶级CS主播，但我喜欢[呲牙]）,2025-06-06 15:31:56,0,0,"全民制作人们，大家好我是练习时长两年半的个人实习生
",未知,否,https://i2.hdslb.com/bfs/face/cd0ea7500d7e4d55b80cf077de29d3098bf32000.jpg,Love
2,0,263006100033,1992492663,zgc4,5,保密,up长弓规则怪谈呢，我等了好久了[少女乐队的呐喊表情包_倔],2025-05-28 12:06:54,3,3,,未知,是,https://i0.hdslb.com/bfs/face/80d3d381a297ffde32cb559db995ce3b083881b1.jpg,Expectation
3,0,261832830833,678492773,修罗覆面,5,保密,怎么还不更新啊[脱单doge],2025-05-14 10:04:53,1,0,这个人很神秘，什么都有写。,未知,是,https://i2.hdslb.com/bfs/face/11c1ae07daf9bd2f598832066a9f6b361643b40f.jpg,Expectation
4,0,262688992144,434578226,10-101,6,男,"补充（长夜限定）
18.0.如非必要，请不要去地下通道钥匙房，尤其是当房门已经被打开的时候。
18.1.如果看见着急前往撤离点的三人队（只由侦查和蜂医组成）在条件允许的情况下可以放任其撤离。攻击他们不会得到收益。
18.2.水泥厂，行政楼，变电站等地区在最后几分钟依然会有敌军活动
18.3.长夜务必不要信任野排队友，尤其是红狼！
（申请评论区破译规则）",2025-05-13 00:48:53,0,2,闪着光坠落,未知,否,https://i2.hdslb.com/bfs/face/79eecd525eb85ff7cfab59c2b690a133d55d1420.jpg,Expectation
5,0,262067796880,628502944,增速菌の暖冬,4,保密,"纪念一下，对第三条
今天打终夜碰到一组全装队，我在行政出来就发现他们在夜莺那附近跑，因为我跟队友都大残，所以心一横跟他们打暗号，他们回了，最后还把夜莺让给我们了[doge]",2025-05-05 04:35:39,0,3,混合物，已放弃过滤,未知,否,https://i1.hdslb.com/bfs/face/d860f9b254e5620241284ea7129610e4c156caf6.jpg,Joy
6,0,260774622689,482182556,四方荒唐,5,男,补充一下：如在变电站发现未打开的保险公司队员背包，不要犹豫 转头就跑,2025-05-01 02:36:48,0,0,,未知,是,https://i2.hdslb.com/bfs/face/e2437a600b4977a6ca5b4d1ffbb6c3b6352f14d9.jpg,Expectation
7,0,260701649489,350280860,轩辕幻柏,6,保密,@无所事事的阿鼬,2025-04-30 04:28:11,2,0,究极霜叶单推人,未知,是,https://i2.hdslb.com/bfs/face/c726061e4292d997c91b0c4a7fceff7706384c52.jpg,Neutral
8,0,261365175696,589822716,捕鼠王赛伊德,4,男,吓袅了,2025-04-26 16:22:19,0,0,,未知,否,https://i0.hdslb.com/bfs/face/e03cfed71ebbd00a556d6b6023f9a149f848d907.jpg,Surprise
9,0,259969693233,3546699238738365,一架开心的高兴的A320,3,男,长弓溪谷规则怪谈               1.当你在超星车站里发现列车走后但是撤离点依旧开着时，请立即离开超星车站   2.不要妄想攻击那些哈夫克士兵，他们黑化的时候无人能敌！   3.复活在雷达1号位蓝港码头两个复活点的人请注意，迅速逃离雷达站，蓝港码头   祂们会尾随你直到行动超时，  4.当你在哈夫克雷达战中看见了【地狱黑鲨】雷斯，请尝试跟他通话     5.当你在加勒比旧居听到了耐克鲨鱼的声音，请立即前往撤离点撤离，6.正常的人机不会踹门，如果你在某个角落听到了人机踹门的声音，立即掉头逃跑，跑的越快越好！     7.在野外你要时刻警惕着你周围，相信自己的第六感。    8.如果听到有一名干员鲜血流出，请立即前往哈夫克雷达站雷达站无人机平台(请购买雷达站无人机平台)，祂们不会放过全图的所有玩家？   (跳过)18.撤离点是安全的，如果发现有的撤离点冒红光，请不要从妄想这里撤离，(跳过一个)20.请不要相信这里所有的一切？,2025-04-20 12:31:35,0,7,周文凯,未知,否,https://i0.hdslb.com/bfs/face/91d43faa23c990f4d220706fe3ed061ab4fb8567.jpg,Expectation
10,0,260832589328,485529622,丨Starry_Sky丨,5,男,"18. 如果扫描发现他们不是5或6，但对黑暗的干扰毫不在意请迅速远离。
（滤镜战士）",2025-04-20 04:38:23,3,18,"在星空之下，总有一颗闪亮的星星属于你。
平常喜欢玩MC和pvz2
新人up求关注qwq",未知,否,https://i1.hdslb.com/bfs/face/c9c5dde314a34c147b3dc568e99b7ca192d11b65.jpg,Expectation
