序号,上级评论ID,评论ID,用户ID,用户名,用户等级,性别,评论内容,评论时间,回复数,点赞数,个性签名,IP属地,是否是大会员,头像,emotion
1,0,262467260304,109435343,小次佬啦,5,男,抽我[星星眼],2025-05-10 06:32:59,0,0,,未知,否,https://i2.hdslb.com/bfs/face/32d33ae7f3b7c031fafd34bdeb3551ea0a938d6c.jpg,Neutral
2,0,260881958321,87690781,动画了翻天,6,男,12400F加4060，能用这个画质设置方式吗,2025-05-02 08:15:48,0,1,你会遇到比我有趣的人，然后在黄昏的晚霞渐渐消散时忘了我。,未知,是,https://i1.hdslb.com/bfs/face/e303b9e6d5e53fb70dc4baf3d55f53126756000b.jpg,Expectation
3,0,262467260304,109435343,小次佬啦,5,男,抽我[星星眼],2025-05-10 06:32:59,0,0,,未知,否,https://i2.hdslb.com/bfs/face/32d33ae7f3b7c031fafd34bdeb3551ea0a938d6c.jpg,Neutral
4,0,260881958321,87690781,动画了翻天,6,男,12400F加4060，能用这个画质设置方式吗,2025-05-02 08:15:48,0,1,你会遇到比我有趣的人，然后在黄昏的晚霞渐渐消散时忘了我。,未知,是,https://i1.hdslb.com/bfs/face/e303b9e6d5e53fb70dc4baf3d55f53126756000b.jpg,Expectation
5,0,262467260304,109435343,小次佬啦,5,男,抽我[星星眼],2025-05-10 06:32:59,0,0,,未知,否,https://i2.hdslb.com/bfs/face/32d33ae7f3b7c031fafd34bdeb3551ea0a938d6c.jpg,Neutral
6,0,260881958321,87690781,动画了翻天,6,男,12400F加4060，能用这个画质设置方式吗,2025-05-02 08:15:48,0,1,你会遇到比我有趣的人，然后在黄昏的晚霞渐渐消散时忘了我。,未知,是,https://i1.hdslb.com/bfs/face/e303b9e6d5e53fb70dc4baf3d55f53126756000b.jpg,Expectation
7,0,262467260304,109435343,小次佬啦,5,男,抽我[星星眼],2025-05-10 06:32:59,0,0,,未知,否,https://i2.hdslb.com/bfs/face/32d33ae7f3b7c031fafd34bdeb3551ea0a938d6c.jpg,Neutral
8,0,260881958321,87690781,动画了翻天,6,男,12400F加4060，能用这个画质设置方式吗,2025-05-02 08:15:48,0,1,你会遇到比我有趣的人，然后在黄昏的晚霞渐渐消散时忘了我。,未知,是,https://i1.hdslb.com/bfs/face/e303b9e6d5e53fb70dc4baf3d55f53126756000b.jpg,Expectation
9,0,262467260304,109435343,小次佬啦,5,男,抽我[星星眼],2025-05-10 06:32:59,0,0,,未知,否,https://i2.hdslb.com/bfs/face/32d33ae7f3b7c031fafd34bdeb3551ea0a938d6c.jpg,Neutral
10,0,260881958321,87690781,动画了翻天,6,男,12400F加4060，能用这个画质设置方式吗,2025-05-02 08:15:48,0,1,你会遇到比我有趣的人，然后在黄昏的晚霞渐渐消散时忘了我。,未知,是,https://i1.hdslb.com/bfs/face/e303b9e6d5e53fb70dc4baf3d55f53126756000b.jpg,Expectation
