序号,上级评论ID,评论ID,用户ID,用户名,用户等级,性别,评论内容,评论时间,回复数,点赞数,个性签名,IP属地,是否是大会员,头像
1,0,262197899920,614714638,最爱白毛辣,5,保密,还好我打大战场，挂没摸金那么多[doge_金箍],2025-05-06 15:50:28,0,0,"且将新火试新茶，诗酒趁年华
接代肝v:Irena20031017  q:3404988801",未知,否,https://i1.hdslb.com/bfs/face/e625e473dcc68ed5acdc92fadb78025cda66143f.jpg
2,0,261224554305,369798375,浩仔DIY电脑,5,男,还好我只玩大战场，哈哈,2025-05-06 09:05:22,0,0,接装机单，私聊某鱼下单。,未知,否,https://i0.hdslb.com/bfs/face/83561bfafa10854b6354f87037ff5ee60e9195ee.jpg
3,0,262156688944,390324749,霓虹添柴,5,男,我之前在一个网吧 usb给手机充电，结果就是三角洲玩不了，,2025-05-06 06:10:34,0,0,,未知,否,https://i2.hdslb.com/bfs/face/83e17035000fde582e9c32519e9331e802a1eeb6.jpg
4,0,261215204977,283646895,李负卿是我,6,男,但是我纯菜绿玩被干翻了一天 直接裂开,2025-05-06 06:02:44,0,0,,未知,否,https://i0.hdslb.com/bfs/face/bb1172725427b5f8027fe15e503eac684911b3de.jpg
5,0,261214728673,33063455,欧顿嗦维,6,男,粥成功把apex那一批呱✓揽自己身上了[吃瓜],2025-05-06 05:55:23,0,3,人有悲欢离合，牛马点缀生活,未知,否,https://i2.hdslb.com/bfs/face/efe4e8352ceeb7af1ad1cba604bd8057f537a266.jpg
6,0,262155008000,37562811,不能拿去蘸酱的流萤酱,5,男,我很好奇一个点，那就是如果有大哥用只有自己使用的dma板和融合器，且在游戏里表现演得非常绿色，那是不是永远不会被检测出来？,2025-05-06 05:40:33,1,0,,未知,否,https://i0.hdslb.com/bfs/face/43c7f485c57bbb18a5d43b03ea7ac1d2d77d9e88.jpg
7,0,261204291265,492497477,骚鸡全家捅,6,保密,想起两天前的22Bug门事件,2025-05-06 03:25:07,0,0,,未知,否,http://i2.hdslb.com/bfs/face/bc962b827f959ca6fb64d35804fca0b114eace9e.jpg
8,0,262133049952,99718445,一孺子牛一,6,男,其实很简单，枪毙一个开挂的，枪毙一个做挂的。直接少三分之二人开挂，剩下的挂直接价格飞升上天。,2025-05-05 22:09:32,0,0,早成者未必有成，晚达者未必不达。年少不自持，年老不自弃。,未知,否,http://i2.hdslb.com/bfs/face/3b15e9e9fafc8cc16f3e68fb6a2c0c38aacb7aff.jpg
9,0,261190394881,165985154,不要七七不要七七,6,保密,主要是他这个反作弊开了会让我电脑死机，我只要一开反作弊，玩着玩着三角洲就会死机，关了之后就从来没死机过,2025-05-05 19:20:38,0,0,不要七七不要七七不要七七,未知,是,https://i2.hdslb.com/bfs/face/7ec665a639b34bcd1acf244910b85ef10bc761b5.jpg
10,0,262126424624,2138323940,重庆-陈先生,4,保密,我就说  我3分钟内 被同一个人打死7次 真离谱,2025-05-05 16:59:33,0,0,,未知,否,https://i2.hdslb.com/bfs/face/ea7460e32a2f1745e43c4a7dbe16a54e35b6a8c5.jpg
