序号,上级评论ID,评论ID,用户ID,用户名,用户等级,性别,评论内容,评论时间,回复数,点赞数,个性签名,IP属地,是否是大会员,头像
1,0,260737170208,2037703130,-畜神哥-,4,保密,能明显感觉到他的绝望,2025-04-19 03:49:21,0,0,"小针一扎，帝王干拉！不是白给，就是乱杀！
精于JAK12，勤于能量剂！",未知,否,https://i2.hdslb.com/bfs/face/c749283dbe3e8a53449ffce9f3f5238e7b27956e.jpg
2,0,259842503825,1968312958,bili_1968312958,4,保密,香脚君,2025-04-19 03:45:11,0,1,这个人很懒，什么都没有留下,未知,否,https://i1.hdslb.com/bfs/face/ba861b7ac94bd94f45d8d4c0a95bbb20847310a2.jpg
3,0,259842184881,3546855759677698,阿源OvO--三角洲行动,2,男,哈夫克但凡把他们的机枪兵的头盔焊紧一点都能带哈夫克铲平G.T.I了,2025-04-19 03:39:21,0,0,玩三角洲别找我,未知,否,https://i1.hdslb.com/bfs/face/08ea1b7b1130872e03cb9957c394902025f9a565.jpg
4,0,259838402817,1634297,本王的愉悦,6,男,还拉个刺杀位？,2025-04-19 02:44:27,0,0,,未知,是,https://i2.hdslb.com/bfs/face/3f90e02b503193f56d2550d606298c9dfa04ef30.jpg
5,0,260731625024,356059332,讲讲讲讲一样,5,保密,@messfinisher @雲-彼方 @KvmoWasReal @小柳鸭儿 @没有香橙 @IkaroSyfan @5Qt5x @沉默加点盐 @大尻boy @渡世金莲 来到顺河街洗脚城了,2025-04-19 02:31:43,0,1,此用户很懒，根本想不到签名,未知,否,https://i0.hdslb.com/bfs/face/f7dbde0cd828fc715b5fa5c3ab5418b0af7e5293.jpg
6,0,259834049633,3546583033448793,想一想让我,4,保密,太强了怕浪费子弹。击败会掉落什么好东西吗？,2025-04-19 01:38:15,0,0,,未知,否,https://i0.hdslb.com/bfs/face/c6a433bf4544fe151af95a4da551cca1338be2a1.jpg
7,0,260724321968,2054700546,阿吧吧阿巴巴巴巴巴,4,保密,@缠绵月色,2025-04-19 00:27:10,1,2,,未知,否,https://i0.hdslb.com/bfs/face/5cfccc24522f626797954f119e615c2268f798fe.jpg
8,0,260724044912,49612801,Rainbow乀,6,保密,你们是在给机枪哥修甲沟炎吗[赛博撸猫_难以置信],2025-04-19 00:21:36,0,0,,未知,是,https://i1.hdslb.com/bfs/face/c39ef06ca8cdceb74fd69f532f741c97c9d20588.jpg
9,0,259830171633,261856989,一坨炸鸡,5,男,打完以后只剩骨头了,2025-04-19 00:19:09,0,0,我想涨粉,未知,否,https://i0.hdslb.com/bfs/face/bdef450b09e02538f6e2d5612c0171511c7392c7.jpg
10,0,259828085873,231980883,Czar77,6,保密,你这修脚修的位置不对，要修他的甲沟炎,2025-04-18 23:17:55,0,0,,未知,否,https://i0.hdslb.com/bfs/face/1cf064293c37b39386b43b01b3ba5df98da9f82c.jpg
11,0,260716811792,1947730728,阿忆想不通,5,男,@Whiteギ,2025-04-18 18:44:33,0,0,,未知,否,https://i0.hdslb.com/bfs/face/8adc981190246d4b6f2da7293e0d2f54a08f03d3.jpg
12,0,260698709632,1399832948,终焉之地_地鼠,5,男,🤔,2025-04-18 14:07:13,0,0,基本1天1更创游 3天1更填词 （之前这个号是表弟的 现在他有新号了）,未知,否,https://i2.hdslb.com/bfs/face/9c4fc91c3f9ba908ff9537c76a61ae5a4b83ad79.jpg
13,0,259790616337,2596780,暗月离歌,6,男,别笑，还记得新手刚进航天那会，落地发射区，两个老手朋友被机枪兵扫倒了，我跑过去现在台阶下刷刷砍脚，砍了好久，最后被一梭子带走。这时候我才知道机枪兵得砍头。[笑哭],2025-04-18 10:53:57,0,0,过气樱厨,未知,是,https://i1.hdslb.com/bfs/face/8c7b50a5e3fedbdee80ff31b6bf155043a5477ec.jpg
14,0,259788169073,487679475,雪狐冬至,5,保密,@三角洲行动,2025-04-18 10:23:49,0,0,"随缘年更咕咕咕(๑Ő௰Ő）












（设定颓废狐（狐）颜色，白蓝绿青，加宝石目前正在慢慢自己画有点困难）",未知,是,https://i0.hdslb.com/bfs/face/c6205077d510d396c7d2a7660dcdb783effff065.jpg
15,0,259782904449,32877859,保罗察尔金,6,男,阿斯塔特vs泰伦虫族,2025-04-18 09:16:00,0,0,不搭理你，你还以为你赢了?,未知,是,https://i1.hdslb.com/bfs/face/84156b48ccc9b519d0ac5edde443e99da234d880.jpg
16,0,259779072337,513045153,饕饕鱼,4,保密,想起来教父跑刀想拿个满耐头刀腿被机枪兵踢死了，唐人教父[doge_金箍],2025-04-18 08:17:43,0,0,有生之年,未知,否,http://i0.hdslb.com/bfs/face/cbf2798e27a8f905acebbcaeba47cb5be69395ec.jpg
