序号,上级评论ID,评论ID,用户ID,用户名,用户等级,性别,评论内容,评论时间,回复数,点赞数,个性签名,IP属地,是否是大会员,头像
1,0,257507010656,133266825,飞矛盾了,6,保密,我要看高达,2025-03-11 09:33:35,0,0,,未知,否,https://i0.hdslb.com/bfs/face/f1317d88c91a3b3514bc3e8d4c0c7d8c47ad16b0.jpg
2,0,252807624256,1480988146,两只小狼早恋了,5,保密,好像我军对这个不感冒啊，搞搞外贸看看能不能发财吧,2025-01-19 05:26:54,0,1,香灰结婚拜天地！还要交配生小狼！生小狼！！！,未知,是,https://i1.hdslb.com/bfs/face/82a480563fb72d1d22d85b8904a27742c51a8076.jpg
3,0,252729330592,3546556338801127,弟可,4,保密,[笑哭],2025-01-18 08:52:36,0,0,要么做gdS 16测评，要么做f4测评，,未知,否,https://i1.hdslb.com/bfs/face/2d7f523997a9df8d72df5d1235185aebb5587f28.jpg
4,0,252715627328,3493106861213828,騰鱗,3,保密,666威龙把红狼外骨骼偷了,2025-01-18 05:51:06,0,1,阿玛提拉斯,未知,否,https://i2.hdslb.com/bfs/face/896305a4e485d02f73a4cf54d3eb1162b0137c93.jpg
5,0,252661955568,3546777607211923,ALFA---ROMEO,2,男,红狼加威龙,2025-01-17 13:57:49,0,0,你以前搞的东西我现在才会看。,未知,否,https://i1.hdslb.com/bfs/face/9fddc05779e8b149529c7d2ffe8db1b8feeb7dc2.jpg
6,0,252599752768,699728827,-逐流萤-,5,保密,想想战忽局，我们能看到说明这大概率是淘汰的[doge],2025-01-17 01:44:46,0,0,鸭门！萤门！,未知,否,https://i1.hdslb.com/bfs/face/74e619c948bf1da976d12136d856fad7b6efeb59.jpg
7,0,252592021216,1329612529,北九-月,3,保密,发现敌人外骨骼步兵，磁吸炸弹投出,2025-01-16 22:27:11,0,1,作者不会做大片，求大佬带,未知,否,https://i1.hdslb.com/bfs/face/3398bf1e2aa008c74e2616fd99652d26c770edee.png
8,0,251974873889,1417026281,村民SQ3,5,男,红龙启动,2025-01-16 11:47:01,0,0,王者,未知,是,https://i2.hdslb.com/bfs/face/62f06ea54894dfe2bf724ff747deac9489ce2eb1.jpg
9,0,251971462545,3461577040726377,GTI全球应急组织10,3,男,红狼,2025-01-16 11:06:06,0,0,"你们好啊，我是赛伊德，我要开始滑铲了，五套六套都已经被我打败了，你们敢不敢来阻止我？
“我在你的眼里看到了恐惧…”
“躲哪了，出来让我们结束",未知,否,https://i0.hdslb.com/bfs/face/7193c5ee31cfa31366480a35533cea527a2a9091.jpg
10,0,251965929057,1612808171,恐龙搞,4,保密,掉皮掉肉不掉队，磁吸炸弹已准备,2025-01-16 10:04:07,0,0,,未知,否,https://i2.hdslb.com/bfs/face/b954a771a7b41054e158ec8f49ac0affa393f0a4.jpg
11,0,251947940673,496098453,墨芸忬,5,男,好，把它们上市[赞了],2025-01-16 05:53:08,0,0,"粉丝群：769174083-开黑的小伙伴都在这里！
",未知,否,https://i0.hdslb.com/bfs/face/d2fa500f465a50dbcc374035a3f8d56f25bb5553.jpg
12,0,252520753264,3546675350080106,中山-暗区突围,3,保密,稍微再改装一下就成红狼的外骨骼了,2025-01-16 04:36:29,0,0,苦逼学生党，热爱二次元，射击游戏和三体,未知,否,https://i2.hdslb.com/bfs/face/7d8069429465d57218b90bc5cd622c32a3f0be5b.jpg
13,0,252501161440,3493283655322406,阿轩玩游戏了,4,男,我还以为是威龙呢，结果嘛是威狼,2025-01-15 23:10:49,0,0,森林之子被野人打死了,未知,否,https://i2.hdslb.com/bfs/face/cfc986e0503bef69dadf7545295ce0e7b97ebf14.jpg
14,0,252497791040,308684616,星沢九月,6,保密,没有负重演示吗？,2025-01-15 19:37:01,0,0,航天模拟器原版玩家，武装宇宙-核子工业科技研究所首席工程师。,未知,否,https://i0.hdslb.com/bfs/face/ee68a1575ab9d20f79b59f5206e8ce601fc082a8.jpg
15,0,251895070289,300380896,虚无乂忆,5,男,t7全套[doge_金箍],2025-01-15 12:56:06,0,0,因为爱海，所以我浪。,未知,是,http://i2.hdslb.com/bfs/face/68bafab0428cc7dffefddaaffec46152ee7481c5.jpg
