序号,上级评论ID,评论ID,用户ID,用户名,用户等级,性别,评论内容,评论时间,回复数,点赞数,个性签名,IP属地,是否是大会员,头像,emotion
1,0,261162062017,432361671,只因犬升天,6,保密,"新干员+提前出来熟悉大坝[思考]
怎么有点不对劲",2025-05-05 11:47:54,1,1,B哩大会员，最没用的会员,未知,否,https://i0.hdslb.com/bfs/face/35051a23b6d1a008701a8cfe835c720b2a5fe516.jpg,Expectation
2,0,261359082992,1768902648,鱼之莱,5,男,片哥，你嘛时候是三角洲第一啊。,2025-04-26 15:04:07,1,1,"向前一步，并非单单只是向前一步，这一步所带有的力量、责任，大家眼中期许的目光你是否真的有能力去承担？
如果有那就别回头，向着今与明的黎明前进",未知,是,https://i0.hdslb.com/bfs/face/6ec46a9f9de92be1044ed7f49b7fe7f8ce13a27e.jpg,Neutral
3,0,260217699489,3546675912117077,小小78鼠鼠,4,保密,游戏大王片哥 记得改个名@游戏大王小绿,2025-04-23 18:07:55,1,3,我是豪鼠,未知,否,https://i2.hdslb.com/bfs/face/fa63a25dfa2385d05be1874bb0dd00605464e536.jpg,Neutral
4,0,260067073025,497388295,_无光,3,保密,坏了，这真不像装的[思考],2025-04-21 16:34:34,1,3,有朋自远方来，必先苦其心志，劳其筋骨，饿其体肤，空乏其身，鞭数十，驱之别院,未知,是,https://i1.hdslb.com/bfs/face/3890b3c225c84209694a9fb9842c31108acef360.jpg,Surprise
5,0,260942359376,3546686039263351,牢蜂想玩八宝粥,4,男,UP主加油！看好你噢~,2025-04-21 11:09:56,1,1,,未知,否,https://i1.hdslb.com/bfs/face/0db6a56db0110e1c8a0d82500ce694ccd7da8cdb.jpg,Neutral
6,0,259994601169,1232625460,有爱美意识的山顶洞人,5,男,这个不像假的@游戏大王小绿,2025-04-20 19:16:45,1,17,"鸡鸡(蔡徐坤)
个人爱好是唱跳RAP篮球",未知,是,https://i1.hdslb.com/bfs/face/751611b127064ecc197d0d6310e67caff1527f88.jpg,Neutral
7,261359082992,260448167281,99092782,片哥三角洲行动,3,男,有机会的,2025-04-26 16:37:37,0,0,"
我说我的技术不行
他们非说我演的",未知,否,https://i1.hdslb.com/bfs/face/43941510e5cab35cfd57b05f08d664a4eb2c4a3f.jpg,Expectation
8,260942359376,260041806865,99092782,片哥三角洲行动,3,男,感谢感谢[给心心][给心心][给心心],2025-04-21 11:31:21,0,0,"
我说我的技术不行
他们非说我演的",未知,否,https://i1.hdslb.com/bfs/face/43941510e5cab35cfd57b05f08d664a4eb2c4a3f.jpg,Neutral
9,260217699489,260224065505,99092782,片哥三角洲行动,3,男,[呲牙],2025-04-24 00:07:59,0,0,"
我说我的技术不行
他们非说我演的",未知,否,https://i1.hdslb.com/bfs/face/43941510e5cab35cfd57b05f08d664a4eb2c4a3f.jpg,Neutral
10,259994601169,259999127569,99092782,片哥三角洲行动,3,男,[笑哭][笑哭][笑哭][笑哭],2025-04-20 23:50:47,0,0,"
我说我的技术不行
他们非说我演的",未知,否,https://i1.hdslb.com/bfs/face/43941510e5cab35cfd57b05f08d664a4eb2c4a3f.jpg,Neutral
11,261162062017,261212563361,99092782,片哥三角洲行动,3,男,[笑哭][笑哭][笑哭],2025-05-06 05:18:16,0,0,"
我说我的技术不行
他们非说我演的",未知,否,https://i1.hdslb.com/bfs/face/43941510e5cab35cfd57b05f08d664a4eb2c4a3f.jpg,Neutral
