序号,上级评论ID,评论ID,用户ID,用户名,用户等级,性别,评论内容,评论时间,回复数,点赞数,个性签名,IP属地,是否是大会员,头像
1,0,262048766416,1663476336,SW枪槍,5,男,"纯币
8=100 
15=200 
（新客优惠10=200）
35=500 
70=1000 
现在上号 纯绿跑刀
不动仓库 纯跑刀
有需要的老板请看我主页",2025-05-05 00:02:33,0,0,wx:k1313255,未知,否,https://i0.hdslb.com/bfs/face/7ae694bcf739a3f79283dde570560a538a2234b4.webp
2,0,260489430865,3494357323745461,元不冷,4,保密,@吹尽夏夜晚风,2025-04-27 08:54:46,1,0,,未知,是,https://i1.hdslb.com/bfs/face/fcb5430bfab41b132f501503f2d6d8d60f5ebc65.jpg
3,0,261043531440,500864535,我真没玩过忍3,5,保密,只说一遍，跑刀一定要带包，不然周围没任务点要睡不着了,2025-04-22 15:59:18,0,0,"国际服交流大群：494296921
不要只会用嘴玩游戏谢谢",未知,否,https://i0.hdslb.com/bfs/face/fd6114592cca44f74ee9377b53468ef8c3c865a2.jpg
4,0,261031743456,9618442,萌新黑岩,6,男,25年四月了彻底变成跑刀主包了[千恋万花动态表情包_呆],2025-04-22 13:34:56,0,0,每逢佳节胖三斤,未知,是,https://i1.hdslb.com/bfs/face/dfaf079df8ef2ec7207a427711f796edbf2b74fa.jpg
5,0,260441018480,13678108,炼衡GXL,6,男,mp7整把枪才8格，卸下来10格的配件[可爱小黄豆_生气],2025-04-15 10:14:05,0,0,,未知,是,https://i1.hdslb.com/bfs/face/78ded36b93f94bc1ff2b31965363aa40cb979530.jpg
6,0,260294192560,3461569755220219,仙神极,4,女,我这刀跑的,2025-04-13 11:35:19,0,1,长风破浪会有时，直挂云帆济沧海！,未知,否,https://i1.hdslb.com/bfs/face/183bb8f9f0658ee79ae695a175f83f2d9adb2fcc.jpg
7,0,259612454016,1853016924,王小宇233,2,保密,自古先锋不抬头。,2025-04-05 09:54:33,0,0,,未知,否,https://i0.hdslb.com/bfs/face/member/noface.jpg
8,0,259421417680,1048824510,霙纸歌,4,女,普坝真的会出东西的兄弟们,2025-04-03 06:58:51,0,0,,未知,是,https://i0.hdslb.com/bfs/face/0e3d75c3b7a669555cc95f6eabce8ac61e1050a7.jpg
9,0,259338128000,576459405,Hermit塚,5,保密,@秃头Ba1 fwlgh能做到吗[笑哭],2025-04-02 08:08:30,0,0,,未知,是,https://i0.hdslb.com/bfs/face/67fd661cd2e5a05a690f9666f4825bb0b6a1eeb5.jpg
10,0,258448895617,3546798966704688,薯条鱼块,3,保密,这是普坝?,2025-04-01 14:03:44,0,0,,未知,否,https://i0.hdslb.com/bfs/face/member/noface.jpg
11,0,259279765232,347461106,锦zi,5,男,嘻嘻 呜呜[大哭],2025-04-01 13:23:35,1,0,,未知,是,http://i2.hdslb.com/bfs/face/8475a3d7fa52116ba69e574e5fdc488e89fcd58a.jpg
12,0,258251869713,2019534085,矮人不科技,5,保密,杨起家在哪直播,2025-03-30 06:58:26,2,1,,未知,否,https://i1.hdslb.com/bfs/face/2843b2bf804aaea8b77bdb379c49b82e374e15cc.jpg
13,0,258952086448,488706200,求生少年云溪,5,男,这三人明显被这几波架打的神志不清了,2025-03-28 19:24:43,0,2,,未知,否,https://i2.hdslb.com/bfs/face/ab94afb3938b169278d50b40f0fea039d498617d.jpg
14,0,257778246961,284656955,美人都是我的_,6,保密,他怎么进去的,2025-03-24 10:32:44,0,0,,未知,否,https://i2.hdslb.com/bfs/face/bae20cdd4f896faac12669b05f1682513099d79b.jpg
15,0,258439052992,3546751405393930,老夫肘击幼儿园,3,保密,主播以前两个固排队友呢？,2025-03-22 14:55:30,0,0,,未知,否,https://i1.hdslb.com/bfs/face/6b4732e7cae3d753e67e590b058076685939c5db.jpg
16,0,258252305840,1471330224,三角形角,4,女,[doge],2025-03-20 11:44:19,0,0,我是小阳光，爱穿黑丝,未知,否,https://i0.hdslb.com/bfs/face/f5c54f9ee2e89b5654bfb92b21e8d7bd970feda6.jpg
17,0,258107193840,3494354675043101,山药爱吃山药,4,保密,今儿个给我难受死了，宿舍楼出生的，宿舍楼最里面的武器箱摸了个碳纤维板，本想着说保本了，继续跑刀吧，俩队友全死了，想走丢包来着，井盖没开，一开，擦，超算，撤回了一个丢包，最后一队拉完飞机，躲在桥上的最里面，打算混烟，咱就讲话了，谁家好人排点能排到桥头啊？双大红就出来一个难受,2025-03-18 13:23:44,0,0,,未知,否,https://i2.hdslb.com/bfs/face/b4723c05a4513eac8682be7a49e743997ef8471c.jpg
18,0,258035256560,12078820,養蟲の鸭梨傻,6,保密,淳·简拉基·赤德[蛆音娘_滑稽],2025-03-17 14:41:44,0,0,诶？诶！诶~,未知,是,https://i1.hdslb.com/bfs/face/7927d040ff6598d078ffa4a9cec54037dc994124.jpg
19,0,256979512625,22923178,风中的飞鱼,6,男,牢区位，全没卡，然后一路从蓝室一直食尸到总裁，路上全是盒子，最后烧烤烧死一个手炮炸死一个，清图了[滑稽],2025-03-14 12:42:50,0,0,绅士本绅,未知,是,https://i1.hdslb.com/bfs/face/57ac7082c3fe763f9f051ecddf18095a2e22a5cc.jpg
