序号,上级评论ID,评论ID,用户ID,用户名,用户等级,性别,评论内容,评论时间,回复数,点赞数,个性签名,IP属地,是否是大会员,头像
1,0,260493083392,3546852219685230,诺言电竞,2,保密,蹲一波pc端老板（超会照顾老板游戏体验），保险和房卡会优先给老板摸。目前兄弟三人刚起步，单量比较少，价格定的比较低，具体价格的话动态里面有，暂定的是这些，以后还会做调整。我们一般猛攻绝密巴克什，从博物馆到巴别塔一路清过去，撤离率能到七八成，航天也打，但是很多老板反应太公式，没有游戏体验，打巴克什的话可以保证老板的游戏体验.保证绿玩，绿的不能再绿的那种。,2025-04-16 03:35:02,0,0,有需要的板板可以加客服vx  18899264660或17373503385,未知,否,https://i0.hdslb.com/bfs/face/73ddc00c21f1da5f28baad8d74dfb2a823bc4b9c.jpg
2,0,260378765840,1590779622,宠物的事好多,3,保密,这个龙保底多少抽出啊？,2025-04-14 13:11:15,0,0,,未知,否,https://i0.hdslb.com/bfs/face/9f6502fb3ca343f47039d0e4b3ef2205ae5afd32.jpg
3,0,260366995680,1001153704,筱夜猫族,4,保密,这条龙卖一万多啊市场而且仅仅只有一个,2025-04-14 10:41:06,0,0,,未知,否,https://i1.hdslb.com/bfs/face/673787fca92e1872b0d1d410784497c169146046.jpg
4,0,259481653537,3494373287266477,张大帅哥最好看,4,保密,[笑哭],2025-04-14 08:31:45,0,0,,未知,否,https://i1.hdslb.com/bfs/face/04003f9275a500dd4aa0c15aedffb57934707edd.jpg
5,0,260340020480,109339819,年华图莫,6,男,上次航天猛攻直接干破产剩几千块钱，硬是第二天打了一天普坝跑刀才给干回去[笑哭],2025-04-14 03:38:24,0,0,,未知,否,https://i1.hdslb.com/bfs/face/4c9a261cb2e365b3d866dd57c99e988de61f67ad.jpg
6,0,259420247297,455896277,为君停笔书香忆,5,男,战区是彻底寄了[大哭],2025-04-13 11:34:15,0,0,"君君底边喊麦臭V一辈子起不来
",未知,是,https://i2.hdslb.com/bfs/face/38379dd0a5f3927f70b4ff6ffeed71ea9c10ea71.jpg
7,0,259390221409,1643171863,云梦与君邂逅,4,保密,我这个应该可以吧？[打call][doge_金箍],2025-04-13 04:44:47,0,0,树林在森林中相依偎而生长，星辰在银河中因辉映而璀璨。,未知,否,https://i1.hdslb.com/bfs/face/319575474e43d2b8dd825ec1f556cc3779f85859.webp
8,0,259326011185,3546873937791390,最丁真的一集,2,保密,14发白嫖,2025-04-12 09:54:08,0,0,,未知,否,https://i0.hdslb.com/bfs/face/18da24aaad9537d4df7334e9bdffcd3894497b41.jpg
9,0,259302794961,385607175,摯愛木更,6,男,抽这个还能破产？,2025-04-12 04:30:20,0,0,,未知,否,https://i0.hdslb.com/bfs/face/dad9baa32f54ade17c836eb0551acbaf9b310bb8.jpg
10,0,259277981489,1604117284,恢复呃呃,3,保密,没想抽的，打了几把全面战场，抽个三连一下就出了。,2025-04-11 17:43:37,0,1,,未知,否,https://i1.hdslb.com/bfs/face/e2847660dc462c12af321489b5e8e0596b86d426.jpg
11,0,260141069488,523024042,去江汉路看看腿,5,男,有没有要固排的 我有麦 听指挥 不抢东西 少吃点也行,2025-04-11 16:21:01,0,0,,未知,否,https://i1.hdslb.com/bfs/face/894ec6235c19a6b2d81be7b68ea361fdd6548c99.jpg
12,0,260004378752,3461581281167413,一号原子,5,保密,说的龙是这个吗？,2025-04-10 04:02:02,0,1,活着,未知,否,https://i1.hdslb.com/bfs/face/1d3ad938c67fbf08a315d9fd925c3a846484dfb9.jpg
