序号,上级评论ID,评论ID,用户ID,用户名,用户等级,性别,评论内容,评论时间,回复数,点赞数,个性签名,IP属地,是否是大会员,头像
1,0,261122065329,2120816051,小白毛_Official,5,男,无畏战士三秒变怯战蜥蜴[笑哭],2025-05-05 03:15:52,0,1,废物曲师罢了，会画画，但不多，目前已似,未知,否,https://i2.hdslb.com/bfs/face/729e56efeef1aa604553c1af8cad0629c8a8c0b1.webp
2,0,261657416624,3546837334099977,三角洲本地鼠,3,男,哎呀，觉得你会出名,2025-04-30 11:13:25,0,0,呃，鼠鼠蜕变成酸脚州鼠了,未知,否,https://i0.hdslb.com/bfs/face/545adce9f5b93928424214e66d392e0e04db6469.jpg
3,0,260602158417,100239654,老年青黎在线养老,6,男,启动😭😭😭😭,2025-04-28 17:32:06,0,0,,未知,否,https://i0.hdslb.com/bfs/face/46955da5e942c8a824dcbe0d1e18f05734f087fe.jpg
4,0,261182201280,1634270417,Michelle_靓靓,4,保密,普坝主变电站弹药箱,2025-04-24 12:46:25,0,0,"
时尚单品推荐&穿搭小课堂
个性化礼品&色彩美学
我不是穿搭博主
我只是致力于让男人更帅
女人更美的专业定制量",未知,否,https://i2.hdslb.com/bfs/face/7b78e711f89a79fcd4795a80bf11a89f7f2ec5cb.jpg
5,0,260122908401,243823670,彼晨风晚栖林,6,女,大坝河边收纳盒连着两把第一次出这个，第二把出炸药，搞得我现在总要去看看[喜极而泣],2025-04-22 12:54:42,0,0,,未知,是,https://i2.hdslb.com/bfs/face/fe013c6ba7f63d32e119dc1c4c2e32bace415591.jpg
6,0,260923712864,701373222,酒鸠喵,5,保密,真·无畏战士,2025-04-21 06:35:18,0,0,玩粥就是好！,未知,是,https://i0.hdslb.com/bfs/face/e35527280b86cf99f12967f7ba3dc47aa37e17a3.jpg
7,0,260918071840,322658719,削皮削鸭梨,6,男,同感！,2025-04-21 05:04:25,0,0,平平凡凡的B站大会员,未知,否,https://i1.hdslb.com/bfs/face/d244d0cbab8d622b411663ba17b638d2583be2d5.jpg
8,0,259923569681,3546392117119468,我是小凸某人,4,男,没玩过耶，这是什么游戏啊？,2025-04-20 02:23:33,0,1,入机是我，我是入机！,未知,否,https://i1.hdslb.com/bfs/face/eaee59d51178c6d477503fde980bfa98543b91fe.jpg
9,0,260801194752,3546776550246564,bili_3546776550246564,3,保密,UP主加油！看好你噢~,2025-04-19 16:59:08,0,0,你好呀，交个朋友吗awa,未知,否,https://i0.hdslb.com/bfs/face/member/noface.jpg
10,0,260388140256,1656582433,小饭普普通通,5,保密,变电站宿舍一定要看柜子啊兄弟们,2025-04-14 15:04:00,0,1,珍惜并庆幸自己当下拥有的一切,未知,否,https://i1.hdslb.com/bfs/face/eba5b4cca39d6fbafe1bc881e6743367d264f91a.jpg
11,0,258808348225,499249558,逝去的六魂,6,保密,普坝出了个炮弹，上坝顶静步摸到撤离点的[笑哭],2025-04-05 20:56:57,0,0,,未知,否,http://i1.hdslb.com/bfs/face/3fb7ca090e001abc3213a92686967b84a5b39e18.jpg
12,0,259581498464,33208074,emoの十一某耶,5,保密,"我做梦都是三角洲，我梦见我一把赚了六百万
唉，又在幻想了[笑哭]",2025-04-05 03:21:50,0,0,·-·,未知,否,https://i0.hdslb.com/bfs/face/56b7d11131e9b48f98986b76df0aa281855ebbb2.jpg
13,0,257829776097,471180087,klguzhuang,6,男,昨天出了复苏呼吸机可惜没用3x3半路被麦晓雯打死了 以后猛攻我就得着麦晓雯杀,2025-03-25 03:55:53,0,0,,未知,否,https://i0.hdslb.com/bfs/face/7e22077ba07dda40bb89998a2b0afd3766ef5151.jpg
14,0,258112793344,1124915825,余妻白织,3,保密,机坝跑三把刀摸的[doge],2025-03-18 14:30:09,0,0,,未知,否,https://i2.hdslb.com/bfs/face/1ff2e0268e55971b528fca3fddb3feaf8e1ea2c1.jpg
15,0,257846950848,3207615,巫斯lwj,6,保密,"哥们 温度83？？？
你是不是开了窗口化全屏
那玩意儿锁4K
我这就是
锁了4K结果有点扛不住 温度一直在82-84来回跳
后面换了全屏 然后分辨率一调 温度直接掉到50",2025-03-15 11:49:14,10,26,,未知,是,http://i0.hdslb.com/bfs/face/2f2c3adc0487efa34308e6fab4c94902c440e0b8.jpg
16,0,257821573840,1648533700,发霉的小香蕉,5,保密,嘻嘻[大哭],2025-03-15 06:25:47,0,1,成分复杂,未知,否,https://i1.hdslb.com/bfs/face/f61b6289912ffae44ecd90e68ff5a09f5220327e.jpg
17,0,256852328593,518707977,源籟氏佐田,5,男,部门出货,2025-03-13 00:08:03,0,0,,未知,是,https://i0.hdslb.com/bfs/face/f0ff6bf7b12e8175798f2b15109eda74431da4d1.jpg
18,0,257501031920,210358539,fa绫爱吃糖鸭,6,保密,玩到神秘长弓了,2025-03-11 08:01:25,0,0,别看了,未知,否,https://i0.hdslb.com/bfs/face/a45447ff8e97cdfbdc7c320fbc631fab3c4c8556.jpg
19,0,256706952145,629151,黑神领主,6,保密,我的,2025-03-11 02:38:27,0,0,,未知,是,http://i0.hdslb.com/bfs/face/411e62b9f5c39e4cfff13284908401d05341fe2b.jpg
20,0,257347444688,324740737,黑白不一样,5,男,我人头像也是这个大宝出的，不过不知道开了多少局了[笑哭]这b游戏好像没有保险箱开的数量显示,2025-03-09 08:42:35,0,0,该账号已被永久封禁！,未知,否,https://i1.hdslb.com/bfs/face/289541db5360b96dbe4c232f5747da093e26efa4.jpg
31,0,255760964593,36121673,我呵呵的笑看,6,男,变电冲行政神人呢?西楼前压人呢?全自动草丛呢?树顶乌鲁鲁呢?撤离点边cs威龙呢?,2025-02-27 09:07:48,0,0,"Fadeline#193484687
",未知,否,https://i2.hdslb.com/bfs/face/f7a2fe4bd267fab108c1eeba149fd27ff1e85433.jpg
32,0,255639989697,87742886,我是假的张雪峰老师,5,男,普通大巴开局一个红,2025-02-25 16:22:54,0,1,,未知,否,http://i1.hdslb.com/bfs/face/4a7980e525fcbb8f6a90b7ae405e86c59a340ac4.jpg
33,0,256037824928,2044705031,不明事理的猫先生,4,男,[大哭]巴克什博物馆大包房，门口的小蓝色袋子翻出一张显卡，我觉得不对劲，进去之后队友吃大宝和开暗门去了，我在旁边看玻璃展柜，结果发现里面有个坦克，结果我没有3x3，然后我回头找队友一回头发现背后有一个半身像，我说坏了，遇到真博物馆了，结果我在愣神的时候对面冲进来三个人把我们三个全杀了[大哭][大哭][大哭]哭了我造就带了一个显卡出去,2025-02-21 19:11:29,2,45,你永远不知道意外和意外哪个先来,未知,否,https://i2.hdslb.com/bfs/face/f37a09dc56a60525c49ec61aa5e8e61a6c5f769e.jpg
34,0,255284560913,184359190,不晓岁月,6,男,[大哭]太痛了,2025-02-21 11:03:51,0,0,,未知,否,http://i1.hdslb.com/bfs/face/1ee045f4a25950c01ffacdd59bb33932044d2947.jpg
35,0,255951935520,485915033,桑心不易,5,男,之前绝密巴克什也是，复活浴场一号位，展台出个人头像，刚想搜完猛攻接着就在旁边航空箱出个炮弹，偷偷在博物馆等着拉了两波闸才敢走[笑哭],2025-02-20 20:56:56,0,0,自己每个视频的第一个赞都是自己点的（骄傲）,未知,是,https://i2.hdslb.com/bfs/face/80559cf8c681f68ee8158cfdf992d70e1fa3c6e1.jpg
