序号,上级评论ID,评论ID,用户ID,用户名,用户等级,性别,评论内容,评论时间,回复数,点赞数,个性签名,IP属地,是否是大会员,头像
1,0,260552982865,400689281,让我在见你一眼,5,保密,哈哈哈哈,2025-04-28 05:17:31,0,0,,未知,否,https://i2.hdslb.com/bfs/face/e5b7f84c4bcffc826d11a3c1c94b566c0909a954.png
2,0,255843195680,292778603,森淼林海江水,4,保密,我只关心他篡改玩家电源计划的行为修不修了,2025-02-19 14:06:05,0,0,,未知,否,https://i2.hdslb.com/bfs/face/171a438e96d2c0c5dd256777e95251f00e000d96.jpg
3,0,255111202464,630421214,麽马卦,5,保密,载具怎么手感这么差啊[辣眼睛][辣眼睛][辣眼睛],2025-02-11 16:51:31,0,0,,未知,是,https://i2.hdslb.com/bfs/face/addb5cb1088ca0436224bfcd0768dfc4b5db9154.jpg
4,0,254373492929,1412325773,千年眠,2,保密,所以爆率呢？,2025-02-11 07:11:01,0,0,,未知,否,https://i0.hdslb.com/bfs/face/member/noface.jpg
5,0,254340278129,498470993,bili_498470993,6,女,三角洲电源计划给我cpu锁了，我7800x3d给我锁3.2了,2025-02-10 23:29:43,0,0,"We can be heroes,just for one day",未知,否,https://i2.hdslb.com/bfs/face/786f69911fd36d02823efc91b34904c92bc8118d.jpg
6,0,254333881249,319282777,楚陌winker,6,保密,所以琳琅天上欠玩家们的优先消耗绑定物品什么时候加[星星眼][星星眼][星星眼],2025-02-10 18:09:01,1,2,,未知,否,https://i1.hdslb.com/bfs/face/eb598a3009be1229eddd6fb63fbd958f08adf889.jpg
7,0,254281472913,608483870,违规用户名1657744,5,保密,啥时候支持手柄啊[笑哭],2025-02-10 08:01:33,0,0,,未知,否,https://i0.hdslb.com/bfs/face/member/noface.jpg
8,0,254952862416,3537114350225629,好难qvq,4,保密,，qwe,2025-02-10 06:46:03,0,0,,未知,否,https://i0.hdslb.com/bfs/face/member/noface.jpg
9,0,254274145681,1877348094,奶味传说,5,男,确实好玩，感觉比战地5好,2025-02-10 06:25:53,0,0,努力练习矛隼，冲击第一名矛隼,未知,是,https://i0.hdslb.com/bfs/face/ae196663fba899c2e439db8c9afc018b8669bdc4.jpg
10,0,254222242753,502926797,阿巴阿巴wef,5,保密,我以为吴亦凡呢吓我一跳[笑哭][笑哭],2025-02-09 14:30:20,0,0,,未知,否,https://i2.hdslb.com/bfs/face/ca0665a26a4604bdbd8b6130b5274c7096f439d4.jpg
