序号,上级评论ID,评论ID,用户ID,用户名,用户等级,性别,评论内容,评论时间,回复数,点赞数,个性签名,IP属地,是否是大会员,头像
1,0,261087551041,3546578115627485,怪盗缺德-窃图者,4,保密,老太战车对老太有什么特殊意义吗？为啥战车被毁了老太会红温？（我的战车！）没碰过航天，只打大坝长弓巴克什，也没怎么了解过游戏背景,2025-05-04 14:29:35,4,0,,未知,否,https://i2.hdslb.com/bfs/face/bba7d358d76d4a96e687cf9b7fad76b58c10bc6b.jpg
2,0,261056237505,299529198,摆烂的why,5,保密,今天也是第一次把老太莎了，太难了[笑哭],2025-05-04 08:25:58,5,0,,未知,否,https://i0.hdslb.com/bfs/face/5122fe04406cfd30648e724d367d0b59343687e7.jpg
3,0,260968235505,441571265,史上最假的绅士,6,男,幽默自爆小车，把我从浮力赶到宿舍区还在追[喜极而泣],2025-05-03 08:26:14,0,0,精通各种现代游戏,未知,否,http://i2.hdslb.com/bfs/face/2560b7740e11c8ed9eb536ce26db28d085b22bd6.jpg
4,0,260960541217,3537112701864259,MorningDew缪缪,4,保密,天空属于拉特兰,2025-05-03 06:30:21,1,2,,未知,否,https://i1.hdslb.com/bfs/face/364ddbfc81d6c3bbb33d3c6fb0e71592e3ab62fd.jpg
5,0,260899414945,3493133413255183,高松森太郎,5,保密,@倦恋a,2025-05-02 12:01:48,0,0,因为山在看着我,未知,否,https://i1.hdslb.com/bfs/face/2edf4dc1c8c85a09549c5adf58596dce15ddf545.jpg
6,0,261799864192,1216425432,oldtvman,5,男,@新时代uzi爽吃同学,2025-05-02 04:48:36,0,0,,未知,否,https://i0.hdslb.com/bfs/face/1e571c9c3c46889bddc9d85210cf12619b990178.jpg
7,0,260844189041,1649527467,星野好香好软好可爱,5,男,怎么没有待机音效,2025-05-01 20:09:06,0,0,,未知,否,https://i0.hdslb.com/bfs/face/0b81538fc21c0f020ff73367c4a72d1c0b1991d1.jpg
8,0,261770070992,3546587166935133,今天还憧憬着那里,4,男,2:09,2025-05-01 17:14:42,0,0,,未知,否,https://i0.hdslb.com/bfs/face/6777a491edb780df60ad1a62151479eb1af2b2c6.jpg
9,0,261604303952,38255100,哈夫克航天管理局,6,保密,天空属于哈夫克！,2025-04-29 17:26:56,0,2,天空属于哈夫克,未知,否,https://i0.hdslb.com/bfs/face/26eb1ee0d364d8bf05f2fa12bc2b2739ad76f7bf.jpg
10,0,260646614161,1759616085,月白晴天,5,女,@是Bacon啊,2025-04-29 10:20:31,0,0,去tm的方块人 淡玩生死狙击2 主攻三角洲 粉丝群:1017611427,未知,否,https://i0.hdslb.com/bfs/face/e3718d378fdeb29c9cad9d7dae5010c9e1b4b7c7.jpg
11,0,261325833968,513708736,丢豆皮呢斯,5,男,孩子们我枪法不好，快来和我对狙吧,2025-04-26 08:08:44,1,3,欧内的手，好汉,未知,否,https://i1.hdslb.com/bfs/face/41dc3886d6451e118048bfc312e390032d926650.jpg
12,0,260408490913,411428594,风沙星海,2,保密,1：48  2：10,2025-04-26 08:00:39,0,1,,未知,否,https://i2.hdslb.com/bfs/face/692c45fdf8d0ab931e4aa1f68cb8fce36a20b4fe.jpg
13,0,261269724880,1737098018,希儿芙乐艾死生之律者,5,保密,"一阵强劲的音乐响起🎶🎶
登↗登等↘登→登↗
一群接一群，真把这里当金矿了👿
总有那么几个冥顽不灵的😡💪
知道你在谁的地盘上吗😋👎
门卫没告诉你吗，我今天不见客🤔
我的战车！你要给它陪葬👿
你必须，付出代价😡
真可笑，你就这种水平🤗
你的勇气值得赞扬😁
但你的愚蠢更值得同情😂
哼，你太高看自己了😠
这就是愚昧的代价，浪费时间😂
我看错你了，你是个懦夫😅
哼，这一发，足够贯穿你了😈
开启战斗模式👿
你会后悔的，不知好歹的东西👿
以你的水平，恐怕没命回去了😋
怎么会这样😦😡
你居然敢😡😡😡你怎么敢😡😡😡
你要给它陪葬😡😡😡

——· 撤离失败 ·——
⚠️注意！您丢失了您带入战局或在战局中找到的所有物品。

        淘汰者
首领：【安全总监】德穆兰

致命一击：
【安全总监】德穆兰
敌方攻击：M700狙击步枪丨五级子弹
我方防具：六级H70 精英头盔（0/55）
头部 -78 （护甲减免-22）
                   【安全总监】德穆兰
                   来自，400米",2025-04-25 14:17:44,0,2,这一切都将到来 ,未知,否,https://i2.hdslb.com/bfs/face/24da3f9722114a4beb87c0d0e8d13e37517767da.jpg
14,0,261249019616,3546735467039338,阿萨拉最强首领哈姆克,3,保密,老太生气：愚昧，真是愚昧，我会让你们付出代价，你怎么敢的？你怎么敢？自爆车！，我的自爆车？很好，你们竟敢偷了我的自爆车，我会让你们付出代价，丁丁丁丁丁丁丁丁，（M147）这十枪足够让你死。,2025-04-25 10:11:35,0,2,我是一个新物流的作者，哦，对小说有感趣，对，星野APP，有极大的乐趣,未知,否,https://i1.hdslb.com/bfs/face/353b8d177b514caa7aa5757a796dc5696100d767.jpg
15,0,259940288529,396993297,地狱黑斯雷鲨,5,男,敢不敢下地比划比划,2025-04-20 05:50:36,0,1,,未知,是,https://i0.hdslb.com/bfs/face/c3e6bb6abc811e3645d01dd9fbcaefc7fb99975e.jpg
16,0,259939990881,3493132540840484,芙宁娜的脚好香,4,保密,滑动有惊喜[doge],2025-04-20 05:47:07,2,4,,未知,否,https://i2.hdslb.com/bfs/face/30d35dff70317a7253151f440b9d82b64cc65df3.jpg
17,0,259921911857,48498298,三蒂区的耶路撒冷,6,保密,没指望你们这些人能理解哈夫克,2025-04-20 02:00:53,0,1,,未知,否,https://i1.hdslb.com/bfs/face/6c1e43b6734ee2108dfc6d041bc9dc3a42567e3f.jpg
18,0,260721909600,1280780818,橘子皮泡水吗,2,保密,小时候看这集六头直接被打碎了,2025-04-18 23:24:18,0,2,,未知,否,https://i1.hdslb.com/bfs/face/70ed88b11de48a4343a0666cfd6f308230886acb.jpg
19,0,260530834784,3461568612272403,酸菜不是菜q,2,保密,哈夫克和阿萨拉有自己的天地：天空属于哈夫克！地面属于阿萨拉！那G.T.I呢？我自己配的是：和平属于G.T.I,2025-04-16 12:07:05,6,9,新人UP小学生,未知,否,https://i0.hdslb.com/bfs/face/member/noface.jpg
20,0,260446489904,3546729968306242,傻傻de咸鱼,4,男,如果左边是6套，右边是老太，你们走哪边？,2025-04-15 11:20:40,1,1,,未知,否,https://i1.hdslb.com/bfs/face/b9d9c434592d12dbaa9ab6f87de7db00d276834b.jpg
41,0,259443751681,359486673,我饿世界,5,保密,前几天中控一楼门口碰见一个威龙博弈了半天走过去一看成盒了，一看死因：被老太一枪抽死了[笑哭],2025-04-13 16:40:07,0,0,,未知,否,http://i0.hdslb.com/bfs/face/f452433a881d85eeea3ed8c588caa2f8b57813d6.jpg
42,0,259329266737,1012864963,星零15,5,男,成功对齐[脱单doge],2025-04-12 10:34:58,0,0,为了守护,未知,否,https://i1.hdslb.com/bfs/face/1f55484318ef939efa41bb09aa678d5cdc8866b7.jpg
43,0,259297263713,3493118611556487,jianhaozi,3,保密,天空属于哈夫克！,2025-04-12 03:18:21,0,1,,未知,否,https://i0.hdslb.com/bfs/face/member/noface.jpg
