序号,上级评论ID,评论ID,用户ID,用户名,用户等级,性别,评论内容,评论时间,回复数,点赞数,个性签名,IP属地,是否是大会员,头像
1,0,262131934320,24220639,龙猫XDDDD,6,男,今天开的，看到刷了两个人都傻了,2025-05-05 20:38:11,1,0,咸鱼带学生，喜欢东方，喜欢v家，发发日常ing 我永远喜欢小天使hanser！！！！,未知,是,https://i1.hdslb.com/bfs/face/1f2532daad725ef494f24b8be9ce82373a438206.jpg
2,0,261021542337,3461566504635092,Oasis2415,5,保密,这怎么爆率这么高。我玩的时候一毛都没有,2025-05-04 00:14:14,1,0,,未知,是,https://i2.hdslb.com/bfs/face/2bcd31302bea1687dd48795f44afe642fa67d107.jpg
3,0,261957616048,3461566504635092,Oasis2415,5,保密,UP主加油！看好你噢~,2025-05-04 00:13:41,0,0,,未知,是,https://i2.hdslb.com/bfs/face/2bcd31302bea1687dd48795f44afe642fa67d107.jpg
4,0,261943860080,25745236,藏美魂,5,保密,突然想起来，有一个真人，我去给他杀了，然后他包里有一个无人机没在保险,2025-05-03 16:27:21,0,0,,未知,否,http://i0.hdslb.com/bfs/face/member/noface.jpg
5,0,261888330336,3546616071981249,不简单的火箭哥,4,男,UP主加油！看好你噢~,2025-05-03 04:56:55,0,0,过来的是来查成分的乐子是吧,未知,否,https://i0.hdslb.com/bfs/face/9f280369e0440e5a8b6f5a73d2837262be8a98d3.jpg
6,0,261667366624,3546392989534218,LJLDJ,2,保密,吸,2025-04-30 13:11:49,1,0,,未知,否,https://i0.hdslb.com/bfs/face/c8d78d2a38e7177474670132bfb447891238d5e7.jpg
7,0,260668200785,1555932657,zdakle,5,保密,普弓，本来做个部门任务牧场撤了，发现白房子没搜，一摸收纳盒人傻了，急着发给朋友被喷为啥没放3*3[笑哭],2025-04-29 14:57:12,0,0,日月不倦，孜孜以求,未知,是,https://i0.hdslb.com/bfs/face/13050d1259d090c6722c9a20c070b42b3f1b9e1c.jpg
8,0,260550972945,1077140885,我是大哥6666355,5,保密,普坝出的。,2025-04-28 04:50:05,0,0,"啦啦啦啦
",未知,否,https://i2.hdslb.com/bfs/face/9789a428c7d60ac2f14eb749151c57406cbea559.jpg
9,0,260834020384,3494377324284165,打手MN,3,男,UP主加油！看好你噢~,2025-04-20 04:53:57,0,0,,未知,否,https://i0.hdslb.com/bfs/face/7b51d357c90003daebc2624345ab98909c6f2925.jpg
10,0,260489735168,350368931,丶XX7,5,男,新手刚玩二十来天，目前没摸到过九格，之前在普坝水泥厂摸到装甲车电池33体验卡刚好用完了刚准备跑路出门就撞到人被踢死了[大哭]我想问问如果出货了带不进裤裆应该直接跑路还是找地方苟着最后撤,2025-04-16 02:46:13,4,0,,未知,是,https://i2.hdslb.com/bfs/face/025b6f1b2b398b70bd1568947245dea7ea3069c9.jpg
