序号,上级评论ID,评论ID,用户ID,用户名,用户等级,性别,评论内容,评论时间,回复数,点赞数,个性签名,IP属地,是否是大会员,头像,emotion
1,0,258831169825,439240502,优秀的学神,6,保密,@三角洲行动 有人刷哈夫币,2025-04-06 04:42:21,0,0,,未知,否,http://i0.hdslb.com/bfs/face/member/noface.jpg,Neutral
2,0,258831161361,439240502,优秀的学神,6,保密,换个有红外镜子的枪再发一集[doge],2025-04-06 04:42:02,0,0,,未知,否,http://i0.hdslb.com/bfs/face/member/noface.jpg,Expectation
3,0,258831169825,439240502,优秀的学神,6,保密,@三角洲行动 有人刷哈夫币,2025-04-06 04:42:21,0,0,,未知,否,http://i0.hdslb.com/bfs/face/member/noface.jpg,Neutral
4,0,258831161361,439240502,优秀的学神,6,保密,换个有红外镜子的枪再发一集[doge],2025-04-06 04:42:02,0,0,,未知,否,http://i0.hdslb.com/bfs/face/member/noface.jpg,Expectation
5,0,258831169825,439240502,优秀的学神,6,保密,@三角洲行动 有人刷哈夫币,2025-04-06 04:42:21,0,0,,未知,否,http://i0.hdslb.com/bfs/face/member/noface.jpg,Neutral
6,0,258831161361,439240502,优秀的学神,6,保密,换个有红外镜子的枪再发一集[doge],2025-04-06 04:42:02,0,0,,未知,否,http://i0.hdslb.com/bfs/face/member/noface.jpg,Expectation
7,0,258831169825,439240502,优秀的学神,6,保密,@三角洲行动 有人刷哈夫币,2025-04-06 04:42:21,0,0,,未知,否,http://i0.hdslb.com/bfs/face/member/noface.jpg,Neutral
8,0,258831161361,439240502,优秀的学神,6,保密,换个有红外镜子的枪再发一集[doge],2025-04-06 04:42:02,0,0,,未知,否,http://i0.hdslb.com/bfs/face/member/noface.jpg,Expectation
9,0,258831169825,439240502,优秀的学神,6,保密,@三角洲行动 有人刷哈夫币,2025-04-06 04:42:21,0,0,,未知,否,http://i0.hdslb.com/bfs/face/member/noface.jpg,Neutral
10,0,258831161361,439240502,优秀的学神,6,保密,换个有红外镜子的枪再发一集[doge],2025-04-06 04:42:02,0,0,,未知,否,http://i0.hdslb.com/bfs/face/member/noface.jpg,Expectation
