序号,上级评论ID,评论ID,用户ID,用户名,用户等级,性别,评论内容,评论时间,回复数,点赞数,个性签名,IP属地,是否是大会员,头像
1,0,262154712816,16940722,伪善37,6,男,为什么玩个游戏这么中二啊,2025-05-06 05:35:25,0,0,芜湖~,未知,否,https://i1.hdslb.com/bfs/face/c3e8df507239938cb1e5ae8441e0e63dd7e0ef00.jpg
2,0,262110802400,3546662479858539,哈夫克工程部副部长,3,保密,@红颜是只兽,2025-05-05 13:35:26,0,1,,未知,否,https://i0.hdslb.com/bfs/face/70af28966a790e1ff8f83c03c769aee9f489254f.jpg
3,0,261145934673,506126969,残墟Extinction,5,保密,乌鲁鲁本身其实是很好用的工程了，是因为那些堵桥的cs导致乌鲁鲁风评很差,2025-05-05 08:20:16,0,0,,未知,是,https://i2.hdslb.com/bfs/face/21f1baa29e7ea5600cb78494127ee95254e38316.jpg
4,0,261137985969,113506682,梵妮莎丶范克里夫,6,男,火伤害这么低吗？那还有必要灭火吗,2025-05-05 06:30:02,0,0,,未知,是,https://i2.hdslb.com/bfs/face/891be446688c089d5612998d9e94516d11658479.jpg
5,0,261012198545,1389857554,不知名の枫,4,男,被狙击兵打死并不好笑 我之前跟我两个表哥在绝密被狙击兵灭过队[微笑][微笑],2025-05-03 17:38:01,0,0,,未知,否,https://i1.hdslb.com/bfs/face/45c5c88d0c528b7636a7dc48a429b33b30ca79d8.jpg
6,0,260496399313,1656865283,星辰Thethrone,4,保密,@罗盘事务所,2025-04-27 10:35:33,0,0,,未知,否,https://i2.hdslb.com/bfs/face/5bfefd81e12d16598d6e5f154c9c4d3be4f3a111.jpg
7,0,260288878385,351594860,与世同舟,5,保密,手游飞弹怎么加速?,2025-04-24 17:04:38,2,0,,未知,否,http://i2.hdslb.com/bfs/face/aeaef246b197ca0e0c9c2704168c073344db9b18.jpg
8,0,260037160321,3537108539017472,小鲨鱼131,3,保密,你有什么话跟我导弹去说吧,2025-04-21 10:33:35,0,1,,未知,否,https://i2.hdslb.com/bfs/face/ef28c3546ea220c413017a5cce18a5699615f988.jpg
9,0,259043511569,403886487,装逼我让你飞起来,6,男,啊？,2025-04-08 17:24:14,0,0,我看着这毁灭,未知,否,https://i0.hdslb.com/bfs/face/538a885a362fc45551a24e061179696a63aec7d7.jpg
10,0,259032641265,292672360,Aho-ge,6,男,up这完全错误教学，直接站对面视野里放大，要是对面有人跳出来就没了,2025-04-08 14:42:40,0,1,快来搞死那个激萌的萝莉！,未知,否,https://i1.hdslb.com/bfs/face/eea77105ac285245ee001e10470e636820cac868.jpg
11,0,258461715921,265066169,铋鲁克,5,男,我不够沉着,2025-04-01 16:42:22,0,2,我是杰瑞不是风车车。,未知,是,http://i2.hdslb.com/bfs/face/a61590f112917ff3c4f0ca2be8a6215bff662f93.jpg
12,0,258307982881,321936369,赛兰公主,6,保密,火控不是瞄准镜的叫法吗 燃烧弹叫你大坝的火控,2025-03-30 23:35:57,0,0,这个人懒死之前什么都没有写,未知,否,https://i0.hdslb.com/bfs/face/ee24f0ae8a151de31cb859a9b4a91e48a9b8be66.jpg
13,0,258172857681,451978680,黑岩暗影,5,男,玩之前一直以为讯飞弹可以当火箭炮是用（不控制）玩之后才知道这前摇太长了，不控制的情况下想炸到人节制不可能！( ゜- ゜)つロ谁便问一下巡飞弹对掩体后面有伤害吗？伤害多少,2025-03-29 09:05:52,0,0,,未知,否,https://i0.hdslb.com/bfs/face/b7cdc652f54457477658480d14a69cac292670f2.jpg
14,0,258529261936,391526922,Yuuki10032,6,保密,乌鲁鲁大招有时候会提示没侦测到敌人，有时候不会提示，请问是什么机制？,2025-03-23 15:08:38,1,0,一击脱离的真是没种，要对线就不要拉黑。我又不是不讲道理，你有依据和逻辑，我可以认可你的说法。狗屁不通说一顿然后一击脱离的真的没种。,未知,否,https://i0.hdslb.com/bfs/face/23e87395ab85941bceb14896274a12fcec5afbc5.jpg
15,0,257698059025,3546862915160582,向前直行,2,保密,我拿深蓝玩红薯窝的时候.我们选择枪的时候，乌鲁鲁直接拿个巡航导弹，把我和一个队友炸没了,2025-03-23 09:57:20,0,0,,未知,否,https://i2.hdslb.com/bfs/face/d43feb7779fc6e56013dc6bf229e5423f737a68f.jpg
16,0,258439324448,3461563906263837,黑鹰坠落重工,5,男,之前有两个老登，我战场一发巡飞弹四个头,2025-03-22 14:59:51,0,0,求得癌症，我死了又没人记得,未知,否,https://i0.hdslb.com/bfs/face/cf127406ef453fe7149c606fc88bd07eabcbddb6.jpg
17,0,256845385729,3546811035814553,渟甫,3,男,敌人先把我打死，我的火把他烧死，同归于尽[滑稽],2025-03-12 17:49:07,0,0,,未知,否,https://i2.hdslb.com/bfs/face/50beeb4274726d4714436120e60fec14cb9cd099.jpg
18,0,257520411280,456858401,夏の生,6,保密,[鼓掌][鼓掌][鼓掌],2025-03-11 12:19:07,0,0,,未知,否,https://i2.hdslb.com/bfs/face/a42740ddf4534539d704122358c377e1482e3f43.jpg
19,0,256039369089,290416676,名字超难起的啊啊啊,5,男,有固排电脑端吗,2025-03-02 12:11:15,0,0,啊啊,未知,否,https://i2.hdslb.com/bfs/face/f273ae7370a8671c569f196bbd692748c2ad2751.jpg
20,0,255630912337,269993273,从0号大坝逃出的象,4,保密,如果这个英雄配合深蓝会发生什么？,2025-02-25 14:28:52,0,0,无论如何都要说上一句おはよう。こんにちは。こんばんは。,未知,否,https://i2.hdslb.com/bfs/face/afbe84eda9ad9db4d6ad9ed2781c81ef1efe8b7d.jpg
24,0,255279053009,399583854,是谁占了我的名啊啊啊,3,保密,看了那么多游戏解说，第一次觉得up主好帅[doge_金箍][doge_金箍][doge_金箍][doge_金箍]可能是声音也很好听，让一心只有搞钱的我都想谈[黑眼圈_金箍],2025-02-21 10:01:24,1,0,,未知,否,https://i0.hdslb.com/bfs/face/7561c45f346a103b158f767514ba88f1d90de3ee.jpg
25,0,255623376976,3546720141052003,独眼香肠,3,保密,真的好细呀,2025-02-17 03:56:29,0,1,,未知,否,https://i1.hdslb.com/bfs/face/bc6c38fe1054373cc8dc12a23ade893d1d2cebcf.jpg
26,0,254804761841,3546771825363397,123321也,3,保密,主播我想问一下乌鲁鲁火烧有没有友伤啊,2025-02-15 16:13:42,2,0,,未知,否,https://i0.hdslb.com/bfs/face/member/noface.jpg
27,0,255402477968,523413515,改名要花六颗心,6,保密,刚进来还以为是大战场教学[笑哭],2025-02-14 15:58:02,0,0,,未知,是,https://i2.hdslb.com/bfs/face/134d782277a58bac955c876107c6f39568e4ae73.jpg
28,0,255310516640,3546822452709518,一个海盗望远镜,3,保密,水泥墙扔出去有2秒透明，能拉出去看敌人位置（可以挡子弹）,2025-02-13 17:15:47,0,0,,未知,否,https://i2.hdslb.com/bfs/face/f12f5317d27779c3f99420967f57e5426313e360.jpg
29,0,255178091968,1456552624,bili_80368449347,3,保密,手机端乌鲁鲁大招怎么调啊？,2025-02-12 10:34:10,0,1,,未知,否,https://i1.hdslb.com/bfs/face/bf6fd45333ecc3e9ff07b0c87de7b9bb5a1b8326.jpg
30,0,254378394305,3537109354809774,智齿小潮,3,保密,我有次巴克什玩的乌鲁鲁，敌人开了个保险任务，我摸到后面用水泥墙封住门把燃烧和大招全丢进那个小房间，他们直接绝望的似了[doge_金箍],2025-02-11 08:11:52,0,0,,未知,否,https://i0.hdslb.com/bfs/face/21242a4e3586786216c94afe1ae2d4397806b080.jpg
31,0,254943024832,3546750287612727,可口的炒蛋饼,2,男,以为很帅，没绷住。,2025-02-10 04:51:37,0,0,,未知,否,https://i0.hdslb.com/bfs/face/149f643807d3777efe7fc7bb7f24db0683beda5e.jpg
