序号,上级评论ID,评论ID,用户ID,用户名,用户等级,性别,评论内容,评论时间,回复数,点赞数,个性签名,IP属地,是否是大会员,头像
1,0,261256460641,3546896522021762,可爱酱三角洲,2,保密,我普通大坝出滑瞠枪了[歪嘴][歪嘴],2025-05-06 16:03:03,0,0,,未知,否,https://i2.hdslb.com/bfs/face/eb101ef90ebc4e9bf79f65312a22ebac84946700.jpg
2,0,261043126881,354912586,某咳是个白嫖怪,5,保密,最近刚入坑三角洲，因为没有玩过类似的模型游戏，第一把撤离都不知道怎么撤离，觉得不适合我就卸了。最近听说有个彦祖猛攻节挺火的，而且对新手也挺好，看了攻略以后，终于知道要怎么玩了，有没有小伙伴一起玩了？有大佬好心带带我，那就太感激不尽了,2025-05-04 05:20:05,0,1,中个奖吧,未知,否,https://i1.hdslb.com/bfs/face/2ba52ae8f54e5b25aed6a2bfa295e0a813c334cf.jpg
3,0,260854932401,2050879461,Feliscatus亖,5,保密,这才是普坝宣传片,2025-05-02 01:57:18,3,12,,未知,是,https://i0.hdslb.com/bfs/face/7e72c58637ff26df68fb30939de078d2bbbfcdbe.jpg
4,0,261714856032,3493134356973832,-cokun,4,男,朋友给的，号之前被洗过 我之前出复苏也给他了[doge][doge][doge],2025-05-01 04:58:39,2,0,,未知,否,https://i1.hdslb.com/bfs/face/031b86c7afe62e901b43b350c089d35dfd9e7c07.jpg
5,0,261663968928,3546614387968609,kjrkjy,2,保密,不是，刚才兄弟在普坝出了个非洲之心，什么意思啊,2025-04-30 12:32:21,0,0,,未知,否,https://i0.hdslb.com/bfs/face/member/noface.jpg
6,0,259982256481,3546604277598773,猫猫卡哇伊的,4,保密,萤火号换其他游戏号，了解详情，私聊,2025-04-20 15:07:56,0,2,,未知,否,https://i2.hdslb.com/bfs/face/d0b994fda508d3916f0bce528d1ea3e9e5177192.jpg
7,0,259973922913,3546885564402056,忘本猫暗区超自然,2,男,[蹲蹲]人知道六一怎么获得吗？,2025-04-20 13:26:21,1,1,,未知,否,https://i2.hdslb.com/bfs/face/d3d8baa5bce12ae0f7138754561bdb1f42718a18.jpg
8,0,260873340464,3461565107932002,用户已销毁账号,4,保密,不知道我运气到底怎样，最近一直出红  普长，但最贵的被打死了 [笑哭],2025-04-20 13:24:00,0,0,国,未知,否,https://i0.hdslb.com/bfs/face/f7a2fe4bd267fab108c1eeba149fd27ff1e85433.jpg
9,0,259930074177,3546838275722177,他拉土了,2,保密,"666  ,霸道柳如烟。",2025-04-20 03:49:23,0,1,,未知,否,https://i0.hdslb.com/bfs/face/member/noface.jpg
10,0,259929763873,3493280635422771,Mc_小莫Y_,5,男,是你吗,2025-04-20 03:44:21,0,0,叫我小K ,未知,否,https://i0.hdslb.com/bfs/face/ebd8bc8d5c06f6229736ce1dd717ba7bdaf82c4a.jpg
11,0,260750033776,3546854625119200,什么也不是wc,2,保密,下次一定,2025-04-19 06:34:25,0,0,"认识你我很幸运！
",未知,否,https://i1.hdslb.com/bfs/face/395f23f5ee770403d9641d6c84a1180677934fca.jpg
12,0,259487562401,43632498,dxdCCC,6,保密,下赛季保险箱竖的六格可就不只有大红了哦，来自策划的恶意[doge],2025-04-14 10:04:56,0,1,休闲,未知,否,https://i0.hdslb.com/bfs/face/98c65065d0a74192c3c386634e12dc0128f56a3f.jpg
13,0,260257618944,12810102,OHANAぺ,6,男,感觉小小烟可以单干了,2025-04-13 03:44:14,0,0,,未知,否,https://i0.hdslb.com/bfs/face/4ce0d3411839ffb2d6dbb620d88edb5c3475c2e0.jpg
14,0,259327950401,430741791,上九,5,男,哈哈,2025-04-12 10:19:10,0,0,为何晨曦比这夜还凉,未知,是,https://i0.hdslb.com/bfs/face/a41d03e50985db0109756c62b59b5466ad6864f7.jpg
15,0,259301750161,1291103859,麻辣铁钉,4,保密,普通长弓,2025-04-12 04:17:12,0,3,,未知,否,https://i0.hdslb.com/bfs/face/ca1a06f8293b21e94834cfb95864e22a52b184f0.jpg
16,0,260158788720,1458496502,烈焰窟,5,保密,[doge],2025-04-12 01:35:13,0,1,,未知,否,https://i2.hdslb.com/bfs/face/44f400bbff9022ec41846bb594ec5091dc4fb792.jpg
17,0,260078509824,3461564543797427,腾讯可乐,4,保密,你猜我普通长弓盾兵身上出了什么[吃瓜],2025-04-11 02:37:59,0,3,,未知,否,https://i0.hdslb.com/bfs/face/member/noface.jpg
18,0,260009565856,455232043,余念゜,6,保密,普通长弓宣传片[doge],2025-04-10 05:04:44,1,3,身为双鱼座小蝴蝶的我就像一个电池容量低的手机，不知何时候就关机了。,未知,否,https://i1.hdslb.com/bfs/face/a2a91e434eb752ec665bf3d311b9a66958218385.jpg
19,0,259964646800,179309511,阿萌羞答答,6,男,是的[doge],2025-04-09 13:40:12,8,23,这个人勤奋死了，什么都没有写(=・ω・=),未知,否,https://i0.hdslb.com/bfs/face/2343381d1eb994ddd551cb38dd50848fd3d01944.jpg
20,0,259867855632,1713644107,经才十,3,保密,小小烟等于抽烟。,2025-04-08 10:12:45,0,0,,未知,否,https://i1.hdslb.com/bfs/face/84d2f16b0ceb4ebe62ea0582d942c4a66a952ff0.jpg
