序号,上级评论ID,评论ID,用户ID,用户名,用户等级,性别,评论内容,评论时间,回复数,点赞数,个性签名,IP属地,是否是大会员,头像,emotion
1,0,259749063729,697126562,辉夜魔法师,5,保密,哈哈哈 “真黑夜 模式    隐藏地图,2025-04-17 23:22:12,0,0,,未知,否,https://i2.hdslb.com/bfs/face/dfefa5509f72315769f896ec72ff1646ae354cb0.jpg,Joy
2,0,260618195088,1568198946,攻城手提丰,4,保密,更新以后一堆bug,2025-04-17 14:20:06,0,0,,未知,否,https://i0.hdslb.com/bfs/face/f3526a3d44a9c2a4b5defba76706f980ca16adb5.webp,Disgust
3,0,259749063729,697126562,辉夜魔法师,5,保密,哈哈哈 “真黑夜 模式    隐藏地图,2025-04-17 23:22:12,0,0,,未知,否,https://i2.hdslb.com/bfs/face/dfefa5509f72315769f896ec72ff1646ae354cb0.jpg,Joy
4,0,260618195088,1568198946,攻城手提丰,4,保密,更新以后一堆bug,2025-04-17 14:20:06,0,0,,未知,否,https://i0.hdslb.com/bfs/face/f3526a3d44a9c2a4b5defba76706f980ca16adb5.webp,Disgust
5,0,259749063729,697126562,辉夜魔法师,5,保密,哈哈哈 “真黑夜 模式    隐藏地图,2025-04-17 23:22:12,0,0,,未知,否,https://i2.hdslb.com/bfs/face/dfefa5509f72315769f896ec72ff1646ae354cb0.jpg,Joy
6,0,260618195088,1568198946,攻城手提丰,4,保密,更新以后一堆bug,2025-04-17 14:20:06,0,0,,未知,否,https://i0.hdslb.com/bfs/face/f3526a3d44a9c2a4b5defba76706f980ca16adb5.webp,Disgust
7,0,259749063729,697126562,辉夜魔法师,5,保密,哈哈哈 “真黑夜 模式    隐藏地图,2025-04-17 23:22:12,0,0,,未知,否,https://i2.hdslb.com/bfs/face/dfefa5509f72315769f896ec72ff1646ae354cb0.jpg,Joy
8,0,260618195088,1568198946,攻城手提丰,4,保密,更新以后一堆bug,2025-04-17 14:20:06,0,0,,未知,否,https://i0.hdslb.com/bfs/face/f3526a3d44a9c2a4b5defba76706f980ca16adb5.webp,Disgust
9,0,259749063729,697126562,辉夜魔法师,5,保密,哈哈哈 “真黑夜 模式    隐藏地图,2025-04-17 23:22:12,0,0,,未知,否,https://i2.hdslb.com/bfs/face/dfefa5509f72315769f896ec72ff1646ae354cb0.jpg,Joy
10,0,260618195088,1568198946,攻城手提丰,4,保密,更新以后一堆bug,2025-04-17 14:20:06,0,0,,未知,否,https://i0.hdslb.com/bfs/face/f3526a3d44a9c2a4b5defba76706f980ca16adb5.webp,Disgust
