序号,上级评论ID,评论ID,用户ID,用户名,用户等级,性别,评论内容,评论时间,回复数,点赞数,个性签名,IP属地,是否是大会员,头像
1,0,261224514529,43573758,春有天下,6,保密,这游戏真的不会破产，我和朋友天天玩，最近都是我给他带子弹，他摸东西爆率是真的高,2025-05-06 09:03:38,0,0,,未知,是,https://i0.hdslb.com/bfs/face/a8db52736a0c02631af45d5c34de89c49538bd27.jpg
2,0,261144313329,503010186,末世宇宙,2,保密,这游戏可惜没有全单排模式。打野排不方便开麦毫无团队合作；自己打单排又必须一对多和别人拼命，零号大坝要成功撤退都得至少摆平6、7个对手，玩得比上班都辛苦。,2025-05-05 07:58:49,0,0,,未知,否,https://i0.hdslb.com/bfs/face/c0e74b40c3f43fca7bc1cb425b11e79f28e2f98d.jpg
3,0,261794997760,444252109,瞳_目,5,男,没有打绝密航天的技术,2025-05-02 03:50:34,0,0,做自己想做的事,未知,否,https://i1.hdslb.com/bfs/face/e6d0d2f048945af6568fa0af4145aa8851f4f1e9.webp
4,0,260711293745,325036672,战忽局特别行动队一号,6,保密,自己的号这么唐吗，碰到的都是神人阿,2025-04-30 06:55:22,0,0,,未知,否,https://i1.hdslb.com/bfs/face/b57443415a10e30ea854e2e2501e105a4bff8e5f.jpg
5,0,260672142609,3493104065710181,无限的傻子,5,男,我花了500万就出龙了[呲牙],2025-04-29 15:49:52,0,0,在玩游戏的时候给大家带来快乐,未知,否,https://i2.hdslb.com/bfs/face/eb101ef90ebc4e9bf79f65312a22ebac84946700.jpg
6,0,260628298225,3546887497976272,喜欢大同的判决,2,保密,腾讯还是有钱,2025-04-29 05:18:14,0,0,,未知,否,https://i0.hdslb.com/bfs/face/member/noface.jpg
7,0,260466101857,406554158,初一丶清茶,5,男,大坝赚钱，航天花，真好。,2025-04-27 02:33:52,0,0,,未知,否,http://i2.hdslb.com/bfs/face/bc0b777725135ee99cc077694b55dd3b63c8856c.jpg
8,0,260219780097,27803250,光年之外的七里香,6,保密,了离谱肉蛋跟人爆,2025-04-23 19:51:13,0,0,,未知,是,https://i0.hdslb.com/bfs/face/87aecb65d7bd132bcd3a75c7c996e730a1893845.jpg
9,0,260937865776,418414441,寒蝉夜空鸣,6,保密,六天了无人在意[抠鼻],2025-04-21 10:16:00,0,0,,未知,否,https://i1.hdslb.com/bfs/face/57396cd5d7675ed1a63218e14563df671020d24c.jpg
10,0,260834983664,453988922,烽火戏诸侯wk1314,5,保密,永远都是拿个小刀进去打npc拿装备的，我永远不亏[喜极而泣],2025-04-20 05:05:29,0,0,,未知,否,http://i0.hdslb.com/bfs/face/member/noface.jpg
