序号,上级评论ID,评论ID,用户ID,用户名,用户等级,性别,评论内容,评论时间,回复数,点赞数,个性签名,IP属地,是否是大会员,头像
1,0,261199199681,473191496,番号Z,5,男,你或许见过端着S12K在天上飞的威龙,2025-05-06 01:49:28,0,0,战斗吧！,未知,否,https://i2.hdslb.com/bfs/face/574c62d48c78d29cc5db7cd80f1e995f0e2f6075.jpg
2,0,262116514112,1334038619,CNMDBook,5,男,我麦小鼠救两个威龙队友两次灭两队。,2025-05-05 14:42:16,1,1,官网：cmdbookdevelope.github.io QQ群1028623716,未知,是,https://i2.hdslb.com/bfs/face/e315cccea0dc59f4d26b477fb3fa186f28fba654.webp
3,0,261104660497,34585394,克萝赛丝,6,保密,麦小鼠真得分人，我个人玩的时候一般是跟随着我的固排威龙或者红狼补枪，给闪或者给刀前压打得很凶的好吧,2025-05-04 19:00:11,0,0,咸鱼少前玩家，咸鱼音游玩家，咸鱼东方人，咸鱼神秘学爱好者，还是个咸鱼fps玩家，总之是个很咸鱼的宅,未知,是,https://i2.hdslb.com/bfs/face/8b921ce94f9017a9598778e8e6ccaf3b50fe1650.jpg
4,0,261966692288,3546740462455545,暗区在牛角洲有使命,3,保密,我爱玩麦小鼠，半猛攻的,2025-05-04 02:44:20,0,0,,未知,否,https://i0.hdslb.com/bfs/face/132eb65ea86102b1fdec92d5251a46f4adade567.jpg
5,0,261957646368,3546843013188333,猹鸡本鸡,2,保密,我玩麦晓雯都是玩喷子，一局不灭队浑身难受,2025-05-04 00:16:24,0,0,暗区突围,未知,否,https://i0.hdslb.com/bfs/face/1a6a98d234054ddcaac072e16094390d29cb63ee.jpg
6,0,261954974400,3546704280291730,a_common,4,男,你懂喷气的快感吗？,2025-05-03 22:44:56,0,0,苦逼的高中牲，立志成为百万粉up,未知,否,https://i1.hdslb.com/bfs/face/ba17ffc2f315efede271a4d5049f8c13e8132405.jpg
7,0,260781177537,2002871677,商山刑,5,男,我玩哪个干员都是找人杀的，尤其是信息位，这玩意儿找人太好用了，找到了直接干拉，至少换俩,2025-05-01 04:08:54,0,0,,未知,是,https://i1.hdslb.com/bfs/face/0f1a2197e76254927e41f87583ac4f8a5dfd9135.jpg
8,0,261652569456,26671104,圣光茫,6,男,我好像玩儿威龙时间最长，也是目前一直在玩龙，可攻可守的，现在的我不想主动出击，只想听别人的，别人打我就打，躲我也不想练战。。,2025-04-30 10:15:57,0,0,一如既往的不正经,未知,是,https://i0.hdslb.com/bfs/face/df8c61d8f953429e2bab13a5e9b8c6ca93870b19.jpg
9,0,260479563633,473674897,天坑-送头,6,保密,不敢操作是真的，哥们打大战场都能kd小于1，烽火对枪从来没赢过，每次固排喊我打航天我都不知道要不要进队了，因为每次都是他猛攻，我什么作用都没有，除了选个医生封烟拉人和给他加血我就没用了，他红狼上去一打三换掉一个两个残血我都打不赢，不知道咋玩，总感觉这打得太难受了,2025-04-27 05:51:31,0,0,星难求，何孜孜求哉？求之不得，以致疲累，何不智也！,未知,是,https://i1.hdslb.com/bfs/face/2b0aa2b8eeea467365283debd263ac6d5e067040.jpg
10,0,261147416128,3546391947249731,张起安,4,男,这我就不得不提我之前的一把大战场了。用麦小鼠，匹到了烬区，队友攻下了B1随后死守死活不去B2，我一个人杀到南侧入口，开大放闪拉进去直接把点里的人豆沙了。放了信标没一个人来。我在角落死守了两波没子弹了拿飞刀扎了个匕首砍了个被露娜电了随后幸终。随后又尝试了两次攻进去队友守不住次数用尽输了。输的最气的一次。,2025-04-24 04:13:28,0,0,"风起云涌志高远，吾心安处是吾乡。
起安起安，亦祝起灵安，同祝星流永耀。",未知,否,https://i2.hdslb.com/bfs/face/ade176d97f5b2e640a549a920468146cf494a19f.jpg
11,0,260761518112,1799274823,啊啊啊啊ab吃,5,保密,刻板印象吗，我威龙都是2杀起步，绝密也是，机密kd8,2025-04-19 09:22:45,0,1,主页私信都不敢开，这么怕为什么不回家吃奶哈哈哈哈哈,未知,否,https://i1.hdslb.com/bfs/face/3f62f636cac5e99684e7e118a78cb4c01740323f.jpg
12,0,260685927568,3494373146757910,数学分享,3,保密,说实话，之后那波我感觉可以放一下蹭撤离的，他们封烟出来，一看就是鼠鼠，如果不是你们打他们，他们应该也不会反抗，而且最后他们也表现的很害怕，我感觉你们吃不到包，还打是没必要的，毕竟这游戏不只有打，纯个人观点，不喜勿喷[doge],2025-04-18 11:32:51,0,1,,未知,否,https://i0.hdslb.com/bfs/face/member/noface.jpg
13,0,260051377680,3546841369020723,胡堂主的亲信,3,保密,666,2025-04-10 14:51:14,0,0,,未知,否,https://i0.hdslb.com/bfs/face/05fdb8310a7176c339036c52fb09a891816edcb3.jpg
14,0,259181438209,688484473,Jimmy迷Q,5,男,怕归怕，但只要队友敢冲，那还是敢的，大不了就是死，毕竟我都玩绝密，而且本来就没保险，实际上想干嘛心里都清楚，想打人，但是又怂，急需队友一起冲,2025-04-10 13:39:05,0,0,,未知,否,https://i1.hdslb.com/bfs/face/a4e61c21f14daf1d0afd5694a8298e0740a553bb.jpg
15,0,259000931633,511013872,无名꺼져,5,保密,只能说不愧是超算单元都补不回他子弹的钱，牛魔的带300发m145级弹，这什么大红能补得上[吃瓜]打生化还躲在后面给队友眼神助攻,2025-04-08 07:39:43,0,0,,未知,否,https://i1.hdslb.com/bfs/face/347031846425b64c0d421e634e3e796c8ee5d440.jpg
16,0,258931321489,433254499,春花秋月不,5,保密,开头那个威龙跑，像是在换弹啊？我看那个动作,2025-04-07 09:57:07,0,0,生活索然无味，尸体扮演人类,未知,否,https://i1.hdslb.com/bfs/face/98e72371f45c4dadfaaee59fbae691d03b6118ec.jpg
