序号,上级评论ID,评论ID,用户ID,用户名,用户等级,性别,评论内容,评论时间,回复数,点赞数,个性签名,IP属地,是否是大会员,头像
1,0,262195775584,52653828,御用星辰,6,男,大战场全是人机你送一百张不掉分也赢不了,2025-05-06 15:23:23,0,0,只恐夜深花睡去，故烧高烛照红妆。,未知,否,https://i0.hdslb.com/bfs/face/c47de9a68c47385cff53bc70ac63d0630890eff1.jpg
2,0,262191185504,1801121312,零号探员Pax,2,男,地面属于GTI,2025-05-06 14:28:33,0,0,,未知,否,https://i2.hdslb.com/bfs/face/d2ce1f3261e09392331da9e835ffaafedfeb5957.jpg
3,0,262191233312,1801121312,零号探员Pax,2,男,骇爪那段经典的不能再经典了@,2025-05-06 14:28:12,0,0,,未知,否,https://i2.hdslb.com/bfs/face/d2ce1f3261e09392331da9e835ffaafedfeb5957.jpg
4,0,262182436976,3546892321426201,红绿风扇,2,保密,救命，他在我家装监控了！！！,2025-05-06 12:41:00,0,0,,未知,否,https://i1.hdslb.com/bfs/face/56f4492c715d1b53fd64bb6f5a9cd312a07c863a.jpg
5,0,262181966912,3494367119542847,6号机驾驶员吊龙,5,男,@沸羊羊 @G V女you @我有四不玩1co不玩2cf不玩3火影不玩4铲铲不玩 所有单位，哈妇科保险公司携带高价值物资已降落，让哈妇科请假待产,2025-05-06 12:34:23,0,1,剑魔的建模让我有些缄默,未知,是,https://i2.hdslb.com/bfs/face/fb42b541535bd893829778feba61cb54db7d9ae3.jpg
6,0,262177659504,35726847,变成王喜顺守护皮套,6,男,byd改枪方案不让删除就算了，现在连覆盖都不可以了吗,2025-05-06 11:40:55,0,0,,未知,否,https://i0.hdslb.com/bfs/face/38f6605f1594facd8febe0873295220fa0b77f7e.jpg
7,0,262176263840,16063924,吾之名神皇明清,6,女,请不要借助第三方作弊插件或应用体验游戏，为保护角色数据安全，已对您的账号进行临时冻结，如您未及时卸载相关作弊插件和应用，账号将会被永久封禁。问：这几个软件哪个有问题,2025-05-06 11:20:50,0,0,"我不乐生天 亦不爱福田，
饥来食碗米 困来倒头眠，
衡山常巍巍 湘水长绵绵，
山径随我行 水清洗我面。",未知,是,https://i1.hdslb.com/bfs/face/b6ee752f89bc871fa7e0665a014f209502bf3e8d.jpg
8,0,262165709360,3546691254880521,法外狂徒霖雨,4,男,天空属于哈弗克地面属于阿萨拉GTI丢海里喂鱼,2025-05-06 08:58:46,0,0,去想着怎么猜疑，倒不如去想着怎么接纳……,未知,否,https://i0.hdslb.com/bfs/face/3d9a59a27d6fea60d4e204012e312befac5504a1.jpg
9,0,261214218769,21963784,TwitchDGG,4,男,steam 得充值什么时候能解决？,2025-05-06 05:46:07,0,0,,未知,是,https://i1.hdslb.com/bfs/face/a591f8fc8c38e5def9d4407cc95e508b963457c1.jpg
10,0,262149074096,1140188407,B站天启の光,5,保密,能不能延长一下限时三角卷活动时间,2025-05-06 04:21:08,0,1,"本人爱玩重装，编号665004312，可以加好友，奥系在苹果667服歌唱机器，名字是进化暴龙兽
",未知,否,https://i1.hdslb.com/bfs/face/050c069fdd2beba0def64af71edb40d08bdb2863.webp
11,0,261202478545,474968390,一只终焉娘,6,女,买到自己了,2025-05-06 02:51:50,0,0,烈焰中，迎接救赎,未知,否,https://i2.hdslb.com/bfs/face/bcbf8defc8074e30dd7c1e68f491ccc5c5d33383.jpg
12,0,262132050304,3494363109788543,涵灬灬灬,3,保密,谁懂接了飞升发现有老太然后屁股有两队的救赎敢[微笑],2025-05-05 20:49:58,0,0,,未知,否,https://i0.hdslb.com/bfs/face/member/noface.jpg
13,0,262131050912,22078614,热心市民小徐ii,6,保密,能想出吴彦祖代言洲的真是个天才！我认为这是所有游戏代言人里选的最正确的[妙啊],2025-05-05 19:28:31,0,0,你好我滴盆友,未知,是,https://i0.hdslb.com/bfs/face/4e921f25c858957ba5d0767ad8ce643e506d360b.jpg
14,0,262128322896,3546747389348120,bili_61046301798,2,保密,有没有人觉得麦小鼠像某位姐姐【doge】,2025-05-05 17:43:24,0,0,,未知,是,https://i0.hdslb.com/bfs/face/member/noface.jpg
15,0,262124944656,3493284882156318,小子李李李,3,保密,今天打那从飞机上下来的机枪兵，一局打了两个，一个出了一个黑匣子，300多万。一个出了个小金普坝爆率真的很高,2025-05-05 16:35:20,0,0,,未知,否,https://i0.hdslb.com/bfs/face/member/noface.jpg
16,0,262122616016,3546895196621443,鸡梁鸡阴,2,保密,666把我开了😡,2025-05-05 15:59:05,0,0,,未知,否,https://i1.hdslb.com/bfs/face/83baca332c46449fe9ffc436d98599b3049179f5.jpg
17,0,262121031008,550604420,范子异,4,保密,@三角洲行动   官方大大怎么看待交易桥呢,2025-05-05 15:37:42,0,0,,未知,否,https://i2.hdslb.com/bfs/face/79a53fe47f84e6157fedcbfe1ed4048ad2c74224.jpg
18,0,261180675297,3493089207389077,曾越山河大海,5,保密,00:58白   金   之   星   ！,2025-05-05 15:34:43,0,0,hamburg Q群：955364263,未知,否,https://i1.hdslb.com/bfs/face/ac1df4ae13c953d725b33132e3817877b3cf6581.jpg
19,0,261177709633,525710287,79岁扶墙读书,5,保密,语音啊！！局内语音！！！,2025-05-05 14:56:27,0,0,,未知,否,https://i1.hdslb.com/bfs/face/deb2570f3b1d8aeb5fe2fde9885c73ce0ec3973c.jpg
20,0,262117635488,3546843520698746,何必认真ACE,2,保密,阿福克保险公司的声音咋跟这吴彦祖的这像？,2025-05-05 14:55:35,0,0,,未知,否,https://i2.hdslb.com/bfs/face/1ce2dd048cc105968f183c82e94feb4e326756cd.jpg
21,0,262117557408,3546843520698746,何必认真ACE,2,保密,航天老太登场,2025-05-05 14:55:01,0,0,,未知,否,https://i2.hdslb.com/bfs/face/1ce2dd048cc105968f183c82e94feb4e326756cd.jpg
22,0,261176483233,417232182,剁椒西北风cy,5,男,好玩[鼓掌]老太的小车还会转弯过来打我[鼓掌],2025-05-05 14:41:51,0,1,道理我都懂，但我就是做不到,未知,是,https://i0.hdslb.com/bfs/face/598bf24eaf5c9a2c357f468abd069b8901600097.jpg
23,0,262111883872,480347647,直白大哥哥,5,保密,我理解不了被两枪头，跟突然滑铲出来拉抢，声音有问题，听不明白,2025-05-05 13:48:17,0,0,,未知,是,http://i0.hdslb.com/bfs/face/member/noface.jpg
24,0,262110906512,85530311,PVE灬饕餮,6,男,账号被洗了 能不能给仓库加一个二级密码[大哭],2025-05-05 13:37:07,0,1,,未知,否,http://i2.hdslb.com/bfs/face/e40f98ede7df9612cc4ceefd39a6edb162f86f77.jpg
25,0,261169263265,93690370,壹个果粒陈,5,男,失去联系没有砖我怎么做？一定要挨骂才要改是吗？,2025-05-05 13:17:16,0,0,111,未知,否,https://i1.hdslb.com/bfs/face/cc35dfec11fb7a5e7e1bf58fcbedb81baf6e81e9.jpg
26,0,261166119297,3546677136853481,狼老打小蓝莓d,3,保密,我今天打保险公司出了个坦克，结果被人打死了。,2025-05-05 12:37:45,0,0,,未知,否,https://i2.hdslb.com/bfs/face/7e72c58637ff26df68fb30939de078d2bbbfcdbe.jpg
27,0,262102427584,1063004344,義の道,5,男,增加刷砖概率,2025-05-05 11:55:37,0,0,,未知,否,https://i1.hdslb.com/bfs/face/ce1a905bfacc1a3602750d5f7ee11042a875c77e.jpg
28,0,261160779633,3546791016401368,bili_3546791016401368,3,保密,为什么明明获得2x2保险箱确不能使用,2025-05-05 11:32:00,0,0,,未知,否,https://i1.hdslb.com/bfs/face/44f72233b7e4360a0752ad85941fb34798e5f63e.jpg
29,0,261160602897,541939487,破面还扫码,5,男,今天从打没了三颗心愣是一个大红没见到[笑哭][笑哭][笑哭]你游做的真好[星星眼][星星眼][星星眼],2025-05-05 11:28:57,0,0,不是这是人我吃哥们,未知,否,https://i2.hdslb.com/bfs/face/eb13633e96b245fc39613b7048224cbdce8dfb0c.jpg
