序号,上级评论ID,评论ID,用户ID,用户名,用户等级,性别,评论内容,评论时间,回复数,点赞数,个性签名,IP属地,是否是大会员,头像
1,0,260997169600,3546582234434346,我嘞个大die,4,保密,数据中心出电脑[笑哭],2025-04-22 05:00:41,0,0,这个人很神金，什么都没有写,未知,否,https://i0.hdslb.com/bfs/face/c31c532b47833a33413de8512519571eb20ed404.jpg
2,0,260493545504,107045340,南城清婉,6,保密,小保险都能出军用雷达[doge],2025-04-16 03:40:54,0,0,,未知,是,https://i0.hdslb.com/bfs/face/c8f6973284a1547808924c947d7b32c33e971b89.jpg
3,0,260455313600,3493277483404248,爱哟莉干嘛,5,保密,懂了，你开的东门，我开的西门。[星星眼][星星眼],2025-04-15 13:15:47,0,0,点下面那个，对就是下面那个↓,未知,否,https://i0.hdslb.com/bfs/face/9548567e4a93bc8ba79f40d7f7f4e466917b51ca.jpg
4,0,260435984784,395836917,我要的是橘子,5,保密,其实在游戏中，最珍贵的还是能陪你玩耍给你提供情绪价值的好兄弟,2025-04-15 09:00:10,0,0,,未知,否,https://i0.hdslb.com/bfs/face/d59841e6c4127ef55279e1d93191e78eade8c5fe.jpg
5,0,259545936977,1941473888,老米饶了我吧,3,保密,蓝室核心两个保险[大哭][大哭][大哭]我只拿了一个,2025-04-15 05:37:26,0,0,,未知,否,https://i2.hdslb.com/bfs/face/82e612c32bfa920d3bce93e97b7fee9b28a15417.jpg
6,0,260308513504,1786042100,正宗披萨脸,4,保密,今天普坝出个非洲之心👍👍👍,2025-04-13 14:29:37,0,0,,未知,否,https://i2.hdslb.com/bfs/face/2d9f74599775594c4c88f617038f492af1ab9c3c.jpg
7,0,259312422209,434973569,沂杉Wh3IKlaDe,6,男,猛攻亏1400w那天之后第二天连出四个大红挽留，之后爆率又降了三四天没出过红了只出过红修,2025-04-12 06:39:30,0,0,life  篮球  game  keeb.,未知,否,https://i2.hdslb.com/bfs/face/3308731ff9f94f687de735f7f224330a5556589d.jpg
8,0,260156285376,44443221,宇宙超级无敌宇宙超人,5,男,昨天普长弓 出了个留声机[吃瓜]给我激动坏了,2025-04-12 00:51:53,0,0,乌拉！！！！,未知,是,https://i0.hdslb.com/bfs/face/3897f623334a0a635b520b333f8f5ebac4c97579.jpg
9,0,259269598737,33647283,双叶理央酱,6,男,我绝密航天被小小烟一脚踢死了QAQ 呜呜呜，早知道让队友把我狗牌带出去留个纪念了,2025-04-11 15:30:14,0,0,“除了你的侮辱是你始终爱我的证据外，我似乎觉得你越是折磨我，等到你知道真相的那一天，我在你眼中也就会显得越加崇高。”,未知,否,https://i0.hdslb.com/bfs/face/0e38e64f7ef83a1493d2fe1bf8b5cb284ef5e54f.jpg
10,0,259265655009,10317479,下雨天的忧郁,5,男,待会返还了[doge],2025-04-11 14:41:05,0,0,,未知,否,http://i2.hdslb.com/bfs/face/17b3bb10919c96a7434bf60e41a081c36e5b1626.jpg
