序号,上级评论ID,评论ID,用户ID,用户名,用户等级,性别,评论内容,评论时间,回复数,点赞数,个性签名,IP属地,是否是大会员,头像
1,0,261165520689,298701708,夕夜枫眠,6,男,五月了，回来说一声，现在飞刀扎六套身上秒不了了，前天刚被麦鼠鼠扎过[OK],2025-05-05 12:29:43,0,0,报仇雪恨般的摸鱼！,未知,是,https://i0.hdslb.com/bfs/face/874ce46398de810047211bb84586f1e4f287ae96.jpg
2,0,261975238512,398031017,刘亦别,6,男,你这视频就像搬运的一样[吃瓜],2025-05-04 04:27:51,0,0,精益求精！！好看就来关注我呗(～￣(OO)￣)ブ!!,未知,否,https://i2.hdslb.com/bfs/face/1c69e9e99cff838b0d020f563f4c4c672148ddad.jpg
3,0,261651382640,1862847343,沫沫鱼雨,4,保密,扎身体60点，伤害扎头100点，,2025-04-30 10:02:01,0,0,,未知,否,https://i1.hdslb.com/bfs/face/718bef2e50a5a1358a674e60f81e60df2a43e831.jpg
4,0,261558265840,624009741,寒骛寂,5,保密,我烈阳教派实测麦晓雯飞刀秒不掉满血30.3耐久五级头，丢一下还剩剩一坤血[黎歌·表情包_吃井],2025-04-29 06:47:55,1,1,"所属区域：音游区，大小病区，fgo区，街霸区，瓦区，cs区，粥崩原等二游区等等。
简而言之，在我的主页不论出现什么都不奇怪。
还是个社恐？",未知,是,https://i0.hdslb.com/bfs/face/d4df31b414040a9dd7fdd6819f661b1b5ef44690.jpg
5,0,261390119296,351489024,北城坚持不鹿,5,男,那天难得起一把吴涛猛攻，被麦晓雯一刀扎头上秒了,2025-04-27 03:54:55,0,0,,未知,否,https://i0.hdslb.com/bfs/face/4686fa38f5956c2ae5a926d6aa27f78e654af25e.jpg
6,0,261148268992,151132445,世界上最好的一方通行,6,男,[笑哭]我之前打机坝，军营三个人开保险柜，我一飞刀一个，最后那个人跑出去被队友杀了,2025-04-24 04:23:33,0,0,水经验水经验,未知,是,https://i2.hdslb.com/bfs/face/8cb7b1d4b4eaea13206c0f8a346460b4a069ff17.jpg
7,0,261132534064,384013826,指法芬芳引大仙,6,保密,新赛季感觉飞刀有bug，没沉默到人准星也有提示,2025-04-23 23:24:41,0,0,指法芬芳张大仙z,未知,是,https://i2.hdslb.com/bfs/face/8effda589bc74eeb9f5889e9bfde965d801fe4b7.jpg
8,0,258824855281,294975581,叛逆哭,5,保密,[doge],2025-04-06 03:28:39,0,0,,未知,否,http://i2.hdslb.com/bfs/face/1b9c57943490e5a2cbcf59c8c1c7e4429fe88ccc.jpg
9,0,258732428753,1791630675,小鱼也核癌氪禽呀,5,女,为什么可以看到对面的红狼皮肤,2025-04-05 02:43:14,0,0,,未知,否,https://i0.hdslb.com/bfs/face/d0657860f158ae62903e2c51fcdbceadbfd84519.jpg
10,0,259161641696,396905733,CollapsarNirvana,6,男,还得是cod飞刀厉害，不是全甲一刀秒，还能捡刀，碰尸体捡刀继续扔，打21号楼扔飞刀玩得好能灭几队，而且零成本,2025-03-31 06:28:48,0,2,"No pain, No gain.",未知,是,https://i0.hdslb.com/bfs/face/a09dc16e0d0ae01daf8a4fc666ab33a258bba07a.jpg
