序号,上级评论ID,评论ID,用户ID,用户名,用户等级,性别,评论内容,评论时间,回复数,点赞数,个性签名,IP属地,是否是大会员,头像
1,0,261084044833,2129688567,回迺,4,保密,三角洲有大红确实挺好玩的,2025-05-04 13:53:26,0,0,龞㴍,未知,否,https://i0.hdslb.com/bfs/face/99bab46de6fde1196dd2c7d67cdebc1eb3d3cba4.jpg
2,0,261917067440,1097066336,叽叽欢乐豆,2,保密,qiqi,2025-05-03 11:25:00,0,0,小猪小狗一辈子在一起,未知,否,https://i2.hdslb.com/bfs/face/3dad449cf6c7c59f4e7d7802cb3a90eff5e479bb.jpg
3,0,257459005889,1597232280,女人不能懒,4,保密,主播敢不敢玩玻璃大炮？,2025-03-20 12:27:40,0,0,,未知,否,https://i0.hdslb.com/bfs/face/member/noface.jpg
4,0,256662631393,379108899,ジャンヌ夫,5,保密,那个火箭燃料是我我草[藏狐][藏狐],2025-03-10 10:49:13,1,1,,未知,是,http://i0.hdslb.com/bfs/face/64078b68825ab2be26dd50ea10650f688f8ea39d.jpg
5,0,255191054640,3546841343854849,__-__,2,保密,盐都不盐了,2025-02-12 12:43:13,0,0,,未知,否,https://i0.hdslb.com/bfs/face/member/noface.jpg
6,0,254320655953,498418874,bili_93188133306,3,保密,我想问一下各位大佬徽记止痛片用干嘛的[打call][打call],2025-02-10 15:02:12,1,0,,未知,是,https://i2.hdslb.com/bfs/face/4a0cbd0367966025f2f0e4ba98524c58f1afa369.jpg
7,0,254995681136,3494351632075411,汤圆很好惹,5,保密,这个UP的声音怎么这么像某个喜欢玩空岛战争的大佬啊[思考][思考][思考],2025-02-10 14:22:44,0,2,,未知,否,https://i1.hdslb.com/bfs/face/521571394580eab85307a326dd9e42f10a3325fc.jpg
8,0,254976675488,1198253496,Aov溯光,5,保密,那天晚上我亲眼看见他进了策划的房间[doge_金箍],2025-02-10 11:10:50,0,1,,未知,是,https://i0.hdslb.com/bfs/face/aa7a330843e2a79e78d2ca45410765603faaa93f.jpg
9,0,254051434145,651329696,离某秋,4,保密,带不出来[笑哭],2025-02-07 18:39:33,0,1,,未知,是,https://i2.hdslb.com/bfs/face/0249078c4f538b1ca49e9ee2019c48fd443671b1.jpg
10,0,254009792129,43742279,人偶式,4,保密,逆天爆率啊,2025-02-07 10:20:52,0,0,"很喜欢原神玩家的一句话：
",未知,否,https://i2.hdslb.com/bfs/face/016de55c6eaf67729e5bcfe45efda285a609153f.jpg
11,0,254356595616,619024533,千秋幻梦一场,3,保密,真不错,2025-02-04 04:19:31,0,1,,未知,否,https://i0.hdslb.com/bfs/face/member/noface.jpg
12,0,253615362305,522403963,机械法律讲,4,男,嘿嘿,2025-02-03 05:20:04,0,0,关注我的人，我一定会回关,未知,否,https://i1.hdslb.com/bfs/face/1602a2bd088305dd881d2eda1d43c61e8922fa41.jpg
13,0,253529171601,21530852,我是-Gc,6,保密,号主再上号天塌了,2025-02-02 06:40:45,0,0,等我到6,未知,否,https://i2.hdslb.com/bfs/face/f5fc8ad4936cb89a878a75f1c82350208aa6643c.webp
14,0,253316424593,488373974,孤独独酱,5,保密,来了何家豪,2025-01-30 20:11:02,0,0,,未知,否,https://i2.hdslb.com/bfs/face/4f5f0bbfed2d184e2412e732756543f65f7af81a.jpg
15,0,253611223552,635598544,封尘Fall,5,保密,非洲木雕：下辈子还跟你,2025-01-27 06:22:29,0,2,本人只有B站这个平台有账号，请谨慎鉴别（另外我也不会找粉丝索要物资，要一起玩的关注后私信就行，但是我不常玩，也比较菜，请谅解）,未知,否,https://i1.hdslb.com/bfs/face/fb0012eafd10024f96da22ab2e32114248202206.jpg
16,0,252976027569,2117066772,小丑killer,5,保密,希望七的剪辑能够更加抽象一点[妙啊],2025-01-27 04:39:01,0,0,,未知,是,https://i0.hdslb.com/bfs/face/e10c0baab97ef936d145af37def6d18b2300442d.jpg
17,0,252861380177,3461566078913375,暗真的黑心,5,保密,一天出两个非洲之心[星星眼],2025-01-25 22:58:44,0,0,,未知,否,https://i2.hdslb.com/bfs/face/930e3dd48e955b20df474404988aff977e0c3932.jpg
18,0,252719005681,520664083,萱花冥起灬锋袭鸣落,5,保密,精英兵偶尔会掉好东西,2025-01-24 10:07:51,0,0,学习,未知,否,https://i1.hdslb.com/bfs/face/53dd2dcf3287889a8723dd2623105405b2970165.jpg
19,0,252718939201,520664083,萱花冥起灬锋袭鸣落,5,保密,精英兵偶尔会掉好东西,2025-01-24 10:07:51,0,0,学习,未知,否,https://i1.hdslb.com/bfs/face/53dd2dcf3287889a8723dd2623105405b2970165.jpg
20,0,253192772080,3546388319177426,我不到啊8k,4,保密,qiqi能剪2小时给我当春晚看吗,2025-01-23 03:08:17,0,0,,未知,否,https://i2.hdslb.com/bfs/face/cb2b6a4f6f0b180dae315907344781159f7e589c.jpg
23,0,253184582208,3546710995372135,账号已注销,0,保密,找不到什么官方网站，问一下是全面的彩蛋吗？这个,2025-01-23 01:19:37,0,0,,未知,否,https://i0.hdslb.com/bfs/face/member/noface.jpg
24,0,252326398785,1741233755,魏乾,5,男,可爱的9191 😋想***再***然后***,2025-01-20 10:18:36,0,0,该账号封禁中,未知,否,https://i2.hdslb.com/bfs/face/e28f8e25bd13f4e789b1dca14f6c55a3367b449f.jpg
25,0,252307553649,1413078966,混的苏青,3,保密,为了赚到他的零头，我还要在普弓跑到12个小时,2025-01-20 06:21:49,0,0,awa,未知,否,https://i0.hdslb.com/bfs/face/7482c622bf3b3c5de14176a5f1fd1088f99e0398.jpg
26,0,252867134496,435571622,李哈桑_Hasan,6,男,看到航空燃料，我都没有丰收的喜悦了，我只觉得那个人很惨，可能他好不容易见一次航空燃料但又没带出去，仓库等级还是卡着。,2025-01-19 17:34:53,0,0,愿你书写正义,未知,否,https://i2.hdslb.com/bfs/face/74a30c05ab88be0557b457d8a78a277b93d9197a.jpg
27,0,251597745249,3546831067810781,一CYC一,2,男,呜呜呜捡到了没撤出来,2025-01-12 02:31:18,0,0,,未知,否,https://i2.hdslb.com/bfs/face/9b2f166d6ffabe4ddc3ec0db8d51e96b1834fa9e.jpg
