序号,上级评论ID,评论ID,用户ID,用户名,用户等级,性别,评论内容,评论时间,回复数,点赞数,个性签名,IP属地,是否是大会员,头像
1,0,262173414336,1607757806,一只小喵_喵喵,5,女,包里有3×3的，看一下总价值，可以推测出到底是大红还是甲,2025-05-06 10:46:40,0,0,爱玩，爱学,未知,否,https://i2.hdslb.com/bfs/face/f1317d88c91a3b3514bc3e8d4c0c7d8c47ad16b0.jpg
2,0,261806737472,3537111980444222,bili_34328590336,2,保密,以前出过最好的红是纵横但不过上局侥幸从高级旅行箱里摸出了笔记本电脑,2025-05-02 06:17:18,0,2,,未知,否,https://i0.hdslb.com/bfs/face/member/noface.jpg
3,0,261645829360,439098706,益霖9988,4,男,坏，不仅夺舍还用别人的暴率，那人也是可怜了,2025-04-30 08:48:42,0,2,…..,未知,否,https://i1.hdslb.com/bfs/face/e2a939568e8dfa00873d5cfde2cadd6c74f79ee5.jpg
4,0,261130725568,3493267540806528,一只兵瓜玩暗区,5,男,槟榔地下别再耗我阳寿了[笑哭],2025-04-23 21:41:00,0,0,现停更系列：丧尸危机 战双帕弥什（就是因为这个系列的赞太少了）,未知,否,https://i0.hdslb.com/bfs/face/e31c88c6f23d6a6466d1b7fa51d71cb46b3d4f1e.jpg
5,0,260032749649,1633109384,王级赵凯,5,保密,刚才打了一把，准备撤离的时候看见地上有个盒子，打开一看有六格，换包多了300万，我就知道运气来了怎么也拦不住，就是不知道有谁晚上睡不着了[doge_金箍],2025-04-21 09:34:56,0,0,"这个人很神秘，只总结了以下3点
...",未知,否,https://i2.hdslb.com/bfs/face/694e79d039021e1a3b7119d8c1d8d29b6a2fca09.jpg
6,0,258728439873,65344966,跑刀代肝鼠鼠要饿死了,6,保密,"礼貌借楼
大学生纯绿跑刀不动仓库
7r＝100w（9格）
8r＝100w（6格）
9r＝100w（4格）
要求可提可商量（留红留金）
校园网不卡就b站直播",2025-04-05 01:34:33,0,0,"代肝买斐济呗，求求了我真的很需要它
v A3594025074",未知,否,https://i1.hdslb.com/bfs/face/e4082343aa84535b2cf4d783f0bf20b7674887d9.jpg
7,0,258290956704,219600126,jt_78,6,保密,巴克绝密才是爆率最高的地图！,2025-03-21 01:37:35,0,0,,未知,是,https://i0.hdslb.com/bfs/face/62d08fcdeb319d449014ef8733ba25fa9492c759.jpg
8,0,257294012497,46301970,啊昱不是啊立,6,男,就这？,2025-03-18 08:47:16,0,0,"永远少年
永远赤诚
永远年轻
永远渴望踏上新的征程",未知,是,https://i0.hdslb.com/bfs/face/e7ed2f95fad97411e23c3136849863602dd1ebe0.jpg
9,0,258064924752,279726337,Eighteen-He,5,保密,这个点怎么上去的[思考],2025-03-18 03:28:42,0,0,,未知,否,https://i1.hdslb.com/bfs/face/405aa73d2f896b4d92b5d1f5c40a274e922b12dd.jpg
10,0,256324856833,71147962,纯爱战士绝不低头,6,男,你先别搜了，我问你个事儿,2025-03-06 06:41:39,0,0,逃避可耻但有用。,未知,是,https://i1.hdslb.com/bfs/face/7338afc58304c72bb6e26bc16f5ad8a2ed5b6b0b.jpg
11,0,256730361936,497217225,五十岚星二,4,保密,为数不多的让人心安的手速,2025-03-01 23:16:26,0,0,,未知,否,https://i0.hdslb.com/bfs/face/a7f8ff302729428c9a457cee5e02060e2a249d1c.jpg
12,0,256694856064,512066328,-GINKAS-,5,保密,阿萨拉士兵：别怪我没提醒你，官方只让我说放弃吧[怪怪小黄豆_祈祷],2025-03-01 12:23:01,0,0,"
路人女主&夏日重现一生推！",未知,是,https://i0.hdslb.com/bfs/face/90834621e20c27beae5d6f0122889819951e1d38.jpg
13,0,255837941233,381860091,峡谷航拍爱好者,5,男,我都是玩医生，摸完东西就走，枪都不带，就甲跟包，一号位跑完体力，就扎体力针，摸完就跑，就跟土匪进村一样，混着烟，对面基本上是追不上，就算给对面打死了，也只有一件打烂的甲,2025-02-28 07:51:19,4,60,每天更新峡谷航拍视频，喜欢的朋友多多支持多多点赞,未知,否,https://i0.hdslb.com/bfs/face/34c7cfca8b2c378e771586a2c3b97d08a36a1bb5.jpg
14,0,255470422864,179315347,emmp,6,保密,"《三角洲》纯绿玩跑刀
8r：100万（1～2小时）
80r：1000万（一天）
保真，不是挂，不动账号上的物品，只使用绿色装备券
有需要的话私信私聊我！
留金留红备注",2025-02-15 10:36:39,0,1,什么时候粉丝比关注多耶,未知,是,https://i1.hdslb.com/bfs/face/3db96bbac47fcd4097db1e8b1f7653eafe399d2d.jpg
15,0,255160194816,614739024,VAN暗区的伴穗,4,保密,你怎么知道我巴克什医疗床上刷呼吸机了？,2025-02-12 07:19:13,1,2,,未知,否,https://i0.hdslb.com/bfs/face/a4f49cbf2f74b88a66e77ffaa01fa5772a2a2a34.jpg
16,0,254284324849,526152993,浮屠的陷落,5,保密,太坏了,2025-02-10 08:36:08,0,0,签名？我签牛魔,未知,否,https://i0.hdslb.com/bfs/face/172859d9d51a01b9974d70863f2c95fbe86527e6.jpg
17,0,254050289521,34416265,龍の餮,6,保密,这一看就知道不是第一次夺舍了 这已经不是一般的鼠鼠了，必须出重拳[辣眼睛],2025-02-07 18:05:39,1,167,,未知,否,https://i1.hdslb.com/bfs/face/558ed456a12a6f0a2a94f23a33901e10e4f0486a.jpg
18,0,253887971777,3546695409339289,I阿萨拉火箭兵I,3,保密,从巴别塔老城区秘密潜入博士撤离点，发现大红即刻充公[doge],2025-02-06 04:32:49,0,2,,未知,否,https://i1.hdslb.com/bfs/face/de3ee3ad456cb468889c6a72084439313172b297.jpg
19,0,253765169825,3493114798934597,One_Mao_qiu,4,男,他怎么把佬赛赛包里了[doge]（3头5甲）,2025-02-04 16:35:46,0,0,我的世界玩家,未知,是,https://i2.hdslb.com/bfs/face/8a6152daea4cef7ac8dc29b03eec8bdc603761b4.jpg
20,0,254381591120,3493138748409905,月涌星锤,4,保密,第一次打机密大坝，带了个固排好友pro哥，开面包的时候刚打开物品还在转圈的时候被6死了，辛亏好友就在我20开外，那三个人光顾着舔我包结果就被穿三了，拉起来继续开保险出了个羚羊（不过为了感谢朋友把羚羊给他了）,2025-02-04 09:23:41,0,1,我是水军/人机,未知,否,https://i0.hdslb.com/bfs/face/member/noface.jpg
