序号,上级评论ID,评论ID,用户ID,用户名,用户等级,性别,评论内容,评论时间,回复数,点赞数,个性签名,IP属地,是否是大会员,头像
1,0,261159562225,73799158,MystupidHaert,6,保密,我上次也在这个货架上遇到过一个，不过我C4成功丢出去了，我死了，他也死了,2025-05-05 11:16:24,0,0,"说鸽就鸽，也是一种鸽。
                                                  一一一鸽德",未知,是,https://i1.hdslb.com/bfs/face/146933e97e0e8ab7e83edc3b7395b6f054f2906f.jpg
2,0,261008553761,306921953,南海巨猫,6,保密,这种最可怕的不是亏钱，是你被摸起来了还得问队友拿两手术包，起来两条腿都断了走不动路，枪没了，头甲也没了，包也没了，生命上限也少了，起来后只能站着流口水,2025-05-03 16:36:11,0,1,你说的对，太对了。,未知,是,https://i2.hdslb.com/bfs/face/647e2653d30cfafb974f8432a82ba542c0739e1b.webp
3,0,261863051200,3546841863949121,东线医疗班,2,保密,仔细看56耐久的紫甲应该卖不了,2025-05-02 19:40:40,0,0,只是一个玩勇猛，战警，三角州的普通留学生，常出没于反BA圈找乐子,未知,否,https://i2.hdslb.com/bfs/face/ffa981621eb62e36e2e68e04ea5cb90cb0b7e317.jpg
4,0,260704660545,344717398,我要弹反,5,男,塞个小瘪三进你的包里,2025-04-30 05:06:11,0,0,,未知,否,https://i1.hdslb.com/bfs/face/b4fbcadb7316a94406683a136490133e26011259.jpg
5,0,260605933697,418047496,宇宙究极无敌霸龙神,5,保密,头！甲！枪！胸挂！背包！花来！！,2025-04-28 20:20:05,0,0,200%支持光盒游的一切决定,未知,否,https://i1.hdslb.com/bfs/face/1ce2dd048cc105968f183c82e94feb4e326756cd.jpg
6,0,261438850864,70558917,还是叫我主人好了,6,男,"稳定长期纯绿夺舍
单纯喜欢去夺舍同时赚点生活费。
4格9块1m
6格8块1m
9格7块1m（跟跑刀价一个样，要是单太多了我会拒绝的不用担心你给钱了要等很久）[doge]
负资产不接，跑刀没意思，拿人机装备去夺很难，一号位杀个人机就变成二号位了",2025-04-27 15:15:45,1,1,广告又多，推送又搓，我还怎么高贵啊？,未知,是,https://i0.hdslb.com/bfs/face/144362ece3886528f41505fab7274a61fcb5950b.jpg
7,0,261308605824,3546702185236535,苦力怕吃大米,4,保密,个人感觉G18不趁手，我喜欢13万mp5腰射100，加上尊贵的Rip子弹[OK],2025-04-26 04:12:00,12,17,,未知,否,https://i2.hdslb.com/bfs/face/c7665e9eee7241e0808cc5c7f8c751cc3269eddc.jpg
8,0,260201808561,427001397,我的劫是队友的浩劫,6,保密,夺舍别人之后下一局穿着这装备进去被夺舍了，一报还一报,2025-04-23 13:51:48,0,0,沙雕手机游戏玩家,未知,是,https://i0.hdslb.com/bfs/face/f44b3986d2f9b1c72d5f5e56a506beb3363b9f3f.jpg
9,0,260062891105,1797199,凯尔特之森,6,男,遇到个买错枪买成g17的被我打倒在地了。,2025-04-21 15:35:04,0,0,发单条评论就拉黑是检验破防的唯一标准。,未知,是,https://i1.hdslb.com/bfs/face/1392a1ab358ca4a71d99a14544f60a003a874911.jpg
10,0,260020141873,1705370,调调率者者,6,保密,夺舍流红狼刚拿完装备就被坝顶狙带走了，坝顶狙撤离时又被堵撤离点的送走了[笑哭],2025-04-21 05:56:13,0,1,想做的事铢两分寸，要做的事恒河沙数,未知,否,https://i2.hdslb.com/bfs/face/755be5ed49fb3c72a781d9002c80041b2bd5f39c.jpg
11,0,260879157536,551984811,未醒人thj,5,保密,我夺舍你怎么样？[doge_金箍]@wpf刚睡醒,2025-04-20 14:34:32,0,0,躬身难幻梦，俯首笑诗仙。,未知,否,https://i0.hdslb.com/bfs/face/f5b997832d09cfb95f310bca692408ecfd0fdd7e.jpg
12,0,260799059248,294987123,梦魂曐灵,5,男,今天蓄水池任务第二把杀完两队最后被偷了，160w收益直接泡汤，笑不出来哩[辣眼睛][辣眼睛][辣眼睛],2025-04-19 16:27:24,0,0,脱非入欧,未知,是,https://i0.hdslb.com/bfs/face/2f2d07e5ad47f34292b4ade5a4c5990505e30ad9.jpg
13,0,260508825712,477547515,AA果赖批发木辛桑,6,男,[阿梓从小就很可爱新装扮_打call][阿梓从小就很可爱新装扮_打call],2025-04-16 07:09:28,0,0,"要记得笑一笑，把烦恼都忘掉！
禁止不开心，快乐每一秒！",未知,否,https://i0.hdslb.com/bfs/face/14d8ba72309a9303307b503c0f019f8ee6634b67.jpg
14,0,260508824032,477547515,AA果赖批发木辛桑,6,男,[阿梓从小就很可爱新装扮_打call],2025-04-16 07:09:23,0,0,"要记得笑一笑，把烦恼都忘掉！
禁止不开心，快乐每一秒！",未知,否,https://i0.hdslb.com/bfs/face/14d8ba72309a9303307b503c0f019f8ee6634b67.jpg
15,0,259573161393,352334682,对顺立本人,6,男,请你们喝点酸奶,2025-04-15 12:55:27,0,11,,未知,否,https://i0.hdslb.com/bfs/face/a2280ee3f8807f21efc1c0b81e6e42c4734990f3.jpg
16,0,259499055089,3546772439829387,爱看视频的陌生人,3,男,音乐是什么,2025-04-14 12:36:37,1,0,立志走遍所有视频，如果你没有看到我，那就说明你没有看到我，玩使命召唤BA王者三角洲，我的世界这些游戏虽然不拍视频看到我的回回有好东西,未知,否,https://i0.hdslb.com/bfs/face/6e24dc3929c0f4a2982277068cc76d12b0e0f4c6.jpg
17,0,259387578657,1920852899,爱吃鱼的河狸,4,男,追上了,2025-04-13 04:13:55,0,0,,未知,否,https://i2.hdslb.com/bfs/face/87facd8e25b1478281eb179de3b9328775b75613.jpg
18,0,259303357825,1754190,淼淼梦鵺,5,男,[笑哭]夺舍过，不小心把我的燃料电池背包赛给他了,2025-04-12 04:36:53,0,0,没人读懂我内心的悲伤,未知,是,http://i0.hdslb.com/bfs/face/26c13d0761d374910571d1f2ffd1c78a55f1f5ef.jpg
19,0,259299886577,9959551,攒够了6个硬币,6,保密,专门买了箱子来放我的水浒传[doge],2025-04-12 03:52:50,12,58,这个人懒死了，什么都没有写(ー_ー)!!,未知,否,http://i0.hdslb.com/bfs/face/member/noface.jpg
20,0,259125878609,396238675,雨树晴花,5,保密,8r=100w纯币，不动仓库和任何设置，留红留金可说明。大学生绿玩手打，老板有意私我。[打call],2025-04-09 20:59:52,0,0,,未知,否,https://i1.hdslb.com/bfs/face/9c5bd991cd440de131d1fcbcf1c625ca3bcf6eb4.jpg
47,0,259894281024,244402626,jua_Fiko,6,男,@bili_94557845695,2025-04-08 15:29:35,0,0,??,未知,是,https://i0.hdslb.com/bfs/face/ab3d5039a5db3a974edf0a395796f33064a7f877.jpg
48,0,259846688752,23146021,闭空空,6,保密,还好我的小队进点必扫,2025-04-08 04:48:01,0,0,渺小于天空，短暂于时间。伟大于灵魂，恒古于绩业。,未知,否,https://i1.hdslb.com/bfs/face/f4673618f0092dc83395e495d67057aa5e59ee54.jpg
49,0,259820542656,422740740,a像yi种病,4,保密,我天天单人玩这种[笑哭]，外面打架我搜，外面舔包我搜，外面没动静了我封烟就跑,2025-04-07 17:18:20,0,0,,未知,否,https://i0.hdslb.com/bfs/face/20898712807ffb872633f344385b3731985dda2f.jpg
50,0,258937565905,3461580484249773,今日西边,3,保密,上次蹲闸蹲到一个背包里面有好像12格大红，[大哭][大哭][大哭][大哭][大哭]不知道是啥结果，被上面管道那个给抽死了,2025-04-07 11:14:40,3,0,猛攻！！！,未知,否,https://i0.hdslb.com/bfs/face/9d61dacf2f29bb5de56d98a896274c1440e0df00.jpg
51,0,259780463744,480579536,奕奕霖霖,5,保密,我在这趴过，卫龙开门直接两个c4，然后把门关上,2025-04-07 08:51:45,0,0,,未知,否,http://i0.hdslb.com/bfs/face/member/noface.jpg
52,0,259776125184,27417809,半天ww,6,男,这个点我都是跳拉的，太常规了,2025-04-07 07:41:38,0,0,,未知,是,https://i2.hdslb.com/bfs/face/20c4b8d1744c086d5ef37e9c368d8bdb2e58ebf0.jpg
53,0,259776168704,27417809,半天ww,6,男,人家爱jb起什么关你啥事，杀得就是你这种烂仔，四五套很贵一样,2025-04-07 07:39:54,0,0,,未知,是,https://i2.hdslb.com/bfs/face/20c4b8d1744c086d5ef37e9c368d8bdb2e58ebf0.jpg
54,0,259745202512,3493105470802212,昔年啦啦啦啦啦啦,4,保密,问一下大佬们，为什么我笔记本电脑打洲能稳80帧到100帧，但不管是大战扬，还是玩搜打撒模式，甚至在仓库里，反正就是开了游戏就会隔几秒就卡顿一下，特别的有规律，一直这样玩了2天了，想解决一下这个问题大搞人了,2025-04-06 19:40:32,4,1,,未知,否,https://i0.hdslb.com/bfs/face/078af6cfb38c5279f88abaa154624cdb5e5d3f45.jpg
55,0,258891467297,1131346276,骆驼祥子打工记,5,保密,夺舍纯CS,2025-04-06 18:37:34,0,0,不需要去听任何疯狗的狂吠，尤其是喜欢赤石的疯狗,未知,否,https://i1.hdslb.com/bfs/face/25673d1944db51cf869cc8d83014389dc63e7882.jpg
56,0,259733730448,3546695652608148,麦浪翻起时,3,男,上次遇见夺舍流了，本来收入19万，他给背包弹挂一换，扶起来变68万了。[笑哭]算起来没亏没赚,2025-04-06 15:27:25,0,0,,未知,否,https://i0.hdslb.com/bfs/face/3c20d69864cfb4a594b9ce5c957acd499e7cead3.jpg
57,0,259681470480,3493136475097114,狮王回归waaagh,4,保密,问一下什么手枪能连发或者给我发一下，改枪码也行,2025-04-06 04:44:44,5,1,"互联网是另一个亚空间
",未知,否,https://i1.hdslb.com/bfs/face/fccbd7cbd7ba0e7e2a6f9fb0719363349576ec8f.jpg
58,0,258804820273,13413685,正直的弯刀_official,6,男,主播这把g18不便宜，估计主播要4w,2025-04-05 18:17:16,0,0,,未知,是,https://i1.hdslb.com/bfs/face/f19cc40ac195332dfbd043f0bb43727a8ea1dec4.jpg
59,0,258788584337,3537107064719652,一只迷路的白色小灰灰,3,保密,我就是这样在变电站被阴死的[委屈][委屈]刚改的枪还没捂热就离我而去[大哭]（新手）,2025-04-05 14:26:20,0,0,真不是人机,未知,否,https://i0.hdslb.com/bfs/face/ca1dfe96c01729fcf37c6231a65baf0f5c082da8.jpg
60,0,259622008992,3537122002733435,威龙有机葡萄酒,3,保密,你说得对，但是我队友也是红狼，花来！[doge],2025-04-05 11:42:41,0,0,"已是白日西沉，已在黄昏失色。
敬，不完美的明天   ———加加拉",未知,是,https://i2.hdslb.com/bfs/face/63a9e02da72e1524bf816ea484fe2321ad68c31f.jpg
61,0,259606336912,1306203129,此时路过了一名网友,3,保密,"红狼带出什么装备了？
红狼：🍳
（找不到放大镜代替一下）",2025-04-05 08:38:14,0,0,纯路人,未知,否,https://i0.hdslb.com/bfs/face/f5ac66c34c0b5acdaf5dc393a535d803d7af8720.jpg
62,0,258744804801,327855958,TA_mae_ZK,6,男,再开一把绝密航天打死一个人后发现那把枪改的像自己的[笑哭],2025-04-05 05:22:30,0,1,会做一些二游相关的小二创,未知,否,https://i1.hdslb.com/bfs/face/388035fe81e6d45b00885a6f90eb9e1da5ceed4f.jpg
63,0,259564144656,555429912,九追ny,5,男,鸡霸你都要！@@@,2025-04-04 18:33:48,0,0,单身✓一枚，喜欢,未知,否,https://i0.hdslb.com/bfs/face/d789f000d4e04468fee6229833ce3bd4960573ce.jpg
