序号,上级评论ID,评论ID,用户ID,用户名,用户等级,性别,评论内容,评论时间,回复数,点赞数,个性签名,IP属地,是否是大会员,头像,emotion
1,0,260710692721,599037292,之归言马,5,保密,无名有龙息弹？我怎么没发现,2025-04-30 06:45:48,3,0,,未知,否,https://i0.hdslb.com/bfs/face/member/noface.jpg,Surprise
2,0,260272917681,430285860,香格里拉汗,6,男,什么时候更新第一类接触？,2025-04-24 13:20:20,0,0,求关注,未知,是,https://i0.hdslb.com/bfs/face/99b651ba30898b6891d4d034712c1ca1d458531b.jpg,Expectation
3,0,260271781361,109160975,YouRan自频道,6,男,你队友被挂杀了[吃瓜]我不是挂，别来攻击我，与我无关,2025-04-24 13:04:17,0,0,顺其自然~做自己想做的视频，才有可能悠然自得。,未知,否,http://i2.hdslb.com/bfs/face/331f528b4f56c5483a6ddd9b9a7f47c8f5451f14.jpg,Neutral
4,0,260225423905,39685276,Tanti老湿,6,男,超战除了骗就是骗,2025-04-24 00:48:22,0,0,全体目光向我看齐，我是个bt,未知,是,https://i1.hdslb.com/bfs/face/70cf5a1172130cad9e09e1cafdbcb3df5a73e0d5.jpg,Disgust
5,0,261047612592,3546851961735740,一個小計計,3,保密,无名的旋刃+兰蛋可以秒赛伊德,2025-04-22 17:09:41,0,0,,未知,否,https://i2.hdslb.com/bfs/face/6e47d35286de1cbd72b0b4410ff1a90823607417.jpg,Joy
6,0,260012008497,521956871,艾拉呢,5,保密,请求组织下一批热成像助我等行动[doge],2025-04-21 04:01:39,0,0,,未知,否,https://i2.hdslb.com/bfs/face/0b3089442a61c1e313b3035149b1c02883c6c8e1.jpg,Expectation
7,0,260828740640,35397840,肉松猫薄荷,6,保密,01:21 这咋光看见受伤，看不见掉血呢？[笑哭],2025-04-20 03:55:49,0,0,为什么我没有脸，或许是因为你不想看到…,未知,是,https://i0.hdslb.com/bfs/face/b3f4a5dd1c3e8a50ee1b9f0aab60429bbf63327c.jpg,Surprise
8,0,260828318400,35397840,肉松猫薄荷,6,保密,孩子们，我已经把夜视头的价格打到29万了，快来买啊！[星星眼],2025-04-20 03:51:54,0,0,为什么我没有脸，或许是因为你不想看到…,未知,是,https://i0.hdslb.com/bfs/face/b3f4a5dd1c3e8a50ee1b9f0aab60429bbf63327c.jpg,Neutral
9,0,259879434049,3537124945038261,你有眼睛对吧,4,保密,这里问大家一个事情:阿达西夺舍多少个五六套热成像了？,2025-04-19 12:11:17,0,0,你也想绝版？,未知,否,https://i0.hdslb.com/bfs/face/3463ebfca7f926d1f5f73034aea7f0c6ed103310.jpg,Neutral
10,0,260737082832,3494366307945334,巨阙__,4,男,双厨狂喜,2025-04-19 03:47:45,0,0,,未知,否,https://i1.hdslb.com/bfs/face/c076b9434e588fc3a7084377120f73e30cbb50bf.jpg,Joy
11,0,260710343536,1555056311,让人匪夷所思的男人,5,保密,以后玩三角洲最好带墨镜要不眼睛会坏的,2025-04-18 16:25:43,0,1,,未知,是,https://i2.hdslb.com/bfs/face/7a498c79bfde0805cf2d35d6f7f9c4bbaa3bc5a3.jpg,Joy
12,0,260710116400,401120842,风笛丷,5,保密,现在三角洲不建议打长夜为什么呢 因为不是sm的挂壁还是sm的挂壁 今天被挂壁打死5 6次了给我气笑了 出来直接锁头上[笑哭],2025-04-18 16:23:19,0,0,,未知,否,https://i1.hdslb.com/bfs/face/26917bcaf3f77911142259abbdd0d82e783ba533.jpg,Anger
13,0,260677954416,22100204,叫我今朝吧,6,男,太爽啦！！！,2025-04-18 10:03:38,0,0,,未知,否,https://i2.hdslb.com/bfs/face/9b52236387d39d809424440dcfcf121c374ea183.jpg,Joy
14,0,260672451808,1596263633,神秘红面具-赛伊德,3,保密,人机：这也没说过来正规军啊,2025-04-18 08:52:15,0,0,,未知,否,https://i2.hdslb.com/bfs/face/79ef30c0152948c00daeefc063df8ce344962250.jpg,Neutral
