序号,上级评论ID,评论ID,用户ID,用户名,用户等级,性别,评论内容,评论时间,回复数,点赞数,个性签名,IP属地,是否是大会员,头像
1,0,261222079217,38817066,最喜爱萝莉,6,男,下次绝密猛攻还行。23333,2025-05-06 08:21:16,0,0,,未知,否,https://i0.hdslb.com/bfs/face/5211bcf121baedc82cdda55f165914aa7750f70d.jpg
2,0,261219197617,244339890,鸿锦笙,5,男,那我是 全都要鼠鼠,2025-05-06 07:25:37,0,1,龙骧凤翥势难收,未知,是,https://i0.hdslb.com/bfs/face/2aac4888232f6e1999b2fe1983b4af5bb599c1a9.jpg
3,0,262134026016,3546832699394922,小鲨鱼英格431,3,男,或者是,2025-05-05 23:08:55,0,0,"想要点赞投币收藏转发，我成为大主播之后不会忘了你们
",未知,否,https://i0.hdslb.com/bfs/face/dfe77fd9fb029011dbdde35e6960f652ead8ee84.jpg
4,0,261187887953,1837275883,佩恩t233,5,男,只分俩种，一种鼠鼠，一种臭老鼠[doge],2025-05-05 17:40:44,0,0,一袋米要抗几楼，一袋米要抗二楼，一袋米给多累，一袋米我洗嘞，一袋大米洗了那么多泥，红豆黑娃哇嘎冷，颗颗有泥，谁给你一袋米呦，辛辣天森！,未知,是,https://i1.hdslb.com/bfs/face/42e3f4b009cdc8ceb92f4c406daf7e4f3c1a29a4.jpg
5,0,262127622160,3546754309950135,哈哈0我不知道,3,保密,今日普坝爆率(卡——变电站宿舍，量子存储——行政楼拉闸点旁边的那个钥匙房电脑里，忘了叫什么),2025-05-05 17:25:34,0,0,"CODM蒙新，还请多多关照
操作一扳，勿喷",未知,否,https://i0.hdslb.com/bfs/face/625906399000c3e53d970cbc972d3d5bcb1ea4fa.jpg
6,0,261180281073,15964072,观察者23号,6,男,我是萌新，单人跟踪了一个鼠鼠一路，最后鼠鼠感知到了我的存在打暗号，但我太饿了，跟了一路想必他一定有好东西，最后伏击成功，他和他的队友就一套新兵装备加几个破烂,2025-05-05 15:29:12,0,0,你这瓜保熟么,未知,是,https://i1.hdslb.com/bfs/face/bd9289deea0339fe2e7707183a66524481693227.jpg
7,0,261180208689,15964072,观察者23号,6,男,我是萌新，单人跟踪了一个鼠鼠一路，最后鼠鼠感知到了我的存在打暗号，但我太饿了，跟了一路想必他一定有好东西，最后伏击成功，他和他的队友就一套新兵装备加几个破烂,2025-05-05 15:29:12,0,0,你这瓜保熟么,未知,是,https://i1.hdslb.com/bfs/face/bd9289deea0339fe2e7707183a66524481693227.jpg
8,0,261166118145,11855594,元始本无劫唯情独自伤,6,保密,2025年5月5日，晚上18点30分，我哈基蜂朋友麦晓雯，4桶油大红局，本来想控闸的，突然想玩的好玩的，给猛攻清图队供了3桶考验人性，露娜是好人，一个劲不要，我们一直给，他吃晕了，丢了2把满改枪，威龙有点贪吃，给可以吧只有镜子枪管的狙，一个高级子弹零件，然后还把露娜丢的一把满改枪吃了，红狼直接蹲边上挂机看他两吃[doge],2025-05-05 12:37:43,0,1,最是人间蚌埠住，兄弟成爹晚成父,未知,是,https://i2.hdslb.com/bfs/face/fb7eea2aa5c982ef153ba68da3f9ccb9561dc0d9.jpg
9,0,261145900705,3546896215836952,3-315,2,保密,大血包：3秒看清一个鼠,2025-05-05 08:22:43,0,0,,未知,否,https://i0.hdslb.com/bfs/face/member/noface.jpg
10,0,261099736065,470819175,不抄作业的Doctor,5,保密,北方小鼠VS南方硕鼠[藏狐],2025-05-04 17:01:59,0,0,既然去不了格兰分多，那就去阿兹卡班吧,未知,否,https://i0.hdslb.com/bfs/face/517e30b8de32deed686fb01b08f8ca6a13d10ebb.jpg
11,0,261998624032,3461564621392223,路周弟awa,5,保密,今天刚遇到同类[doge_金箍],2025-05-04 09:36:32,0,0,请支持这个账号:路周弟,未知,否,https://i2.hdslb.com/bfs/face/b9f566fafc93e1185663d395cc9da7ed2e96c1d0.jpg
12,0,261997658288,3546821280402007,胆很小,3,保密,[呲牙],2025-05-04 09:23:49,0,0,,未知,否,https://i1.hdslb.com/bfs/face/a595c20bb279c24620cd35587efd654d6b613132.jpg
13,0,261010309553,2059601964,我明天要吃十碗,5,保密,新手第一次单排当鼠鼠，用的蜂医，本来准备捡捡垃圾吃，谁知道落地就搜到了一个除颤仪，之后见人就躲，绕了大半个地图成功撤离，除了在路上灭了一个队之外一切顺利[doge],2025-05-03 17:04:06,0,0,,未知,否,https://i0.hdslb.com/bfs/face/f97154a1f6647d2f53190ecbd78ea733a45be43e.jpg
14,0,261010046097,10830596,爱冒险的隐者,6,男,追杀就别怪我顷刻炼化了,2025-05-03 16:59:24,0,0,人生没有意义，自己开心人生才会有意义,未知,是,https://i2.hdslb.com/bfs/face/0b9337827cc786a1d991b760d2bd0a438157bf74.jpg
15,0,261914563360,86032532,愚人众执行官仆人,6,保密,我见人就杀是什么鼠[害羞],2025-05-03 10:53:02,1,1,,未知,否,https://i2.hdslb.com/bfs/face/dfe77fd9fb029011dbdde35e6960f652ead8ee84.jpg
16,0,260976169009,470688396,什么样的自由才叫自由,5,保密,原本我是个捡垃圾的，遇到人我就跑，但是我发现基本，很难跑掉，现在我要跟他们死磕，我不仅要浪费他们子弹，还要刮花他们的护甲,2025-05-03 10:13:49,0,0,不知在何时起我已经死了，剩下的不过是被欲望所操控的躯干在这人间漫无目的地徘徊。,未知,否,https://i0.hdslb.com/bfs/face/03e2ead2b409c1dff4314fa5536a99ed32ee3ff1.jpg
17,0,260970045793,3546728231864792,爱吃会灰的眼,3,保密,我仓库二十多把满改枪不舍得用[笑哭],2025-05-03 08:52:47,0,1,,未知,否,https://i2.hdslb.com/bfs/face/ed05b484d318ecf95f000f8df8ed01f75ebd69ca.jpg
18,0,260920578625,453398887,斯德哥尔摩上空的XZI,5,男,还真是，不过我威龙,2025-05-02 16:14:52,0,0,"Kawasaki & KTM
Nissan GTR & Mitsubishi Evolution 
Met and love you 

",未知,否,https://i1.hdslb.com/bfs/face/c1f58e4f3c7a30987aea7e6b409c4e782664022f.jpg
19,0,261819294176,287737313,ID葛子子,2,男,+1,2025-05-02 09:20:53,0,0,,未知,否,https://i2.hdslb.com/bfs/face/cf030b1c880faa95852f8dd6dbb3f8ba8e695a1b.png
