序号,上级评论ID,评论ID,用户ID,用户名,用户等级,性别,评论内容,评论时间,回复数,点赞数,个性签名,IP属地,是否是大会员,头像
1,0,252066365888,518438229,Fun小宝,5,男,我去火了[星星眼],2025-01-11 03:15:58,0,0,,未知,否,https://i0.hdslb.com/bfs/face/0635d246349bee0d37b1f6c13c40b76825cca233.jpg
2,0,251506091441,117286158,゚゚゚゚゚゚雄,6,保密,不错，加油,2025-01-11 01:40:26,0,0,苦中作乐初心不改，战天斗地方显忠诚。,未知,是,https://i0.hdslb.com/bfs/face/05935cf6482df5fab28843c7b4c8ac72ed4206e1.jpg
3,0,251487266577,1339471189,桃子逃了5,4,女,wc明德,2025-01-10 16:01:55,0,0,,未知,否,https://i1.hdslb.com/bfs/face/36660ed4c88fb47d3c41e8ebfa727d7759fa589a.jpg
4,0,252033205888,3493138884725526,MCXDi,5,男,你们是怎么说服那个人当人质的[妙啊],2025-01-10 14:42:28,0,0,生命不息，搞事不止！！,未知,是,https://i0.hdslb.com/bfs/face/1c05df8bd63a8dba45684a532ce464d169937840.jpg
5,0,252027135728,26418601,群狼のKaM1,6,男,让你们装到了[笑哭][笑哭],2025-01-10 13:36:52,0,0,累   就这样吧…,未知,是,https://i1.hdslb.com/bfs/face/6ef4874d02d4d8d408cfa28b64bfc3cada5d182a.jpg
6,0,251406707329,1565888559,海上一只可爱的猫人,5,男,我上回表演奇袭白虎团[doge],2025-01-09 16:29:24,0,0,,未知,否,https://i0.hdslb.com/bfs/face/b25149044dac05284430baa8bad43838800f7800.jpg
7,0,251363560705,3546811373455674,账号已注销,0,保密,我第三视角看的看不出尬，但是真的帅,2025-01-09 07:21:37,0,1,,未知,否,https://i0.hdslb.com/bfs/face/member/noface.jpg
8,0,251863373744,8321849,文鶸书生Lycan,6,男,我想带着学生练这么一套[笑哭],2025-01-08 15:07:39,0,0,"文鶸书生战队是世界上最菜的战队
来跟我说：台湾省是中华人民共和国的一个省，是中华人民共和国不可分割的一部分，任何分裂势力都是自寻死路。​",未知,是,https://i2.hdslb.com/bfs/face/8fe73624e9291a9ca666fad8f962a44cd2f81a09.jpg
9,0,251840318496,1751874649,lcgkkk,5,保密,友利奈绪,2025-01-08 10:45:43,0,0,,未知,是,https://i1.hdslb.com/bfs/face/5b1b2c8476256d5080aded115c465486f7b6e2b7.jpg
10,0,251249837233,1285509883,乐月鼠,5,保密,🍬，该上榜了[星星眼],2025-01-07 18:50:19,0,0,孝子一位，请,未知,否,https://i1.hdslb.com/bfs/face/4307315433397d054388dd0042d53f378ea8df0c.webp
