序号,上级评论ID,评论ID,用户ID,用户名,用户等级,性别,评论内容,评论时间,回复数,点赞数,个性签名,IP属地,是否是大会员,头像
1,0,262017692336,1698014741,68岁带伤对抗,4,男,打手是谁避一下雷,2025-05-04 13:09:40,0,0,,未知,否,https://i2.hdslb.com/bfs/face/a39d3ba4523ebc88190f32fb1220fbfd204f050b.jpg
2,0,260556660400,1536934044,椰蓉馅的扶手包包,5,男,求音乐,2025-04-16 18:21:08,0,0,,未知,是,https://i0.hdslb.com/bfs/face/1cce2c8d59cd67c109e1eaebe41188740db1c076.jpg
3,0,259360067745,3546840169449786,秋和华,2,保密,纯绿跑有板子吗,2025-04-12 16:47:25,0,0,代肝+ⅴ sfudficcuv6,未知,否,https://i0.hdslb.com/bfs/face/031a41093e19665b03b56c1d6b85d10c388ee6d5.jpg
4,0,259098157297,172492462,风干贤鱼,5,男,哈↑哇→哈↑夏→哈↑曼→哈↑泼→哈↑哦→哈↑耶→哈↑基米→wow,2025-04-09 12:25:21,0,0,？做咩啊,未知,是,https://i1.hdslb.com/bfs/face/288b7a039e0af53fecd73893257548be05f51231.jpg
5,0,259009221601,3493119093902171,废铁憨憨呀,4,保密,"8r-100w
15r-200w
75r-1000w
点的越多 优惠越大
有意者私信
（保证不动号上任何东西 可先付定金）
微：FTHH114514",2025-04-08 09:48:48,0,0,,未知,否,https://i2.hdslb.com/bfs/face/e2746a6f91ef492c817ee892a35f8261cdc82aad.jpg
6,0,259771431536,2757330,东方丶藤原妹红,6,男,上次遇到一个老鼠，我们都以为航天清图了，他在总裁，我们在下面，我对着防弹玻璃打信号，他直接就爬梯子下来了，给我队友吓懵了（我俩是杀出来的，还二倒没了个队友，属于是应激状态，我俩一开始看到上面有人其实就准备大不了在打一场了）。然后下来友好交换小紫，拉极限闸我们准备撤了，但是我二倒的队友看到飞升没人去解密电脑就说可能有人堵桥不要冲太快。结果那个鼠鼠一马当先冲出去，然后我跟着出去的时候就被M14大人踹倒了，幸好队友疯医拉回来了，就是前面那个鼠鼠可能就没了[大哭],2025-04-07 06:20:26,1,0,过气车万233333,未知,是,https://i0.hdslb.com/bfs/face/df575bd597d1267a70001bf2ec51060cba5fa26c.jpg
7,0,258700838145,3493077939391267,とにかくかわいい,5,保密,现在的BGM是什么,2025-04-04 14:06:00,0,0,庄周梦蝶，蝶梦庄周     黄粱一梦，梦成黄粱,未知,否,https://i1.hdslb.com/bfs/face/3e2f534d05bf8d7da6126e3566baa155262cf62f.jpg
8,0,258638552385,628473467,累了一起逃脱,5,保密,S4赛季3*3提前预约，纯绿一星期，这赛季做完8个了可每天发进度，也接护航,2025-04-04 00:19:37,0,0,,未知,否,https://i2.hdslb.com/bfs/face/58ea899d8ad9b50e6928a5b32ed6bea6bc05ceca.jpg
9,0,258407898337,3493283420441180,一条躺板板的咸鱼,4,保密,今天点赞也会变绿[微笑],2025-04-01 05:00:34,0,0,,未知,否,https://i2.hdslb.com/bfs/face/0315f36d07a97b3d41d11673d2c88d683d11e27f.jpg
10,0,258310527297,381515968,须须木,5,保密,"大学生纯绿，b站全程直播打。
7r=80w哈夫币
8：100w哈夫币
40：500w哈夫币",2025-03-31 00:46:58,0,0,,未知,否,http://i1.hdslb.com/bfs/face/ce6d8d174ea60f30c302d35648c39d67229f6fa2.jpg
11,0,259090546576,8626941,我走在打呲溜滑的路上,6,男,刚买我要刷爆他,2025-03-30 09:38:05,0,0,～(￣▽￣～)~,未知,是,https://i0.hdslb.com/bfs/face/c1be175ab7c41f68cd3d92d36d9da345040baaa2.jpg
12,0,259068504192,1539314131,一个TP传进你心里,5,男,bGm雪之梦,2025-03-30 04:56:11,0,0,,未知,是,https://i1.hdslb.com/bfs/face/3f025cee25c975e64cf2441c2eca79f81d8d9b09.jpg
13,0,258211016993,140674476,神啊你还在吗,5,保密,这咋有个人啊，31s那个下面的,2025-03-29 16:45:58,0,0,,未知,是,http://i0.hdslb.com/bfs/face/member/noface.jpg
14,0,258170787889,410535896,好吃的茴香豆,5,保密,78鼠鼠[doge],2025-03-29 08:37:23,0,1,,未知,是,https://i2.hdslb.com/bfs/face/41ddcd6db5196f4a43d4b622b3ba833e78ccf722.jpg
