序号,上级评论ID,评论ID,用户ID,用户名,用户等级,性别,评论内容,评论时间,回复数,点赞数,个性签名,IP属地,是否是大会员,头像
1,0,257577767217,2029200381,浮浮给我助教,5,男,奥波路波这个名字竟然显得如此正常,2025-03-22 02:22:42,0,0,1kh魂玩家，月亮计划忠实粉丝一枚,未知,是,https://i0.hdslb.com/bfs/face/9eb36b72f7bb3ee73b92c4a47d9bfcfee94763ad.jpg
2,0,257363868945,491084466,ff0114514,6,保密,阿拜多斯高等学院的学生们[doge],2025-03-19 06:54:09,0,1,,未知,否,https://i0.hdslb.com/bfs/face/32774bb046e7020ac3575984937dd4b0b8b04c51.jpg
3,0,257012157585,487978560,吾亦随光而逝,6,保密,小王不吃闪,2025-03-15 00:34:37,0,0,?,未知,否,https://i0.hdslb.com/bfs/face/c988fabe6669d39abdc5f70d2a220026c06cf7e4.jpg
4,0,256979308913,3546604611045799,竹马染雪,2,男,那他的父母怎么办？,2025-03-14 12:38:59,0,0,,未知,否,https://i1.hdslb.com/bfs/face/f570624bdb67106a0fbfc6e634ed98f212f3a870.jpg
5,0,256670124785,3546646409382169,权威德穆兰,4,保密,我就比较正常了，名为，江苏吴彦祖，我同学比较离谱，名为哈夫克机枪兵,2025-03-10 12:27:20,0,1,拍着玩,未知,否,https://i1.hdslb.com/bfs/face/1d6f96c096da1885a32ad9cd9a7b9147e7dc3500.jpg
6,0,256649629441,12705891,小能猫猫_,6,男,我叫哈人克盾兵[呲牙][呲牙][呲牙],2025-03-10 07:29:09,0,0,立志成为大UP，养活女朋友,未知,否,https://i0.hdslb.com/bfs/face/89eec29aa41508c9564402064fc52a4413e756cf.jpg
7,0,256520929905,3493081049467685,飞翔の留六刘,5,男,不敢笑，真有个同学叫丁子轩,2025-03-08 14:33:35,0,0,,未知,否,https://i2.hdslb.com/bfs/face/cada516b23785531a02d51438d7f06844396ae9c.jpg
8,0,256773347984,399376422,马上到芜湖,5,保密,[笑哭][笑哭],2025-03-02 09:05:52,0,0,,未知,是,https://i0.hdslb.com/bfs/face/26308c91cb1a6cf642350bdc9798e151dcb95d2b.jpg
9,0,256773325408,1900463434,朴实无华的胡滕,5,保密,抢了一个乌尔里希冯胡滕的ID[笑哭],2025-03-02 09:05:11,0,0,你能看到他的光鲜亮丽，却看不到他背后付出的努力。,未知,否,https://i1.hdslb.com/bfs/face/6599179b14a7368accca9758900241aa35573413.jpg
10,0,256022847953,357941581,一只运气很好的黑鸦,4,保密,我狙死一个人，那个人就要露头一枪死,2025-03-02 08:47:11,0,0,,未知,否,https://i1.hdslb.com/bfs/face/bdda531a646c67a3174d6391c23d2e96af09c759.jpg
11,0,256771618384,667021307,取个名字烦烦烦烦烦烦,5,保密,飞行员风川祥子，沟槽的名字不小心打错了，不过确实会开飞机[给心心],2025-03-02 08:41:46,0,0,,未知,否,https://i2.hdslb.com/bfs/face/d0fc70af9ee03392685ebabe08306fbebb32e870.jpg
