序号,上级评论ID,评论ID,用户ID,用户名,用户等级,性别,评论内容,评论时间,回复数,点赞数,个性签名,IP属地,是否是大会员,头像
1,0,261982027232,3546877647653615,霜冰冻,2,保密,打算用这套筋膜枪法加上一把近乎满配的VSS，VSS打远点，筋膜枪无脑打[doge_金箍]就看这套组合谁能撑住？[阴险],2025-05-04 05:48:11,0,0,娱乐玩家，不必要真正的当真awa,未知,否,https://i2.hdslb.com/bfs/face/38f6605f1594facd8febe0873295220fa0b77f7e.jpg
2,0,261553103616,1590882624,宇ler,2,保密,还接吗？长期蹲代代,2025-04-29 05:21:52,0,0,,未知,否,https://i0.hdslb.com/bfs/face/359a5161f667b53102308ea005f10690f3ae1b49.jpg
3,0,261162215168,518718821,超喜欢小星野,5,保密,-6FL0P3K0AAR0R0NQ5UJ6M,2025-04-24 08:13:04,0,0,,未知,否,https://i2.hdslb.com/bfs/face/24b78f166fe9325d4c36e8c6a0d024c59ce3204e.jpg
4,0,260227503553,1055464860,北极熊啃羊驼,4,保密,MP7冲锋枪-全面战场-6FL0P3K0AAR0R0NQ5UJ6M,2025-04-24 01:26:58,0,1,,未知,否,https://i0.hdslb.com/bfs/face/96b197deb2b68ecd929c5c3730f1ac82da1efaf0.jpg
5,0,259974157473,3546872650140393,Mrchen小陈a,2,保密,6FL0P3K0AAR0R0NQ5UJ6M,2025-04-20 13:29:38,0,0,,未知,否,https://i0.hdslb.com/bfs/face/534afb8970237f1fea8beded04de8119917e44e7.jpg
6,0,260782727360,3546842925108041,法拉利凱,2,保密,不行啊这把枪现在要11万多再加上改的31万多还是太贵了,2025-04-19 13:28:41,0,0,,未知,否,https://i0.hdslb.com/bfs/face/member/noface.jpg
7,0,259607896032,601407427,予猫Ali,5,保密,@HillXn,2025-04-05 08:59:32,0,0,不知道,未知,否,https://i1.hdslb.com/bfs/face/e407719b08978d35f52224dd55b0801a4e078aa0.jpg
8,0,259603031744,3546841415158602,超级聪明的傻子,2,保密,MP7冲锋枪-全面战场-6FL0P3K0AAR0R0NQ5UJ6M,2025-04-05 07:54:04,0,0,,未知,否,https://i0.hdslb.com/bfs/face/5d2f59240a5b392510c98f8adee621ae7c34340f.jpg
9,0,259569746304,3546563251014132,vijffyfn,2,保密,"我的u Zi也是，而且只需要6万块钱。了解一下，要不？
UZI冲锋枪-烽火地带-6FRUPEG04OV0OR4L2PB1G",2025-04-04 23:49:32,0,0,,未知,否,https://i0.hdslb.com/bfs/face/member/noface.jpg
10,0,258719741969,402632164,尘缘难现,5,保密,涨价？现在就囤子弹，等到你们都在用之后，在抛售，到时候迎娶白富美，走上人生巅峰不是梦啊[歪嘴],2025-04-04 19:30:32,0,0,"“第一花好，不教万叶恨萧萧。

第二月圆，不教萧郎负婵娟。

最是家好人相欢，此生此夜永长安。”",未知,是,http://i1.hdslb.com/bfs/face/d3ed81eb4e2f69dba4bb10eec58557b6c9b95f98.jpg
