序号,上级评论ID,评论ID,用户ID,用户名,用户等级,性别,评论内容,评论时间,回复数,点赞数,个性签名,IP属地,是否是大会员,头像
1,0,262103677536,526293439,鸡你不美吧,4,保密,《白泽每把游戏都卡》价值250万,2025-05-05 12:12:16,0,0,,未知,否,https://i1.hdslb.com/bfs/face/a17eacffe7310c6fbfa5093b81dba9bdb5b647e2.jpg
2,0,258162382913,3537119964301759,宇宙皓瀚,4,保密,立志走遍每个视频,2025-03-29 06:36:16,0,0,你好，陌生人……立志走遍每个视频,未知,否,https://i1.hdslb.com/bfs/face/d1bd3bc733974f499c7274aa07a88ed057b8b149.jpg
3,0,258494358224,3546593793936245,青雨ZY,4,男,最遥远的距离,2025-03-23 07:55:59,1,0,一只喜欢玩MC的小鼻嘎,未知,否,https://i2.hdslb.com/bfs/face/bdda531a646c67a3174d6391c23d2e96af09c759.jpg
4,0,255470773137,76979372,嚯哈哈_Official,6,男,没出过大红[大哭],2025-02-23 12:47:30,0,2,游戏资深【整活】专家！,未知,否,https://i2.hdslb.com/bfs/face/0a1d5508c6e3abfc143fc2fe6770669e6a5eae0f.jpg
5,0,256119824160,1319180521,伊蕾是蕾娜,4,男,@yukaihao01,2025-02-22 15:53:22,0,0,不主动就不会有结果,未知,是,https://i1.hdslb.com/bfs/face/ad5b4b3232821322d710e6f73427a5cc4c2cb506.jpg
6,0,255144799073,1993572284,我就适合,3,保密,6,2025-02-19 16:34:58,0,0,,未知,否,https://i2.hdslb.com/bfs/face/6c7d156500b3c792fb7fa3075c1db5c96aacfcc0.jpg
7,0,255083471841,1154384371,兰花北风,2,保密,摸房卡那个是哪个房间啊,2025-02-19 03:25:04,0,0,弱不禁风的烟火（社恐）,未知,否,https://i1.hdslb.com/bfs/face/721a2c3eabaeca1d3f93f9f7000c7e10a0a988b2.jpg
8,0,255663481488,3546852985146040,dy_Kitty喵,2,保密,这什么游戏？,2025-02-17 12:50:05,0,0,,未知,否,https://i1.hdslb.com/bfs/face/c6a1164ff6d25e71b592b14266b7cf8276f54516.jpg
9,0,254841708113,221556896,镚钢叫我,5,保密,小水牛[笑哭],2025-02-16 05:07:24,0,0,喔,未知,否,https://i2.hdslb.com/bfs/face/569208bd8735fe7d619dad3ccda21b91eec43aea.jpg
10,0,255395250128,3493280014666227,然燃燃烧,3,男,支持小小烟单干，抛弃白泽，自强自立！！！[生气_金箍][生气_金箍][生气_金箍]@白泽-三角洲行动,2025-02-14 14:45:25,0,0,一个很想直播但是懒得直播的博主！,未知,否,https://i0.hdslb.com/bfs/face/4aaf1759fb179a92c9546200d1e7da7e9963f4cc.jpg
