序号,上级评论ID,评论ID,用户ID,用户名,用户等级,性别,评论内容,评论时间,回复数,点赞数,个性签名,IP属地,是否是大会员,头像,emotion
1,0,259835224145,601691678,垂怜曲,4,女,[蔚蓝档案静态_举手][蔚蓝档案静态_举手][蔚蓝档案静态_举手],2025-04-19 01:54:59,0,1,啊哈哈～牡蛎牡蛎～,未知,否,https://i2.hdslb.com/bfs/face/2c80c0056d83eb083d680766c9e251a40a80902f.jpg,Neutral
2,0,260727060368,691906400,古老的帝国仍在前进,4,保密,[来古-呆滞],2025-04-19 01:21:14,0,1,114514,未知,否,https://i2.hdslb.com/bfs/face/e8ac6425029c3c40a42acdfc39be7868d02a86de.jpg,Neutral
3,0,260727005568,1304809946,未开之紫丁香,4,男,[doge],2025-04-19 01:19:30,0,1,未花厨，日奈厨，爱丽丝厨，梓厨，集众多厨力于一身！,未知,否,https://i2.hdslb.com/bfs/face/8a4e8122f157fd9fb9299d19a74a4a6959a66ffa.jpg,Neutral
4,0,259832471649,3493111462365771,林梦朽芸,4,女,后续放炮还把自己炸到地图外死了[笑哭],2025-04-19 01:09:33,0,1,日奈可爱捏,未知,否,https://i0.hdslb.com/bfs/face/0ee21b32db7d4397b2a2e7f469eef7711048ce51.jpg,Joy
5,0,259835224145,601691678,垂怜曲,4,女,[蔚蓝档案静态_举手][蔚蓝档案静态_举手][蔚蓝档案静态_举手],2025-04-19 01:54:59,0,1,啊哈哈～牡蛎牡蛎～,未知,否,https://i2.hdslb.com/bfs/face/2c80c0056d83eb083d680766c9e251a40a80902f.jpg,Neutral
6,0,260727060368,691906400,古老的帝国仍在前进,4,保密,[来古-呆滞],2025-04-19 01:21:14,0,1,114514,未知,否,https://i2.hdslb.com/bfs/face/e8ac6425029c3c40a42acdfc39be7868d02a86de.jpg,Neutral
7,0,260727005568,1304809946,未开之紫丁香,4,男,[doge],2025-04-19 01:19:30,0,1,未花厨，日奈厨，爱丽丝厨，梓厨，集众多厨力于一身！,未知,否,https://i2.hdslb.com/bfs/face/8a4e8122f157fd9fb9299d19a74a4a6959a66ffa.jpg,Neutral
8,0,259832471649,3493111462365771,林梦朽芸,4,女,后续放炮还把自己炸到地图外死了[笑哭],2025-04-19 01:09:33,0,1,日奈可爱捏,未知,否,https://i0.hdslb.com/bfs/face/0ee21b32db7d4397b2a2e7f469eef7711048ce51.jpg,Joy
9,0,259835224145,601691678,垂怜曲,4,女,[蔚蓝档案静态_举手][蔚蓝档案静态_举手][蔚蓝档案静态_举手],2025-04-19 01:54:59,0,1,啊哈哈～牡蛎牡蛎～,未知,否,https://i2.hdslb.com/bfs/face/2c80c0056d83eb083d680766c9e251a40a80902f.jpg,Neutral
10,0,260727060368,691906400,古老的帝国仍在前进,4,保密,[来古-呆滞],2025-04-19 01:21:14,0,1,114514,未知,否,https://i2.hdslb.com/bfs/face/e8ac6425029c3c40a42acdfc39be7868d02a86de.jpg,Neutral
11,0,260727005568,1304809946,未开之紫丁香,4,男,[doge],2025-04-19 01:19:30,0,1,未花厨，日奈厨，爱丽丝厨，梓厨，集众多厨力于一身！,未知,否,https://i2.hdslb.com/bfs/face/8a4e8122f157fd9fb9299d19a74a4a6959a66ffa.jpg,Neutral
12,0,259832471649,3493111462365771,林梦朽芸,4,女,后续放炮还把自己炸到地图外死了[笑哭],2025-04-19 01:09:33,0,1,日奈可爱捏,未知,否,https://i0.hdslb.com/bfs/face/0ee21b32db7d4397b2a2e7f469eef7711048ce51.jpg,Joy
13,0,259835224145,601691678,垂怜曲,4,女,[蔚蓝档案静态_举手][蔚蓝档案静态_举手][蔚蓝档案静态_举手],2025-04-19 01:54:59,0,1,啊哈哈～牡蛎牡蛎～,未知,否,https://i2.hdslb.com/bfs/face/2c80c0056d83eb083d680766c9e251a40a80902f.jpg,Neutral
14,0,260727060368,691906400,古老的帝国仍在前进,4,保密,[来古-呆滞],2025-04-19 01:21:14,0,1,114514,未知,否,https://i2.hdslb.com/bfs/face/e8ac6425029c3c40a42acdfc39be7868d02a86de.jpg,Neutral
15,0,260727005568,1304809946,未开之紫丁香,4,男,[doge],2025-04-19 01:19:30,0,1,未花厨，日奈厨，爱丽丝厨，梓厨，集众多厨力于一身！,未知,否,https://i2.hdslb.com/bfs/face/8a4e8122f157fd9fb9299d19a74a4a6959a66ffa.jpg,Neutral
16,0,259832471649,3493111462365771,林梦朽芸,4,女,后续放炮还把自己炸到地图外死了[笑哭],2025-04-19 01:09:33,0,1,日奈可爱捏,未知,否,https://i0.hdslb.com/bfs/face/0ee21b32db7d4397b2a2e7f469eef7711048ce51.jpg,Joy
17,0,259835224145,601691678,垂怜曲,4,女,[蔚蓝档案静态_举手][蔚蓝档案静态_举手][蔚蓝档案静态_举手],2025-04-19 01:54:59,0,1,啊哈哈～牡蛎牡蛎～,未知,否,https://i2.hdslb.com/bfs/face/2c80c0056d83eb083d680766c9e251a40a80902f.jpg,Neutral
18,0,260727060368,691906400,古老的帝国仍在前进,4,保密,[来古-呆滞],2025-04-19 01:21:14,0,1,114514,未知,否,https://i2.hdslb.com/bfs/face/e8ac6425029c3c40a42acdfc39be7868d02a86de.jpg,Neutral
19,0,260727005568,1304809946,未开之紫丁香,4,男,[doge],2025-04-19 01:19:30,0,1,未花厨，日奈厨，爱丽丝厨，梓厨，集众多厨力于一身！,未知,否,https://i2.hdslb.com/bfs/face/8a4e8122f157fd9fb9299d19a74a4a6959a66ffa.jpg,Neutral
20,0,259832471649,3493111462365771,林梦朽芸,4,女,后续放炮还把自己炸到地图外死了[笑哭],2025-04-19 01:09:33,0,1,日奈可爱捏,未知,否,https://i0.hdslb.com/bfs/face/0ee21b32db7d4397b2a2e7f469eef7711048ce51.jpg,Joy
