序号,上级评论ID,评论ID,用户ID,用户名,用户等级,性别,评论内容,评论时间,回复数,点赞数,个性签名,IP属地,是否是大会员,头像
1,0,262008548816,3546609050716449,YangSomeone3103,2,保密,明显的不前突，纯远，经典MC！,2025-05-04 11:28:18,0,0,,未知,否,https://i0.hdslb.com/bfs/face/member/noface.jpg
2,0,261871756464,3546749192899349,SimonStreatX,3,男,注入vape了😡,2025-05-03 01:15:54,0,0,@SimonSrteat_X，诶你怎么撕拉,未知,否,https://i2.hdslb.com/bfs/face/4b5502245bc6e6cdaa433cd337a3b36b7258f671.jpg
3,0,260245880032,2027742821,精致又聪明的石叶,5,男,命运的齿轮开始转动……,2025-04-13 00:53:33,0,0,我只是一个普通的xxs，视频类型有滚天、mc、日常等。如果喜欢就点个关注吧，这对我来说真的很重要！,未知,否,https://i2.hdslb.com/bfs/face/3594a698b7cf2b009f63ad15f9025613b87af0cc.jpg
4,0,259584466672,670104449,别看情绪,3,保密,不闹你我的世界的玩家摸爬滚打车都是玩速通的。,2025-04-05 03:59:49,0,0,,未知,是,https://i2.hdslb.com/bfs/face/43e22aa2b292a83e9d5ee192bef07c467dadf5d1.jpg
5,0,259286435936,3546724782049544,萤火苦瓜,3,男,一看就是跑酷玩家。,2025-04-01 14:36:37,0,0,,未知,否,https://i2.hdslb.com/bfs/face/3752e4b2d9462f042342ccc5b6792f78946cb14f.jpg
6,0,257822115393,3546783550539958,三角洲的小干员,2,男,我就是MC和三角洲一起玩[星星眼],2025-03-25 01:50:24,0,1,,未知,否,https://i1.hdslb.com/bfs/face/1cddeac0c2f1e6dd77fa2afee880a8ad0f286bdb.jpg
7,0,257780097425,439344156,justalonewj,4,男,你玩的re45智慧手枪版是吗？,2025-03-24 10:55:21,0,0,,未知,是,https://i0.hdslb.com/bfs/face/118040d800af7963283d7c9cafa3b8e65fbb4c4e.jpg
8,0,258460944256,352487849,天山香芋,3,保密,你这是什么模组啊？第一次见。awa,2025-03-23 00:33:15,0,1,,未知,否,https://i2.hdslb.com/bfs/face/48c84a9cd592d1798e4af7dfc8f6856dcb8d0731.jpg
9,0,257128209841,1723984666,天啤,5,女,回来吧QIQI,2025-03-16 06:25:17,0,1,,未知,否,https://i1.hdslb.com/bfs/face/cb16d5bcd5196c989bdf5ff6e42c1afa544efb39.jpg
10,0,257392695376,1508599527,镀龙,5,男,"起初，人们以为这只是单纯的mc主播试玩三角洲
结果",2025-03-09 22:09:41,3,9,猛攻威龙不会梦见仙丹美游,未知,是,https://i0.hdslb.com/bfs/face/fda8ddd47120f8cd92fb79812af21b1b2027232a.jpg
11,0,256476623025,1119741359,Little_sab,3,保密,《第一次玩三角洲打机密大坝》,2025-03-08 04:57:10,0,3,up主是鸡仔纸，请多多关照。,未知,是,https://i2.hdslb.com/bfs/face/d478e349d6329c806cecdb1cad8bebf5daf13ea1.jpg
12,0,257136751072,410990711,YorkaLily,5,保密,我也是第5次战场才打出来的,2025-03-06 20:23:30,0,0,,未知,是,http://i0.hdslb.com/bfs/face/member/noface.jpg
13,0,257136801488,410990711,YorkaLily,5,保密,这是第一次？,2025-03-06 20:23:10,0,0,,未知,是,http://i0.hdslb.com/bfs/face/member/noface.jpg
14,0,256839696128,98626308,遇见七喜,6,男,开了吧[热词系列_啊?][热词系列_啊?][热词系列_啊?][热词系列_啊?]？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？,2025-03-03 04:44:41,0,0,从事前卫男装工作，有需要的可以联系,未知,是,https://i0.hdslb.com/bfs/face/e6a19195b76d4b7873c036b1a334d42dfdfe502a.jpg
15,0,256028968081,696456479,好好好还是抽不到,4,保密,请问这个三角洲的游戏没有后坐力机制吗?好垃圾啊[doge][doge],2025-03-02 10:04:51,4,0,,未知,否,https://i2.hdslb.com/bfs/face/8dd1fc155381d21138a8beb2681cae5fc65a7695.jpg
16,0,254171586289,3493131129456654,DestroyerARIEL,3,保密,nb,2025-02-09 04:44:51,0,0,,未知,是,https://i0.hdslb.com/bfs/face/fbf9b18facf07808d94a20c0ae967160e3c42322.jpg
17,0,254443231520,475226503,wake-up_ASH,5,男,KL(开了)_qiqi_,2025-02-05 02:37:24,0,3,窝补药尚薛,未知,否,https://i1.hdslb.com/bfs/face/201dd475f5f9d4f6bb0eec45b5e42d35b336ae6a.jpg
18,0,254311238704,1090671435,司司不想当闲鱼,5,男,@好きですmika,2025-02-03 13:52:55,0,0,,未知,否,https://i0.hdslb.com/bfs/face/39e9f103026f903fec3af2be3d03785e71fc4aae.jpg
19,0,254125342480,700314931,叶慎1,5,保密,"对面玩半个月绝密航天乱杀
我玩半个月机密大坝被乱杀
[辣眼睛]",2025-02-01 14:36:40,0,1,,未知,否,https://i1.hdslb.com/bfs/face/ff96fb8c5a6996b9ca0ad9cb458c21541172fb26.jpg
20,0,254037592096,470049745,羡逍之遥,5,保密,表面上是MC主播，背地里是世面主流FPS全部打到最高段位，甚至肉身晋级封号斗罗的射击大手子[doge_金箍],2025-01-31 15:45:53,0,8,所求无可得，难思前路已,未知,是,https://i1.hdslb.com/bfs/face/7c5c34f4e4606fa01f28f53f339e4d54ac0462dc.jpg
28,0,254028731120,1246890137,JesseMo先森,5,保密,说点大伙不知道的,2025-01-31 14:11:15,0,1,,未知,否,https://i2.hdslb.com/bfs/face/063e39c59fb7acc9666997ee43cd2fcdcaafae51.jpg
29,0,252503731937,3494363491469479,啊喂你们太没实力了,3,保密,不愧是我们的游戏狂人qiqi,2025-01-22 06:15:38,0,1,,未知,否,https://i0.hdslb.com/bfs/face/member/noface.jpg
30,0,253043062832,3546751839504407,淆津8号,3,女,Mc十年老玩家的手速[doge_金箍],2025-01-21 14:15:02,0,1,我只是不识好歹，又不是敬酒不吃吃罚酒,未知,否,https://i2.hdslb.com/bfs/face/a44d1fa6bbbc463790e62eb117851c25500251f6.jpg
31,0,252331151489,3546826705734361,动拈,2,男,梦结束的地方[大哭],2025-01-20 11:07:39,1,4,"2级号并不一定是从慢脚上来的
",未知,否,https://i1.hdslb.com/bfs/face/4cabb08bdfae34a642833e396599aaed1bd185b5.jpg
32,0,252329245889,3546837287962957,剪啥视频呢不剪,2,保密,我操，这是个桂,2025-01-20 10:48:08,0,0,,未知,否,https://i1.hdslb.com/bfs/face/ec5417613795c95ab7c7ff0276a4821b47794638.jpg
33,0,252504928912,3546832707783317,银凡大大,2,保密,mc玩家眼里的敌人：小黑，小白，苦力怕,2025-01-16 00:51:36,0,0,,未知,否,https://i2.hdslb.com/bfs/face/11638ad1778397ac2212c2d792a1b499ef7a5b0b.jpg
34,0,252287495520,1807175645,眺めの時間,5,男,光影和材质发一下,2025-01-13 11:45:00,0,0,自殺には理由がありません。今日は飛んでいないだけです。,未知,否,https://i2.hdslb.com/bfs/face/788ec020d51985a3ee77e618f95d954ee0d81249.jpg
35,0,252274756864,1273300136,wylwmq123,4,保密,开,2025-01-13 09:19:25,0,0,,未知,否,https://i2.hdslb.com/bfs/face/f1de4855179988697906b89277b0619f56d48b62.jpg
36,0,252201721536,3546593909279547,扣分记英魂之刃账上,2,保密,加了永恒枪械工坊是吧，对了，能再把光影分享一下吗？[doge],2025-01-12 11:56:16,0,0,看到我请提醒我给英魂之刃打差评,未知,否,https://i0.hdslb.com/bfs/face/4ecb7066522c737966c2e0d842301b8e2b2fd41b.jpg
37,0,251633569745,3493146124094076,玩游戏也开心,4,保密,西部快枪手,2025-01-12 10:17:38,0,0,,未知,是,https://i0.hdslb.com/bfs/face/5a16f721d4341ae2c99e1ebd0228ad870f42bfe1.jpg
