序号,上级评论ID,评论ID,用户ID,用户名,用户等级,性别,评论内容,评论时间,回复数,点赞数,个性签名,IP属地,是否是大会员,头像,emotion
1,0,261379465424,1722793018,bili_70749386308,4,保密,咨询一个问题，手机端应该怎么打开夜视仪？[笑哭]我找了半天都没找到,2025-04-27 00:52:18,0,0,,未知,否,https://i0.hdslb.com/bfs/face/member/noface.jpg,Neutral
2,0,259980683521,254008180,第九次初吻,5,男,纯纯的灯下黑,2025-04-20 14:48:37,0,1,塔科夫10年老兵,未知,否,https://i1.hdslb.com/bfs/face/5533a5b4d600f3c02123e7838d962d25f8bce789.jpg,Neutral
3,0,259978960993,335111274,可才马,6,保密,你第一波子弹打完了拿个飞刀我吃饱了,2025-04-20 14:28:28,1,1,爱asian,未知,否,https://i0.hdslb.com/bfs/face/9304a0c1bfe1353315582227e8c615baf35179e7.jpg,Joy
4,0,259959916225,1745726754,用武通神,5,保密,这个窗户用手电筒也看不到外面，必须打烂窗户,2025-04-20 10:26:43,0,1,,未知,否,https://i0.hdslb.com/bfs/face/95e848e35a0ce83e9b9fcc77671ee1e8935089f8.jpg,Disgust
5,0,260754140528,296396902,饿魔虫了恶,6,男,已经修复了,2025-04-19 07:36:48,0,1,封中号~,未知,否,https://i1.hdslb.com/bfs/face/c4437af133d6d73cbcf0cf010cd6315348aecb34.jpg,Neutral
6,0,260749376272,22200224,Tactical-Fn57,6,保密,不是新的，白天在室外看室内也反光，但是不至于一点看不见，亮处看暗处就这样[笑哭][笑哭][笑哭],2025-04-19 06:23:19,1,6,,未知,是,https://i2.hdslb.com/bfs/face/93cb7a2e3f440e532fc5527cb85a04e5cf4ded54.jpg,Disgust
7,0,260714760800,434080945,虾画虾玩,6,男,手机端为了优化光源很少各种反射的渲染都打了折[笑哭]最后结果就是特别黑，pc端的光反射要比手机端多一些,2025-04-18 17:45:06,1,2,大学牲随缘更新，xdm可以加这个qq群（715284917)一起玩,未知,否,https://i1.hdslb.com/bfs/face/819730a78869908a4163194a0d81d08584e8a8fd.jpg,Disgust
8,0,259803059537,3546766475529054,六折逆袭2,4,保密,不戴夜视仪看不见窗外的，我在游客中心二楼就没看见，以为是个狙击兵就没管，直接给我秒了,2025-04-18 13:27:14,0,1,,未知,否,https://i0.hdslb.com/bfs/face/16b44568d1e99008f1f6d236441a4920446e2354.jpg,Surprise
9,0,260655984736,398303003,tlb151401,6,保密,不是新特性，就是这么设置的，不用夜视仪和热成像看不见窗外,2025-04-18 04:35:14,2,26,,未知,否,http://i0.hdslb.com/bfs/face/member/noface.jpg,Disgust
10,0,260650930544,378814508,霜星快上我岛,6,保密,不带夜视在室内看不见外面，整个人在外面跟个大黑耗子一样,2025-04-18 03:28:15,0,2,,未知,否,https://i2.hdslb.com/bfs/face/bb9549fa3d7679801b9079df28b563346e874278.jpg,Disgust
11,0,259746178401,221816393,大阴阳师少司命,6,保密,完了，有人会蹲闸,2025-04-17 20:11:08,1,14,,未知,是,https://i2.hdslb.com/bfs/face/bd6650ad5f8b0294221644b27bd6f52eb6d0e242.jpg,Regret
12,0,260634887968,571310620,莫得感情的南瓜头,6,保密,手游玩起来真的这么糖吗。。,2025-04-17 19:33:46,10,13,日落下的小店，有在卖橘子味的汽水儿吗,未知,是,https://i1.hdslb.com/bfs/face/bcdc12d464a46fd2c790c664b57926ff887756db.webp,Surprise
13,0,260598327456,24557739,Void流光,6,保密,@豹饮豹食の卡比,2025-04-17 10:07:46,0,2,,未知,是,http://i0.hdslb.com/bfs/face/63fac9579c93449e35ec41fa2e9190a718d0a98b.jpg,Neutral
14,0,259700738577,1502862796,Mc-ccs,4,男,期待下一个作品！,2025-04-17 07:12:30,0,5,啥啊？！,未知,否,https://i1.hdslb.com/bfs/face/3980a7e543481df8e20fd0b47a085dd593ddad17.jpg,Expectation
15,259746178401,259747025729,1140182674,起舞的女郎,5,女,没蹲，我跳下来打完药刚好看到脚步[笑哭],2025-04-17 21:32:01,0,1,三角洲专业鼠玩，随便发点，有问题就问,未知,否,https://i1.hdslb.com/bfs/face/256c1a0d9ba452556f5df946a0aa1d36321db669.jpg,Joy
16,260714760800,260807715408,166976215,-極彩色-,6,男,认真的吗，pc不带夜视外面黢黑，手游不带夜视看的感觉贼清楚。,2025-04-19 19:32:32,0,1,深藏功与名,未知,是,https://i1.hdslb.com/bfs/face/9093f31bdc8246c4123d90ed495cdb9ed9ecf7e9.jpg,Disgust
