序号,上级评论ID,评论ID,用户ID,用户名,用户等级,性别,评论内容,评论时间,回复数,点赞数,个性签名,IP属地,是否是大会员,头像
1,0,261255842289,30886476,柚子paq,6,男,刚陪朋友失去联系带出来的砖。一发，好看可惜是个优品[笑哭][笑哭],2025-05-06 15:51:59,0,0,做个努力开心的人,未知,是,https://i0.hdslb.com/bfs/face/163d47e620b6bd9ff288817472d9d65adc4f3be4.webp
2,0,262177310976,1714223326,bili_88780898155,3,保密,像自来也,2025-05-06 11:34:48,0,0,,未知,否,https://i1.hdslb.com/bfs/face/bd04ee8b722d9c8a186278f63a074fcad33f4b65.jpg
3,0,261076647489,177690591,南夜天的星星,5,保密,这咋样[doge],2025-05-04 12:29:51,0,0,潇潇洒洒的来了,未知,否,https://i0.hdslb.com/bfs/face/69c2224aaf80ea28aa3598d787c2d6f267eaca1d.jpg
4,0,260953907569,2107655989,贪吃枪马技术菜,3,保密,哈哈哈[呲牙]我新赛季第一发出极品s,2025-05-03 05:00:59,0,0,"刘涛还在追我~~~
怎么办啊~~~
先吃吧~",未知,否,https://i1.hdslb.com/bfs/face/3282e7c2b979e55acebe6dbfb07682243d8b78cf.jpg
5,0,260936358033,3546599034719074,客呵客呵,3,保密,这到底咋随机的？,2025-05-03 00:55:30,0,0,,未知,否,https://i1.hdslb.com/bfs/face/4e86cad908bbd0a6528485a08c952fb1a21b5cbc.jpg
6,0,260844706769,321668692,所列哇哆卡呐,5,保密,k4这把枪给我感觉不错，真的好软，远距离金蛋都打不死人,2025-05-01 20:59:09,0,0,,未知,否,https://i1.hdslb.com/bfs/face/18da46d1c32c62f0f23a93a2eb14c40456e0921e.jpg
7,0,260615284705,50413755,白之兔诺登,6,女,这个极品B好看啊,2025-04-29 01:59:39,0,0,,未知,否,https://i0.hdslb.com/bfs/face/e7f0521dfe736a6e4a6dbaba55559b953f867c4d.jpg
8,0,260418193137,358738196,幻想的云中墨笔,5,女,那天看完全程了，我感觉白泽挺亏的，某官方逮着一哥开涮了,2025-04-26 10:18:28,0,5,有时我真希望伟大的老天爷能剥夺我阅读文字的能力,未知,是,https://i2.hdslb.com/bfs/face/7f22999b5ac5192fc6e9a64b37c868eaf6547d0d.webp
9,0,261252315792,475119521,疯兔子君灬,6,保密,看不懂，这游戏枪掉了皮肤就没了吗？不同品质皮肤有什么加成吗，感觉好不好看跟品质没关系啊。品质有什么用,2025-04-25 10:50:50,1,1,你看到的，都是想让你看到的,未知,是,http://i2.hdslb.com/bfs/face/808b84b94e78c66401aca06cb76415e12dc4d9bc.jpg
10,0,260295720961,3546555497842791,贝利亚--宇宙监狱,3,保密,这个债还没还完吗？,2025-04-24 22:41:00,0,0,,未知,否,https://i0.hdslb.com/bfs/face/2149d0f653811b644fb1b4f19a0028c4ccfb9f63.jpg
11,0,260289466369,1125923261,麦小鼠awa,4,保密,787878,2025-04-24 17:13:47,0,0,,未知,是,https://i2.hdslb.com/bfs/face/bdfebe02556bd2a4616948cc711248270f532b57.jpg
