序号,上级评论ID,评论ID,用户ID,用户名,用户等级,性别,评论内容,评论时间,回复数,点赞数,个性签名,IP属地,是否是大会员,头像
1,0,261258842049,315693,Dr丶松鼠,6,男,哈哈哈  欢迎来到充满科技的航天,2025-05-06 16:40:06,0,0,,未知,是,https://i0.hdslb.com/bfs/face/abfeb09e4700a450a09b631c1c95818ae54a571c.jpg
2,0,261255892689,98665365,神风若曦,5,男,一张东楼一把枪,2025-05-06 15:53:59,0,0,大道慈悲   无量渡人,未知,否,https://i0.hdslb.com/bfs/face/39690ca859366340143a2d8e04c9119b5eaec583.jpg
3,0,261229079489,1389755069,为02献上灵魂,5,保密,我寻思着我也不是什么高端玩家啊，这就给我塞高压局里了？,2025-05-06 10:12:14,0,0,"鹤望兰永无凋谢之时，比翼鸟永无分离之日
0216一生推",未知,否,https://i2.hdslb.com/bfs/face/13e991a81e7e243b5b403e2153a7311e007526e7.jpg
4,0,262127037504,90399538,银河里的萤火,6,男,[doge_金箍]本来以为是CSGO来的没想到是apex来的,2025-05-05 17:16:02,0,0,绿泡泡yinghuo5132,未知,是,https://i1.hdslb.com/bfs/face/bbf88d08918272a59f846d18b9a2f349c4a4fb06.jpg
5,0,261180669057,34043358,佛劳洛斯flls,6,保密,断断续续的玩三角洲，我纯新手一个，来到第二张地图去捡东西，服务器那里直接捡到一张显卡[doge_金箍],2025-05-05 15:34:30,0,0,,未知,否,https://i0.hdslb.com/bfs/face/c44b0930d44b0beb96420213493db70e0b653d2e.jpg
6,0,261180313889,1807400865,青春の後悔,5,保密,那就不得不提双持滑膛枪了[墨镜],2025-05-05 15:30:40,0,0,,未知,是,https://i0.hdslb.com/bfs/face/909ba1cef61bbcf5007e5e425756618607c075e7.jpg
7,0,261162683681,3546602247555783,IQ欠费中,4,保密,人机主播“三角洲成”，毁我三角洲账号，还我账号！,2025-05-05 11:55:13,0,1,,未知,否,https://i0.hdslb.com/bfs/face/62b9176469c46ad7e7ef23d07634b86b46652c0d.webp
8,0,261159573681,285917984,三角洲妖仙,5,男,输了可不好玩，所以我从来不会输🤖[支持],2025-05-05 11:16:48,0,0,,未知,否,https://i2.hdslb.com/bfs/face/a78e837fd43db3673822c68a5632129314c706c7.jpg
9,0,261159491697,448784770,航天返回舱,6,男,上赛季剩最后一天时候系统追着送我滑膛枪[笑哭]第一把出了没带出去，第二把又开出来[笑哭],2025-05-05 11:16:11,0,0,感觉自己......,未知,否,https://i1.hdslb.com/bfs/face/6230dc51e103a4bf03ed420da74ee57e333cce1a.jpg
10,0,262094883104,421856848,荔枝很绿,5,男,这头盔，来做光明战士的吧[笑哭],2025-05-05 10:24:04,0,0,……,未知,否,https://i1.hdslb.com/bfs/face/d46767fbacd5b8de14f3411d648a8fb00a49a671.jpg
