序号,上级评论ID,评论ID,用户ID,用户名,用户等级,性别,评论内容,评论时间,回复数,点赞数,个性签名,IP属地,是否是大会员,头像
1,0,262179828240,1435191524,汐缘惜惜,4,保密,蹲老板，33和哈夫币都肝已发作品求支持,2025-05-06 12:08:18,0,0,这个人很帅，什么都没有写,未知,否,https://i2.hdslb.com/bfs/face/b540781fb6ff96c41d9316a2b6e4dec82f8f4ed8.jpg
2,0,262176849184,36612824,超涡轮增鸭,5,保密,变电站出刀片服务器被追杀没了[Ave Mujica_委屈],2025-05-06 11:28:56,0,0,,未知,否,https://i2.hdslb.com/bfs/face/e9755583a1a57be45fff0d5c52c9263420076fa8.jpg
3,0,261175708321,8596662,寒酥想当道士,5,男,没错 这就是普坝！,2025-05-05 14:33:45,0,0,不论结局，感谢相遇~,未知,否,https://i0.hdslb.com/bfs/face/d30e5f25952261d10b079f3344e216ddf3eabe50.jpg
4,0,261154310241,107778290,叶天问羽,6,保密,除了不刷破壁啥都好,2025-05-05 10:14:09,0,0,问羽，不问天。天不会理你，我，必有回应。,未知,是,https://i2.hdslb.com/bfs/face/135f4defef3c49125932e06da03f67a79c75eff0.webp
5,0,262035816432,62975437,三角洲代肝-星野,6,男,借楼，已三连，7/100，纯绿可直播，可先交20%定金，首单9/200，有之前的记录，来个板板好不好[脱单doge],2025-05-04 16:31:50,0,0,三角洲代，131-636-95120,未知,否,https://i1.hdslb.com/bfs/face/bb5086d3e61cf5967d1501bb5f3bc8a3db381c1e.jpg
6,0,261035196113,3546704433383657,九九1126,3,保密,我从人机身上摸到红色,2025-05-04 03:47:51,0,0,,未知,否,https://i0.hdslb.com/bfs/face/member/noface.jpg
7,0,261831818384,3494353689381116,晓天wasd,5,保密,IP属地:普坝变电站,2025-05-02 11:53:18,0,0,,未知,否,https://i2.hdslb.com/bfs/face/a75f0f2828322adb7a60db2cd3a611e17c7fbdb3.jpg
8,0,260877273841,27504463,温柔阿姨压一压,6,男,就这个变电站宿舍爽,2025-05-02 07:02:47,0,0,刹那爱慕都痴愿,未知,否,https://i1.hdslb.com/bfs/face/eb5b039ecf0f8460eedeb94b5da462149500c483.jpg
9,0,260661778689,1302810955,愿中国长安,3,保密,传奇机枪兵出心,2025-04-29 13:37:18,0,0,,未知,是,https://i1.hdslb.com/bfs/face/bf42e9c343337d74771d9dbeab1b12e070384f50.jpg
10,0,260608244145,1826079970,愤怒蓝鹰,5,保密,我想问一下，大坝东西两边会同时刷队伍吗？我感觉我复活的那一边都没有撤离点？撤离点都在我对面？但是一号位又经常和人撞上,2025-04-28 23:05:32,0,0,,未知,是,https://i1.hdslb.com/bfs/face/c8b9541eff384c620cd4c4464403aa32d02e4256.jpg
11,0,261450452256,3546385842441114,我芙不会嘎,4,保密,盾爷出非洲之心[doge_金箍][doge],2025-04-27 19:19:44,0,0,,未知,否,https://i0.hdslb.com/bfs/face/60f8588da6e7c6dd87f497554f38445c1898c4ae.webp
12,0,260519345233,26498595,Superfirice,6,男,31秒的普坝,2025-04-27 15:28:42,0,0,月落乌啼霜满天，江枫渔火对愁眠。,未知,否,https://i0.hdslb.com/bfs/face/7466680db50470e54f932a72770dd8d3086e8e15.jpg
13,0,260448357313,207289190,乄小思雨,5,保密,我刚玩，就是说这搅拌机出动力电池？保真吗[笑哭]为啥我就遇不到,2025-04-26 16:42:11,5,0,你给我一座城，我陪你走一生,未知,是,http://i2.hdslb.com/bfs/face/4aac94b94d986dc4c5e300792df63e67591e860e.jpg
14,0,261337254112,498479641,是睡觉的时间,4,保密,有接跑刀或等级的吗,2025-04-26 10:43:03,3,0,,未知,否,https://i1.hdslb.com/bfs/face/5f81da5f2f17a3eab58f70ee7f740e5cd51c46e6.jpg
15,0,260377720561,3546733762054454,尤金-斯通纳,3,男,普坝[doge],2025-04-26 00:23:59,0,0,美军M16自动步枪设计者,未知,否,https://i2.hdslb.com/bfs/face/38d70f308aeba110feb3586dec8035383eb60967.jpg
16,0,261266844048,1379534040,难决就先决,5,男,上一周学回来第一把普坝就遇到唐人，感觉游戏有戏。开了吧机密，然后东楼大保险房桌子上刷了个黑匣子，直接撤了[吃瓜],2025-04-25 13:43:16,0,0,如果有可能，替我向蛋仔“红秋海棠”或“南湾暮雪”！告诉她:“迷蛋不是那种人！”,未知,否,https://i0.hdslb.com/bfs/face/250ad9a8c9d48752b442dcc26441e69f1a227fd1.jpg
17,0,260316342817,56912479,写作有香气的风,6,保密,大坝什么样我不熟，但是长弓是这样的[doge],2025-04-25 05:08:33,0,1,,未知,是,https://i1.hdslb.com/bfs/face/4b208e2a9e99eed6089b3ea71e34cd6892276b23.jpg
18,0,260156197153,21157172,穆德芙里奇,6,男,Hh,2025-04-23 02:27:33,0,0,,未知,是,https://i2.hdslb.com/bfs/face/b0199df022dbd5fe283a2322fed80248613ac42f.jpg
