序号,上级评论ID,评论ID,用户ID,用户名,用户等级,性别,评论内容,评论时间,回复数,点赞数,个性签名,IP属地,是否是大会员,头像,emotion
1,0,261053940944,415140640,别肘了OnO,4,保密,总共就两把武器还跟挤牙膏一样725就不给大战场出人们还有一把弓还回炉重造了,2025-04-22 22:40:01,0,0,,未知,否,https://i1.hdslb.com/bfs/face/9f6502fb3ca343f47039d0e4b3ef2205ae5afd32.jpg,Disgust
2,0,260070319713,123820384,伴杯墨汁,6,男,是的,2025-04-21 17:47:18,0,0,错将醋墨俩相掺，半生苦涩半生酸，,未知,否,https://i1.hdslb.com/bfs/face/cd2d28dcace7d91062a973ab7a81dc5ce9b0ea0a.jpg,Neutral
3,0,260804725904,373693913,我真的好喜欢米库,5,男,本来这游戏不拉朋友一起玩的话大家就是各自为战，不要想着别人能听你的，而且即使大家都听所谓指挥官的，到最后也可能输,2025-04-19 17:58:42,0,0,君子养心莫善于诚,未知,是,https://i2.hdslb.com/bfs/face/abfe14e8239600712039c1d678058bf01596acf7.jpg,Regret
4,0,259838669793,1111751,87大兔,6,男,新人物和新枪怎么获得啊,2025-04-19 02:49:04,0,0,自分の魂 自分が守る,未知,否,https://i2.hdslb.com/bfs/face/acaf1138a335e7968c640d2df7b7979bfb187a7d.jpg,Expectation
5,0,259604263457,50786054,Three角粥,6,男,侦查的步枪在95和sg552之间要怎么选[笑哭],2025-04-16 01:43:54,0,0,,未知,是,https://i2.hdslb.com/bfs/face/c642352a0c15de39da3b047ebfd438ec4cb803e1.jpg,Expectation
6,0,259275478497,1463910461,韩云潇,5,保密,指挥官模式就多一个开麦真有意思，至少出一个强制规划路线的功能吧,2025-04-11 16:52:37,0,0,个性签名,未知,否,https://i2.hdslb.com/bfs/face/e4c98d28b35d716dd3462764167e6b00a218c190.jpg,Expectation
7,0,260089929152,3546726864521220,哈牢斯国王,4,保密,只玩普坝和占领，不玩威龙和工程基本上都是副作用,2025-04-11 05:08:40,0,0,,未知,否,https://i0.hdslb.com/bfs/face/c56457de85799c5cb0d9215d23c4d2cbba24d186.jpg,Regret
8,0,259194161377,3546657289406868,Black大陀螺,3,保密,指挥官的指向性问题策划直播提到了会优化，我们拭目以待,2025-04-10 16:18:10,0,0,"全网同名（黑色大陀螺）
一个普普通通的打枪爱好者
✨网瘾十级患者✨究极键盘手✨无敌腱鞘炎✨",未知,否,https://i0.hdslb.com/bfs/face/92a85f2dcfe08974f61285afb8cf209f9a36e482.jpg,Expectation
9,0,260054778368,3546567749404907,克里斯wjyXmen,4,保密,打战场没新图吗？,2025-04-10 15:33:12,1,0,JY克里斯,未知,否,https://i2.hdslb.com/bfs/face/f85bc4c49b3e86b3c8ab56807f9e413f9365ed67.jpg,Expectation
10,0,260030483216,390263036,_-玉兔捣药_-,5,男,大战场模式有弓箭直接当老六[doge],2025-04-10 10:35:59,1,1,,未知,否,https://i2.hdslb.com/bfs/face/0847e47e39951581e442881bb510bbaca09c0616.jpg,Disgust
