序号,上级评论ID,评论ID,用户ID,用户名,用户等级,性别,评论内容,评论时间,回复数,点赞数,个性签名,IP属地,是否是大会员,头像
1,0,254749893888,1952553432,djleljd,3,保密,死因：吃著条撑死了[doge_金箍][doge_金箍][doge_金箍],2025-02-08 05:17:40,0,0,,未知,否,https://i0.hdslb.com/bfs/face/9fffead9a0c45addf8c525c88f3f2464332034c5.jpg
2,0,252031826305,660774066,热风吹的我,5,保密,@459-西诺,2025-01-17 04:56:23,0,1,,未知,否,https://i0.hdslb.com/bfs/face/aed2275169bde1e182cda124cb946746c7481ede.jpg
3,0,252519300368,3493092093069503,kailangjun,3,保密,为什么飞行员也造成了击杀，因为核弹掉落到地上还砸死了几个人,2025-01-16 04:19:27,1,0,,未知,否,https://i0.hdslb.com/bfs/face/member/noface.jpg
4,0,252502007568,700719124,CCCP-不是修正,4,男,此时就是49年的广岛美炸了。,2025-01-15 23:40:38,0,0,咱老莫斯科人主打的就是个地道~,未知,是,https://i1.hdslb.com/bfs/face/31d87dad164f2221cf8ae1a6132d85176b68313e.jpg
5,0,251912032337,616421394,羔早,5,男,战地2042怎么样[微笑],2025-01-15 16:21:00,0,0,꒰ঌ(˚ᆺ˚)໒꒱,未知,否,https://i0.hdslb.com/bfs/face/0dabe2a725824f1066ce081eecc3225c5e009b69.jpg
6,0,251898725969,3546655160797693,5年万青3年2千,3,男,不是三角洲什么时候出核弹了？,2025-01-15 13:40:02,0,0,哇！这里就是B站吗？,未知,否,https://i1.hdslb.com/bfs/face/aa8cfa260ce6e74b103ed4eb37f775b9cbd9cfe3.jpg
7,0,251882007585,3546824719731180,闲的没事干T-T,2,保密,细节助攻,2025-01-15 10:18:05,0,0,,未知,否,https://i0.hdslb.com/bfs/face/7e72c58637ff26df68fb30939de078d2bbbfcdbe.jpg
8,0,252434385584,527422216,霜云Hexagram,4,女,@yuhua14,2025-01-15 04:56:16,1,0,天空，太阳，芒果花蜜,未知,是,https://i1.hdslb.com/bfs/face/47635aabbf9379cd589788e0eabef9117da545bf.jpg
9,0,251857633265,645645771,高冰男入,3,保密,我的努力真的值得吗[疑惑],2025-01-15 04:34:09,2,4,总结一下，现在的老人非常两极分化，一部分属于好老人，一部分纯cs，我被恶心了好多次了，他们太喜欢贪小便宜了，还一直强调自己没有没给钱，呵呵.,未知,否,https://i0.hdslb.com/bfs/face/5ff65e88e93dce56acaf245b4d8c44a8bf303312.jpg
10,0,251851932449,3546828502993856,Constantine13,3,保密,直接晋升上将[doge][doge][doge],2025-01-15 03:19:59,1,0,,未知,否,https://i2.hdslb.com/bfs/face/bfa43d7fec2740673f411eeb21609e7c08a5bf0f.jpg
