序号,上级评论ID,评论ID,用户ID,用户名,用户等级,性别,评论内容,评论时间,回复数,点赞数,个性签名,IP属地,是否是大会员,头像
1,0,262189414432,216060913,stonglenr,6,保密,bf4的冲锋伴随坦克飞机和攻击艇的狂轰滥炸下的氛围到现在依旧没有游戏能比，但是更离谱的是制作组自己也搞不出来了,2025-05-06 14:07:32,0,0,今天，我們為被害的斐迪南大公哀悼。 明天，我們就要讓兇手付出代價，奧匈帝國不會允許，對我國領土領海的入侵,未知,是,https://i1.hdslb.com/bfs/face/a17c8a57efe6fd0ee5cc75f3421f6851b4d9ff19.jpg
2,0,262127427808,444131300,巧克力力大王,5,女,@Thestarsaregone @爱吃榴莲千层Y,2025-05-05 17:23:01,0,0,,未知,否,https://i2.hdslb.com/bfs/face/5a3d08296ea12398db8dd49a3ab21fab106ace90.jpg
3,0,262089052816,3493289095334721,乞儿汉阴生,5,保密,我怀疑战地那段是放飞自我了[思考],2025-05-05 09:11:06,0,0,,未知,否,https://i0.hdslb.com/bfs/face/6595f5a9eeabf4033d4c06ab05d05582f3a0358b.jpg
4,0,261144610753,1564591381,CYCAN毛熊,4,男,"全体都有，准备战斗！
炮手好！[doge]
：",2025-05-05 08:02:46,0,0,CYCAN,未知,否,https://i1.hdslb.com/bfs/face/06cd584ce1c5700f72db6177f1170f824de3e790.jpg
5,0,262051636352,3546390584101101,k1uzz,4,保密,子墨和鬼子一样,2025-05-05 01:01:17,0,0,,未知,否,https://i0.hdslb.com/bfs/face/member/noface.jpg
6,0,262003025504,1050713535,奔跑不想回头,5,男,"第一个：一听就不是国人
第二个：特种部队精英？
第三个：很像真实的战场，喉咙快喊破了
第四个：专业的战术部队",2025-05-04 10:27:27,0,0,一只小杂毛～,未知,是,https://i0.hdslb.com/bfs/face/e0122b7b0b2e951d57b3de329b0574202c56a8a9.jpg
7,0,261965507728,1132819838,爱吃小龙虾的槐,5,男,光看视频这几段感觉战术小队是这几个最好的,2025-05-04 02:26:34,0,0,自己什么成分不明白还来查我？,未知,否,https://i2.hdslb.com/bfs/face/7dac3a93937aea18d33cee6e76452edaa6e3bc21.jpg
8,0,261951585008,32439623,越光荫,6,男,友军之围,2025-05-03 19:19:44,0,0,我爱这个世界，希望这个世界能爱你,未知,否,https://i2.hdslb.com/bfs/face/e338dde980d9c348e839a0160c9b2644ef16f0ed.jpg
9,0,261869906272,2623349,Karamazuf,6,保密,三角洲最好的真的假的，明显最后两个一个像真冰一个像真好冰,2025-05-03 00:44:42,0,0,二零一四到了二零一五还会远么,未知,是,https://i2.hdslb.com/bfs/face/2a6f28558850f9ac19d5907fd769ea720162f058.jpg
10,0,261859471168,51000225,薛定谔的枪_Official,6,男,根号16是做的是最好的，符合日常用于习惯,2025-05-02 17:45:14,0,0,"加入我们的互动群:772509672
FPS以及恐怖游戏享受者，僵尸文化爱好者
XuedingE_Gun",未知,否,https://i0.hdslb.com/bfs/face/3629a30d84a210d1c0a5aee2f21c1bbf32c466b4.jpg
