序号,上级评论ID,评论ID,用户ID,用户名,用户等级,性别,评论内容,评论时间,回复数,点赞数,个性签名,IP属地,是否是大会员,头像
1,0,262198080544,1072610043,_凌予安_,5,男,"我满改hybrid的m250打一把长夜大坝丢了，就剩60发塞保险的弹和
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
一颗心[呲牙]",2025-05-06 15:51:33,0,0,欢迎各位宝宝们呀,未知,是,https://i0.hdslb.com/bfs/face/a977db61688c3a5454765197d388d1d615e7d403.jpg
2,0,261248334849,159681476,最悪だ,6,男,还开什么电竞 做动画不好吗[笑哭],2025-05-06 14:18:16,0,1,你是千堆雪，我是长街,未知,否,https://i2.hdslb.com/bfs/face/ab24ed6751087b583ed15eb60575c72807647e44.jpg
3,0,262177817216,3546897086155428,航天神秘堵桥男,2,保密,我得回猎奇区吃点清淡的,2025-05-06 11:40:42,0,0,堵桥来,未知,否,https://i0.hdslb.com/bfs/face/9284685c05ea4f91ce2cb5476f78d0152f6ea726.jpg
4,0,262173808736,1513071024,阿拉柏ALB,5,保密,大脑：再给我看这些恶心东西，我就向免疫系统公布你的眼球坐标,2025-05-06 10:51:26,0,0,一枚EVA萌新的初中生,未知,是,https://i0.hdslb.com/bfs/face/cceea0184035ad445c0d9f5b05d24ff77fc61a07.jpg
5,0,262160242000,1292144801,台风吹过这里,5,保密,@神术_ @神山汐紫_努力代肝版,2025-05-06 07:19:28,0,0,,未知,否,https://i2.hdslb.com/bfs/face/afaa8d51b1953c2fc7c0b333f875f35df08313b1.jpg
6,0,261217595841,514736058,醉不知道取什么名字,4,男,混,2025-05-06 06:53:36,0,0,,未知,否,https://i0.hdslb.com/bfs/face/d727e50ab2811ba933ed258468cfc43b06dc3eee.jpg
7,0,261215234113,383660885,太亘天尊,5,保密,峰医要是不耍帅 提前装好弹这个时间够瞄准秒对面了 就像那些红狼为什么都是滑铲被打死的[喜极而泣]装逼的下场就是这样 正常跑还能撤 滑铲出去就是移动靶[喜极而泣],2025-05-06 06:04:06,0,0,,未知,否,https://i2.hdslb.com/bfs/face/6e51612de73d925136f74c4be7e1f41cd7135ee8.jpg
8,0,262149254800,896826,_西瓜鱼_,6,男,"多整点麦晓雯好吗
可爱[Ave Mujica_记得微笑]",2025-05-06 04:24:00,0,0,邦邦人，偶像厨，不定期翻译各种msn（？，推野口衣織、大谷映美里、岡田夢以。副业翻唱,未知,是,https://i0.hdslb.com/bfs/face/757fd330523291d8e0701bb21900777dd9a6d83f.jpg
9,0,262110537776,1338933039,九组生物科技,5,保密,这啥弹药这么贵？,2025-05-05 13:33:57,6,0,九组兽设武器工作室，改名为九组生物科技，服务于那些刚加入军迷圈的萌新,未知,否,https://i0.hdslb.com/bfs/face/caf43bb388e0b94cf4a81d7e6cfda91ac718fea0.jpg
10,0,261160582961,521156660,艾拉_____,5,保密,打赢了就给你哦[给心心],2025-05-05 11:28:18,0,0,烧烤摊欢迎加盟，复制即可，让烧烤摊走进所以评论区,未知,是,https://i2.hdslb.com/bfs/face/ff7ebe432bb5cff33898a75e32455afa861118b4.jpg
11,0,262096146656,141720518,白砂糖132,6,男,@爱画黄漫的纱雾酱 @太宰治的哥哥大宰总,2025-05-05 10:40:41,0,0,,未知,否,https://i2.hdslb.com/bfs/face/cc60ade5656c07032175f4a5f3155995ecb2158a.jpg
12,0,262093351344,3546375748848309,蜈蚣炖见手青,4,保密,BV1t7pveZEcV,2025-05-05 10:06:29,0,1,(⊙▽⊙),未知,否,https://i0.hdslb.com/bfs/face/69a3566ebe331a6dc16485d06f4d7e95684b52b4.jpg
13,0,261153646289,3494363766196868,䳟圖,4,男,带把aw想试试堵桥，整活带了把四弹左轮，一伙玻璃大炮过来我aw连空两枪把左轮掏出来两枪一个打死了俩（玩上妙才了说是）,2025-05-05 10:03:42,0,0,运,未知,是,https://i2.hdslb.com/bfs/face/0dd5a505c153bccf0bd8179eb5ca5c73a4f9e36d.jpg
14,0,262085836208,244811132,纯爱战神麦晓雯,6,保密,人和东西都扛走不好么[doge]，我永远喜欢麦晓雯。,2025-05-05 08:30:19,0,0,,未知,否,https://i2.hdslb.com/bfs/face/81445171eb6403a7eaf5a381f2c64080fdb907ff.jpg
15,0,261143722881,3546682551699770,别嫌弃丑丑的我,4,保密,我有一个队友，就这个道，红狼贴墙滑铲老帅了，唯一不足的就是比较贪吃，连吃我5发大号花生米[辣眼睛],2025-05-05 07:49:21,0,0,,未知,否,https://i2.hdslb.com/bfs/face/ab6fd2a8311756a79ae1c26506266ed62e389f55.jpg
16,0,261116075521,40779688,想被妖高人民肘击,6,保密,这把枪我攒了好久钱搞了一把发现子弹没人卖[笑哭],2025-05-05 01:53:50,0,0,,未知,是,https://i1.hdslb.com/bfs/face/f26f27f01159c14956b149527068be7f58e15cbc.jpg
17,0,262036500480,3546597952587920,高高帅哥,3,男,这也拉出来，其实就是从裤裆里（安全箱里）手动拆除一颗，然后丢地上,2025-05-04 16:41:08,0,1,不知道说啥，就是来看视频的。,未知,否,https://i2.hdslb.com/bfs/face/450275b0eb04586bbc5d30d1ed6df0873449ccb0.jpg
18,0,261090509185,1847142963,硫㮾褶,4,保密,懂了，你们电竞的蜂医不会打人,2025-05-04 15:02:17,0,0,,未知,否,https://i0.hdslb.com/bfs/face/member/noface.jpg
19,0,261014698593,545149988,佑男主,5,保密,@焘弄枯桀,2025-05-03 18:47:18,0,0,,未知,否,https://i2.hdslb.com/bfs/face/b522a24609d2984206cc4132537db1111b7f5905.jpg
20,0,261941027664,1949412544,筱柒一拳打爆地球,5,保密,@赛伊德-齐亚腾,2025-05-03 15:53:52,1,0,这里是筱柒，兴趣使然的一只鼠。很好说话但不代表没脾气，不友好的人请别来沾边 头像是@皛璩 画的！,未知,否,https://i1.hdslb.com/bfs/face/9e774168aed2a0798ff0b11c3f23bb97b12204cb.jpg
28,0,261899514480,3493107194661233,六个币换来的废名,4,保密,纵横。算下来，大概是3~4万1发,2025-05-03 07:29:50,3,2,,未知,否,https://i2.hdslb.com/bfs/face/46b4ee6117283a8663b3ba2a1d9e30cfe9b71e21.jpg
29,0,261898893920,598608445,用户Ch3,2,保密,这纯粹是以大欺小,2025-05-03 07:19:13,0,0,,未知,否,https://i1.hdslb.com/bfs/face/86b6669390ab9bf22f756e3d205f7f3e52de81ba.jpg
30,0,260949896353,502678063,天庭龙公丨,6,保密,感觉可以搞一个连续剧 像以前的蛋疼五侠一样,2025-05-03 04:13:14,0,0,,未知,否,https://i1.hdslb.com/bfs/face/c59573fd7afb29dc815355dfb994417af151b7f2.jpg
31,0,261844354688,3546690801895822,好丢天,2,保密,吴彦祖：赢是一时的，帅是一辈子的。,2025-05-02 14:20:25,0,0,,未知,否,https://i1.hdslb.com/bfs/face/7bfa03b18beaaf3d348ed1ef209bfd29e7690fb4.jpg
32,0,261794631520,1154483314,brawlstar晓炎圣子,5,保密,我还以为骇爪要从蜂医那里找出来[doge_金箍],2025-05-02 03:46:00,0,3,,未知,是,https://i1.hdslb.com/bfs/face/459d7e6f3fe287c303d7eb03549567c304fcbde9.jpg
33,0,260861353633,3546765854772171,十泉白狼,2,男,拉子弹,2025-05-02 03:29:58,0,0,《一个有梦想的少年》,未知,否,https://i0.hdslb.com/bfs/face/ddec65746aa3b7ba5375de3b4567b42a0a2a9dd1.jpg
34,0,260833335697,172467089,逗豆MASTER,6,保密,这种视频咋制作的，我想学,2025-05-01 15:45:24,0,0,打铁还得自身硬,未知,是,https://i2.hdslb.com/bfs/face/ed7698eda62aabe6a1eb733983f2909da2bd8aa4.jpg
35,0,260819168913,527338699,玩游戏的零零零,3,男,我说了 王牌在我手上,2025-05-01 12:54:01,0,1,_PalyGAME 开心版,未知,否,https://i1.hdslb.com/bfs/face/52ac1ae8495ea803a5a7e761598be66d0d4255a4.jpg
36,0,260746369905,3461580136123193,刚发的估计就,5,保密,陪玩再赚几个钱啊！不考虑转行做视频？[墨镜],2025-04-30 14:47:21,0,0,,未知,否,https://i0.hdslb.com/bfs/face/member/noface.jpg
37,0,261654687472,265670614,绘i里,6,男,兄弟[星星眼]这个质量不考虑点来米快的副业嘛,2025-04-30 10:41:14,0,14,想拿青鸟工混上枪神组,未知,是,https://i1.hdslb.com/bfs/face/30603bca01e09c29c0151f17c2baebb7aefa9fb8.jpg
